source_headword	UZ	example_UZ
institute	institut	Institut yangi tadqiqot dasturini ochdi.
institution	muassasa	Muassasa qabul qoidalarini o'zgartirdi.
insurance	sug'urta	Uning sug'urtasi kasalxona xarajatlarini qopladi.
intended	mo'ljallangan	Xabar mo'ljallangan auditoriyaga yetib bordi.
intense	qizg'in	Bahs tezda qizg'in tus oldi.
internal	ichki	Kompaniya ichki tekshiruvni boshladi.
interpret	talqin qilmoq	Iltimos, natijalarni diqqat bilan talqin qiling.
interrupt	xalaqit bermoq	Hozir so'zlovchining gapini bo'lmang.
investigation	tergov	Tergov jiddiy xatolarni fosh qildi.
investment	sarmoya	Sarmoya ko'plab mahalliy ish o'rinlarini yaratdi.
joy	quvonch	Ularning muvaffaqiyati katta quvonch keltirdi.
judgement	mulohaza	Uning mulohazasi tajriba bilan yaxshilandi.
junior	kichik	U jamoaga kichik tahlilchi sifatida qo'shildi.
justice	adolat	Sud majlisidan keyin oila adolat talab qildi.
justify	oqlamoq	Siz bu qarorni aniq oqlashingiz kerak.
labour	mehnat	Loyiha malakali mehnatni talab qiladi.
landscape	landshaft	Bo'rondan keyin landshaft o'zgardi.
largely	asosan	Reja asosan muvaffaqiyatli bo'ldi.
launch	ishga tushirmoq	Ular ertaga mahsulotni sotuvga chiqaradilar.
leadership	etakchilik	Kuchli etakchilik jamoaning tiklanishiga yordam berdi.
league	liga	Klubimiz mintaqaviy ligaga qo'shildi.
lean	suyanmoq	Nam devorga suyanmang.
licence	litsenziya	Litsenziyaning muddati kelasi oy tugaydi.
limited	cheklangan	Bugun vaqtimiz cheklangan.
lively	jonli	Uchrashuv tushlikdan keyin jonli bo'ldi.
load	yuk	Yuk mashinasi og'ir yukni tashiydi.
loan	qarz	Bank kreditni tasdiqladi.
logical	mantiqiy	Uning dalili aniq va mantiqiy edi.
long-term	uzoq muddatli	Bu uzoq muddatli yechim.
loose	bo'sh	Tutqich bo'shab qolgandek.
lord	lord	Lord bir nechta qishloqlarga egalik qilgan.
lower	pasaytirmoq	Ular qishda narxlarni pasaytiradilar.
lung	o'pka	Chekish o'pkaga zarar etkazishi mumkin.
maintain	saqlab qolmoq	Biz muntazam aloqani saqlab turamiz.
majority	ko'pchilik	Ko'pchilik taklifni qo'llab-quvvatladi.
mass	massa	Bulutlar massasi osmonni qopladi.
massive	ulkan	Zilzila ulkan talofat keltirdi.
master	usta	U muzokaralar ustasiga aylandi.
matching	mos tushadigan	U mos tushadigan poyabzal va kamar taqib oldi.
maximum	maksimal	Xona maksimal sig'imga yetdi.
means	vosita	Elektron pochta bizning asosiy aloqa vositamizdir.
measurement	o'lchov	O'lchov biroz noto'g'ri edi.
melt	erimoq	Qor tushgacha eriydi.
military	harbiy	Harbiy baza o'tgan yili yopildi.
mineral	mineral	Temir muhim mineraldir.
minimum	minimal	Minimal yosh o'n sakkiz.
minister	vazir	Vazir qiyin savollarga javob berdi.
minor	uncha katta bo'lmagan	Baxtsiz hodisa uncha katta bo'lmagan zarar keltirdi.
minority	ozchilik	Ozchilik yangi qoidaga qarshi chiqdi.
mission	missiya	Ularning missiyasi eson-omon yakunlandi.
mixed	aralash	Yangiliklar aralash munosabatlarga sabab bo'ldi.
modify	o'zgartirmoq	Biz dizaynni keyinroq o'zgartirishimiz mumkin.
monitor	nazorat qilmoq	Hamshira uning ahvolini nazorat qiladi.
moral	axloqiy	Hikoyaning axloqiy sabog'i bor.
motor	motor	Motor ogohlantirishsiz to'xtab qoldi.
mount	o'rnatmoq	Ular kirish joyi yaqinida kameralar o'rnatadilar.
multiple	bir nechta	Kechikishga bir nechta omillar sabab bo'ldi.
multiply	ko'paytirmoq	Raqamni o'nga ko'paytiring.
mysterious	sirli	Tashqarida sirli yorug'lik paydo bo'ldi.
neat	toza	Uning stoli har doim toza.
nerve	asab	Jarohat asabga zarar yetkazdi.
nevertheless	shunga qaramay	Vazifa qiyin edi; shunga qaramay, biz uni tugatdik.
nightmare	daxshatli tush	Sayohat daxshatli tushga aylandi.
notion	tushuncha	O'zgarishning iloji yo'q degan tushunchani rad eting.
numerous	ko'plab	Ko'plab tadqiqotlar bu g'oyani qo'llab-quvvatlaydi.
obey	bo'ysunmoq	Haydovchilar belgilarga bo'ysunishi kerak.
objective	maqsad	Bizning maqsadimiz chiqindilarni kamaytirishdir.
obligation	majburiyat	Ota-onalar bolalarni himoya qilish majburiyatiga ega.
observation	kuzatuv	Uning kuzatuvi muhokamani o'zgartirdi.
observe	kuzatmoq	Olimlar har bahorda qushlarni kuzatadilar.
obtain	olmoq	Siz yozma ruxsat olishingiz kerak.
