source_headword	ID	example_ID
strengthen	memperkuat	Kebijakan baru akan memperkuat keamanan online.
strictly	secara ketat	Tiket dibatasi secara ketat dua untuk setiap orang.
striking	mencolok	Lukisan itu memiliki warna-warna yang mencolok.
stroke	goresan	Dia melukis satu goresan di atas kertas.
stunning	sangat indah	Pemandangan gunung itu sangat indah.
subsequent	berikutnya	Rapat berikutnya mengonfirmasi anggaran tersebut.
subsequently	kemudian	Jalan ditutup; kemudian, lalu lintas bergerak lambat.
suburb	pinggiran kota	Mereka tinggal di pinggiran kota yang tenang.
suffering	penderitaan	Obat itu mengurangi penderitaannya.
sufficient	cukup	Tim memiliki waktu yang cukup.
sufficiently	cukup	Ruangan itu cukup hangat.
super	super	Tablet baru itu super cepat.
surgeon	ahli bedah	Ahli bedah itu memperbaiki lutut yang rusak.
survival	kelangsungan hidup	Air bersih sangat penting untuk kelangsungan hidup.
survivor	orang yang selamat	Orang yang selamat menceritakan banjir tersebut.
suspend	menangguhkan	Sekolah mungkin menangguhkan perjalanan tersebut.
sustainable	berkelanjutan	Peternakan itu menggunakan metode berkelanjutan.
swallow	menelan	Telan tablet itu dengan air.
sympathetic	bersimpati	Manajer bersimpati dengan masalahnya.
tackle	mengatasi	Kita perlu mengatasi masalah perumahan.
tag	label	Tas itu memiliki label harga.
tap	keran	Dia mematikan keran.
technological	teknologi	Perubahan teknologi memengaruhi setiap tempat kerja.
teens	remaja	Banyak remaja menggunakan media sosial setiap hari.
temple	kuil	Kuil itu berdiri di dekat sungai.
temporarily	sementara	Kantor ditutup sementara.
tendency	kecenderungan	Dia memiliki kecenderungan untuk datang terlambat.
tension	ketegangan	Ketegangan meningkat selama diskusi.
terms	syarat	Syarat-syarat kontrak itu jelas.
terribly	sangat	Anak itu sangat kesal.
terrify	menakutkan	Suara keras menakutkan anjing itu.
territory	wilayah	Peta itu menunjukkan wilayah baru tersebut.
terror	teror	Teror menyebar setelah serangan itu.
terrorism	terorisme	Terorisme mengancam keselamatan publik.
terrorist	teroris	Polisi menangkap teroris itu kemarin.
testing	pengujian	Pengujian produk dimulai pada hari Senin.
textbook	buku teks	Dia melupakan buku teks biologinya.
theft	pencurian	Pencurian meningkat di daerah tersebut.
therapist	terapis	Terapis membantunya mengatasi kecemasan.
thesis	tesis	Tesisnya mengkaji pembelajaran online.
thorough	menyeluruh	Tinjauan menyeluruh tidak menemukan kesalahan.
thoroughly	dengan saksama	Bersihkan luka dengan saksama.
thumb	ibu jari	Dia mengangkat ibu jarinya untuk memberi tanda persetujuan.
timing	waktu	Waktu panggilan itu sempurna.
tissue	tisu	Dia mengelap kaca itu dengan tisu.
ton	ton	Truk itu membawa satu ton pasir.
tonne	ton	Kiriman itu berbobot satu ton.
tournament	turnamen	Turnamen tenis dimulai besok.
trace	melacak	Para ilmuwan dapat melacak sumber virus.
trading	perdagangan	Perdagangan saham berhenti pada siang hari.
tragedy	tragedi	Kecelakaan itu adalah tragedi yang mengerikan.
tragic	tragis	Kecelakaan itu berdampak tragis.
trait	sifat	Kesabaran adalah sifat yang berguna.
transmit	menularkan	Nyamuk dapat menularkan penyakit.
transportation	transportasi	Transportasi umum ramai hari ini.
trap	menjebak	Kotak itu dapat menjebak serangga dengan aman.
treasure	harta karun	Peti tua itu menyimpan harta karun.
tribe	suku	Suku itu melindungi tradisinya.
trigger	memicu	Asap dapat memicu alarm.
trillion	triliun	Utang itu mencapai satu triliun dolar.
troop	pasukan	Pasukan bergerak menuju perbatasan.
tsunami	tsunami	Tsunami menghancurkan rumah-rumah di pesisir.
ultimate	akhir	Tujuan akhirnya adalah perdamaian.
unacceptable	tidak dapat diterima	Penundaan itu tidak dapat diterima oleh penumpang.
uncertainty	ketidakpastian	Ketidakpastian membuat investor gugup.
undergo	menjalani	Pasien akan menjalani operasi besok.
undertake	melakukan	Tim akan melakukan survei.
unfold	terungkap	Drama mulai terungkap perlahan.
unfortunate	disayangkan	Kesalahan itu disayangkan tetapi dapat diperbaiki.
unite	menyatukan	Para pemimpin mencoba menyatukan partai.
unity	persatuan	Pidato itu menyerukan persatuan nasional.
universal	universal	Aplikasi ini menggunakan desain universal.
urgent	mendesak	Rumah sakit menerima panggilan mendesak.
usage	penggunaan	Panduan itu menjelaskan penggunaan yang benar.
useless	tidak berguna	Pengisi daya yang rusak itu tidak berguna.
valid	berlaku	Paspor Anda masih berlaku.
variation	variasi	Ada variasi harga yang luas.
vertical	vertikal	Grafik itu memiliki sumbu vertikal.
viewpoint	sudut pandang	Sudut pandangnya berubah setelah debat.
visa	visa	Dia mengajukan visa pelajar.
visible	terlihat	Tanda itu terlihat dari sini.
voluntary	sukarela	Kursus ini mencakup lokakarya sukarela.
voting	pemungutan suara	Pemungutan suara awal dimulai minggu depan.
wander	berkeliaran	Turis berkeliaran di pasar lama.
warming	pemanasan	Pemanasan global memengaruhi permukaan laut.
weekly	mingguan	Tim mengadakan pertemuan mingguan.
weird	aneh	Suara itu terdengar aneh.
welfare	kesejahteraan	Program itu mendukung kesejahteraan anak.
wheat	gandum	Petani itu menanam gandum.
whoever	siapa pun	Siapa pun yang tiba lebih dulu harus menunggu di luar.
widespread	luas	Badai itu menyebabkan kerusakan luas.
wisdom	kebijaksanaan	Neneknya berbagi kebijaksanaan praktis.
withdraw	menarik	Dia memutuskan untuk menarik lamarannya.
workforce	tenaga kerja	Tenaga kerja membutuhkan keterampilan baru.
