simplified	KN	example_KN	ML	example_ML
啊	ದೃಢೀಕರಣ ಸೂಚಿಸುವ ವಾಕ್ಯಾಂತ ಕಣ; ಆ	ಸರಿ, ಈಗ ಹೋಗೋಣ.	സ്ഥിരീകരണം സൂചിപ്പിക്കുന്ന വാക്യാന്ത കണം; ആ	ശരി, നമുക്ക് ഇപ്പോൾ പോകാം.
阿姨	ಅತ್ತೆ; ಮಕ್ಕಳ ಪಾಲಕಿ	ಅತ್ತೆ ಸೂಪರ್ ಮಾರ್ಕೆಟ್‌ನಲ್ಲಿ ಕೆಲಸ ಮಾಡುತ್ತಾರೆ.	അമ്മായി; കുട്ടിപരിചാരിക	അമ്മായി സൂപ്പർ മാർക്കറ്റിൽ ജോലി ചെയ്യുന്നു.
矮	ಕಡಿಮೆ; ಕುಳ್ಳ	ಈ ಮೇಜು ಸ್ವಲ್ಪ ಕಡಿಮೆಯಾಗಿದೆ.	താഴ്ന്ന; കുറിയ	ഈ മേശ അല്പം താഴ്ന്നതാണ്.
爱好	ಹವ್ಯಾಸ; ಆಸಕ್ತಿ	ನನ್ನ ಹವ್ಯಾಸ ಸಂಗೀತ ಕೇಳುವುದು.	ഹോബി; താൽപ്പര്യം	എന്റെ ഹോബി സംഗീതം കേൾക്കുന്നതാണ്.
安静	ನಿಶ್ಶಬ್ದ; ಶಾಂತ	ಗ್ರಂಥಾಲಯದಲ್ಲಿ ತುಂಬಾ ನಿಶ್ಶಬ್ದವಾಗಿದೆ.	നിശ്ശബ്ദം; ശാന്തം	ലൈബ്രറിയിൽ വളരെ നിശ്ശബ്ദമാണ്.
把	ಹಿಡಿಯುವುದು; ಕರ್ಮವನ್ನು ಮುಂದು ತರುವ ಕಣ	ದಯವಿಟ್ಟು ಬಾಗಿಲು ಮುಚ್ಚಿ.	പിടിക്കുക; കർമ്മത്തെ മുന്നിൽ കൊണ്ടുവരുന്ന കണം	ദയവായി വാതിൽ അടയ്ക്കൂ.
搬	ಸ್ಥಳಾಂತರವಾಗುವುದು; ಕೊಂಡೊಯ್ಯುವುದು	ನಾವು ನಾಳೆ ಮನೆ ಬದಲಾಯಿಸುತ್ತಿದ್ದೇವೆ.	സ്ഥലം മാറുക; കൊണ്ടുപോകുക	ഞങ്ങൾ നാളെ വീട് മാറുകയാണ്.
班	ತರಗತಿ; ಗುಂಪು	ನಮ್ಮ ತರಗತಿಯಲ್ಲಿ ಇಪ್ಪತ್ತು ವಿದ್ಯಾರ್ಥಿಗಳು ಇದ್ದಾರೆ.	ക്ലാസ്; സംഘം	ഞങ്ങളുടെ ക്ലാസിൽ ഇരുപത് വിദ്യാർത്ഥികളുണ്ട്.
办法	ವಿಧಾನ; ಮಾರ್ಗ	ಈ ವಿಧಾನ ತುಂಬಾ ಚೆನ್ನಾಗಿದೆ.	രീതി; മാർഗം	ഈ രീതി വളരെ നല്ലതാണ്.
办公室	ಕಚೇರಿ	ಮ್ಯಾನೇಜರ್ ಕಚೇರಿಯಲ್ಲಿ ಇದ್ದಾರೆ.	ഓഫീസ്	മാനേജർ ഓഫീസിലാണ്.
