source_headword	ES-419	example_ES-419
take	tomar; agarrar; llevar	Toma el boleto.
talk	hablar; conversar	Hablamos después de clase.
tall	alto; alta	Mi profesor es alto.
taxi	el taxi	El taxi está afuera.
tea	el té	Este té está caliente.
teach	enseñar	Enseño inglés.
teacher	el profesor; la profesora	La profesora sonríe.
team	el equipo	Nuestro equipo gana hoy.
teenager	el adolescente; la adolescente	El adolescente lee un libro.
telephone	el teléfono; llamar por teléfono	El teléfono está en el escritorio.
television	la televisión	La televisión es nueva.
tell	decir; contar	Dime tu nombre.
ten	diez	Tengo diez libros.
tennis	el tenis	Jugamos tenis hoy.
terrible	terrible; muy malo	El tiempo está terrible.
test	la prueba; el examen; evaluar	La prueba empieza ahora.
text	el mensaje de texto; enviar un mensaje	Envía un mensaje corto.
than	que	Diez es más que dos.
thank	agradecer	Dale las gracias al profesor.
thanks	gracias	Gracias por tu ayuda.
that	ese; esa; aquel; aquella	Ese libro es mío.
the	el; la; los; las	El té está tibio.
theatre	el teatro	El teatro está cerca de la estación.
their	su; sus	Su casa es grande.
them	los; las; les; ellos	Los conozco.
then	entonces; luego	Come y luego lee.
there	allí; ahí; hay	Hay una silla allí.
they	ellos; ellas	Ellos están en la escuela.
thing	la cosa	Esta cosa es útil.
think	pensar	Pienso en la casa.
third	tercero; tercera	Esta es la tercera clase.
thirsty	con sed	Tengo sed.
thirteen	trece	Él tiene trece años.
thirty	treinta	Mi hermana tiene treinta años.
this	este; esta	Este boleto es nuevo.
thousand	mil	Vinieron mil personas.
three	tres	Veo tres pájaros.
through	por; a través de	Caminamos por el parque.
Thursday	el jueves	Nos vemos el jueves.
ticket	el boleto; la entrada	Necesito un boleto.
time	el tiempo; la hora	¿Qué hora es?
tired	cansado; cansada	Estoy cansado.
title	el título	Lee el título.
to	a; para; marcador de infinitivo	Voy a la clase.
today	hoy	Hoy hace sol.
together	juntos; juntas	Comemos juntos.
toilet	el baño; el inodoro	El baño está limpio.
tomato	el tomate	Este tomate es rojo.
tomorrow	mañana	Hasta mañana.
tonight	esta noche	Estudiamos esta noche.
too	también; demasiado	Yo también quiero té.
tooth	el diente	Me duele un diente.
topic	el tema	Elige un tema.
tourist	el turista; la turista	El turista toma fotos.
town	el pueblo; la ciudad	Esta ciudad es tranquila.
traffic	el tráfico	El tráfico está lento.
train	el tren; entrenar	El tren llega tarde.
travel	viajar; el viaje	Viajamos en tren.
tree	el árbol	El árbol es alto.
trip	el viaje	El viaje empieza mañana.
trousers	los pantalones	Mis pantalones son negros.
true	verdadero; cierto	Esa historia es verdadera.
try	probar; intentar	Prueba este té.
T-shirt	la camiseta	Llevo una camiseta.
Tuesday	el martes	Nos vemos el martes.
turn	girar; el turno	Gira a la izquierda aquí.
TV	la TV; la televisión	El volumen de la TV está alto.
twelve	doce	Tengo doce plumas.
twenty	veinte	Hay veinte estudiantes aquí.
twice	dos veces	Nado dos veces por semana.
two	dos	Dos personas esperan.
type	el tipo; escribir con teclado	¿Qué tipo de música quieres?
umbrella	el paraguas	Toma el paraguas.
uncle	el tío	Mi tío es amable.
under	debajo de	La bolsa está debajo de la mesa.
understand	entender	Entiendo la pregunta.
university	la universidad	La universidad está cerca.
until	hasta	Espera hasta las cinco.
up	arriba; hacia arriba; levantar	Levántate ahora.
upstairs	arriba; en la planta alta	Mi cuarto está arriba.
us	nos; a nosotros	Ayúdanos, por favor.
use	usar; el uso	Usa esta pluma.
useful	útil	Este mapa es útil.
usually	normalmente	Normalmente camino a casa.
vacation	las vacaciones	Nuestras vacaciones empiezan mañana.
vegetable	la verdura; el vegetal	La zanahoria es una verdura.
very	muy	El cuarto está muy tranquilo.
video	el video	Mira este video.
village	el pueblo; la aldea	El pueblo es pequeño.
visit	visitar; la visita	Visitamos a nuestra tía.
visitor	el visitante; la visitante	El visitante espera afuera.
wait	esperar	Espera aquí, por favor.
waiter	el mesero; la mesera	El mesero trae té.
wake	despertar; despertarse	Me despierto temprano.
walk	caminar; el paseo	Caminamos a la escuela.
wall	la pared	La pared es blanca.
want	querer	Quiero agua.
warm	cálido; tibio; calentar	El cuarto está tibio.
wash	lavar	Lávate las manos.
watch	ver; mirar; el reloj	Veo la televisión.
water	el agua; regar	Bebe un poco de agua.
way	el camino; la manera	Este camino es corto.
we	nosotros; nosotras	Estudiamos inglés.
wear	llevar puesto; usar	Llevo una chaqueta.
weather	el tiempo; el clima	El clima está frío.
website	el sitio web	Este sitio web es útil.
Wednesday	el miércoles	La clase empieza el miércoles.
week	la semana	Esta semana está ocupada.
weekend	el fin de semana	El fin de semana empieza mañana.
welcome	bienvenido; bienvenida; recibir	Bienvenido a nuestra clase.
well	bien	Ella canta bien.
west	el oeste	El sol se pone en el oeste.
what	qué	¿Qué es esto?
when	cuándo	¿Cuándo estudias?
where	dónde	¿Dónde está la estación?
which	cuál; qué	¿Qué bolsa es tuya?
white	blanco; blanca	La pared es blanca.
who	quién	¿Quién es este?
why	por qué	¿Por qué llegas tarde?
wife	la esposa	Su esposa es profesora.
will modal	marcador de futuro con will; va a	Te voy a ayudar.
win	ganar	Nuestro equipo puede ganar.
window	la ventana	Abre la ventana.
wine	el vino	Este vino es tinto.
winter	el invierno	El invierno es frío aquí.
with	con	Ven conmigo.
without	sin	El té sin azúcar está bien.
woman	la mujer	La mujer lee un libro.
wonderful	maravilloso; maravillosa	La vista es maravillosa.
word	la palabra	Escribe una palabra.
work	trabajar; el trabajo	Trabajo en casa.
worker	el trabajador; la trabajadora; el empleado	El empleado está ocupado.
world	el mundo	El mundo es grande.
would modal	condicional con would; quisiera	Quisiera té.
write	escribir	Escribe tu nombre.
writer	el escritor; la escritora	La escritora vive aquí.
writing	la escritura; la letra	Su letra es clara.
wrong	incorrecto; equivocado	Esta respuesta es incorrecta.
