hsk_key	source_word	simplified	PT-BR	example_PT-BR	ES-419	example_ES-419
1004:安检	安检	安检	o controlo de segurança	Antes de entrar na estação, todos os passageiros têm de passar pelo controlo de segurança.	el control de seguridad	Antes de entrar en la estación, todos los pasajeros deben pasar el control de seguridad.
1006:按	按	按	premir; de acordo com	Prima o botão verde para abrir a porta.	oprimir; pulsar; según	Pulsa el botón verde para abrir la puerta.
1009:白酒	白酒	白酒	o baijiu; a aguardente chinesa	Ele não bebe baijiu; só bebe chá.	el baijiu; el licor chino	Él no bebe baijiu; solo toma té.
1010:办公	办公	办公	trabalhar; fazer trabalho de escritório	Ela trabalha a partir de casa hoje.	trabajar; hacer trabajo de oficina	Ella trabaja desde casa hoy.
1012:办事	办事	办事	tratar de assuntos; fazer diligências	Vou ao banco esta tarde tratar de uns assuntos.	hacer trámites; ocuparse de asuntos	Voy al banco esta tarde para hacer unos trámites.
1017:报考	报考	报考	inscrever-se num exame	Ele está a preparar-se para se inscrever no exame de chinês.	inscribirse a un examen; solicitar presentarse a un examen	Él se está preparando para inscribirse al examen de chino.
1021:背包	背包	背包	a mochila	A minha mochila está junto à porta.	la mochila	Mi mochila está junto a la puerta.
1022:北部	北部	北部	a parte norte; o norte	Há uma montanha na parte norte desta cidade.	la parte norte; el norte	Hay una montaña en la parte norte de esta ciudad.
1028:笔试	笔试	笔试	a prova escrita	Amanhã de manhã há uma prova escrita.	el examen escrito	Mañana por la mañana hay un examen escrito.
1030:毕业生	毕业生	毕业生	o diplomado; o recém-formado	Muitos recém-formados estão à procura de trabalho.	el graduado; la graduada	Muchos graduados están buscando trabajo.
1033:表	表	表	o formulário; a tabela; o relógio	Por favor, acaba de preencher este formulário.	el formulario; la tabla; el reloj	Termina de rellenar este formulario, por favor.
1039:并	并	并	na verdade; também; e	Na verdade, não me sinto cansado.	realmente; además; y	En realidad no me siento cansado.
1043:不必	不必	不必	não ser preciso; não ser necessário	Não precisas de responder agora.	no hace falta; no es necesario	No hace falta que respondas ahora.
1044:不便	不便	不便	inconveniente; pouco prático	É pouco prático estacionar aqui.	inconveniente; poco cómodo	Es incómodo aparcar aquí.
1046:不够	不够	不够	não ser suficiente	Estas cadeiras não chegam para todos se sentarem.	no ser suficiente	Estas sillas no alcanzan para que todos se sienten.
1048:不论	不论	不论	independentemente de; não importa	Independentemente do tempo, vamos partir.	no importa; independientemente de	No importa cómo esté el tiempo, saldremos.
1049:步	步	步	o passo	Ele deu um passo em frente.	el paso	Él dio un paso hacia adelante.
1050:部	部	部	classificador para filmes e livros; departamento	Este filme é muito interessante.	clasificador para películas y libros; departamento	Esta película es muy interesante.
1054:不光	不光	不光	não só; não apenas	Não só as crianças, mas também os adultos gostam deste jogo.	no solo	No solo a los niños, también a los adultos les gusta este juego.
1056:不满	不满	不满	insatisfeito; descontente	Ele está muito insatisfeito com este resultado.	insatisfecho; descontento	Él está muy descontento con este resultado.
1063:参赛	参赛	参赛	participar numa competição	Cinco pessoas da nossa turma participam na competição.	participar en una competición	Cinco personas de nuestra clase participan en la competición.
1067:查看	查看	查看	verificar; consultar	O professor está a verificar a lista dos alunos.	revisar; consultar	El profesor está revisando la lista de estudiantes.
1068:茶叶	茶叶	茶叶	as folhas de chá	As folhas de chá desta loja são muito frescas.	las hojas de té	Las hojas de té de esta tienda son muy frescas.
