simplified	JA	example_JA	KO	example_KO	VI	example_VI
吧	提案・勧誘の助詞; 〜しよう	行きましょう。	제안 어기조사; 하자	같이 가요.	trợ từ gợi ý; nhé; nào	Đi thôi.
白	白い	この服は白いです。	희다; 하얗다	이 옷은 하얘요.	trắng	Bộ quần áo này màu trắng.
百	百	この携帯電話は百元です。	백	이 휴대전화는 백 위안이에요.	một trăm	Chiếc điện thoại này giá một trăm nhân dân tệ.
帮助	助ける; 手伝う	助けてください。	돕다; 도움	저를 도와주세요.	giúp; sự giúp đỡ	Xin hãy giúp tôi.
报纸	新聞	父は新聞を読みます。	신문	아빠는 신문을 읽어요.	báo	Bố đọc báo.
比	〜より; 比べる	今日は昨日より暑いです。	~보다; 비교하다	오늘은 어제보다 더워요.	hơn; so sánh	Hôm nay nóng hơn hôm qua.
别	〜しないで; 別の	行かないでください。	하지 마; 다른	가지 마세요.	đừng; khác	Đừng đi.
长	長い	この道は長いです。	길다	이 길은 길어요.	dài	Con đường này dài.
唱歌	歌う	妹は歌うのが好きです。	노래하다	여동생은 노래하는 것을 좋아해요.	hát	Em gái thích hát.
出	出る; 出てくる	彼は出て行きました。	나가다; 나오다	그는 나갔어요.	ra; đi ra	Anh ấy đã đi ra ngoài.
穿	着る; 身につける	私は白い服を着ています。	입다; 신다	저는 흰 옷을 입고 있어요.	mặc; mang	Tôi mặc quần áo trắng.
船	船; ボート	船は水の上に浮かんでいます。	배	배가 물 위에 떠 있어요.	thuyền; tàu	Thuyền ở trên mặt nước.
次	回; 度	私は北京へ一度行ったことがあります。	번; 차례	저는 베이징에 한 번 가 본 적이 있어요.	lần	Tôi đã từng đến Bắc Kinh một lần.
从	〜から	私は家から学校へ行きます。	~에서; ~부터	저는 집에서 학교에 가요.	từ; kể từ	Tôi đi từ nhà đến trường.
错	間違った; 間違い	間違っています。	틀리다; 잘못	틀렸어요.	sai; lỗi	Bạn sai rồi.
打篮球	バスケットボールをする	兄はバスケットボールをしています。	농구하다	형은 농구를 하고 있어요.	chơi bóng rổ	Anh trai đang chơi bóng rổ.
大家	みんな; 全員	みんな来ました。	모두; 여러분	모두 왔어요.	mọi người; tất cả	Mọi người đều đã đến.
但是	しかし; でも	私はとても忙しいですが、とてもうれしいです。	하지만; 그러나	저는 바쁘지만 아주 기뻐요.	nhưng; tuy nhiên	Tôi rất bận, nhưng rất vui.
到	着く; 到着する	私は学校に着きました。	도착하다; 이르다	저는 학교에 도착했어요.	đến; tới	Tôi đã đến trường.
得	程度補語の助詞	彼は走るのがとても速いです。	정도보어 조사	그는 아주 빨리 달려요.	trợ từ bổ ngữ mức độ	Anh ấy chạy rất nhanh.
等	待つ	待っています。	기다리다	기다릴게요.	đợi; chờ	Tôi đợi bạn.
弟弟	弟	弟は家にいます。	남동생	남동생은 집에 있어요.	em trai	Em trai ở nhà.
第一	第一; 一番目	彼は一番です。	첫째; 제일	그는 첫 번째예요.	thứ nhất; đầu tiên	Anh ấy là người thứ nhất.
懂	分かる; 理解する	分かりました。	이해하다; 알다	이제 이해했어요.	hiểu	Bây giờ tôi hiểu rồi.
对	正しい; 〜に向かって	言ったことは正しいです。	맞다; 향하다	네 말이 맞아요.	đúng; đối với	Bạn nói đúng.
房间	部屋	この部屋は大きいです。	방	이 방은 커요.	phòng	Căn phòng này lớn.
非常	とても; 非常に	今日はとても寒いです。	매우; 아주	오늘은 매우 추워요.	rất; vô cùng	Hôm nay rất lạnh.
服务员	店員; ウェイター	店員はレストランにいます。	종업원; 직원	종업원은 식당에 있어요.	nhân viên phục vụ; bồi bàn	Nhân viên phục vụ ở nhà hàng.
高	高い; 背が高い	彼は背が高いです。	높다; 키가 크다	그는 키가 커요.	cao	Anh ấy cao.
