simplified	TR	example_TR
哎	hey; aa	Hey, sen buraya nasıl geldin?
唉	of; ah	Of, yine geç kaldım.
爱护	korumak; özen göstermek	Çevreyi korumalıyız.
爱惜	değer vermek; kıymetini bilmek	Lütfen kendi zamanının kıymetini bil.
爱心	şefkat; sevgi dolu yürek	O çok şefkatli biridir.
安慰	teselli etmek	Arkadaşım beni teselli etti.
安装	kurmak; monte etmek	İşçi klimayı kuruyor.
岸	kıyı; sahil	Tekne yavaş yavaş kıyıya yaklaşıyor.
暗	karanlık; loş	Oda çok karanlık.
熬夜	geç saatlere kadar ayakta kalmak	Geç saatlere kadar ayakta kalmak sağlığa iyi gelmez.
把握	emin olmak; kavramak	Bu işi iyi yapabileceğimden emin değilim.
摆	düzenlemek; yerleştirmek	Lütfen sandalyeleri düzgün yerleştirin.
办理	işlem yapmak; halletmek	Bankaya işimi halletmeye gidiyorum.
傍晚	akşamüstü	Akşamüstü yürüyüşe çıkacağız.
包裹	paket; koli	Bir paket aldım.
包含	içermek	Fiyata kahvaltı dahildir.
包括	kapsamak; dahil olmak	Ücrete öğle yemeği dahildir.
薄	ince	Bu kitap çok ince.
保持	korumak; sürdürmek	Lütfen sessizliği koruyun.
保存	kaydetmek; saklamak	Lütfen bu dosyayı kaydedin.
保留	ayırmak; korumak	Lütfen bana bir koltuk ayırın.
保险	sigorta	Seyahat sigortası satın aldım.
宝贝	hazine; değerli şey	Bu benim hazinem.
宝贵	değerli; kıymetli	Zaman çok değerlidir.
报到	kayıt yaptırmak; giriş yapmak	Yeni öğrenciler bugün okula kayıt yaptırmaya geliyor.
报道	haber yapmak; haber	Haberler bu olayı bildirdi.
报告	rapor; sunum yapmak	O bir rapor sunuyor.
报社	gazete bürosu; gazete merkezi	O bir gazetede çalışıyor.
抱怨	şikayet etmek	O hep işin çokluğundan şikayet eder.
悲观	kötümser	Bu kadar kötümser olma.
背	sırt; arkasını dönmek	Kapıya sırtı dönük oturuyor.
背景	arka plan; geçmiş	Lütfen kısaca geçmişinden bahset.
被子	yorgan	Yorgan çok sıcak tutuyor.
本科	lisans; lisans öğrencisi	O lisans öğrencisi.
本领	beceri; yetenek	Yeni bir beceri öğrendi.
本质	öz; mahiyet	Sorunun özü çok basit.
彼此	birbirimiz; birbirleri	Birbirimize saygı duymalıyız.
比例	oran	Kadın erkek oranı hemen hemen aynı.
必然	kaçınılmaz; kesin	Çaba kaçınılmaz olarak sonuç getirir.
必要	gerekli; zorunlu	Endişelenmeye gerek yok.
毕竟	sonuçta; ne de olsa	Ne de olsa o hâlâ bir çocuk.
避免	kaçınmak; önlemek	Lütfen geç kalmaktan kaçının.
编辑	düzenlemek; editör	Bu makaleyi düzenlemekten o sorumlu.
鞭炮	havai fişek; çatapat	Bahar Bayramı'nda bazıları çatapat patlatır.
便	hemen; böylece	Yemeğini bitirince derse gitti.
辩论	tartışmak; münazara etmek	Bu konuyu tartışıyorlar.
标点	noktalama işareti	Lütfen noktalama işaretlerine dikkat edin.
标志	işaret; sembol	Kırmızı ışık durma işaretidir.
