source_headword	LT	example_LT
hunt	ieškoti	Jie rudenį ieško grybų.
hurricane	uraganas	Uraganas apgadino daug namų.
hurry	skubėjimas	Šiandien nėra jokio skubėjimo.
identity	tapatybė	Jos tapatybė liko paslaptyje.
ignore	ignoruoti	Neignoruok šio įspėjimo.
illegal	neteisėtas	Čia statyti automobilį neteisėta.
imaginary	įsivaizduojamas	Istorijoje yra įsivaizduojama sala.
immediate	skubus	Mums reikia skubaus atsakymo.
immigrant	imigrantas	Imigrantas greitai išmoko anglų kalbą.
impact	poveikis	Naujiena turėjo stiprų poveikį.
import	importuoti	Šalis importuos daugiau ryžių.
importance	svarba	Ji suprato miego svarbą.
impression	įspūdis	Pirmas jo įspūdis buvo teigiamas.
impressive	įspūdingas	Muziejus turi įspūdingą įėjimą.
improvement	pagerėjimas	Šį mėnesį buvo aiškus pagerėjimas.
incredibly	neįtikėtinai	Testas buvo neįtikėtinai sunkus.
indeed	iš tiesų	Tai iš tiesų buvo keista diena.
indicate	nurodyti	Ženklas nurodys išėjimą.
indirect	netiesioginis	Ji davė netiesioginį atsakymą.
indoor	vidaus	Viešbutyje yra vidaus baseinas.
indoors	viduje	Per audrą likome viduje.
influence	įtaka	Jo mokytojas turėjo stiprią įtaką.
ingredient	ingredientas	Miltai yra pagrindinis ingredientas.
injure	sužeisti	Nesusižeisk nugaros.
injured	sužeistas	Sužeistas žaidėjas paliko aikštę.
innocent	nekaltas	Vaikas atrodė visiškai nekaltas.
intelligence	intelektas	Ji parodė didelį intelektą klasėje.
intend	ketinti	Ketinu studijuoti užsienyje.
intention	ketinimas	Jo ketinimas buvo padėti.
invest	investuoti	Jie investuoja pinigus į švietimą.
investigate	tirti	Policija tirs avariją.
involved	įtrauktas	Buvo įtraukti keli mokiniai.
iron	geležis	Vartai pagaminti iš geležies.
issue	problema	Tai rimta problema.
IT	informacinės technologijos	Ji dirba informacinių technologijų srityje.
journal	dienoraštis	Jis rašo dienoraštį.
judge	teisėjas	Teisėjas atidžiai klausėsi.
keen	norintis	Ji labai nori mokytis.
keyboard	klaviatūra	Mano klaviatūra nustojo veikti.
kick	spirti	Spirk kamuolį švelniai.
killing	nužudymas	Nužudymas sukrėtė kaimą.
kind (caring)	malonus	Tai buvo malonus gestas.
kiss	bučinys	Ji pabučiavo kūdikį.
label	etiketė	Prieš naudodamas perskaityk etiketę.
laboratory	laboratorija	Laboratorija šiandien uždaryta.
lack	trūkumas	Miego trūkumas kenkia atminčiai.
latest	naujausias	Ar perskaitei naujausią ataskaitą?
lay	padėti	Padėk knygą ant stalo.
layer	sluoksnis	Pridėk dar vieną dažų sluoksnį.
leading	pirmaujantis	Ji yra pirmaujanti mokslininkė.
leaf	lapas	Lapas nukrito ant mano palto.
leather	oda	Jo krepšys pagamintas iš odos.
legal	teisinis	Mums reikia teisinės konsultacijos.
leisure	laisvalaikis	Skaitymas yra mano mėgstamiausia laisvalaikio veikla.
length	ilgis	Išmatuok kambario ilgį.
lie2 (tell a lie)	meluoti	Nemeluok savo tėvams.
limit	riba	Greičio riba yra penkiasdešimt.
lip	lūpa	Ji įsikando lūpą.
liquid	skystis	Vanduo yra skaidrus skystis.
literature	literatūra	Ji studijuoja prancūzų literatūrą.
live2	gyvai	Grupė vakar vakare grojo gyvai.
living	gyvas	Gyviems augalams reikia šviesos.
locate	rasti	Ar gali rasti failą?
located	įsikūręs	Biuras įsikūręs centre.
location	vieta	Tai gera vieta.
lonely	vienišas	Po persikraustymo jis jautėsi vienišas.
loss	praradimas	Praradimas visiems buvo sunkus.
luxury	prabanga	Viešbutis siūlo tikrą prabangą.
mad	supykęs	Ji buvo supykusi dėl vėlavimo.
magic	magija	Pasirodymas buvo pilnas magijos.
mainly	daugiausia	Grupę daugiausia sudaro studentai.
mall	prekybos centras	Susitikome prekybos centre.
management	valdymas	Geras valdymas taupo laiką.
marketing	rinkodara	Rinkodara padeda parduoti produktą.
marriage	santuoka	Jų santuoka truko trisdešimt metų.
meanwhile	tuo tarpu	Tuo tarpu pagaminau vakarienę.
measure	matuoti	Atsargiai išmatuok stalą.
medium	vidutinis	Užsisakiau vidutinę picą.
