hsk_key	source_word	simplified	JA	example_JA	KO	example_KO	VI	example_VI	TH	example_TH	MS	example_MS	ID	example_ID
3606:白白	白白	白白	むだに; ただで	彼はむだに1時間待った。	헛되이; 공연히	그는 한 시간을 헛되이 기다렸다.	vô ích; uổng công	Anh ấy đợi một tiếng vô ích.	เปล่าประโยชน์; เสียเปล่า	เขารออยู่หนึ่งชั่วโมงโดยเปล่าประโยชน์	sia-sia	Dia menunggu selama sejam dengan sia-sia.	sia-sia	Dia menunggu selama satu jam dengan sia-sia.
3607:白领	白领	白领	ホワイトカラー; 事務職	この都市には若いホワイトカラーが多い。	사무직 근로자; 화이트칼라	이 도시에는 젊은 사무직 근로자가 많다.	nhân viên văn phòng; lao động cổ trắng	Thành phố này có nhiều nhân viên văn phòng trẻ.	พนักงานออฟฟิศ; คนทำงานคอปกขาว	เมืองนี้มีพนักงานออฟฟิศหนุ่มสาวจำนวนมาก	pekerja kolar putih; pekerja pejabat	Bandar ini mempunyai ramai pekerja kolar putih muda.	pekerja kerah putih; pekerja kantoran	Kota ini memiliki banyak pekerja kerah putih muda.
3609:摆放	摆放	摆放	並べる; 配置する	資料を机の上にきちんと並べてください。	놓다; 배열하다	자료를 책상 위에 가지런히 놓아 주세요.	sắp xếp; đặt	Vui lòng sắp xếp tài liệu gọn gàng trên bàn.	จัดวาง	กรุณาจัดวางเอกสารบนโต๊ะให้เรียบร้อย	menyusun; meletakkan	Sila susun bahan itu dengan kemas di atas meja.	menata; meletakkan	Tolong tata bahan-bahan itu dengan rapi di atas meja.
3610:百分点	百分点	百分点	パーセントポイント	失業率は2パーセントポイント下がった。	퍼센트포인트	실업률이 이 퍼센트포인트 하락했다.	điểm phần trăm	Tỷ lệ thất nghiệp giảm hai điểm phần trăm.	จุดเปอร์เซ็นต์	อัตราการว่างงานลดลงสองจุดเปอร์เซ็นต์	mata peratusan	Kadar pengangguran turun sebanyak dua mata peratusan.	poin persentase	Tingkat pengangguran turun dua poin persentase.
3611:百货	百货	百货	百貨; 日用品	このデパートは週末とても混む。	백화점 상품; 잡화	이 백화점은 주말에 사람이 매우 많다.	hàng bách hóa; hàng tổng hợp	Cửa hàng bách hóa này rất đông vào cuối tuần.	สินค้าในห้าง; สินค้าเบ็ดเตล็ด	ห้างสรรพสินค้าแห่งนี้คนแน่นมากในวันหยุดสุดสัปดาห์	barangan serbaneka	Gedung serbaneka ini sangat sesak pada hujung minggu.	barang serba ada	Toko serba ada ini sangat ramai pada akhir pekan.
3613:败	败	败	負ける; 敗れる	私たちのチームは最後に1点差で負けた。	지다; 패배하다	우리 팀은 결국 한 점 차이로 졌다.	thua; thất bại	Đội chúng tôi cuối cùng thua cách biệt một điểm.	แพ้; พ่ายแพ้	ทีมของเราแพ้ไปในที่สุดด้วยคะแนนต่างกันหนึ่งแต้ม	kalah; tewas	Pasukan kami akhirnya kalah dengan beza satu mata.	kalah; dikalahkan	Tim kami akhirnya kalah dengan selisih satu poin.
3616:版	版	版	版; バージョン	この本は新版が出た。	판; 버전	이 책은 새 판이 나왔다.	phiên bản; bản in	Cuốn sách này đã ra phiên bản mới.	ฉบับ; เวอร์ชัน	หนังสือเล่มนี้ออกฉบับใหม่แล้ว	edisi; versi	Buku ini telah keluar edisi baharu.	edisi; versi	Buku ini telah terbit edisi baru.
3621:棒球	棒球	棒球	野球	子どもたちは公園で野球をしている。	야구	아이들이 공원에서 야구를 하고 있다.	bóng chày	Bọn trẻ đang chơi bóng chày trong công viên.	เบสบอล	เด็กๆ กำลังเล่นเบสบอลในสวนสาธารณะ	besbol	Kanak-kanak sedang bermain besbol di taman.	bisbol	Anak-anak sedang bermain bisbol di taman.
3623:保健	保健	保健	健康管理; 保健	高齢者はますます健康管理を重視している。	건강 관리; 보건	노인들은 건강 관리에 점점 더 신경을 쓴다.	chăm sóc sức khỏe; giữ gìn sức khỏe	Người cao tuổi ngày càng chú trọng chăm sóc sức khỏe.	การดูแลสุขภาพ; การรักษาสุขภาพ	ผู้สูงอายุให้ความสำคัญกับการดูแลสุขภาพมากขึ้นเรื่อยๆ	penjagaan kesihatan	Orang tua semakin mementingkan penjagaan kesihatan.	perawatan kesehatan; pemeliharaan kesehatan	Orang tua semakin memperhatikan perawatan kesehatan.
3624:保暖	保暖	保暖	暖かくする; 保温する	冬に外出するときは暖かくするよう注意しなさい。	따뜻하게 하다; 보온하다	겨울에 외출할 때는 몸을 따뜻하게 해야 한다.	giữ ấm	Khi ra ngoài vào mùa đông, cần chú ý giữ ấm.	รักษาความอบอุ่น	เวลาออกไปข้างนอกในฤดูหนาวต้องระวังเรื่องการรักษาความอบอุ่น	menjaga badan agar hangat	Apabila keluar pada musim sejuk, perlu menjaga badan agar hangat.	menjaga agar tetap hangat	Saat keluar pada musim dingin, perlu menjaga tubuh agar tetap hangat.
