source_headword	PL	example_PL
strengthen	wzmocnić	Nowa polityka wzmocni bezpieczeństwo w internecie.
strictly	surowo	Bilety są surowo ograniczone do dwóch na osobę.
striking	uderzający	Obraz ma uderzające kolory.
stroke	pociągnięcie	Namalowała jedno pociągnięcie na papierze.
stunning	oszałamiający	Widok na góry był oszałamiający.
subsequent	kolejny	Kolejne spotkanie potwierdziło budżet.
subsequently	następnie	Droga została zamknięta; następnie ruch odbywał się powoli.
suburb	przedmieście	Oni mieszkają na spokojnym przedmieściu.
suffering	cierpienie	Lekarstwo zmniejszyło jego cierpienie.
sufficient	wystarczający	Zespół ma wystarczająco dużo czasu.
sufficiently	wystarczająco	Pokój jest wystarczająco ciepły.
super	super	Nowy tablet jest super szybki.
surgeon	chirurg	Chirurg zoperował uszkodzone kolano.
survival	przetrwanie	Czysta woda jest niezbędna do przetrwania.
survivor	ocalały	Ocalały opisał powódź.
suspend	zawiesić	Szkoła może zawiesić wycieczkę.
sustainable	zrównoważony	Gospodarstwo stosuje zrównoważone metody.
swallow	połykać	Połknij tabletkę popijając wodą.
sympathetic	współczujący	Menedżer był współczujący wobec jej problemu.
tackle	uporać się z	Musimy uporać się z problemem mieszkaniowym.
tag	metka	Torba miała metkę z ceną.
tap	kran	Ona zakręciła kran.
technological	technologiczny	Zmiana technologiczna wpływa na każde miejsce pracy.
teens	nastolatki	Wiele nastolatków codziennie korzysta z mediów społecznościowych.
temple	świątynia	Świątynia stała w pobliżu rzeki.
temporarily	tymczasowo	Biuro jest tymczasowo zamknięte.
tendency	tendencja	On ma tendencję do spóźniania się.
tension	napięcie	Napięcie wzrosło podczas dyskusji.
terms	warunki	Warunki umowy były jasne.
terribly	strasznie	Dziecko było strasznie zdenerwowane.
terrify	przerażać	Głośne dźwięki przerażają psa.
territory	terytorium	Mapa pokazuje nowe terytorium.
terror	terror	Terror rozprzestrzenił się po ataku.
terrorism	terroryzm	Terroryzm zagraża bezpieczeństwu publicznemu.
terrorist	terrorysta	Policja aresztowała wczoraj terrorystę.
testing	testowanie	Testowanie produktu rozpoczyna się w poniedziałek.
textbook	podręcznik	Zapomniała podręcznika do biologii.
theft	kradzież	Kradzieże wzrosły w okolicy.
therapist	terapeuta	Terapeuta pomógł mu poradzić sobie z lękiem.
thesis	praca dyplomowa	Jej praca dyplomowa bada naukę online.
thorough	gruntowny	Gruntowny przegląd nie wykazał błędów.
thoroughly	dokładnie	Dokładnie oczyść ranę.
thumb	kciuk	Podniósł kciuk na znak aprobaty.
timing	wyczucie czasu	Wyczucie czasu dla tego telefonu było idealne.
tissue	chusteczka	Wytarła szklankę chusteczką.
ton	tona	Ciężarówka przewiozła jedną tonę piasku.
tonne	tona	Przesyłka ważyła jedną tonę.
tournament	turniej	Turniej tenisowy zaczyna się jutro.
trace	wyśledzić	Naukowcy potrafią wyśledzić źródło wirusa.
trading	handel	Handel akcjami został wstrzymany w południe.
tragedy	tragedia	Ten wypadek był straszną tragedią.
tragic	tragiczny	Wypadek miał tragiczne konsekwencje.
trait	cecha	Cierpliwość jest użyteczną cechą.
transmit	przenosić	Komary mogą przenosić choroby.
transportation	transport	Transport publiczny jest dzisiaj zatłoczony.
trap	uwięzić	Pudełko może bezpiecznie uwięzić owady.
treasure	skarb	Stara skrzynia kryła skarb.
tribe	plemię	Plemię chroniło swoje tradycje.
trigger	uruchomić	Dym może uruchomić alarm.
trillion	bilion	Dług osiągnął jeden bilion dolarów.
troop	oddział	Oddział ruszył w stronę granicy.
tsunami	tsunami	Tsunami zniszczyło nadmorskie domy.
ultimate	ostateczny	Ostatecznym celem jest pokój.
unacceptable	nie do przyjęcia	Opóźnienie było nie do przyjęcia dla pasażerów.
uncertainty	niepewność	Niepewność sprawiła, że inwestorzy byli nerwowi.
undergo	poddać się	Pacjent przejdzie jutro operację.
undertake	podjąć	Zespół podejmie się przeprowadzenia ankiety.
unfold	rozwijać się	Dramat zaczął się powoli rozwijać.
unfortunate	niefortunny	Błąd był niefortunny, ale możliwy do naprawienia.
