source_headword	LT	example_LT
rock (music)	roko muzika	Man patinka roko muzika.
role	vaidmuo	Jos vaidmuo yra svarbus.
roof	stogas	Stogą reikia pataisyti.
round	apvalus	Stalas yra apvalus.
route	maršrutas	Šis maršrutas trumpesnis.
rubbish	šiukšlės	Išnešk šiukšles lauk.
rude	nemandagus	Ta pastaba buvo nemandagi.
runner	bėgikas	Bėgikas atrodo pavargęs.
running	bėgimas	Bėgimas padeda man išlikti sveikam.
sadly	deja	Deja, mes praleidome traukinį.
safe	saugus	Ši gatvė atrodo saugi.
sail	buriuoti	Šeštadienį buriuosime.
sailing	buriavimas	Buriavimas čia populiarus.
salary	alga	Jo alga dabar didesnė.
sale	išpardavimas	Išpardavimas prasideda rytoj.
sauce	padažas	Įdėk padažo prie ryžių.
save	išsaugoti; išgelbėti	Išsaugok savo darbą dabar.
scared	išsigandęs	Vaikas išsigandęs.
scary	baisus	Ši istorija baisi.
scene	scena	Paskutinė scena buvo juokinga.
schedule	tvarkaraštis	Šiandien patikrink tvarkaraštį.
score	rezultatas	Koks rezultatas?
screen	ekranas	Atsargiai nuvalyk ekraną.
search	ieškoti	Ieškok nuotraukų internete.
season	sezonas	Vasara yra užimtas sezonas.
seat	vieta	Prašau, užimk šią vietą.
second1 (next after the first)	antras	Antra, nusiplauk rankas.
secondly	antra	Antra, patikrink atsakymą.
secret	paslaptis	Saugok šią paslaptį.
secretary	sekretorius; sekretorė	Sekretorė šiandien paskambino.
seem	atrodyti	Tu atrodai pavargęs.
sense	prasmė	Šis planas turi prasmę.
separate	atskiras	Laikyk popierius atskirai.
series	serialas; serija	Šis serialas populiarus.
serious	rimtas	Ši problema rimta.
serve	patiekti	Pietus patiekia vidurdienį.
service	paslauga	Paslauga buvo greita.
several	keletas	Keletas mokinių atėjo anksti.
shake	papurtyti	Pirmiausia papurtyk butelį.
shall modal	ar turėtume	Ar turėtume pradėti dabar?
shape	forma	Nupiešk kvadratinę formą.
sheet	paklodė	Padėk paklodę ant lovos.
ship	laivas	Laivas šiandien išplaukė.
shoulder	petys	Man skauda petį.
shout	šaukti	Nešauk klasėje.
shut	uždaryti	Prašau, uždaryk langą.
side	pusė	Sėskis į šią pusę.
sign	ženklas	Atidžiai perskaityk ženklą.
silver	sidabras	Sidabras yra šviesus metalas.
simple	paprastas	Šis pratimas paprastas.
since	nuo	Laukiu nuo vidurdienio.
singing	dainavimas	Dainavimas padeda man atsipalaiduoti.
single	vienas	Nusipirkau vieną bilietą.
sir	ponas	Pone, jūsų krepšys paruoštas.
site	svetainė	Ši svetainė saugi.
size	dydis	Kokio dydžio tau reikia?
ski	slidinėti	Žiemą slidinėjame.
skiing	slidinėjimas	Slidinėjimas žiemą smagus.
skin	oda	Jos oda sausa.
sky	dangus	Dangus giedras.
slowly	lėtai	Eik lėtai ant ledo.
smartphone	išmanusis telefonas	Mano išmanusis telefonas naujas.
smell	kvapas; kvepėti	Sriuba gerai kvepia.
smile	šypsena; nusišypsoti	Nusišypsok kamerai.
smoke	dūmai	Dūmai pripildė kambarį.
smoking	rūkymas	Rūkyti negalima.
soap	muilas	Naudok muilą ir vandenį.
soccer	futbolas	Futbolas čia populiarus.
social	socialus	Tai socialus renginys.
society	visuomenė	Visuomenė laikui bėgant keičiasi.
sock	kojinė	Viena kojinė dingo.
soft	minkštas	Ši antklodė minkšta.
soldier	kareivis	Kareivis grįžo namo.
solution	sprendimas	Radome sprendimą.
solve	išspręsti	Išspręsk šią mįslę.
somewhere	kažkur	Padėk tai kažkur saugiai.
sort	rūšis	Kokios rūšies nori?
source	šaltinis	Pirmiausia patikrink šaltinį.
speaker	kalbėtojas; garsiakalbis	Garsiakalbis buvo garsus.
specific	konkretus	Man reikia konkretaus atsakymo.
speech	kalba	Jos kalba buvo trumpa.
speed	greitis	Čia sumažink greitį.
spider	voras	Ant sienos yra voras.
spoon	šaukštas	Sriubai naudok šaukštą.
square	kvadratinis	Nupiešk kvadratinę dėžę.
stage	scena	Grupė yra scenoje.
stair	laiptelis	Laiptelis sulūžęs.
stamp	pašto ženklas	Užklijuok pašto ženklą ant laiško.
state	pareiškti	Aiškiai pasakyk savo vardą.
steal	pavogti	Nevok pinigų.
step	žingsnis	Ženk vieną žingsnį į priekį.
stomach	skrandis	Man skauda skrandį.
stone	akmuo	Akmuo sunkus.
store	parduotuvė	Parduotuvė užsidaro anksti.
storm	audra	Artėja audra.
straight	tiesiai	Eik tiesiai namo.
strange	keistas	Tas garsas keistas.
strategy	strategija	Mums reikia strategijos.
stress	stresas	Darbas gali sukelti stresą.
structure	struktūra	Ši struktūra tvirta.
stupid	kvailas	Tai buvo kvaila klaida.
succeed	pasisekti	Čia gali pasisekti.
successful	sėkmingas	Ji tapo sėkminga.
such	toks	Tokia pagalba naudinga.
suddenly	staiga	Staiga šuo pabėgo.
suggest	siūlyti	Siūlau trumpą pertrauką.
suggestion	pasiūlymas	Tavo pasiūlymas naudingas.
suit	kostiumas	Šis kostiumas brangus.
support	palaikyti	Palaikome savo komandą.
suppose	manyti	Manau, kad tu teisus.
surprise	staigmena	Staigmena ją pradžiugino.
surprised	nustebęs	Šiandien ji buvo nustebusi.
surprising	stebinantis	Rezultatas buvo stebinantis.
survey	apklausa	Prašau, užpildyk apklausą.
sweet	saldus	Ši arbata saldi.
symbol	simbolis	Šis simbolis reiškia pavojų.
system	sistema	Sistema gerai veikia.
tablet	planšetė	Mano planšetė yra ant stalo.
target	taikinys	Atsargiai pataikyk į taikinį.
task	užduotis	Ši užduotis lengva.
taste	skonis; paragauti	Pirmiausia paragauk sriubos.
teaching	mokymas	Mokymas yra sunkus darbas.
technology	technologija	Technologija greitai keičiasi.
teenage	paaugliškas	Mano paauglys brolis stropiai mokosi.
temperature	temperatūra	Temperatūra žema.
term	terminas; semestras	Šis semestras greitai baigsis.
themselves	jie patys	Jie patys pagamino vakarienę.
thick	storas	Ši knyga stora.
thief	vagis	Vagis pabėgo.
thin	plonas	Popierius plonas.
thinking	mąstymas	Mąstymas reikalauja laiko.
thought	mintis	Man kilo keista mintis.
throw	mesti	Švelniai mesk kamuolį.
tidy	tvarkingas	Laikyk savo kambarį tvarkingą.
tie	surišti	Dabar užsirišk batus.
tip	patarimas; arbatpinigiai	Palik arbatpinigių už paslaugą.
tool	įrankis	Naudok tinkamą įrankį.
top	viršus; viršutinė dalis	Viršutinė lentyna pilna.
touch	paliesti	Neliesk stiklo.
tour	ekskursija	Ėjome į miesto ekskursiją.
tourism	turizmas	Turizmas padeda šiam miestui.
