hsk_key	source_word	simplified	TE	example_TE	KN	example_KN
1004:安检	安检	安检	భద్రతా తనిఖీ	స్టేషన్‌లోకి వెళ్లే ముందు ప్రయాణికులందరూ భద్రతా తనిఖీ చేయించుకోవాలి.	ಭದ್ರತಾ ತಪಾಸಣೆ	ನಿಲ್ದಾಣಕ್ಕೆ ಪ್ರವೇಶಿಸುವ ಮೊದಲು ಪ್ರಯಾಣಿಕರೆಲ್ಲರೂ ಭದ್ರತಾ ತಪಾಸಣೆ ಮಾಡಿಸಿಕೊಳ್ಳಬೇಕು.
1006:按	按	按	నొక్కడం; ప్రకారం	దయచేసి తలుపు తెరవడానికి ఆకుపచ్చ బటన్‌ను నొక్కండి.	ಒತ್ತುವುದು; ಪ್ರಕಾರ	ದಯವಿಟ್ಟು ಬಾಗಿಲು ತೆರೆಯಲು ಹಸಿರು ಗುಂಡಿಯನ್ನು ಒತ್ತಿ.
1009:白酒	白酒	白酒	బైజ్యూ; చైనా మద్యం	అతను బైజ్యూ తాగడు, టీ మాత్రమే తాగుతాడు.	ಬೈಜಿಯು; ಚೀನೀ ಮದ್ಯ	ಅವನು ಬೈಜಿಯು ಕುಡಿಯುವುದಿಲ್ಲ, ಚಹಾ ಮಾತ್ರ ಕುಡಿಯುತ್ತಾನೆ.
1010:办公	办公	办公	కార్యాలయ పని చేయడం	ఆమె ఈ రోజు ఇంటి నుంచే కార్యాలయ పని చేస్తోంది.	ಕಚೇರಿ ಕೆಲಸ ಮಾಡುವುದು	ಅವಳು ಇಂದು ಮನೆಯಿಂದಲೇ ಕಚೇರಿ ಕೆಲಸ ಮಾಡುತ್ತಿದ್ದಾಳೆ.
1012:办事	办事	办事	పనులు చూసుకోవడం	నేను ఈ మధ్యాహ్నం కొన్ని పనుల కోసం బ్యాంకుకు వెళ్తున్నాను.	ಕೆಲಸಗಳನ್ನು ನೋಡಿಕೊಳ್ಳುವುದು	ನಾನು ಇಂದು ಮಧ್ಯಾಹ್ನ ಕೆಲವು ಕೆಲಸಗಳಿಗಾಗಿ ಬ್ಯಾಂಕಿಗೆ ಹೋಗುತ್ತಿದ್ದೇನೆ.
1017:报考	报考	报考	పరీక్షకు దరఖాస్తు చేయడం	అతను చైనీస్ పరీక్షకు దరఖాస్తు చేయడానికి సిద్ధమవుతున్నాడు.	ಪರೀಕ್ಷೆಗೆ ಅರ್ಜಿ ಹಾಕುವುದು	ಅವನು ಚೀನೀ ಪರೀಕ್ಷೆಗೆ ಅರ್ಜಿ ಹಾಕಲು ಸಿದ್ಧವಾಗುತ್ತಿದ್ದಾನೆ.
1021:背包	背包	背包	బ్యాక్‌ప్యాక్	నా బ్యాక్‌ప్యాక్ తలుపు దగ్గర ఉంది.	ಬೆನ್ನಚೀಲ	ನನ್ನ ಬೆನ್ನಚೀಲ ಬಾಗಿಲಿನ ಬಳಿ ಇದೆ.
1022:北部	北部	北部	ఉత్తర భాగం	ఈ నగర ఉత్తర భాగంలో ఒక కొండ ఉంది.	ಉತ್ತರ ಭಾಗ	ಈ ನಗರದ ಉತ್ತರ ಭಾಗದಲ್ಲಿ ಒಂದು ಬೆಟ್ಟ ಇದೆ.
1028:笔试	笔试	笔试	లిఖిత పరీక్ష	రేపు ఉదయం ఒక లిఖిత పరీక్ష ఉంది.	ಲೇಖಿತ ಪರೀಕ್ಷೆ	ನಾಳೆ ಬೆಳಿಗ್ಗೆ ಒಂದು ಲೇಖಿತ ಪರೀಕ್ಷೆ ಇದೆ.
1030:毕业生	毕业生	毕业生	పట్టభద్రుడు	చాలా మంది పట్టభద్రులు ఉద్యోగం వెతుకుతున్నారు.	ಪದವೀಧರ	ಅನೇಕ ಪದವೀಧರರು ಕೆಲಸ ಹುಡುಕುತ್ತಿದ್ದಾರೆ.
