simplified	PT-BR	example_PT-BR
啊	a partícula modal de concordância ou confirmação	Tudo bem, vamos agora.
阿姨	a tia; a babá; a senhora mais velha	A tia trabalha no supermercado.
矮	baixo; de pouca altura	Esta mesa é um pouco baixa.
爱好	o hobby; o interesse	O meu hobby é ouvir música.
安静	calmo; silencioso	Na biblioteca há muito silêncio.
把	segurar; a partícula de objeto	Por favor, feche a porta.
搬	mudar de casa; deslocar	Mudamo-nos amanhã.
班	a turma; o grupo	Na nossa turma há vinte alunos.
办法	o método; a solução	Este método é muito bom.
办公室	o escritório; o gabinete	O gerente está no escritório.
半	meio; metade	Esperei meia hora.
帮忙	ajudar; dar uma ajuda	Você pode ajudar?
包	a mala; embrulhar; cobrir	Ela comprou uma mala nova.
饱	satisfeito; cheio	Já estou cheio.
北方	o norte	O inverno no norte é muito frio.
被	a partícula passiva; por	A minha bicicleta foi levada emprestada por um amigo.
鼻子	o nariz	O nariz dele está um pouco vermelho.
比较	comparar; bastante	Hoje está bastante calor.
比赛	o jogo; a competição	Este jogo é muito importante.
笔记本	o caderno; o bloco	Pus o caderno em cima da mesa.
必须	ter de; ser necessário	Você tem de rever com atenção.
变化	a mudança; mudar	Esta cidade mudou muito.
别人	os outros; outras pessoas	Não pegue nas coisas dos outros.
冰箱	a geladeira	A fruta está na geladeira.
不但…而且…	não só... mas também...	Ele não só é inteligente, como também trabalhador.
菜单	o menu	Por favor, me dê um menu.
参加	participar; tomar parte	Quero participar nesta reunião.
草	a grama; a erva	O cachorrinho corre na grama.
层	o andar; a camada	Este edifício tem três andares.
差	mau; fraco; diferir	Hoje o tempo está mau.
超市	o supermercado	Vou ao supermercado comprar pão.
衬衫	a camisa; a blusa	Esta camisa está muito limpa.
城市	a cidade	Pequim é uma cidade grande.
成绩	a nota; o resultado	As notas dele em matemática são muito boas.
迟到	chegar atrasado	Não chegue atrasado para a aula.
除了	além de; exceto	Além de café, também quero chá.
船	o barco; o navio	Vamos para aquela cidade de barco.
春	a primavera	Na primavera há muitas flores.
词典	o dicionário	Este dicionário é muito útil.
聪明	inteligente	Esta criança é muito inteligente.
打扫	limpar; varrer	Limpo o quarto no fim de semana.
打算	planejar; ter intenção	Que planos você tem para amanhã?
带	trazer; levar consigo	Por favor, traga o passaporte.
担心	preocupar-se; preocupado	Não se preocupe, eu ajudo você.
蛋糕	o bolo	Este bolo é muito doce.
当然	claro; naturalmente	Claro que pode.
地	a partícula adverbial	Ele sorriu felizmente.
灯	o candeeiro; a luz	Por favor, acenda a luz.
地方	o lugar; a zona	Este lugar é muito calmo.
地铁	o metrô	Todos os dias pego o metrô para ir trabalhar.
地图	o mapa	Procuro a escola no mapa.
电梯	o elevador	O elevador fica à esquerda.
电子邮件	o e-mail; o correio eletrônico	Envio um e-mail ao professor.
东	o leste; o este	O sol nasce a leste.
冬	o inverno	No inverno gosto de beber chá quente.
动物	o animal	O panda é um animal famoso na China.
短	curto	Estas calças estão curtas demais.
段	o parágrafo; a seção	Por favor, leia este parágrafo.
锻炼	fazer exercício; treinar	Faço exercício todas as manhãs.
多么	que; quanto	Que bom é o ambiente aqui!
饿	ter fome; com fome	Tenho fome e quero comer pão.
耳朵	a orelha; o ouvido	Estou com dor em um pouco o ouvido.
发	enviar; emitir	À noite envio emails.
发烧	ter febre	Ele tem febre e não pode ir à escola.
发现	descobrir; reparar	Descobri que este método é bom.
方便	conveniente; prático	É prático pegar o metrô.
放	pôr; colocar; soltar	Por favor, coloque o livro em cima da mesa.
放心	ficar descansado; não se preocupar	Não se preocupe, chego a horas.
分	dividir; distribuir	Por favor, divida o bolo entre todos.
复习	rever; estudar de novo	Preciso de rever antes do exame.
附近	perto; os arredores	Há um restaurante aqui perto.
干净	limpo; asseado	Este quarto está muito limpo.
感冒	resfriar-se; o resfriado	Estou resfriado e quero descansar.
感兴趣	estar interessado	Estou muito interessado em chinês.
刚才	há pouco; ainda agora	Quem ligou para você há pouco?
个子	a altura	Ele é alto.
根据	segundo; com base em	Segundo o mapa, a escola fica a leste.
跟	com; seguir	Vou ao parque com um amigo.
更	mais; ainda mais	Hoje está ainda mais frio do que ontem.
公斤	o quilograma	Estas maçãs pesam um quilograma.
公园	o parque	As crianças brincam no parque.
故事	a história; o conto	O avô conta-me uma história.
刮风	estar vento	Hoje está vento; não andes de bicicleta.
关	fechar; desligar	Por favor, feche a porta.
关系	a relação	Tenho uma boa relação com o meu colega.
关心	preocupar-se com; cuidar	A mãe preocupa-se muito com a minha saúde.
关于	sobre; acerca de	Este livro é sobre a cultura chinesa.
国家	o país; o Estado	A China é um país muito grande.
过	a partícula de experiência; já ter feito	Já estive em Pequim.
过去	o passado; antigamente	Antigamente aqui não havia metrô.
还是	ou; ainda	Você bebe chá ou café?
害怕	ter medo	Não tenho medo do exame.
黑板	o quadro	O professor escreve caracteres no quadro.
后来	depois; mais tarde	Depois fomos ao parque.
护照	o passaporte	Por favor, traga o passaporte.
96:花	gastar; custar	Comprar o celular custou dois mil yuans.
97:花	a flor	Há uma flor em cima da mesa.
