source_headword	AZ	example_AZ
machine	maşın	Bu maşın qəhvə hazırlayır.
magazine	jurnal	O, musiqi jurnalını oxuyur.
main	əsas	Bu əsas qapıdır.
make	etmək; hazırlamaq	Mən evdə nahar hazırlayıram.
man	kişi; adam	O kişi mənim müəllimimdir.
many	çox	Burada çox tələbə var.
map	xəritə	Xəritəyə baxın.
March	mart	Ad günüm martdadır.
market	bazar	Biz bazardan meyvə alırıq.
married	evli	Bacım evlidir.
May	may	Məktəb may ayında bitir.
maybe	bəlkə	Bəlkə yağış yağar.
me	məni; mənə	Zəhmət olmasa, mənə kömək edin.
meal	yemək	Bu yemək istidir.
mean	mənasını vermək	Bu işarə nə deməkdir?
meaning	məna	Mənası nədir?
meat	ət	Mən şam yeməyində ət yeyirəm.
meet	görüşmək	Biz dərsdən sonra görüşürük.
meeting	görüş; iclas	İclas indi başlayır.
member	üzv	O, klub üzvüdür.
menu	menyu	Zəhmət olmasa, menyunu oxuyun.
message	mesaj	Mən qısa mesaj göndərirəm.
metre	metr	Bir metr irəli gedin.
midnight	gecə yarısı	Qatar gecə yarısı gedir.
mile	mil	Biz bir mil gedirik.
milk	süd	Mən səhər yeməyi ilə süd içirəm.
million	milyon	Burada milyon insan yaşayır.
minute1	dəqiqə	Zəhmət olmasa, bir dəqiqə gözləyin.
miss	darıxmaq; qaçırmaq	Mən köhnə məktəbim üçün darıxıram.
mistake	səhv	Bu cavabda səhv var.
model	model	Bu kiçik modeldir.
modern	müasir	Mətbəx müasirdir.
moment	an	Zəhmət olmasa, bir an gözləyin.
Monday	bazar ertəsi	Biz bazar ertəsi işə başlayırıq.
money	pul	Mənə bir az pul lazımdır.
month	ay	İyun isti aydır.
more	daha çox	Mənə daha çox vaxt lazımdır.
morning	səhər	Mən səhər oxuyuram.
most	çoxu	Tələbələrin çoxu musiqini sevir.
mother	ana	Anam bu gün işləyir.
mountain	dağ	Dağ hündürdür.
mouse	siçan	Siçan stulun altındadır.
mouth	ağız	Zəhmət olmasa, ağzınızı açın.
move	hərəkət etmək; köçürmək	Stulu bura köçürün.
movie	film	Biz bu axşam filmə baxırıq.
much	nə qədər	Bu nə qədərdir?
mum	ana	Anam evdədir.
museum	muzey	Muzey saat onda açılır.
music	musiqi	Mən musiqi dinləyirəm.
must modal	lazımdır	Siz burada dayanmalısınız.
my	mənim	Bu mənim kitabımdır.
name	ad	Adınızı bura yazın.
natural	təbii	Bu şirə təbiidir.
near	yaxın	Bank buraya yaxındır.
need	lazım olmaq	Mənə qələm lazımdır.
negative	mənfi	Bu cavab mənfidir.
neighbour	qonşu	Qonşum mehribandır.
never	heç vaxt	Mən heç vaxt qəhvə içmirəm.
new	yeni	Bu telefon yenidir.
news	xəbər	Bugünkü xəbər yaxşıdır.
newspaper	qəzet	O, qəzet oxuyur.
next	növbəti	Növbəti avtobus gecikdi.
next to	yanında	Mənim yanımda oturun.
nice	yaxşı; xoş	Otaq yaxşıdır.
night	gecə	Mən gecə yatıram.
nine	doqquz	Burada doqquz tələbə var.
nineteen	on doqquz	O, on doqquz yaşındadır.
ninety	doxsan	Babam doxsan yaşındadır.
no	xeyr; yox	Xeyr, təşəkkür edirəm.
no one	heç kim	Otaqda heç kim yoxdur.
nobody	heç kim	Evdə heç kim yoxdur.
north	şimal	Stansiya buradan şimaldadır.
nose	burun	Burnum soyuqdur.
not	deyil	Mən yorğun deyiləm.
note	qeyd	İndi qeyd yazın.
nothing	heç nə	Qutuda heç nə yoxdur.
November	noyabr	Kursum noyabrda başlayır.
now	indi	İndi bura gəlin.
number	nömrə; rəqəm	Nömrəni bura yazın.
nurse	tibb bacısı	Tibb bacısı mehribandır.
object	əşya	Əşyanı masanın üstünə qoyun.
o’clock	saat	Dərs saat doqquzda başlayır.
October	oktyabr	Biz oktyabrda səyahət edirik.
of	-ın; -in	Bu çay fincanıdır.
off	sönülü; uzaqda	İşığı söndürün.
office	ofis	Mənim ofisim kiçikdir.
often	tez-tez	Mən tez-tez məktəbə piyada gedirəm.
oh	oh	Oh, indi başa düşdüm.
OK	yaxşı	Bu yaxşıdırmı?
old	köhnə; yaşlı	Bu ev köhnədir.
on	üstündə	Kitab masanın üstündədir.
once	bir dəfə	Mən həftədə bir dəfə zəng edirəm.
one	bir	Mənim bir bacım var.
onion	soğan	Bir soğan doğrayın.
online	onlayn	Mən onlayn oxuyuram.
only	yalnız	Məndə yalnız bir çanta var.
open	açmaq; açıq	Zəhmət olmasa, pəncərəni açın.
opinion	fikir	Sizin fikriniz nədir?
opposite	qarşısında	Mağaza bankın qarşısındadır.
or	və ya	Çay və ya qəhvə?
orange	portağal; narıncı	Bu portağal şirindir.
order	sifariş; qayda	Mən şorba sifariş edirəm.
other	başqa	Başqa qapıdan istifadə edin.
our	bizim	Bu bizim sinif otağımızdır.
out	çölə	Nahardan sonra çölə çıxın.
outside	çöldə	Uşaqlar çöldə oynayır.
over	üzərindən	Təyyarə şəhərin üzərindən uçur.
own	öz	Mənim öz otağım var.
page	səhifə	Onuncu səhifəni açın.
paint	boyamaq	Divarı mavi rəngə boyayın.
painting	rəsm	Bu rəsm gözəldir.
pair	cüt	Mənə bir cüt corab lazımdır.
paper	kağız	Bu kağıza yazın.
paragraph	abzas	Birinci abzası oxuyun.
parent	valideyn	Valideyn çöldə gözləyir.
park	park; saxlamaq	Biz stansiya yanında maşını saxlayırıq.
part	hissə	Bu hissə asandır.
partner	tərəfdaş	Tərəfdaşla işləyin.
party	ziyafət	Ziyafət saat yeddidə başlayır.
passport	pasport	Zəhmət olmasa, pasportunuzu göstərin.
past	keçmiş; keçmişdə	Saat altı yarımdır.
pay	ödəmək	Mən kartla ödəyirəm.
pen	qələm	Bu qələm mavidir.
pencil	karandaş	Mən karandaşla yazıram.
people	insanlar	Burada çox insan var.
pepper	istiot	Şorbaya istiot əlavə edin.
perfect	mükəmməl	Cavabınız mükəmməldir.
period	dövr; dərs vaxtı	Dərs vaxtı qısadır.
person	şəxs	Bir şəxs gözləyir.
