source_headword	HI	example_HI
prey	शिकार	उल्लू रात में शिकार करते हैं।
privatization	निजीकरण	निजीकरण ने रेल प्रणाली को बदल दिया।
privilege	विशेषाधिकार	शिक्षा कोई विशेषाधिकार नहीं होनी चाहिए।
probe	जांच	जांच में गंभीर गलतियों का पता चला।
problematic	समस्याग्रस्त	समझौता अभी भी समस्याग्रस्त है।
proceedings	कार्यवाही	अदालती कार्यवाही सोमवार को शुरू हुई।
proceeds	आय	आय से स्थानीय स्कूलों को मदद मिलेगी।
processing	प्रसंस्करण	छवि प्रसंस्करण में समय लगता है।
processor	प्रोसेसर	परीक्षण के दौरान प्रोसेसर विफल हो गया।
proclaim	घोषणा करना	नेता बहुत जल्दी जीत की घोषणा कर देते हैं।
productive	उत्पादक	बैठक उत्पादक रही।
productivity	उत्पादकता	प्रशिक्षण के बाद उत्पादकता में सुधार हुआ।
profitable	लाभदायक	इस वर्ष दुकान लाभदायक हो गई।
profound	गहरा	भाषण का गहरा प्रभाव पड़ा।
projection	अनुमान	अनुमान निरंतर वृद्धि दर्शाता है।
prominent	प्रमुख	वह एक प्रमुख वैज्ञानिक बन गई।
pronounced	स्पष्ट	उनका लहजा अधिक स्पष्ट हो गया।
propaganda	प्रचार	अभियान ने ऑनलाइन प्रचार का इस्तेमाल किया।
proposition	प्रस्ताव	यह प्रस्ताव एक जोखिम भरा प्रस्ताव है।
prosecute	मुकदमा चलाना	अधिकारी धोखाधड़ी के गंभीर मामलों में मुकदमा चलाते हैं।
prosecution	अभियोजन पक्ष	अभियोजन पक्ष ने नए सबूत पेश किए।
prosecutor	अभियोजक	अभियोजक ने गवाह से पूछताछ की।
prospective	भावी	भावी छात्रों ने परिसर का दौरा किया।
prosperity	समृद्धि	व्यापार से क्षेत्र में समृद्धि आई।
protective	सुरक्षात्मक	उसने सुरक्षात्मक दस्ताने पहने थे।
protocol	प्रोटोकॉल	प्रोटोकॉल के लिए लिखित स्वीकृति की आवश्यकता होती है।
province	प्रांत	प्रांत ने परिवहन में निवेश किया।
provincial	प्रांतीय	प्रांतीय अधिकारियों ने योजना की घोषणा की।
provision	प्रावधान	अनुबंध में एक सुरक्षा प्रावधान शामिल है।
provoke	भड़काना	भाषण कड़ी प्रतिक्रिया भड़का सकता है।
psychiatric	मनोरोग	अस्पताल ने एक मनोरोग वार्ड खोला।
pulse	नाड़ी	नर्स ने उसकी नाड़ी जांची।
pump	पंप	पंप पानी को ऊपर धकेलता है।
punch	घूंसा	उसने गुस्से में घूंसा मारा।
query	प्रश्न	अपना प्रश्न सहायता टीम को भेजें।
quest	खोज	न्याय के लिए उनकी खोज जारी रही।
quota	कोटा	टीम ने अपना बिक्री कोटा पूरा कर लिया।
radar	रडार	तूफान रडार पर दिखाई दिया।
radical	उग्र	समूह ने उग्र सुधारों का प्रस्ताव रखा।
rage	क्रोध	उसका क्रोध जल्दी ही शांत हो गया।
raid	छापा	पुलिस ने तड़के छापा मारा।
rally	रैली	समर्थक शहर के बीचों-बीच रैली में शामिल हुए।
