source_headword	DE	example_DE
absorb	absorbieren	Das Handtuch saugt das Wasser schnell auf.
abstract	abstrakt	Die Vorlesung behandelte abstrakte Ideen.
accent	der Akzent	Ihr Akzent ist leicht zu verstehen.
accidentally	versehentlich	Ich habe die Datei versehentlich gelöscht.
accommodate	anpassen	Das Hotel kann große Familien unterbringen.
accomplish	erreichen	Sie hat ihr Ziel vor Juni erreicht.
accountant	der Buchhalter	Der Buchhalter hat die Rechnung geprüft.
accuracy	die Genauigkeit	Der Test misst die Lesegenauigkeit.
accurately	genau	Die Karte zeigt die Route genau an.
acid	die Säure	Die Säure beschädigte die Metalloberfläche.
activate	aktivieren	Drücken Sie den Knopf, um den Alarm zu aktivieren.
addiction	die Sucht	Seine Sucht beeinträchtigte seine Arbeit.
additionally	zusätzlich	Zusätzlich brauchen wir mehr Stühle.
adequate	angemessen	Der Raum hat ausreichend Licht.
adequately	angemessen	Der Bericht erklärte das Problem angemessen.
adjust	anpassen	Stellen Sie den Sitz vor dem Fahren ein.
affordable	erschwinglich	Die Wohnung ist für Studenten erschwinglich.
agriculture	die Landwirtschaft	Die Landwirtschaft unterstützt viele ländliche Familien.
AIDS	AIDS	Ärzte behandeln AIDS mit moderner Medizin.
alien	der Außerirdische	Der Film zeigt einen außerirdischen Planeten.
alongside	neben	Der Radweg verläuft entlang des Flusses.
altogether	insgesamt	Insgesamt dauerte das Projekt sechs Wochen.
ambulance	der Krankenwagen	Der Krankenwagen kam innerhalb von Minuten an.
amusing	amüsant	Die Geschichte war amüsant und unbeschwert.
analyst	der Analyst	Der Analyst überprüfte die Verkaufsdaten.
ancestor	der Vorfahre	Mein Vorfahre lebte in der Nähe dieses Dorfes.
animation	die Animation	Die Animation machte die Lektion verständlicher.
annually	jährlich	Das Festival findet jährlich statt.
anticipate	antizipieren	Wir erwarten morgen starken Verkehr.
anxiety	die Angst	Angst kann das Schlafen erschweren.
apology	die Entschuldigung	Sie bot eine aufrichtige Entschuldigung an.
applicant	der Bewerber	Der Bewerber schickte einen neuen Lebenslauf.
appropriately	angemessen	Bitte kleiden Sie sich angemessen für das Vorstellungsgespräch.
arrow	der Pfeil	Der Pfeil zeigt zum Ausgang.
artwork	das Kunstwerk	Das Museum stellte lokale Kunstwerke aus.
aside	beiseite	Sie trat beiseite, um ihn vorbeizulassen.
asset	der Vermögenswert	Erfahrung ist ein wertvoller Vorteil.
assign	zuweisen	Der Lehrer hat heute Hausaufgaben aufgegeben.
assistance	die Hilfe	Bitte bitten Sie das Personal um Hilfe.
assumption	die Annahme	Diese Annahme könnte falsch sein.
assure	versichern	Ich versichere Ihnen, dass die Tür verschlossen ist.
astonishing	erstaunlich	Die Aussicht von der Klippe war erstaunlich.
attachment	der Anhang	Die E-Mail enthält einen Anhang.
auction	die Auktion	Das Gemälde wurde auf einer Auktion verkauft.
audio	akustisch	Die Audioaufnahme klingt klar.
automatic	automatisch	Die Tür hat ein automatisches Schloss.
automatically	automatisch	Die Lichter schalten sich automatisch ein.
awareness	das Bewusstsein	Die Kampagne stärkte das öffentliche Bewusstsein.
awkward	unangenehm	Das Schweigen war unangenehm.
badge	das Abzeichen	Besucher müssen ein Namensschild tragen.
balanced	ausgewogen	Eine ausgewogene Ernährung beinhaltet Gemüse.
ballet	das Ballett	Sie lernt nach der Schule Ballett.
balloon	der Ballon	Der Luftballon schwebte über dem Tisch.
barely	kaum	Er hörte die Ankündigung kaum.
bargain	das Schnäppchen	Diese Jacke war ein echtes Schnäppchen.
basement	der Keller	Die Kisten sind im Keller.
basket	der Korb	Sie legte Äpfel in den Korb.
bat	der Schläger	Die Fledermaus flog aus der Höhle.
beneficial	vorteilhaft	Regelmäßige Bewegung ist nützlich für die Gesundheit.
beside	neben	Die Lampe steht neben dem Sofa.
besides	außerdem	Außer Mathe studiert er Chemie.
bias	der Bias	Der Artikel zeigte eine deutliche Voreingenommenheit.
bid	das Gebot	Das Unternehmen gab ein höheres Gebot ab.
biological	biologisch	Der biologische Test bestätigte das Ergebnis.
blanket	die Decke	Das Kind schlief unter einer Decke.
blow	der Schlag	Der starke Schlag zerbrach das Fenster.
bold	mutig	Die Überschrift verwendete fettgedruckte Buchstaben.
bombing	der Bombenangriff	Der Bombenangriff beschädigte mehrere Gebäude.
booking	die Buchung	Ich habe die Hotelbuchung bestätigt.
boost	ankurbeln	Der Sieg steigerte das Selbstvertrauen der Mannschaft.
bound	bindend	Das Paket war mit Schnur gebunden.
brick	der Ziegel	Die Wand ist aus Ziegeln gebaut.
briefly	kurz	Sie sprach kurz nach dem Mittagessen.
broadcaster	der Moderator	Der Sprecher interviewte den Bürgermeister.
broadly	im Großen und Ganzen	Die beiden Pläne sind weitgehend ähnlich.
bug	der Fehler	Die App stürzte wegen eines Fehlers ab.
cabin	die Hütte	Wir übernachteten in einer kleinen Hütte.
canal	der Kanal	Boote bewegten sich langsam auf dem Kanal.
candle	die Kerze	Die Kerze brannte auf dem Tisch.
carbon	der Kohlenstoff	Bäume absorbieren Kohlenstoff aus der Luft.
