source_headword	AZ	example_AZ
abandon	imtina etmək	Onlar dünən plandan imtina etdilər.
absolute	mütləq	Bizə burada mütləq dürüstlük lazımdır.
acceptable	məqbul	Onun cavabı məqbul idi.
accompany	müşayiət etmək	Qardaşı onu evə qədər müşayiət etdi.
accurate	dəqiq	Hesabat dəqiq görünür.
accuse	günahlandırmaq	Onlar onu yalan danışmaqda günahlandırdılar.
acknowledge	etiraf etmək	Zəhmət olmasa, səhvi etiraf edin.
acquire	əldə etmək	O, yeni bacarıqlara tez yiyələndi.
actual	faktiki	Faktiki xərc daha az idi.
adapt	uyğunlaşmaq	Biz dəyişikliyə uyğunlaşdıq.
additional	əlavə	Əlavə kömək bu gün gəldi.
administration	rəhbərlik	Rəhbərlik siyasəti dəyişdi.
adopt	qəbul etmək	Onlar yeni metodu qəbul etdilər.
advance	irəliləyiş	Biz kiçik bir irəliləyiş əldə etdik.
affair	hadisə	Bu hadisə ictimai etimada zərər vurdu.
afterwards	sonra	Sonra hər kəs özünü sakit hiss etdi.
agency	agentlik	Agentlik üç tərcüməçini işə götürdü.
agenda	gündəlik	Təhlükəsizlik gündəlikdədir.
aggressive	aqressiv	Onun səs tonu aqressiv səslənirdi.
aid	yardım	Tibbi yardım tez gəldi.
aircraft	təyyarə	Təyyarə təhlükəsiz şəkildə endi.
alter	dəyişdirmək	Müqaviləni dəyişdirməyin.
anger	qəzəb	Onun qəzəbi hər kəsi təəccübləndirdi.
angle	rakurs	Başqa kamera rakursunu sınayın.
anniversary	ildönümü	Onların ildönümü sabahdır.
annual	illik	İllik iclas bazar ertəsi başlayır.
anxious	narahat	O, cərrahiyyə əməliyyatından əvvəl narahat idi.
apparent	aşkar	Onun məyusluğu aşkar idi.
apparently	görünür	Görünür, qatar gecikir.
appeal	şikayət	Qərara şikayət verilə bilər.
approach	yanaşma	Onun yanaşması problemi həll etdi.
appropriate	uyğun	Uyğun bir cavab seçin.
approval	təsdiq	Layihənin təsdiqə ehtiyacı var.
approve	təsdiqləmək	Şura büdcəni təsdiqlədi.
arise	yaranmaq	Problemlər daha sonra yarana bilər.
armed	silahlı	Çöldə silahlı mühafizəçilər dayanmışdı.
arms	silahlar	Onlar silahlarını yerə qoydular.
artificial	süni	Güllər süni görünürdü.
artistic	bədii	Onun incəsənət istedadı var.
ashamed	utanan	O, sonra özünü utanmış hiss etdi.
aspect	cəhət	Hər bir cəhəti diqqətlə nəzərdən keçirin.
assess	qiymətləndirmək	Biz zərəri qiymətləndirməliyik.
assessment	qiymətləndirmə	Qiymətləndirmə iki saat çəkdi.
associate	əlaqələndirmək	İnsanlar tüstünü təhlükə ilə əlaqələndirirlər.
associated	əlaqəli	Stress xəstəliklə əlaqəlidir.
association	assosiasiya	Assosiasiya gənc rəssamları dəstəkləyir.
assume	fərz etmək	Fərz edirəm ki, razısınız.
attempt	cəhd	Onun ilk cəhdi uğursuz oldu.
bacteria	bakteriya	Bakteriyalar tez yayıla bilər.
barrier	maneə	Dil bir maneə idi.
basically	əsasən	Əsasən, bizə daha çox vaxt lazımdır.
bear (deal with)	dözmək	Mən bu səs-küyə dözə bilmirəm.
beg	yalvarmaq	Zəhmət olmasa, kömək üçün yalvarın.
being	canlı	Hər bir canlı suya ehtiyac duyur.
bent	əyilmiş	Metal çubuq əyilmişdi.
bet	mərc etmək	Əminəm ki, o bilir.
beyond	o tayında	Kənd çayın o tayındadır.
bitter	acı	Dərmanın dadı acı idi.
blame	günahlandırmaq	Sürücünü günahlandırmayın.
blind	kor	O, gənc yaşda kor oldu.
bond	bağ	Etibar güclü bir bağ yaradır.
breast	sinə	O, sinəsində ağrı hiss etdi.
brief	qısa	Cavabınızı qısa tutun.
broad	geniş	Çay burada genişdir.
broadcast	yayımlamaq	Çıxış canlı olaraq yayımlandı.
budget	büdcə	Büdcə çox məhduddur.
bullet	güllə	Güllə divara dəydi.
bunch	dəstə	O, bir dəstə açar daşıyırdı.
bush	kol	Bir quş kolda gizləndi.
cable	kabel	Kabel qırılıb.
calculate	hesablamaq	Ümumi xərci hesablayın.
cancel	ləğv etmək	Onlar iclası ləğv etdilər.
cancer	xərçəng	Xərçəng müalicəsi çətin ola bilər.
capable	bacarıqlı	O, daha çoxuna qadirdir.
capacity	tutum	Zal öz tutumuna çatdı.
capture	əks etdirmək	Şəkil əhval-ruhiyyəni əks etdirir.
cast	aktyor heyəti	Aktyor heyəti hazırdır.
cell	hüceyrə	Hər hüceyrədə məlumat var.
chairman	sədr	Sədr iclası açdı.
characteristic	xüsusiyyət	Səbir onun əsas xüsusiyyətidir.
chief	baş	Baş mühəndis gecikdi.
circumstance	vəziyyət	Hər bir vəziyyəti diqqətlə nəzərdən keçirin.
cite	istinad etmək	Zəhmət olmasa mənbənizi göstərin.
citizen	vətəndaş	Hər bir vətəndaş səs verə bilər.
civil	dinc	Etiraz dinc keçdi.
classic	klassik	Bu film klassikadır.
closely	diqqətlə	Prosesi yaxından izləyin.
collapse	çökmək	Köhnə körpü çökə bilər.
combination	kombinasiya	Kombinasiya yaxşı işlədi.
comfort	təsəlli	Onun sözləri təsəlli verdi.
command	əmr	Zabit əmr verdi.
commission	komissiya	Komissiya işi nəzərdən keçirdi.
commitment	sadiqlik	İş sadiqlik tələb edir.
committee	komitə	Komitə hər həftə toplanır.
commonly	ümumiyyətlə	Bu bitki ümumiyyətlə becərilir.
complicated	mürəkkəb	Təlimatlar mürəkkəbdir.
component	komponent	Bir komponent xarab oldu.
concentration	diqqət	Səs-küy diqqətimi pozur.
concept	anlayış	Konsepsiya sadədir.
concern	narahatlıq	Təhlükəsizlik əsas narahatlığımızdır.
concerned	narahat	Valideynlər çox narahat idilər.
conduct	keçirmək	Onlar yerli səviyyədə tədqiqat aparırlar.
confidence	əminlik	Təcrübə əminlik yaradır.
conflict	münaqişə	Münaqişə illərlə davam etdi.
confusing	çaşdırıcı	Xəritə çaşdırıcı idi.
conscious	huşunda	O, huşunu itirmədi.
conservative	mühafizəkar	Onun baxışları mühafizəkardır.
consideration	nəzərə alma	Qiymət vacib bir faktordur.
consistent	ardıcıl	Onun nəticələri ardıcıldır.
constant	daimi	Daimi səs-küy bizi yordu.
constantly	daim	O, daim telefonunu yoxlayır.
construct	qurmaq	İşçilər yeni körpü qurdular.
construction	tikinti	Tikinti gələn ay başlayır.
contemporary	müasir	Qalereyada müasir incəsənət nümayiş etdirilir.
contest	müsabiqə	O, müsabiqəyə qatıldı.
contract	müqavilə	Müqaviləni diqqətlə oxuyun.
contribute	töhfə vermək	Hər kəs öz fikirlərini bildirə bilər.
contribution	töhfə	Onun töhfəsi dəyərli idi.
convert	çevirmək	Onlar qarajı dəyişdirdilər.
convinced	əmin	Mən onun yalan danışdığına əminəm.
core	əsas	İnam əsas məsələdir.
corporate	korporativ	Korporativ qaydalar yenidən dəyişdi.
council	şura	Şura planı təsdiqlədi.
county	dairə	Dairə yolu təmir etdi.
courage	cəsarət	O, əsl cəsarət göstərdi.
crash	qəza	Qəza hərəkəti dayandırdı.
creation	yaradılma	Yaradılma altı ay çəkdi.
creature	məxluq	Məxluq səssizcə hərəkət etdi.
