source_headword	NE	example_NE
ability	क्षमता	उनको पौडी खेल्ने क्षमता स्पष्ट छ।
able	सक्षम	ऊ आज आउन सक्षम छ।
abroad	विदेशमा	उनी विदेशमा पढ्न चाहन्छिन्।
accept	स्वीकार गर्नु	कृपया यो सानो उपहार स्वीकार गर्नुहोस्।
accident	दुर्घटना	दुर्घटना विद्यालयनजिक भयो।
according to	अनुसार	रिपोर्टअनुसार पानी पर्न आउँदैछ।
achieve	हासिल गर्नु	तिमी आफ्नो लक्ष्य हासिल गर्न सक्छौ।
act	अभिनय गर्नु;व्यवहार गर्नु	ऊ नाटकमा अभिनय गर्न सक्छ।
active	सक्रिय	उनी हरेक दिन सक्रिय छिन्।
actually	वास्तवमा	वास्तवमा मलाई अझै समय चाहिन्छ।
advantage	फाइदा	यो योजनामा फाइदा छ।
adventure	साहसिक यात्रा	उनीहरूको यात्रा साहसिक यात्रा थियो।
advertise	विज्ञापन गर्नु	उनीहरूले नयाँ जागिरको विज्ञापन गर्छन्।
advertisement	विज्ञापन	मैले एउटा विज्ञापन देखेँ।
advertising	विज्ञापनकार्य	विज्ञापनकार्यले खाना बेच्न मद्दत गर्छ।
affect	असर गर्नु	निद्राले तिम्रो स्वास्थ्यमा असर गर्न सक्छ।
against	विरुद्ध;अडेस लगाएर	भित्तामा अडेस नलाग।
ah	आहा	आहा म अब बुझ्छु।
airline	हवाई सेवा	हवाई सेवा धेरै व्यस्त छ।
alive	जीवित	सानो माछा जीवित छ।
all right	ठीक;सबै ठीक	अहिले सबै ठीक छ।
allow	अनुमति दिनु	उनीहरूले यहाँ कुकुरलाई अनुमति दिन्छन्।
almost	झन्डै	हामी झन्डै तयार छौँ।
alone	एक्लै	उनी एक्लै बस्छिन्।
along	सँगसँगै;किनारैकिनार	यो बाटो किनारैकिनार हिँड।
already	पहिल्यै	मलाई उत्तर पहिल्यै थाहा छ।
alternative	विकल्प	यो रेल एउटा विकल्प हो।
although	यद्यपि	यद्यपि ढिलो भयो हामी बस्न सक्छौँ।
among	बीचमा	ऊ रूखहरूको बीचमा उभियो।
amount	मात्रा	मात्रा धेरै सानो छ।
ancient	प्राचीन	यो प्राचीन पर्खाल प्रसिद्ध छ।
ankle	खुट्टाको गोलीगाँठो	मेरो खुट्टाको गोलीगाँठो आज दुख्छ।
anybody	जोकोही	के जोकोहीले यसको उत्तर दिन सक्छ।
any more	अब अरू	मलाई अब अरू चाहिँदैन।
anyway	जे भए पनि	जे भए पनि हामी अब सुरु गर्न सक्छौँ।
anywhere	जहाँसुकै	तिमीलाई मन पर्ने ठाउँमा जहाँसुकै बस।
app	एप	यो एप उपयोगी छ।
appear	देखिनु	उनको नाम यहाँ देखिनेछ।
appearance	रूप	उसको रूप फरक छ।
apply	आवेदन दिनु;लागू गर्नु	आजै जागिरका लागि आवेदन देऊ।
architect	वास्तुकार	वास्तुकारसँग योजना छ।
architecture	वास्तुकला	मलाई आधुनिक वास्तुकला मन पर्छ।
argue	बहस गर्नु	आफ्नी दिदीसँग बहस नगर।
argument	बहस	बहस छोटो थियो।
army	सेना	सेना ठूलो छ।
arrange	व्यवस्था गर्नु	कृपया बैठकको व्यवस्था गर्नुहोस्।
arrangement	व्यवस्था	व्यवस्था राम्रोसँग चल्छ।
asleep	निदाएको	शिशु निदाएको छ।
assistant	सहायक	सहायकले मलाई मद्दत गर्‍यो।
athlete	खेलाडी	खेलाडी छिटो दौडन्छ।
attack	आक्रमण गर्नु	कुकुरले आक्रमण गर्न सक्छ।
attend	उपस्थित हुनु	म आज कक्षामा उपस्थित हुन्छु।
attention	ध्यान	कृपया अहिले ध्यान दिनुहोस्।
attractive	आकर्षक	बगैँचा आकर्षक छ।
audience	दर्शक	दर्शक शान्त थिए।
author	लेखक	लेखकले यो किताब लेखे।
available	उपलब्ध	खाना अहिले उपलब्ध छ।
average	औसत	औसत अंक राम्रो थियो।
avoid	जोगिनु	व्यस्त सडकबाट जोगिनुहोस्।
award	पुरस्कार	उनले पुरस्कार जितिन्।
awful	डरलाग्दो;नराम्रो	मौसम धेरै नराम्रो थियो।
background	पृष्ठभूमि	चित्रमा अँध्यारो पृष्ठभूमि छ।
badly	नराम्रोसँग	उसले आज नराम्रोसँग खेल्यो।
bar	बार	हामी होटलको बारमा भेट्यौँ।
baseball	बेसबल	बेसबल यहाँ लोकप्रिय छ।
based	आधारित	फिल्म किताबमा आधारित छ।
basketball	बास्केटबल	हामी विद्यालयपछि बास्केटबल खेल्छौँ।
bean	सिमी	यो सिमी हरियो छ।
bear (animal)	भालु	भालु जंगलमा बस्छ।
beat	हराउनु;पिट्नु	हाम्रो टोलीले उनीहरूलाई हराउन सक्छ।
beef	गाईको मासु	मैले बेलुकाको खानामा गाईको मासु खाएँ।
behave	व्यवहार गर्नु	कृपया कक्षामा राम्रो व्यवहार गर।
behaviour	व्यवहार	उसको व्यवहार विनम्र थियो।
belong	को हुनु	यी जुत्ता मेरा हुन्।
belt	पेटी	उसको पेटी कालो छ।
benefit	लाभ	व्यायामको वास्तविक लाभ छ।
billion	अर्ब	अर्ब धेरै ठूलो संख्या हो।
bin	फोहोरदानी	कागज फोहोरदानीमा हाल।
biology	जीवविज्ञान	जीवविज्ञान मेरो राम्रो कक्षा हो।
birth	जन्म	उनको जन्म मे महिनामा थियो।
biscuit	बिस्कुट	उनी बिस्कुट खान्छिन्।
bit	अलिकति	मलाई अलिकति थप समय चाहिन्छ।
blank	खाली ठाउँ	खाली ठाउँमा आफ्नो नाम लेख।
blood	रगत	रगत रातो हुन्छ।
blow	बहनु;फुक्नु	हावा जोरले बहन सक्छ।
board	पाटी	यसलाई पाटीमा लेख।
boil	उमाल्नु	पहिले पानी उमाल।
bone	हड्डी	कुकुरसँग हड्डी छ।
borrow	सापट लिनु	के म तिम्रो कलम सापट लिन सक्छु।
boss	हाकिम	मेरो हाकिम मिलनसार छन्।
bottom	तल्लो भाग	तल्लो भागमा हस्ताक्षर गर।
bowl	कचौरा	कचौरा भरिएको छ।
brain	मस्तिष्क	तिम्रो मस्तिष्कलाई विश्राम चाहिन्छ।
bridge	पुल	पुल पुरानो छ।
bright	उज्यालो	कोठा उज्यालो छ।
brilliant	उत्कृष्ट	त्यो विचार उत्कृष्ट छ।
broken	भाँचिएको;बिग्रिएको	कुर्सी बिग्रिएको छ।
brush	माझ्नु;ब्रस	अहिले दाँत माझ।
burn	जलाउनु;जल्नु	रोटी नजलाऊ।
businessman	व्यापारी पुरुष	व्यापारी पुरुष चाँडै आइपुगे।
button	बटन	रातो बटन थिच।
camp	शिविर बस्नु	हामी तालनजिक शिविर बस्छौँ।
camping	शिविर बसाइ	गर्मीमा शिविर बसाइ रमाइलो हुन्छ।
can2	डिब्बा	डिब्बा सावधानीपूर्वक खोल।
care	हेरचाह;ध्यान	आफ्नो स्वास्थ्यको हेरचाह गर।
careful	सावधान	सिँढीमा सावधान होऊ।
carefully	सावधानीपूर्वक	प्रश्न सावधानीपूर्वक पढ।
carpet	कार्पेट	कार्पेट नरम छ।
cartoon	कार्टुन	यो कार्टुन रमाइलो छ।
case	मामिला;डिब्बा	यसलाई डिब्बामा राख।
cash	नगद	मैले नगदमा तिरेँ।
castle	किल्ला	किल्ला धेरै पुरानो छ।
catch	समात्नु	अहिले बल समात।
cause	कारण बन्नु;कारण	पानीले समस्या गराउन सक्छ।
celebrate	मनाउनु	हामी मेरो जन्मदिन मनाउँछौँ।
celebrity	प्रसिद्ध व्यक्ति	प्रसिद्ध व्यक्ति धेरै दयालु थिए।
certain	निश्चित	म यसबारे निश्चित छु।
certainly	निश्चित रूपमा	म निश्चित रूपमा मद्दत गर्नेछु।
chance	मौका	तिमीसँग मौका छ।
character	पात्र;चरित्र	यो पात्र साहसी छ।
charity	परोपकार संस्था	परोपकार संस्थाले बालबालिकालाई मद्दत गर्छ।
chat	गफ गर्नु;कुराकानी	हामी कक्षापछि गफ गर्छौँ।
chef	मुख्य भान्से	मुख्य भान्सेले सुप बनाए।
chemistry	रसायनशास्त्र	रसायनशास्त्र मेरो लागि गाह्रो छ।
chip	चिप्स	यो चिप्स नुनिलो छ।
choice	छनोट	यो छनोट महत्त्वपूर्ण छ।
church	चर्च	चर्च यहाँ नजिक छ।
cigarette	चुरोट	चुरोट स्वास्थ्यका लागि नराम्रो छ।
circle	वृत्त	यहाँ वृत्त बनाऊ।
classical	शास्त्रीय	म शास्त्रीय संगीत मन पराउँछु।
clear	स्पष्ट	उत्तर स्पष्ट छ।
clearly	स्पष्ट रूपमा	कृपया स्पष्ट रूपमा बोल।
clever	बुद्धिमान	उनी बुद्धिमान बच्चा हुन्।
climate	जलवायु	जलवायु परिवर्तन हुँदैछ।
close2	नजिक	मेरो विद्यालय घरनजिक छ।
closed	बन्द	पसल बन्द छ।
clothing	लुगा	न्यानो लुगा उपयोगी हुन्छ।
cloud	बादल	बादलले सूर्य ढाक्छ।
coach	प्रशिक्षक	प्रशिक्षकले टोलीलाई मद्दत गरे।
coast	समुद्री किनार	हामी समुद्री किनारैकिनार गाडी चलायौँ।
code	कोड	यहाँ कोड हाल।
colleague	सहकर्मी	मेरो सहकर्मीले मलाई फोन गरे।
collect	सङ्कलन गर्नु	म पुराना कार्ड सङ्कलन गर्छु।
column	स्तम्भ	पहिलो स्तम्भ पढ।
comedy	हास्य नाटक	यो हास्य नाटक रमाइलो छ।
comfortable	आरामदायी	यो कुर्सी आरामदायी छ।
comment	टिप्पणी	तल टिप्पणी छोड।
communicate	सञ्चार गर्नु	हामी इमेलबाट सञ्चार गर्छौँ।
community	समुदाय	हाम्रो समुदाय मिलनसार छ।
compete	प्रतिस्पर्धा गर्नु	उनीहरू हरेक वर्ष प्रतिस्पर्धा गर्छन्।
competition	प्रतियोगिता	प्रतियोगिता भोलि सुरु हुन्छ।
complain	गुनासो गर्नु	फेरि गुनासो नगर।
completely	पूर्ण रूपमा	म तिमीसँग पूर्ण रूपमा सहमत छु।
condition	अवस्था	कार राम्रो अवस्थामा छ।
conference	सम्मेलन	सम्मेलन नौ बजे सुरु हुन्छ।
connect	जोड्नु	फोनलाई कम्प्युटरसँग जोड।
connected	जोडिएको	दुई विचार जोडिएका छन्।
consider	विचार गर्नु	कृपया मेरो विचारबारे सोच।
contain	समेट्नु	यो बाकसमा किताब छन्।
context	सन्दर्भ	सन्दर्भले तिमीलाई बुझ्न मद्दत गर्छ।
continent	महादेश	महादेश धेरै ठूलो हुन्छ।
continue	जारी राख्नु	कृपया पढाइ जारी राख।
control	नियन्त्रण गर्नु	गति सावधानीपूर्वक नियन्त्रण गर।
cooker	चुलो	चुलो सफा छ।
copy	प्रतिलिपि	मेरो लागि प्रतिलिपि बनाऊ।
corner	कुना	कुनामा बस।
correctly	सही रूपमा	उत्तर सही रूपमा लेख।
count	गन्नु	किताबहरू गन।
couple	जोडी	जोडी चाँडै आइपुग्यो।
cover	छोप्नु	कचौरा छोप।
crazy	पागल;अनौठो	यो विचार अनौठो सुनिन्छ।
creative	रचनात्मक	उनिसँग रचनात्मक विचार छ।
credit	क्रेडिट;उधारो	मैले क्रेडिट कार्डबाट तिरेँ।
crime	अपराध	अपराध गम्भीर समस्या हो।
criminal	अपराधी	अपराधी छिट्टै निस्कियो।
cross	पार गर्नु	सडक सावधानीपूर्वक पार गर।
crowd	भीड	भीड बाहिर पर्खिरहेको थियो।
crowded	भीडभाड भएको	रेल भीडभाड भएको थियो।
cry	रुनु	अहिले नरुनु।
cupboard	अलमारी	कपहरू अलमारीमा छन्।
curly	घुम्रिएको	उनको घुम्रिएको कपाल छ।
cycle	साइकल चलाउनु	म विद्यालयसम्म साइकल चलाउँछु।
daily	दैनिक	म दैनिक समाचार पढ्छु।
danger	खतरा	चिन्हले खतरा देखाउँछ।
data	तथ्याङ्क	तथ्याङ्क उपयोगी छ।
dead	मरेको	बिरुवा मरेको छ।
deal	सौदा	यो राम्रो सौदा हो।
death	मृत्यु	मृत्यु गाह्रो विषय हो।
decision	निर्णय	आज निर्णय गर।
deep	गहिरो	पानी गहिरो छ।
definitely	पक्कै	मलाई पक्कै चिया चाहिन्छ।
degree	डिग्री;उपाधि	मेरो डिग्री इतिहासमा छ।
dentist	दन्त चिकित्सक	दन्त चिकित्सकले मेरा दाँत जाँचे।
department	विभाग	जुत्ता विभाग माथिल्लो तलामा छ।
depend	निर्भर हुनु	यो मौसममा निर्भर हुन्छ।
desert	मरुभूमि	मरुभूमि धेरै सुख्खा छ।
designer	डिजाइनर	डिजाइनरले यो पोशाक बनाइन्।
destroy	नष्ट गर्नु	फाइल नष्ट नगर।
detective	जासुस	जासुसले साँचो भेट्टायो।
develop	विकास गर्नु	उनीहरूले नयाँ एप विकास गर्छन्।
device	उपकरण	यो उपकरण उपयोगी छ।
diary	डायरी	उनी डायरीमा लेख्छिन्।
differently	फरक तरिकाले	हामी यो फरक तरिकाले गर्छौँ।
digital	डिजिटल	यो डिजिटल क्यामेरा हो।
direct	सिधा	सिधा रेल समात।
direction	दिशा	यो दिशामा हिँड।
director	निर्देशक	निर्देशकलाई फिल्म मन पर्‍यो।
disagree	असहमत हुनु	म त्यो विचारसँग असहमत छु।
disappear	हराउनु	सूर्य चाँडै हराउनेछ।
disaster	विपत्ति	आँधी विपत्ति थियो।
discover	पत्ता लगाउनु	उनीहरूले नयाँ टापु पत्ता लगाउँछन्।
discovery	खोज	खोजले विज्ञान परिवर्तन गर्‍यो।
discussion	छलफल	छलफल चाँडै सकियो।
disease	रोग	यो रोग गम्भीर छ।
distance	दूरी	दूरी छोटो छ।
divorced	सम्बन्धविच्छेद भएको	उनका आमाबुबा सम्बन्धविच्छेद भएका छन्।
document	कागजात	यो कागजात अहिले सुरक्षित गर।
double	दोहोरो;दुईजनाको	मलाई दुईजनाको कोठा चाहिन्छ।
download	डाउनलोड गर्नु	आज एप डाउनलोड गर।
drama	नाटक	नाटक आज राति सुरु हुन्छ।
drawing	चित्र	उनको चित्र सुन्दर छ।
dream	सपना	मैले अनौठो सपना देखेँ।
driving	गाडी चलाउने काम	राति गाडी चलाउन गाह्रो हुन्छ।
drop	झार्नु	गिलास नझार।
drug	औषधि	औषधिले उसलाई मद्दत गर्‍यो।
dry	सुख्खा	तौलिया सुख्खा छ।
earn	कमाउनु	म काममा पैसा कमाउँछु।
earth	पृथ्वी	पृथ्वी गोलो छ।
