source_headword	ET	example_ET
strengthen	tugevdada	Uus poliitika tugevdab veebiturvalisust.
strictly	rangelt	Piletid on rangelt piiratud kahega inimese kohta.
striking	silmatorkav	Maalil on silmatorkavad värvid.
stroke	tõmme	Ta tegi paberile ühe tõmbe.
stunning	vapustav	Vaade mägedele oli vapustav.
subsequent	järgnev	Järgnev koosolek kinnitas eelarve.
subsequently	hiljem	Tee suleti, hiljem liikus liiklus aeglaselt.
suburb	äärelinn	Nad elavad vaikses äärelinnas.
suffering	kannatus	Ravim vähendas tema kannatusi.
sufficient	piisav	Meeskonnal on piisavalt aega.
sufficiently	piisavalt	Tuba on piisavalt soe.
super	super	Uus tahvelarvuti on super kiire.
surgeon	kirurg	Kirurg opereeris vigastatud põlve.
survival	ellujäämine	Puhas vesi on ellujäämiseks hädavajalik.
survivor	ellujääja	Ellujääja kirjeldas üleujutust.
suspend	peatada	Kool võib reisi peatada.
sustainable	jätkusuutlik	Talu kasutab jätkusuutlikke meetodeid.
swallow	neelata	Neelake tablett veega alla.
sympathetic	osavõtlik	Juhataja oli tema probleemi suhtes osavõtlik.
tackle	lahendada	Me peame lahendama eluasemeprobleemi.
tag	silt	Kotil oli hinnasilt.
tap	kraan	Ta keeras kraani kinni.
technological	tehnoloogiline	Tehnoloogilised muutused mõjutavad iga töökohta.
teens	teismelised	Paljud teismelised kasutavad sotsiaalmeediat iga päev.
temple	tempel	Tempel asus jõe lähedal.
temporarily	ajutiselt	Kontor on ajutiselt suletud.
tendency	kalduvus	Tal on kalduvus hilineda.
tension	pinge	Arutelu käigus pinge kasvas.
terms	tingimused	Lepingu tingimused olid selged.
terribly	kohutavalt	Laps oli kohutavalt ärritunud.
terrify	hirmutada	Valjud helid hirmutavad koera.
territory	territoorium	Kaart näitab uut territooriumi.
terror	terror	Pärast rünnakut levis terror.
terrorism	terrorism	Terrorism ohustab avalikku turvalisust.
terrorist	terrorist	Politsei arreteeris eile terroristi.
testing	testimine	Toodete testimine algab esmaspäeval.
textbook	õpik	Ta unustas oma bioloogiaõpiku.
theft	vargus	Piirkonnas on varguste arv kasvanud.
therapist	terapeut	Terapeut aitas tal ärevusega toime tulla.
thesis	väitekiri	Tema väitekiri uurib veebipõhist õppimist.
thorough	põhjalik	Põhjalik läbivaatus ei leidnud vigu.
thoroughly	põhjalikult	Puhastage haav põhjalikult.
thumb	pöial	Ta tõstis pöidla, et näidata heakskiitu.
timing	ajastus	Kõne ajastus oli täiuslik.
tissue	salvrätik	Ta pühkis klaasi salvrätikuga.
ton	tonn	Veoauto vedas ühe tonni liiva.
tonne	tonn	Saadetis kaalus ühe tonni.
tournament	turniir	Tenniseturniir algab homme.
trace	tuvastada	Teadlased suudavad tuvastada viiruse allika.
trading	kauplemine	Aktsiatega kauplemine peatus keskpäeval.
tragedy	tragöödia	Õnnetus oli kohutav tragöödia.
tragic	traagiline	Avariil olid traagilised tagajärjed.
trait	omadus	Kannatlikkus on kasulik omadus.
transmit	levitada	Sääsed võivad haigusi levitada.
transportation	transport	Ühistransport on täna rahvast täis.
trap	lõksu püüda	Karp võib putukaid ohutult lõksu püüda.
treasure	aare	Vanas kirstus oli aare.
tribe	hõim	Hõim kaitses oma traditsioone.
trigger	vallandada	Suits võib vallandada alarmi.
trillion	triljon	Võlg ulatus ühe triljoni dollarini.
troop	vägi	Vägi liikus piiri poole.
tsunami	tsunami	Tsunami hävitas rannikuäärsed kodud.
ultimate	ülim	Ülim eesmärk on rahu.
unacceptable	vastuvõetamatu	Viivitus oli reisijatele vastuvõetamatu.
uncertainty	ebakindlus	Ebakindlus muutis investorid närviliseks.
undergo	läbida	Patsiendile tehakse homme operatsioon.
undertake	ette võtta	Meeskond viib läbi uuringu.
unfold	areneda	Draama hakkas aeglaselt lahti rulluma.
unfortunate	kahetsusväärne	Viga oli kahetsusväärne, kuid parandatav.
unite	ühendada	Juhid püüdsid parteid ühendada.
unity	ühtsus	Kõne kutsus üles rahvuslikule ühtsusele.
universal	universaalne	Rakendus kasutab universaalset disaini.
urgent	kiireloomuline	Haigla sai kiireloomulise kõne.
usage	kasutus	Juhend selgitab õiget kasutust.
useless	kasutu	Katkine laadija on kasutu.
valid	kehtiv	Teie pass on endiselt kehtiv.
variation	erinevus	Hindades on suuri erinevusi.
vertical	vertikaalne	Graafikul on vertikaalne telg.
viewpoint	vaatenurk	Tema vaatenurk muutus pärast arutelu.
visa	viisa	Ta taotles õpilasviisat.
visible	nähtav	Silt on siit nähtav.
voluntary	vabatahtlik	Kursus sisaldab vabatahtlikke töötubasid.
voting	hääletamine	Eelvalimiste hääletamine algab järgmisel nädalal.
wander	rännata	Turistid rändavad läbi vana turu.
warming	soojenemine	Globaalne soojenemine mõjutab meretaset.
weekly	iganädalane	Meeskond peab iganädalast koosolekut.
weird	imelik	Müra kõlas imelikult.
welfare	heaolu	Programm toetab laste heaolu.
wheat	nisu	Põllumees kasvatab nisu.
whoever	kes iganes	Kes iganes esimesena saabub, peaks ootama väljas.
widespread	laialdane	Torm tekitas laialdasi kahjustusi.
wisdom	tarkus	Tema vanaema jagas praktilist tarkust.
withdraw	tagasi võtta	Ta otsustas oma avalduse tagasi võtta.
workforce	tööjõud	Tööjõud vajab uusi oskusi.
workplace	töökoht	Töökohal on selged ohutusreeglid.
workshop	töötuba	Töötuba algab kell kümme.
worm	uss	Uss liikus üle mulla.
wrist	ranne	Ta vigastas oma rannet.
