source_headword	LV	example_LV
hunt	meklēt	Viņi rudenī meklē sēnes.
hurricane	viesuļvētra	Viesuļvētra sabojāja daudzas mājas.
hurry	steiga	Šodien nav nekādas steigas.
identity	identitāte	Viņas identitāte palika noslēpumā.
ignore	ignorēt	Neignorē šo brīdinājumu.
illegal	nelikumīgs	Šeit stāvēt ir nelikumīgi.
imaginary	iedomāts	Stāstā ir iedomāta sala.
immediate	tūlītējs	Mums vajag tūlītēju atbildi.
immigrant	imigrants	Imigrants ātri iemācījās angļu valodu.
impact	ietekme	Ziņai bija spēcīga ietekme.
import	importēt	Valsts importēs vairāk rīsu.
importance	nozīme	Viņa saprata miega nozīmi.
impression	iespaids	Viņa pirmais iespaids bija pozitīvs.
impressive	iespaidīgs	Muzejam ir iespaidīga ieeja.
improvement	uzlabojums	Šomēnes bija skaidrs uzlabojums.
incredibly	neticami	Tests bija neticami grūts.
indeed	patiešām	Tā patiešām bija dīvaina diena.
indicate	norādīt	Zīme norādīs izeju.
indirect	netiešs	Viņa deva netiešu atbildi.
indoor	iekštelpu	Viesnīcā ir iekštelpu baseins.
indoors	iekštelpās	Vētras laikā palikām iekštelpās.
influence	ietekme	Viņa skolotājam bija spēcīga ietekme.
ingredient	sastāvdaļa	Milti ir galvenā sastāvdaļa.
injure	savainot	Nesavaino muguru.
injured	savainots	Savainotais spēlētājs pameta laukumu.
innocent	nevainīgs	Bērns izskatījās pilnīgi nevainīgs.
intelligence	inteliģence	Viņa klasē parādīja lielu inteliģenci.
intend	plānot	Es plānoju studēt ārzemēs.
intention	nodoms	Viņa nodoms bija palīdzēt.
invest	ieguldīt	Viņi iegulda naudu izglītībā.
investigate	izmeklēt	Policija izmeklēs negadījumu.
involved	iesaistīts	Bija iesaistīti vairāki skolēni.
iron	dzelzs	Vārti ir izgatavoti no dzelzs.
issue	problēma	Šī ir nopietna problēma.
IT	informācijas tehnoloģijas	Viņa strādā informācijas tehnoloģijās.
journal	dienasgrāmata	Viņš raksta dienasgrāmatā.
judge	tiesnesis	Tiesnesis uzmanīgi klausījās.
keen	dedzīgs	Viņa ir dedzīga mācīties.
keyboard	tastatūra	Mana tastatūra pārstāja darboties.
kick	spert	Sper bumbu maigi.
killing	nogalināšana	Nogalināšana satrieca ciemu.
kind (caring)	laipns	Tas bija laipns žests.
kiss	skūpsts	Viņa iedeva bērnam skūpstu.
label	etiķete	Pirms lietošanas izlasi etiķeti.
laboratory	laboratorija	Laboratorija šodien ir slēgta.
lack	trūkums	Miega trūkums kaitē atmiņai.
latest	jaunākais	Vai esi izlasījis jaunāko ziņojumu?
lay	nolikt	Noliec grāmatu uz galda.
layer	slānis	Pievieno vēl vienu krāsas slāni.
leading	vadošs	Viņa ir vadoša zinātniece.
leaf	lapa	Lapa nokrita uz mana mēteļa.
leather	āda	Viņa soma ir izgatavota no ādas.
legal	juridisks	Mums vajag juridisku padomu.
leisure	brīvais laiks	Lasīšana ir mana mīļākā brīvā laika nodarbe.
length	garums	Izmēri istabas garumu.
lie2 (tell a lie)	melot	Nemelo saviem vecākiem.
limit	ierobežojums	Ātruma ierobežojums ir piecdesmit.
lip	lūpa	Viņa iekoda lūpā.
liquid	šķidrums	Ūdens ir dzidrs šķidrums.
literature	literatūra	Viņa studē franču literatūru.
