source_headword	RO	example_RO
rock (music)	muzică rock	Îmi place muzica rock.
role	un rol	Rolul ei este important.
roof	un acoperiș	Acoperișul trebuie reparat.
round	rotund	Masa este rotundă.
route	o rută	Această rută este mai scurtă.
rubbish	gunoi	Scoate gunoiul afară.
rude	nepoliticos	Comentariul acela a fost nepoliticos.
runner	un alergător	Alergătorul pare obosit.
running	alergare	Alergarea mă menține sănătos.
sadly	din păcate	Din păcate, am pierdut trenul.
safe	sigur	Strada aceasta pare sigură.
sail	a naviga	Sâmbătă vom naviga.
sailing	navigație	Navigația este populară aici.
salary	un salariu	Salariul lui este mai mare acum.
sale	o reducere	Reducerea începe mâine.
sauce	un sos	Adaugă sos la orez.
save	a salva	Salvează-ți munca acum.
scared	speriat	Copilul este speriat.
scary	înfricoșător	Povestea aceasta este înfricoșătoare.
scene	o scenă	Ultima scenă a fost amuzantă.
schedule	un program	Verifică programul azi.
score	un scor	Care este scorul?
screen	un ecran	Curăță ecranul cu grijă.
search	a căuta	Caută imagini pe internet.
season	un anotimp	Vara este un anotimp aglomerat.
seat	un loc	Ia locul acesta, te rog.
second1 (next after the first)	al doilea	În al doilea rând, spală-te pe mâini.
secondly	în al doilea rând	În al doilea rând, verifică răspunsul.
secret	un secret	Păstrează secretul acesta în siguranță.
secretary	un secretar	Secretarul a sunat azi.
seem	a părea	Pari obosit.
sense	un sens	Planul acesta are sens.
separate	separat	Ține hârtiile separat.
series	un serial	Serialul acesta este popular.
serious	serios	Problema aceasta este serioasă.
serve	a servi	Servesc prânzul la amiază.
service	un serviciu	Serviciul a fost rapid.
several	mai mulți	Mai mulți studenți au venit devreme.
shake	a agita	Agită sticla mai întâi.
shall modal	să	Să începem acum?
shape	o formă	Desenează o formă pătrată.
sheet	un cearșaf	Pune cearșaful pe pat.
ship	o navă	Nava a plecat astăzi.
shoulder	un umăr	Mă doare umărul.
shout	a striga	Nu striga în clasă.
shut	a închide	Închide fereastra, te rog.
side	o parte	Stai pe partea aceasta.
sign	un semn	Citește semnul cu atenție.
silver	argint	Argintul este un metal deschis la culoare.
simple	simplu	Exercițiul acesta este simplu.
since	de la	Aștept de la prânz.
singing	cântat	Cântatul mă ajută să mă relaxez.
single	un singur	Am cumpărat un singur bilet.
sir	domnule	Domnule, geanta dumneavoastră este gata.
site	un site	Site-ul acesta este sigur.
size	o mărime	Ce mărime îți trebuie?
ski	a schia	Iarna schiem.
skiing	schi	Schiul este distractiv iarna.
skin	piele	Pielea ei este uscată.
sky	cer	Cerul este senin.
slowly	încet	Mergi încet pe gheață.
smartphone	un smartphone	Smartphone-ul meu este nou.
smell	un miros	Supa miroase bine.
smile	un zâmbet	Zâmbește la cameră.
smoke	fum	Fumul a umplut camera.
smoking	fumat	Fumatul nu este permis.
soap	săpun	Folosește săpun și apă.
soccer	fotbal	Fotbalul este popular aici.
social	social	Acesta este un eveniment social.
society	o societate	Societatea se schimbă în timp.
sock	o șosetă	Lipsește o șosetă.
soft	moale	Pătura aceasta este moale.
soldier	un soldat	Soldatul s-a întors acasă.
solution	o soluție	Am găsit o soluție.
solve	a rezolva	Rezolvă acest puzzle.
somewhere	undeva	Pune-l undeva în siguranță.
sort	un fel	Ce fel vrei?
source	o sursă	Verifică mai întâi sursa.
speaker	un vorbitor	Vorbitorul era tare.
specific	specific	Am nevoie de un răspuns specific.
speech	un discurs	Discursul ei a fost scurt.
speed	o viteză	Redu viteza aici.
spider	un păianjen	Este un păianjen pe perete.
spoon	o lingură	Folosește lingura pentru supă.
square	pătrat	Desenează o cutie pătrată.
stage	o scenă	Trupa este pe scenă.
stair	o treaptă	Treapta este ruptă.
stamp	un timbru	Pune timbrul pe scrisoare.
state	a declara	Spune-ți numele clar.
steal	a fura	Nu fura bani.
step	un pas	Fă un pas înainte.
stomach	un stomac	Mă doare stomacul.
stone	o piatră	Piatra este grea.
store	un magazin	Magazinul se închide devreme.
storm	o furtună	Vine o furtună.
straight	drept	Mergi drept acasă.
strange	ciudat	Sunetul acela este ciudat.
strategy	o strategie	Avem nevoie de o strategie.
stress	stres	Munca poate provoca stres.
structure	o structură	Structura aceasta este solidă.
stupid	prost	A fost o greșeală proastă.
succeed	a reuși	Poți reuși aici.
successful	de succes	A avut succes.
such	astfel de	Astfel de ajutor este util.
suddenly	brusc	Brusc, câinele a fugit.
suggest	a sugera	Sugerez o pauză scurtă.
suggestion	o sugestie	Sugestia ta este utilă.
suit	un costum	Costumul acesta este scump.
support	a sprijini	Sprijinim echipa noastră.
suppose	a presupune	Presupun că ai dreptate.
surprise	o surpriză	Surpriza a bucurat-o.
surprised	surprins	Ea a fost surprinsă azi.
surprising	surprinzător	Rezultatul a fost surprinzător.
survey	un sondaj	Te rog, completează sondajul.
sweet	dulce	Ceaiul acesta este dulce.
symbol	un simbol	Simbolul acesta înseamnă pericol.
system	un sistem	Sistemul funcționează bine.
tablet	o tabletă	Tableta mea este pe masă.
target	o țintă	Lovește ținta cu grijă.
task	o sarcină	Sarcina aceasta este ușoară.
taste	un gust	Gustă supa mai întâi.
teaching	predare	Predarea este muncă grea.
technology	tehnologie	Tehnologia se schimbă rapid.
teenage	adolescent	Fratele meu adolescent învață mult.
temperature	o temperatură	Temperatura este scăzută.
term	un semestru	Semestrul acesta se termină curând.
themselves	ei înșiși	Ei înșiși au gătit cina.
thick	gros	Cartea aceasta este groasă.
thief	un hoț	Hoțul a fugit.
thin	subțire	Hârtia este subțire.
thinking	gândire	Gândirea cere timp.
thought	un gând	Am avut un gând ciudat.
throw	a arunca	Aruncă mingea încet.
tidy	ordonat	Ține-ți camera ordonată.
tie	a lega	Leagă-ți pantofii acum.
tip	un bacșiș	Lasă bacșiș pentru serviciu.
