source_headword	HY	example_HY
heal	բուժել	Հանգիստն օգնում է մարմնին ապաքինվել։
healthcare	առողջապահություն	Այս տարի առողջապահության ծախսերն աճել են։
helmet	սաղավարտ	Հեծանիվ վարելիս սաղավարտ կրեք։
hence	հետևաբար	Հետևաբար, մենք փոխեցինք ժամանակացույցը։
herb	խոտաբույս	Ռեհանն օգտակար խոտաբույս է։
hidden	թաքնված	Բանալին թաքնված էր գորգի տակ։
highway	մայրուղի	Մայրուղին փակվել էր ձյունից հետո։
hilarious	զվարճալի	Ֆիլմը շատ զվարճալի էր։
hip	կոնք	Նա վարժության ժամանակ վնասել է կոնքը։
historian	պատմաբան	Պատմաբանն ուսումնասիրեց հին նամակները։
homeless	անտուն	Կացարանն օգնում է անտուն ընտանիքներին։
honesty	ազնվություն	Ազնվությունը վստահություն է կառուցում։
hook	կեռիկ	Վերարկուն կախեք կեռիկից։
hopefully	հուսով եմ	Հուսանք, որ գնացքը շուտով կժամանի։
hunger	քաղց	Քաղցը կարող է ազդել կենտրոնացման վրա։
hypothesis	վարկած	Փորձը ստուգեց վարկածը։
icon	պատկերակ	Հավելվածի պատկերակն այսօր փոխվել է։
ID	անձը հաստատող փաստաթուղթ	Ցույց տվեք ձեր անձը հաստատող փաստաթուղթը ընդունարանում։
identical	նույնական	Երկվորյակները միանման բաճկոններ էին հագել։
illusion	պատրանք	Հայելին պատրանք է ստեղծում։
immigration	ներգաղթ	Ներգաղթի քաղաքականությունն անցյալ տարի փոխվել է։
immune	իմունային	Պատվաստումը կարող է մարդկանց անընկալունակ դարձնել։
implement	իրականացնել	Դպրոցը կիրականացնի քաղաքականությունը։
implication	ենթատեքստ	Ենթատեքստը պարզ էր։
incentive	խթան	Պարգևավճարը խթան հանդիսացավ աշխատողների համար։
incorporate	ներառել	Սննդակարգում ավելի շատ բանջարեղեն ներառեք։
incorrect	սխալ	Պատասխանը սխալ էր։
independence	անկախություն	Երկիրը նշեց անկախությունը։
index	ցուցիչ	Թեման գտնելու համար ստուգեք ցուցիչը։
indication	նշան	Ժպիտը թեթևացման նշան էր։
inevitable	անխուսափելի	Որոշ ուշացում անխուսափելի էր։
inevitably	անխուսափելիորեն	Անխուսափելիորեն պակասորդից հետո գներն աճեցին։
infer	եզրակացնել	Մենք կարող ենք պատասխանը եզրակացնել համատեքստից։
