source_headword	MS	example_MS
institute	institut	Institut itu membuka program penyelidikan baharu.
institution	institusi	Institusi tersebut mengubah peraturan kemasukannya.
insurance	insurans	Insuransnya menanggung kos hospital.
intended	disasarkan	Mesej itu sampai kepada penonton yang disasarkan.
intense	sengit	Perdebatan itu menjadi sengit dengan sangat cepat.
internal	dalaman	Syarikat itu memulakan satu tinjauan dalaman.
interpret	tafsir	Sila tafsir keputusan itu dengan berhati-hati.
interrupt	ganggu	Jangan ganggu penceramah sekarang.
investigation	penyiasatan	Penyiasatan itu mendedahkan kesilapan yang serius.
investment	pelaburan	Pelaburan itu mencipta banyak pekerjaan tempatan.
joy	kegembiraan	Kejayaan mereka membawa kegembiraan yang besar.
judgement	pertimbangan	Pertimbangannya bertambah baik dengan pengalaman.
junior	bawahan	Dia menyertai pasukan itu sebagai penganalisis bawahan.
justice	keadilan	Keluarga itu menuntut keadilan selepas perbicaraan.
justify	menjustifikasikan	Anda mesti menjustifikasikan keputusan itu dengan jelas.
labour	tenaga kerja	Projek itu memerlukan tenaga kerja mahir.
landscape	landskap	Landskap berubah selepas ribut itu.
largely	sebahagian besarnya	Pelan itu sebahagian besarnya berjaya.
launch	lancar	Mereka akan melancarkan produk itu esok.
leadership	kepimpinan	Kepimpinan yang kuat membantu pasukan itu pulih.
league	liga	Kelab kami menyertai satu liga serantau.
lean	bersandar	Jangan bersandar pada dinding basah itu.
licence	lesen	Lesen itu tamat tempoh bulan depan.
limited	terhad	Kami mempunyai masa yang terhad hari ini.
lively	meriah	Mesyuarat itu menjadi meriah selepas makan tengah hari.
load	muatan	Trak itu membawa muatan yang berat.
loan	pinjaman	Bank telah meluluskan pinjaman itu.
logical	logik	Hujahnya jelas dan logik.
long-term	jangka panjang	Ini adalah penyelesaian jangka panjang.
loose	longgar	Pemegang itu terasa longgar.
lord	pembesar	Pembesar itu memiliki beberapa buah kampung.
lower	turunkan	Mereka menurunkan harga semasa musim sejuk.
lung	paru-paru	Merokok boleh merosakkan paru-paru.
maintain	kekalkan	Kami mengekalkan hubungan secara tetap.
majority	majoriti	Majoriti menyokong cadangan itu.
mass	kelompok	Sekumpulan awan menutupi langit.
massive	besar-besaran	Gempa bumi itu menyebabkan kerosakan besar-besaran.
master	pakar	Dia menjadi seorang pakar perundingan.
matching	sepadan	Dia memakai kasut dan tali pinggang yang sepadan.
maximum	maksimum	Bilik itu mencapai kapasiti maksimum.
means	cara	E-mel adalah cara perhubungan utama kami.
measurement	ukuran	Ukuran itu salah sedikit.
melt	cair	Salji akan cair menjelang tengah hari.
military	tentera	Pangkalan tentera itu ditutup tahun lepas.
mineral	mineral	Besi adalah mineral yang penting.
minimum	minimum	Umur minimum ialah lapan belas tahun.
minister	menteri	Menteri itu menjawab soalan-soalan yang sukar.
minor	kecil	Kemalangan itu menyebabkan kerosakan kecil.
minority	minoriti	Satu minoriti menentang peraturan baharu itu.
mission	misi	Misi mereka berakhir dengan selamat.
mixed	bercampur	Berita itu menerima reaksi yang bercampur-campur.
modify	mengubah suai	Kita boleh mengubah suai reka bentuk itu kemudian.
monitor	monitor	Jururawat akan memantau keadaannya.
moral	moral	Cerita ini mempunyai pengajaran moral.
motor	motor	Motor itu berhenti tanpa amaran.
mount	memasang	Mereka memasang kamera berhampiran pintu masuk.
multiple	pelbagai	Pelbagai faktor menyebabkan kelewatan itu.
multiply	mendarab	Darabkan nombor itu dengan sepuluh.
mysterious	misteri	Cahaya misteri muncul di luar.
neat	kemas	Meja kerjanya sentiasa kemas.
nerve	saraf	Kecederaan itu merosakkan saraf.
nevertheless	walau bagaimanapun	Tugas itu sukar; walau bagaimanapun, kami menyelesaikannya.
nightmare	mimpi ngeri	Perjalanan itu menjadi mimpi ngeri.
notion	tanggapan	Tolak tanggapan bahawa perubahan adalah mustahil.
numerous	banyak	Banyak kajian menyokong idea ini.
obey	mematuhi	Pemandu mesti mematuhi papan tanda.
objective	objektif	Objektif kami adalah untuk mengurangkan sisa.
obligation	kewajipan	Ibu bapa mempunyai kewajipan untuk melindungi kanak-kanak.
observation	pemerhatian	Pemerhatiannya mengubah perbincangan itu.
observe	memerhati	Para saintis memerhati burung-burung itu pada setiap musim bunga.
obtain	mendapatkan	Anda mesti mendapatkan kebenaran bertulis.
occasionally	kadangkala	Dia kadangkala bekerja dari rumah.
offence	kesinggungan	Komen tersebut menyebabkan kesinggungan yang serius.
offend	menyinggung perasaan	Saya tidak berniat untuk menyinggung perasaan sesiapa.
offensive	menyinggung perasaan	Poster itu mengandungi bahasa yang menyinggung perasaan.
opening	kekosongan	Kekosongan jawatan itu menarik ramai pemohon.
operate	beroperasi	Mesin itu boleh beroperasi secara automatik.
opponent	lawan	Lawannya mengkritik dasar tersebut.
oppose	menentang	Ramai penduduk menentang rancangan itu.
opposed	bertentangan	Kumpulan tersebut memegang pandangan yang bertentangan.
opposition	tentangan	Cadangan itu menghadapi tentangan yang kuat.
organ	organ	Jantung adalah organ yang penting.
origin	asal usul	Asal usul kebakaran itu tidak diketahui.
otherwise	jika tidak	Pergi sekarang; jika tidak, anda akan terlambat.
outcome	keputusan	Keputusan itu mengejutkan semua orang.
outer	luaran	Dinding luar itu memerlukan pembaikan.
outline	menggariskan	Sila gariskan hujah utama anda.
overall	keseluruhan	Hasil keseluruhannya adalah positif.
owe	berhutang	Saya berhutang permohonan maaf kepada anda.
pace	rentak	Berjalan pada rentak yang stabil.
panel	panel	Panel itu membincangkan dasar iklim.
parliament	parlimen	Parlimen meluluskan undang-undang baharu itu.
participant	peserta	Setiap peserta menandatangani borang tersebut.
partly	sebahagiannya	Kelewatan itu sebahagiannya adalah salah kami.
passage	petikan	Baca petikan itu sebelum menjawab.
pension1	pencen	Pencennya menyaranya selepas bersara.
permanent	kekal	Mereka memerlukan penyelesaian yang kekal.
permit	membenarkan	Peraturan membenarkan lawatan singkat.
perspective	perspektif	Cuba lihat dari perspektifnya.
phase	fasa	Projek tersebut memasuki fasa terakhirnya.
phenomenon	fenomena	Fenomena ini berlaku dalam banyak budaya.
philosophy	falsafah	Falsafahnya mementingkan tindakan praktikal.
pile	timbunan	Timbunan kertas menutupi meja.
pitch	padang	Pasukan itu menyediakan padang dengan teliti.
plain	jelas	Arahan itu jelas dan mudah.
pointed	tajam	Dia membuat teguran yang tajam.
popularity	populariti	Penyanyi itu meraih populariti dalam talian.
pose	menimbulkan	Soalan itu mungkin menimbulkan masalah.
possess	memiliki	Hanya segelintir pelajar yang memiliki kemahiran itu.
potential	potensi	Idea itu mempunyai potensi yang sebenar.
praise	pujian	Guru memberikan pujian yang ikhlas.
pregnant	hamil	Dia hamil enam bulan.
preparation	persiapan	Persiapan yang baik mengurangkan tekanan.
presence	kehadiran	Kehadirannya mengubah suasana.
preserve	memelihara	Kita mesti memelihara bangunan bersejarah ini.
prime	utama	Punca utama adalah perancangan yang lemah.
principle	prinsip	Keputusan itu mengikut prinsip yang jelas.
priority	keutamaan	Keselamatan adalah keutamaan pertama kami.
privacy	privasi	Pelanggan mengharapkan privasi dalam talian.
procedure	prosedur	Prosedur itu mengambil masa tiga puluh minit.
proof	bukti	Kita perlukan bukti sebelum bertindak.
proposal	cadangan	Cadangan itu memerlukan lebih banyak butiran.
propose	mencadangkan	Saya mencadangkan penyelesaian yang berbeza.
prospect	kemungkinan	Kemungkinan untuk gagal merisaukan mereka.
protection	perlindungan	Topi keledar memberikan perlindungan asas.
psychologist	pakar psikologi	Pakar psikologi menerangkan hasil ujian tersebut.
psychology	psikologi	Dia belajar psikologi di universiti.
publication	penerbitan	Penerbitan itu menarik perhatian umum.
pupil	murid	Setiap murid menerima buku teks baharu.
purchase	membeli	Mereka membeli bekalan setiap bulan.
pure	bersih	Air itu bersih dan sejuk.
pursue	mengejar	Dia akan mengejar kerjaya perubatan.
rank	pangkat	Dia memegang pangkat kanan.
rapid	pesat	Negara ini menyaksikan pertumbuhan yang pesat.
rapidly	dengan cepat	Harga meningkat dengan cepat pada tahun ini.
raw	mentah	Cef itu menyediakan sayur-sayuran mentah.
realistic	realistik	Tetapkan tarikh akhir yang realistik.
reasonable	munasabah	Itu kelihatan seperti permintaan yang munasabah.
recall	ingat semula	Saya ingat kata-kata tepatnya.
recover	pulih	Dia akan pulih selepas rawatan.
reduction	pengurangan	Pengurangan itu menjimatkan wang.
regard	menganggap	Ramai orang menganggapnya jujur.
regional	serantau	Pejabat serantau ditutup hari ini.
register	mendaftar	Sila mendaftar sebelum persidangan.
regret	menyesal	Saya menyesali keputusan awal saya.
regulation	peraturan	Peraturan baharu itu menjejaskan semua pemandu.
relatively	secara relatif	Peperiksaan itu secara relatifnya mudah.
relevant	relevan	Pilih hanya butiran yang relevan.
relief	kelegaan	Berita itu membawa kelegaan yang besar.
rely	bergantung	Kanak-kanak bergantung kepada sokongan orang dewasa.
remark	komen	Komennya menamatkan perbincangan.
representative	wakil	Wakil itu bertemu dengan pekerja tempatan.
reputation	reputasi	Hotel itu mempunyai reputasi yang baik.
requirement	keperluan	Pengalaman adalah keperluan asas.
rescue	menyelamat	Mereka menyelamatkan orang daripada banjir.
reserve	menempah	Kami menempah tempat duduk untuk tetamu.
resident	penduduk	Setiap penduduk menerima notis.
resist	menentang	Cuba untuk menahan tekanan.
resolve	menyelesaikan	Mereka menyelesaikan pertikaian secara aman.
resort	tempat peranginan	Tempat peranginan pulau itu dibuka pada bulan Mei.
retain	mengekalkan	Syarikat itu mahu mengekalkan kakitangan.
reveal	mendedahkan	Laporan itu akan mendedahkan kebenaran.
revolution	revolusi	Revolusi telah mengubah negara.
reward	ganjaran	Kerja keras layak mendapat ganjaran.
rhythm	irama	Lagu ini mempunyai irama yang stabil.
rid	membuang	Buang fail-fail lama itu.
root	punca	Punca masalah itu adalah wang.
rub	menggosok	Gosok permukaan dengan kain.
rubber	getah	Pengedap getah menghalang kebocoran.
rural	luar bandar	Banyak sekolah luar bandar memerlukan sokongan.
rush	tergesa-gesa	Jangan tergesa-gesa membuat keputusan ini.
satellite	satelit	Satelit menghantar imej baharu.
satisfied	berpuas hati	Pelanggan nampaknya berpuas hati.
satisfy	memuaskan	Jawapan itu tidak memuaskannya.
saving	penjimatan	Penjimatan tenaga mengurangkan kos bulanan.
scale	skala	Skala kerosakan adalah besar.
scheme	skim	Skim ini membantu pekerja muda.
scream	jeritan	Mereka mendengar jeritan di luar.
sector	sektor	Sektor teknologi sedang berkembang.
secure	mengamankan	Kunci pintu untuk memastikannya selamat.
seek	mencari	Mereka mendapatkan nasihat daripada pakar.
select	memilih	Pilih pilihan yang terbaik.
selection	pilihan	Kedai ini menawarkan pelbagai pilihan.
self	diri	Dia menunjukkan dirinya yang sebenar.
senior	kanan	Doktor kanan memeriksa pesakit itu.
sensitive	sensitif	Topik ini sangat sensitif.
sequence	urutan	Ikut urutan langkah tersebut.
session	sesi	Sesi latihan bermula pada waktu tengah hari.
settle	menyelesaikan	Mereka menyelesaikan pertengkaran itu dengan cepat.
severe	teruk	Ribut itu menyebabkan banjir teruk.
shade	teduh	Duduk di tempat teduh.
shadow	bayang-bayang	Sesuatu bayang melintasi tingkap.
shallow	cetek	Tasik ini cetek di sini.
shame	rasa malu	Dia berasa malu selepas berbohong.
shelter	tempat perlindungan	Sekolah menyediakan tempat perlindungan kecemasan.
shock	kejutan	Keputusan itu merupakan satu kejutan.
shocked	terkejut	Dia kelihatan terkejut dengan berita itu.
shooting	tembakan	Insiden tembakan itu berlaku berhampiran stesen.
shot	tembakan	Tembakan kemenangan itu mengejutkan semua orang.
significant	penting	Penemuan itu sangat penting.
significantly	dengan ketara	Kos meningkat dengan ketara tahun lepas.
silence	kesunyian	Bilik itu menjadi sunyi.
silk	sutera	Gaun itu diperbuat daripada sutera.
sincere	ikhlas	Sila terima ucapan terima kasih saya yang ikhlas.
slave	hamba	Undang-undang itu membebaskan setiap hamba.
slide	meluncur	Kanak-kanak itu menuruni papan gelongsor.
slight	sedikit	Terdapat sedikit kelewatan.
slip	tergelincir	Jangan tergelincir di atas lantai yang basah.
slope	cerun	Laluan itu mengikut cerun yang curam.
solar	solar	Rumah itu menggunakan tenaga suria.
somewhat	agak	Arahan itu agak mengelirukan.
soul	jiwa	Muzik menaikkan jiwanya.
specialist	pakar	Pakar itu memeriksa pesakit.
species	spesies	Spesies ini hidup berhampiran sungai.
spiritual	kerohanian	Dia menceritakan pengalaman kerohanian.
split	membahagikan	Mereka membahagikan bil itu sama rata.
sponsor	menaja	Syarikat itu akan menaja acara tersebut.
stable	stabil	Pesakit berada dalam keadaan stabil.
stare	merenung	Jangan merenung orang yang tidak dikenali.
status	status	Statusnya berubah dalam sekelip mata.
steady	stabil	Kekalkan kelajuan yang stabil.
steel	keluli	Jambatan itu diperbuat daripada keluli.
steep	curam	Bukit itu curam.
sticky	melekit	Lantai itu terasa melekit.
stiff	kaku	Bahunya berasa kaku.
stock	stok	Kedai itu tiada stok yang tinggal.
stream	anak sungai	Sebatang anak sungai kecil merentasi padang itu.
stretch	meregangkan	Regangkan kaki anda selepas penerbangan itu.
strict	ketat	Sekolah itu mempunyai peraturan yang ketat.
strike	mogok	Pekerja mungkin akan melancarkan mogok esok.
struggle	bergelut	Banyak keluarga bergelut untuk membayar sewa.
submit	menyerahkan	Serahkan borang tersebut menjelang hari Jumaat.
sum	jumlah	Jumlah itu lebih tinggi daripada yang dijangkakan.
surgery	pembedahan	Pembedahan itu berlarutan selama dua jam.
surround	mengelilingi	Pokok-pokok tinggi mengelilingi rumah itu.
surrounding	sekeliling	Kawasan sekeliling adalah sunyi.
suspect	mengesyaki	Polis mengesyaki seorang lelaki tempatan.
swear	mencarut	Jangan mencarut di dalam kelas.
sweep	menyapu	Sapu lantai sebelum tetamu tiba.
sympathy	simpati	Dia meluahkan rasa simpati kepada mangsa.
tale	kisah	Nenek menceritakan satu kisah yang pelik.
tank	tangki	Tangki itu mengandungi air bersih.
tear1	mengoyakkan	Jangan koyakkan dokumen itu.
tear2	air mata	Setitis air mata mengalir di pipinya.
temporary	sementara	Pejabat itu adalah tempat perlindungan sementara.
therapy	terapi	Terapi fizikal membantu pemulihannya.
threat	ancaman	Mesej itu mengandungi satu ancaman.
