source_headword	FR	example_FR
absolutely	absolument	Je suis absolument d'accord avec toi.
academic	académique	L'année académique commence en septembre.
access	l'accès	Les étudiants ont besoin d'accès à la bibliothèque.
accommodation	le logement	Nous avons réservé un logement près de la gare.
account	le compte	Elle a ouvert un nouveau compte bancaire.
achievement	la réussite	Terminer le cours a été une grande réussite.
ad	la publicité	La publicité montrait un nouveau téléphone.
addition	l'ajout	La piscine est un ajout utile.
admire	admirer	J'admire son attitude calme.
admit	admettre	Il a admis son erreur.
advanced	avancé	C'est un cours d'anglais avancé.
advise	conseiller	Les médecins conseillent de faire de l'exercice régulièrement.
afford	pouvoir payer	Nous ne pouvons pas payer un taxi.
aged	âgé	Le cours est pour des enfants âgés de dix ans.
agent	l'agent	L'agent de voyages a changé nos billets.
agreement	l'accord	Ils ont conclu un accord aujourd'hui.
ahead	devant	La route devant nous est dégagée.
aim	viser	Nous visons à finir bientôt.
alarm	l'alarme	L'alarme a sonné à six heures.
album	l'album	Cet album contient dix chansons.
alcohol	l'alcool	L'hôtel ne sert pas d'alcool.
alcoholic	alcoolisé	Cette boisson n'est pas alcoolisée.
amazed	étonné	Elle a été étonnée par le résultat.
ambition	l'ambition	Son ambition est de devenir pilote.
ambitious	ambitieux	Elle a un plan ambitieux.
analyse	analyser	Nous devons analyser les résultats.
analysis	l'analyse	Son analyse était claire et soigneuse.
announce	annoncer	Ils annonceront le gagnant demain.
announcement	l'annonce	L'annonce a surpris tout le monde.
annoy	agacer	La musique forte peut agacer les voisins.
annoyed	agacé	Il avait l'air agacé après le retard.
annoying	agaçant	Ce bruit est vraiment agaçant.
apart	séparés	Les maisons sont séparées de deux mètres.
apologize	s'excuser	Je m'excuse d'être en retard.
application	la demande	Veuillez remplir la demande en ligne.
appointment	le rendez-vous	J'ai un rendez-vous chez le dentiste demain.
appreciate	apprécier	J'apprécie ton aide.
approximately	environ	La marche prend environ vingt minutes.
arrest	arrêter	La police a arrêté le conducteur.
arrival	l'arrivée	Notre arrivée a été plus tardive que prévu.
assignment	le devoir	Le devoir est à rendre vendredi.
assist	aider	Les infirmières aident le médecin.
atmosphere	l'ambiance	Le café a une ambiance détendue.
attach	joindre	Joins le fichier à ton courriel.
attitude	l'attitude	Son attitude a changé après la réunion.
attract	attirer	Les fleurs vives attirent les abeilles.
attraction	l'attraction	Le château est une attraction populaire.
authority	l'autorité	L'autorité locale a réparé la route.
aware	conscient	Elle est consciente du risque.
backwards	en arrière	Il a marché en arrière avec prudence.
bake	cuire	Je cuis du pain chaque dimanche.
balance	l'équilibre	De bonnes chaussures aident ton équilibre.
ban	interdire	La ville interdira les voitures.
bank (river)	la rive	Nous nous sommes assis sur la rive de la rivière.
base	la base	L'équipe est retournée à la base.
basic	de base	Tout le monde a besoin de compétences informatiques de base.
basis	la base	La confiance est la base de l'amitié.
battery	la batterie	La batterie de mon téléphone est faible.
battle	la bataille	La bataille a duré toute la nuit.
beauty	la beauté	Nous avons admiré la beauté des montagnes.
bee	l'abeille	Une abeille s'est posée sur la fleur.
belief	la croyance	Sa croyance lui a donné du courage.
bell	la cloche	La cloche de l'école a sonné fort.
bend	plier	Pliez les genoux quand vous soulevez.
bite	mordre	Le chien pourrait mordre les inconnus.
block	bloquer	Un arbre tombé a bloqué la route.
bomb	la bombe	La bombe a endommagé plusieurs bâtiments.
border	la frontière	Ils ont traversé la frontière la nuit.
bother	déranger	Ne dérange pas ta sœur, s'il te plaît.
branch	la branche	Une branche s'est cassée pendant la tempête.
brand	la marque	Cette marque est populaire auprès des étudiants.
brave	courageux	L'homme courageux a sauvé l'enfant.
breath	le souffle	Prends une profonde respiration.
breathe	respirer	Je ne peux pas respirer dans cette fumée.
breathing	la respiration	Sa respiration était lente.
bride	la mariée	La mariée portait une robe blanche.
bubble	la bulle	Une bulle flottait au-dessus du verre.
bury	enterrer	Ils ont enterré la boîte dans le sable.
calm	calme	Reste calme pendant l'examen.
campaign	la campagne	La campagne a collecté de l'argent pour les écoles.
