simplified	SK	example_SK
啊	častica súhlasu alebo potvrdenia	Dobre, poďme teraz.
阿姨	teta; opatrovateľka detí; staršia žena	Teta pracuje vo veľkom obchode.
矮	nízky; malý	Tento stôl je trochu nízky.
爱好	koníček; záujem	Mojím koníčkom je počúvať hudbu.
安静	tichý; pokojný	V knižnici je veľmi ticho.
把	držať; uchopiť; predmetová častica	Prosím, zatvorte dvere.
搬	sťahovať sa; prenášať	Zajtra sa sťahujeme.
班	trieda; skupina	V našej triede je dvadsať žiakov.
办法	spôsob; metóda; riešenie	Tento spôsob je veľmi dobrý.
办公室	kancelária	Vedúci je v kancelárii.
半	pol; polovica	Čakal som pol hodiny.
帮忙	pomáhať; pomôcť	Môžete pomôcť?
包	taška; baliť; obaliť	Kúpila si novú tašku.
饱	sýty; najedený	Už som sýty.
北方	sever; severná časť	Na severe je zima veľmi chladná.
被	trpná častica; od	Môj bicykel si požičal kamarát.
鼻子	nos	Jeho nos je trochu červený.
比较	porovnávať; dosť	Dnes je dosť horúco.
比赛	zápas; súťaž	Tento zápas je veľmi dôležitý.
笔记本	zošit; zápisník	Položil som zošit na stôl.
必须	musieť; byť nutné	Musíš sa dôkladne pripraviť.
变化	zmena; meniť sa	Toto mesto sa veľmi zmenilo.
别人	iní ľudia	Neber veci iných ľudí.
冰箱	chladnička	Ovocie je v chladničke.
不但…而且…	nielen... ale aj...	Je nielen múdry, ale aj pracovitý.
菜单	jedálny lístok	Prosím, dajte mi jedálny lístok.
参加	zúčastniť sa; zúčastniť sa	Chcem sa zúčastniť tejto schôdzky.
草	tráva	Šteniatko behá po tráve.
层	poschodie; vrstva	Táto budova má tri poschodia.
差	zlý; líšiť sa; chýbať	Dnes je zlé počasie.
超市	veľký obchod; samoobsluha	Idem do veľkého obchodu kúpiť chlieb.
衬衫	košeľa; blúzka	Táto košeľa je veľmi čistá.
城市	mesto	Peking je veľké mesto.
成绩	výsledok; známka	Jeho známky z matematiky sú veľmi dobré.
迟到	prísť neskoro	Nepríď neskoro na hodinu.
除了	okrem; mimo	Okrem kávy chcem aj čaj.
船	loď	Do toho mesta ideme loďou.
春	jar	Na jar je veľa kvetov.
词典	slovník	Tento slovník je veľmi užitočný.
聪明	múdry; inteligentný	Toto dieťa je veľmi múdre.
打扫	upratovať; zametať	Cez víkend upratujem izbu.
打算	plánovať; zamýšľať	Aké máš plány na zajtra?
带	priniesť; vziať so sebou	Prosím, vezmite si pas.
担心	mať starosť; obávať sa	Nemaj starosť, pomôžem ti.
蛋糕	torta; koláč	Táto torta je veľmi sladká.
当然	samozrejme; iste	Samozrejme môžeš.
地	častica príslovkového určenia	Usmial sa šťastne.
灯	lampa; svetlo	Prosím, zapnite svetlo.
地方	miesto; oblasť	Toto miesto je veľmi pokojné.
地铁	metro	Každý deň chodím do práce metrom.
地图	mapa	Hľadám školu na mape.
电梯	výťah	Výťah je vľavo.
电子邮件	elektronická pošta	Posielam učiteľovi správu elektronickou poštou.
东	východ	Slnko vychádza na východe.
冬	zima	V zime rád pijem horúci čaj.
动物	zviera	Panda je v Číne známe zviera.
短	krátky	Tieto nohavice sú príliš krátke.
段	odsek; úsek	Prosím, prečítajte tento odsek.
锻炼	cvičiť; trénovať	Každé ráno cvičím.
多么	aký; ako	Aké dobré je tunajšie prostredie!
饿	hladný	Som hladný a chcem jesť chlieb.
耳朵	ucho	Trochu ma bolí ucho.
发	posielať; vydávať	Večer posielam správy elektronickou poštou.
发烧	mať horúčku	Má horúčku a nemôže ísť do školy.
发现	objaviť; zistiť	Zistil som, že tento spôsob je dobrý.
方便	pohodlný; výhodný	Jazda metrom je pohodlná.
放	položiť; dať; pustiť	Prosím, položte knihu na stôl.
放心	byť pokojný; prestať sa báť	Neboj sa, prídem včas.
分	deliť; rozdeliť	Prosím, rozdeľte tortu medzi všetkých.
复习	opakovať učivo; opakovanie	Pred skúškou musím opakovať učivo.
附近	blízko; okolie	Blízko je reštaurácia.
干净	čistý; uprataný	Táto izba je veľmi čistá.
感冒	prechladnúť; prechladnutie	Som prechladnutý a chcem si oddýchnuť.
感兴趣	mať záujem	Mám veľký záujem o čínštinu.
刚才	práve; pred chvíľou	Kto ti pred chvíľou volal?
个子	výška; postava	Je vysoký.
根据	podľa; na základe	Podľa mapy je škola na východe.
跟	s; nasledovať	Idem do parku s kamarátom.
更	viac; ešte	Dnes je ešte chladnejšie ako včera.
公斤	kilogram	Tieto jablká vážia jeden kilogram.
公园	verejný park	Deti sa hrajú v parku.
故事	príbeh	Dedko mi rozpráva príbeh.
刮风	fúkať vietor; byť veterno	Dnes fúka vietor, nejazdi na bicykli.
关	zatvoriť; vypnúť	Prosím, zatvorte dvere.
关系	vzťah	Môj vzťah s kolegom je dobrý.
关心	starať sa; zaujímať sa	Mama sa veľmi stará o moje zdravie.
关于	o; týkajúci sa	Táto kniha je o čínskej kultúre.
国家	štát; krajina	Čína je veľmi veľká krajina.
过	častica skúsenosti; mať za sebou	Bol som v Pekingu.
过去	minulosť; kedysi	Kedysi tu nebolo metro.
还是	alebo; stále	Piješ čaj, alebo kávu?
害怕	báť sa	Nebojím sa skúšky.
黑板	tabuľa	Učiteľ píše znaky na tabuli.
后来	potom; neskôr	Potom sme išli do parku.
护照	pas	Prosím, vezmite si pas.
96:花	minúť; stáť	Kúpa toho telefónu stála dvetisíc jüanov.
97:花	kvet	Na stole je kvet.
画	kresliť; obraz; kresba	Moja mladšia sestra rada kreslí pandy.
坏	pokazený; zlý	Môj počítač je pokazený.
欢迎	vítať; vitajte	Vitaj u mňa doma.
环境	prostredie	Prostredie tejto školy je veľmi dobré.
还	vrátiť	Prosím, vráť mi zajtra knihu.
换	vymeniť; zmeniť	Chcem vymeniť košeľu.
黄河	Žltá rieka	Žltá rieka je veľmi dlhá.
回答	odpovedať; odpoveď	Prosím, odpovedzte na moju otázku.
会议	schôdzka; konferencia	Schôdzka sa začína o deviatej.
或者	alebo; alebo	Môžeš ísť metrom alebo autobusom.
几乎	takmer; skoro	Cvičí takmer každý deň.
机会	príležitosť; šanca	To je dobrá príležitosť.
极	veľmi; nesmierne	Je nesmierne šťastná.
季节	ročné obdobie	Jeseň je moje obľúbené ročné obdobie.
记得	pamätať si	Pamätáš si vziať kreditnú kartu?
检查	kontrolovať; vyšetriť	Lekár ma vyšetruje.
简单	jednoduchý; ľahký	Táto veta je veľmi jednoduchá.
健康	zdravie; zdravý	Cvičenie je dobré pre zdravie.
见面	stretnúť sa	Zajtra sa stretneme v škole.
讲	vysvetľovať; hovoriť	Učiteľ vysvetľuje veľmi jasne.
教	učiť	Učí ma písať čínske znaky.
脚	noha; chodidlo	Trochu ma bolí chodidlo.
角	roh; uhol	Obchod je na rohu ulice.
接	vyzdvihnúť; prijať; zdvihnúť	Idem na letisko vyzdvihnúť kamaráta.
街道	ulica	Táto ulica je veľmi čistá.
结婚	oženiť sa; vydať sa; uzatvoriť manželstvo	Budúci rok sa vezmú.
结束	skončiť; ukončiť	Zápas už skončil.
节目	televízna relácia	Táto televízna relácia je veľmi dobrá.
节日	sviatok; festival	Sviatok jari je dôležitý čínsky sviatok.
解决	riešiť; vyriešiť	Tento problém už bol vyriešený.
借	požičať si; požičať	Chcem si požičať tvoj slovník.
经常	často	Často chodím do knižnice.
经过	prejsť okolo; cez	Každý deň prechádzam okolo tohto parku.
经理	vedúci; riaditeľ	Vedúci je na schôdzke.
久	dlho	Bývam tu už dlho.
旧	starý; použitý	Tento kus oblečenia je veľmi starý.
句子	veta	Prosím, napíšte vetu.
决定	rozhodnúť; rozhodnutie	Rozhodol som sa učiť čínsky.
可爱	roztomilý	Táto mačka je veľmi roztomilá.
渴	smädný	Mám smäd a chcem sa napiť vody.
刻	štvrťhodina; okamih	Je štvrť na deväť.
客人	hosť; zákazník	Dnes k nám domov prišiel hosť.
空调	klimatizácia	Prosím, zapnite klimatizáciu.
口	ústa; dúšok	Vypil dúšok vody.
哭	plakať	Prečo to dieťa plače?
裤子	nohavice	Tieto nohavice sú nové.
筷子	paličky	Viem jesť paličkami.
蓝	modrý	Nebo je modré.
老	starý; starší	Môj učiteľ nie je starý.
离开	odísť; opustiť	Zajtra odchádza z Pekingu.
礼物	darček	To je darček pre teba.
历史	história	Mám rád čínsku históriu.
脸	tvár	Jej tvár je veľmi červená.
练习	cvičenie; precvičovať	Prosím, viac precvičuj hovorenie po čínsky.
辆	klasifikátor pre vozidlá	Pred dverami stojí taxi.
