simplified	FI	example_FI
挨	kestää	Hän kesti koko yön ja odotti lopulta aamunkoittoon asti
癌症	syöpä	Syövän varhainen havaitseminen on hyvin tärkeää
暧昧	monitulkintainen	Hänen vastauksensa oli hyvin monitulkintainen
爱不释手	olla laskematta käsistään	Hän piti kirjasta niin paljon ettei malttanut laskea sitä käsistään
爱戴	rakastaa ja kunnioittaa	Oppilaat rakastavat ja kunnioittavat tätä opettajaa syvästi
安宁	rauhallinen	Yöt täällä ovat hyvin rauhallisia
安详	tyyni	Vanhuksen ilme oli hyvin tyyni
安置	majoittaa	Hallitus majoitti katastrofista kärsineet ihmiset
按摩	hieronta	Varasin hieronnan
暗示	vihjata	Hän vihjasi minulle etten kysyisi enää
案件	oikeusjuttu	Poliisi tutkii tätä oikeusjuttua
案例	esimerkkitapaus	Tämä esimerkkitapaus on hyvin edustava
昂贵	kallis	Tämä laite on erittäin kallis
凹凸	epätasainen	Tämän tien pinta on epätasainen
熬	kestää	Hän kesti kolme kovaa päivää ennen kuin sai raportin valmiiksi
奥秘	arvoitus	Tiedemies haluaa paljastaa tämän arvoituksen
巴不得	tuskin malttaa odottaa	Tuskin maltan odottaa että pääsen lähtemään heti
巴结	mielistellä	Hän ei halua mielistellä johtajia
扒	tarrautua	Lapsi tarrautui oveen ja katsoi ulos
疤	arpi	Hänen käsivarressaan on arpi
拔苗助长	pilata kiirehtimällä	Tällainen lapsen pakottaminen opiskeluun vain pilaa asian kiirehtimällä
把关	tarkistaa	Tämä sopimus tarvitsee asianajajan tarkistuksen
把手	kahva	Oven kahva on rikki
罢工	lakko	Työntekijät päättivät mennä lakkoon huomenna
霸道	määräilevä	Hän puhuu liian määräilevästi
掰	murtaa käsin	Hän mursi leivän käsin kahteen osaan
摆脱	päästä eroon	Hän pääsi viimein eroon huonosta tavasta
拜访	vierailla	Vierailemme opettajan luona viikonloppuna
拜年	toivottaa hyvää uutta vuotta	Kevätjuhlan aikana käymme isovanhempien luona toivottamassa hyvää uutta vuotta
拜托	pyytää apua	Luotan sinuun tässä asiassa
败坏	vahingoittaa	Tällainen käytös vahingoittaa yrityksen mainetta
斑	täplä	Kissassa on musta täplä
颁布	antaa	Uudet säännöt annetaan ensi viikolla
颁发	myöntää	Koulu myönsi todistukset erinomaisille oppilaille
版本	versio	Tästä ohjelmistosta on uusi versio
伴侣	kumppani	Hän pitää koiraa omana kumppaninaan
伴随	seurata	Menestystä seuraa usein paine
半途而废	luovuttaa puolivälissä	Tutkimusta tehdessä ei voi luovuttaa puolivälissä
扮演	esittää	Hän esittää lääkäriä elokuvassa
榜样	esikuva	Vanhemmat ovat lapsille esikuvia
绑架	sieppaus	Poliisi esti sieppaustapauksen
磅	pauna	Tämä laatikko painaa kaksikymmentä paunaa
包庇	peitellä	Kukaan ei saa peitellä rikosta
包袱	taakka	Kun hän laski taakkansa, hän tunsi olonsa paljon kevyemmäksi
包围	ympäröidä	Toimittajat ympäröivät näyttelijän
包装	pakkaus	Tämän lahjan pakkaus on hyvin kaunis
保管	säilyttää	Nämä asiakirjat ovat minun säilytettävinäni
保密	pitää salassa	Kokouksen sisältö täytyy pitää salassa
保姆	lastenhoitaja	He palkkasivat lastenhoitajan
保守	konservatiivinen	Hänen ajatuksensa ovat melko konservatiivisia
保卫	puolustaa	Sotilaat puolustavat rajaa
保养	huoltaa	Tämä auto tarvitsee säännöllistä huoltoa
保障	turvata	Laki turvaa kansalaisten oikeudet
保重	pitää huolta itsestään	Pidäthän hyvää huolta itsestäsi matkoilla
饱和	kyllästyminen	Nämä markkinat ovat jo lähellä kyllästymistä
饱经沧桑	paljon kokenut	Tämä vanhus on kokenut paljon elämänmuutoksia
报酬	korvaus	Hän sai kohtuullisen korvauksen
报仇	kostaa	Hän ei halua kostaa vaan aloittaa alusta
报答	hyvittää	Hyvitän apusi teoillani
报复	kosto	Kosto vain syventää ristiriitaa
报警	ilmoittaa poliisille	Kun huomaat tulipalon, ilmoita heti poliisille
报销	saada korvaus	Matkakulut voi saada korvattua
抱负	kunnianhimo	Hänellä on ollut suuri kunnianhimo lapsuudesta asti
暴力	väkivalta	Vastustamme väkivaltaa kaikissa muodoissa
暴露	paljastua	Tämä ongelma paljastui vähitellen
曝光	tulla julki	Kun tämä kuva tuli julki, se herätti huomiota
爆发	purkautua	Tulivuori purkautui äkkiä
爆炸	räjähdys	Laboratoriossa tapahtui räjähdys
卑鄙	halveksittava	Tällainen halveksittava tapa suututtaa ihmisiä
悲哀	surullinen	Kuultuaan uutisen hän tunsi itsensä hyvin surulliseksi
悲惨	traaginen	Se oli traaginen jakso historiassa
北极	arktinen alue	Tutkijat tekevät tutkimusta arktisella alueella
备份	varmuuskopio	Tee ensin varmuuskopio tärkeistä tiedostoista
备忘录	muistio	Hän kirjoitti pääkohdat muistioon
背叛	petos	Hän ei voinut hyväksyä ystävänsä petosta
背诵	lausua ulkoa	Oppilaat lausuvat tekstiä ulkoa
被动	passiivinen	Emme saa olla neuvotteluissa liian passiivisia
被告	syytetty	Syytetty kielsi kaikki syytteet
贝壳	simpukankuori	Lapsi poimi simpukankuoria merenrannalta
奔波	juosta asioilla	Hän juoksee kaikkialla työn takia
奔驰	kiitää	Auto kiiti moottoritiellä
本能	vaisto	Lasten suojeleminen on vanhemman vaisto
本钱	pääoma	Liiketoiminta vaatii pääomaa
本人	minä itse	Minä itse olen valmis kantamaan vastuun
本身	itsessään	Tässä suunnitelmassa itsessään ei ole ongelmaa
本事	kyky	Hän on erittäin kyvykäs
笨拙	kömpelö	Hänen liikkeensä ovat hieman kömpelöt
崩溃	romahtaa	Järjestelmä romahti yhtäkkiä
甭	ei tarvitse	Sinun ei tarvitse huolehtia tästä
蹦	pomppia	Pentu pomppi nurmikolla
迸发	puhjeta	Aplodit puhkesivat väkijoukosta
逼迫	pakottaa	He pakottivat hänet allekirjoittamaan sopimuksen
鼻涕	räkä	Lapsella on flunssa ja nenä vuotaa koko ajan
比方	esimerkiksi	Esimerkiksi voimme kokeilla ensin kuukauden
比喻	vertaus	Tämä vertaus on hyvin havainnollinen
比重	osuus	Palvelualan osuus kasvaa yhä suuremmaksi
鄙视	halveksia	Älä halveksi muiden ponnisteluja
弊病	epäkohta	Tässä järjestelmässä on useita epäkohtia
弊端	haittapuoli	Uusi suunnitelma ratkaisi vanhan järjestelmän haittapuolet
臂	käsivarsi	Hänen oikea käsivartensa loukkaantui
闭塞	eristynyt	Tämän vuoristokylän liikenneyhteydet olivat ennen hyvin eristyneet
编织	neuloa	Isoäiti neuloo villapaitaa
边疆	rajaseutu	Monet sotilaat vartioivat isänmaan rajaseutuja
边界	raja	Nämä kaksi maata piirsivät rajan uudelleen
边境	raja-alue	Raja-alueilla vahvistettiin turvatarkastuksia
边缘	reuna	Kuppi on pöydän reunalla
鞭策	kannustaa	Opettajan sanat ovat aina kannustaneet minua
扁	litteä	Tämä laatikko on leveä ja litteä
贬低	vähätellä	Älä vähättele toisten ponnisteluja noin vain
贬义	kielteinen sävy	Tällä sanalla on tässä kielteinen sävy
便利	kätevä	Metro tekee liikkumisesta entistä kätevämpää
便条	lappu	Hän jätti pöydälle lapun
便于	helpottaa	Tämä suunnittelu helpottaa vanhusten käyttöä
变故	odottamaton vastoinkäyminen	Perheessä tapahtui äkkiä odottamaton vastoinkäyminen
变迁	muutos	Kaupungin muutokset liikuttivat häntä syvästi
变质	pilaantua	Maito pilaantuu jos se jätetään liian pitkäksi aikaa
辨认	tunnistaa	Poliisi pyysi häntä tunnistamaan kuvassa olevan henkilön
辩护	puolustaa	Asianajaja puolusti syytettyä
辩解	puolustella	Hän yritti puolustella virhettään
辩证	dialektisesti	Meidän pitäisi tarkastella tätä ongelmaa dialektisesti
辫子	letti	Pienellä tytöllä on kaksi lettiä
遍布	esiintyä kaikkialla	Tätä kasvia esiintyy kaikkialla maassa
标本	näyte	Museossa on esillä eläinnäytteitä
标记	merkintä	Tee merkintöjä tärkeiden kappaleiden viereen
标题	otsikko	Tämän artikkelin otsikko on hyvin houkutteleva
表决	äänestää	Edustajat äänestävät ehdotuksesta
表态	ilmaista kantansa	Hän ei ole vielä julkisesti ilmaissut kantaansa
表彰	palkita	Yhtiö palkitsi erinomaiset työntekijät
憋	pidätellä	Hän pidätteli nauruaan eikä sanonut mitään
别墅	huvila	He ostivat huvilan esikaupungista
别致	erikoinen	Tämän kahvilan sisustus on hyvin erikoinen
别扭	kömpelö	Tämä lause kuulostaa hieman kömpelöltä
濒临	olla partaalla	Tämä eläin on sukupuuton partaalla
冰雹	raesade	Eilen iltapäivällä tuli voimakas raesade
丙	ryhmä C	Ryhmä C:n ottelu alkaa iltapäivällä
并非	ei suinkaan	Asia ei suinkaan ole sellainen kuin kuvittelet
并列	jaetulla sijalla	Nämä kaksi hanketta ovat jaetulla ensimmäisellä sijalla
剥削	riisto	Vanhassa yhteiskunnassa oli vakavaa riistoa
拨	valita numero	Valitse tämä puhelinnumero
播种	kylvää	Viljelijät alkavat kylvää siemeniä keväällä
波浪	aalto	Meren pinnalle nousi valtavia aaltoja
波涛	aallokko	Vene eteni aallokon läpi
伯母	täti	Menen viikonloppuna tapaamaan tätiäni
博大精深	laaja ja syvällinen	Kiinalainen kulttuuri on laaja ja syvällinen
博览会	messut	Kansainväliset messut houkuttelivat monia yrityksiä
搏斗	taistella	Poliisi taisteli rikollisen kanssa
薄弱	heikko	Hänen kielioppipohjansa on melko heikko
不顾	välittämättä	Hän ryntäsi sisään vaarasta välittämättä
