source_headword	HU	example_HU
fridge	hűtőszekrény	A tej a hűtőszekrényben van.
frog	béka	Egy béka ugrott a tóba.
furniture	bútor	Ez a bútor régi, de erős.
further	további	További információra van szükségünk.
gallery	galéria	A galéria ma nyitva van.
gap	rés	Rés van a falban.
gas	benzin	Az autónak benzinre van szüksége.
gate	kapu	Csukd be a kaput, kérlek.
general	általános	Ez egy általános szabály.
gift	ajándék	Vett egy ajándékot.
goal	cél	A célunk egyszerű.
god	Isten	Sokan imádkoznak Istenhez.
gold	arany	A gyűrű arany.
golf	golf	Ma golfozik.
government	kormány	A kormány megváltoztatta a törvényt.
grass	fű	A fű nedves.
greet	üdvözölni	Üdvözölj minden vendéget udvariasan.
ground	föld	Ülj le a földre.
guest	vendég	A vendégünk korán érkezett.
guide	idegenvezető	Az idegenvezető megmutatta a múzeumot.
gun	fegyver	A rendőrség talált egy fegyvert.
guy	srác	Az a srác a bátyám.
habit	szokás	A mindennapi olvasás jó szokás.
hall	folyosó	Várj a folyosón.
happily	boldogan	Boldogan éltek együtt.
headache	fejfájás	Fejfájásom van.
heart	szív	A szíve gyorsan ver.
heat	melegíteni	Lassan melegítsd fel a levest.
heavy	nehéz	Ez a táska nehéz.
height	magasság	Mérd meg az asztal magasságát.
helpful	hasznos	A tanácsod hasznos volt.
hero	hős	Ő az én hősöm.
hers	az övé	A kék kabát az övé.
herself	saját maga	Saját maga készítette a vacsorát.
hide	elrejteni	Rejtsd el a kulcsot a doboz alá.
hill	domb	Felmásztunk a dombra.
himself	saját maga	Saját maga javította meg.
hit	megütni	Ne üsd meg az ajtót.
hockey	hoki	Tegnap este hokit néztünk.
hold	fogni	Fogd meg a kezem.
hole	lyuk	Lyuk van a zoknimban.
huge	hatalmas	A szoba hatalmas.
human	ember	Minden embernek vízre van szüksége.
hurt	fáj	Fáj a térdem.
ideal	ideális	Ez a szoba ideális tanuláshoz.
identify	azonosítani	Tudod azonosítani ezt a madarat?
ill	beteg	Ma betegnek érzi magát.
illness	betegség	A betegség egy hétig tartott.
image	kép	A kép tiszta.
immediately	azonnal	Azonnal gyere ide.
impossible	lehetetlen	Ez a rejtvény lehetetlennek tűnik.
included	tartalmazva	A reggeli benne van.
including	beleértve	Tíz ember jött, engem is beleértve.
increase	növekedni	Nyáron nőnek az árak.
incredible	hihetetlen	A kilátás hihetetlen volt.
independent	önálló	A nővérem önálló.
individual	egyén	Minden egyénnek van száma.
industry	ipar	A helyi ipar növekszik.
informal	informális	Ez az e-mail informális.
injury	sérülés	A sérülése nem súlyos.
insect	rovar	Egy rovar szállt a csészére.
inside	bent	Várj bent a házban.
instead	helyette	Igyál inkább vizet.
instruction	utasítás	Olvass el minden utasítást figyelmesen.
instructor	oktató	Az oktató elmagyarázta a gyakorlatot.
instrument	hangszer	Hangszeren játszik.
intelligent	intelligens	Ő intelligens diák.
international	nemzetközi	Ez nemzetközi repülőtér.
introduction	bevezetés	A bevezetés rövid volt.
invent	feltalálni	A gyerekek új játékokat tudnak kitalálni.
invention	találmány	A találmány időt takarított meg.
invitation	meghívás	Meghívást kaptam.
invite	meghívni	Hívd meg a barátodat is.
involve	magában foglalni	A munka utazással jár majd.
item	tárgy	Válassz egy tárgyat.
itself	magától	A gép magától kikapcsol.
jam	lekvár	Tegyél lekvárt a kenyérre.
jazz	dzsessz	A dzsessz ma este remekül szól.
jewellery	ékszer	Egy dobozban tartja az ékszereit.
joke	vicc	Mondj nekem egy viccet.
journalist	újságíró	Az újságíró kérdéseket tett fel.
jump	ugrani	Ugorj át a vonalon.
kid	gyerek	A gyerek nevet.
kill	megölni	Ne öld meg a rovart.
king	király	A király palotában élt.
knee	térd	Fáj a térdem.
knife	kés	Használj éles kést.
knock	kopogni	Kopogj, mielőtt belépsz.
knowledge	tudás	A tudás gyakorlással nő.
lab	labor	A labor zárva van.
lady	hölgy	A hölgy ránk mosolygott.
lake	tó	A tó nyugodt.
lamp	lámpa	Kapcsold fel a lámpát.
laptop	laptop	A laptopom új.
last1 (taking time)	tart	A film két óráig tart.
laughter	nevetés	Nevetést hallottunk kintről.
law	törvény	A törvény tegnap megváltozott.
lawyer	ügyvéd	Az ügyvéd felhívott.
lazy	lusta	Ne légy lusta.
lead1	vezetni	A jó vezetők példával vezetnek.
leader	vezető	Ő a csapat vezetője.
learning	tanulás	A tanulás időt vesz igénybe.
least	legkevésbé	Válaszd a legolcsóbbat.
lecture	előadás	Az előadás tízkor kezdődik.
lemon	citrom	Tegyél citromot a teába.
lend	kölcsönadni	Tudsz kölcsönadni öt dollárt?
less	kevesebb	Egyél kevesebb cukrot.
level	szint	Ez a szint könnyű.
lifestyle	életmód	Egészséges életmódja van.
lift	felemelni	Óvatosan emeld fel a dobozt.
light	meggyújtani	Óvatosan gyújtsd meg a gyertyát.
light (not heavy)	könnyű	Ez a táska könnyű.
likely	valószínű	Holnap valószínű az eső.
link	link	Küldd el nekem a linket.
listener	hallgató	Légy jó hallgató.
lock	bezárni	Zárd be az ajtót.
lorry	teherautó	A teherautó dobozokat szállított.
lost	eltévedt	El vagyunk tévedve.
loud	hangos	A zene hangos.
loudly	hangosan	Kérlek, ne beszélj hangosan.
lovely	gyönyörű	Milyen gyönyörű kert!
low	alacsony	A szék alacsony.
luck	szerencse	Sok szerencsét a tesztedhez.
lucky	szerencsés	Ma szerencsés vagy.
mail	posta	Ma reggel kaptam postát.
major	jelentős	Ez jelentős probléma.
male	hím	A hím madár élénk színű.
manage	megoldani	Meg tudod oldani ezt a feladatot?
manager	vezető	A vezető elfoglalt.
manner	mód	Udvarias módon beszélj.
mark	megjelölni	Jelöld meg egyértelműen a válaszodat.
marry	összeházasodni	Júniusban házasodnak össze.
material	anyag	Ez az anyag puha tapintású.
mathematics	matematika	A matematika a kedvenc tantárgyam.
maths	matek	A matek nehéz nekem.
matter	számít	Ez nem számít.
may modal	lehet	Most elmehetsz.
media	média	A média beszámolt a történetről.
medical	orvosi	Orvosi segítségre van szüksége.
medicine	gyógyszer	Ebéd után vedd be ezt a gyógyszert.
memory	emlékezet	Jó az emlékezetem.
mention	megemlíteni	Ne említsd meg a nevemet.
metal	fém	A kapu fémből van.
method	módszer	Ez a módszer jól működik.
middle	közép	Állj középre.
might modal	talán	Talán később esni fog.
mind	elme; vélemény	Meggondoltam magam.
mine (belongs to me)	az enyém	Ez a könyv az enyém.
mirror	tükör	Nézz a tükörbe.
missing	eltűnt	A kulcsaim eltűntek.
mobile	mobiltelefon	A mobiltelefonom az asztalon van.
monkey	majom	A majom felmászott a fára.
moon	hold	A hold fényes.
mostly	többnyire	Az osztály többnyire csendes.
motorcycle	motorkerékpár	Motorkerékpárral jár.
movement	mozgás	Mozgást láttam a fák között.
musical	zenés	Ez egy zenés film.
musician	zenész	A zenész gitározott.
myself	magam	Ezt magam készítettem.
narrow	keskeny	Az út keskeny.
national	nemzeti	Ez nemzeti ünnep.
nature	természet	Szeretem a természetet.
nearly	majdnem	Már majdnem ott vagyunk.
necessary	szükséges	Ez szükséges?
neck	nyak	Fáj a nyakam.
neither	egyik sem	Egyik válasz sem helyes.
nervous	ideges	Idegesnek érzi magát.
network	hálózat	A hálózat nem működik.
noise	zaj	Hangos zajt hallottam.
noisy	zajos	Az utca zajos.
none	egyik sem	Egyikük sem jött.
normal	normális	Ez normális.
normally	általában	Általában korán kelek.
notice	észrevenni	Észrevetted a táblát?
novel	regény	Regényt írt.
nowhere	sehol	Nincs sehol hely leülni.
nut	dió	A dió kemény.
ocean	óceán	Az óceán mély.
offer	ajánlat	Elfogadtam az ajánlatot.
officer	tiszt	A tiszt ellenőrizte a jegyemet.
oil	olaj	Tegyél olajat a serpenyőbe.
onto	rá	Tedd rá a polcra.
opportunity	lehetőség	Ez jó lehetőség.
option	opció	Válaszd a legjobb opciót.
ordinary	hétköznapi	Ez hétköznapi nap volt.
organization	szervezet	A szervezet diákoknak segít.
organize	rendszerezni	Kérlek, rendszerezd a fájlokat.
original	eredeti	Őrizd meg az eredeti nyugtát.
ourselves	mi magunk	Mi magunk főztük a vacsorát.
oven	sütő	A sütő forró.
owner	tulajdonos	A tulajdonos kinyitotta az üzletet.
pack	bepakolni	Pakold be most a táskádat.
pain	fájdalom	Fájdalmat érzek a hátamban.
painter	festő	A festő befejezte a falat.
palace	palota	A palota régi.
pants	nadrág	Ez a nadrág túl hosszú.
parking	parkolás	Itt nehéz a parkolás.
particular	konkrét	Egy konkrét könyvre van szükségem.
pass	átadni	Add ide a sót.
passenger	utas	Minden utasnak jegyre van szüksége.
patient	türelmes	Légy türelmes a gyerekekkel.
pattern	minta	Ez a minta egyszerű.
peace	béke	Mindannyian békét akarunk.
penny	penny	Találtam egy pennyt.
per	fejenként	A jegyek fejenként tíz dollárba kerülnek.
per cent	százalék	Az öt százalék kevés.
perform	fellépni	A zenekar ma este fellép.
perhaps	talán	Talán otthon van.
permission	engedély	Először kérj engedélyt.
personality	személyiség	Barátságos személyisége van.
pet	háziállat	A háziállatom egy macska.
petrol	benzin	Az autónak benzinre van szüksége.
physical	fizikai	A fizikai mozgás segíti az egészséget.
physics	fizika	A fizika nehéz.
pick	választani	Válassz egy kártyát.
pilot	pilóta	A pilóta tisztán beszélt.
planet	bolygó	A Föld egy bolygó.
plastic	műanyag	Ez a palack műanyagból van.
plate	tányér	Tedd az ételt a tányérra.
platform	peron	Várj a második peronon.
pleased	örülök	Örülök, hogy megismerhetlek.
pocket	zseb	A jegy a zsebemben van.
polite	udvarias	Légy udvarias mindenkivel.
