source_headword	KM	example_KM
clothes	សម្លៀកបំពាក់	សម្លៀកបំពាក់របស់ខ្ញុំស្អាត។
club	ក្លឹប; សមាគម	នាងទៅក្លឹបតន្ត្រី។
coat	អាវធំ	អាវធំរបស់ខ្ញុំកក់ក្តៅ។
coffee	កាហ្វេ	ខ្ញុំផឹកកាហ្វេពេលព្រឹក។
cold	ត្រជាក់	ទឹកត្រជាក់។
college	មហាវិទ្យាល័យ; សាកលវិទ្យាល័យ	បងស្រីខ្ញុំរៀននៅសាកលវិទ្យាល័យ។
colour	ពណ៌	ពណ៌ដែលខ្ញុំចូលចិត្តគឺពណ៌ខៀវ។
come	មក	សូមមកទីនេះ។
common	ធម្មតា; ទូទៅ	ឈ្មោះនេះទូទៅ។
company	ក្រុមហ៊ុន	ម៉ាក់ខ្ញុំធ្វើការនៅក្រុមហ៊ុនមួយ។
compare	ប្រៀបធៀប	ប្រៀបធៀបរូបភាពពីរនេះ។
complete	ពេញលេញ; បញ្ចប់	សំណុំបែបបទពេញលេញហើយ។
computer	កុំព្យូទ័រ	កុំព្យូទ័រនេះថ្មី។
concert	ការប្រគំតន្ត្រី	យប់នេះយើងទៅការប្រគំតន្ត្រី។
conversation	ការសន្ទនា	យើងមានការសន្ទនាខ្លីមួយ។
cook	ចម្អិន; ចុងភៅ	ខ្ញុំចម្អិនអាហារពេលល្ងាចនៅផ្ទះ។
cooking	ការចម្អិនអាហារ	ខ្ញុំចូលចិត្តចម្អិនអាហារជាមួយប៉ា។
cool	ត្រជាក់; ឡូយ	បន្ទប់ត្រជាក់។
correct	ត្រឹមត្រូវ; កែ	ចម្លើយរបស់អ្នកត្រឹមត្រូវ។
cost	តម្លៃ; ចំណាយ	វាមានតម្លៃប៉ុន្មាន?
could modal	អាច	ខ្ញុំអាចជួយអ្នកបាន។
country	ប្រទេស	កាណាដាជាប្រទេសធំ។
course	វគ្គសិក្សា	ខ្ញុំរៀនវគ្គភាសាអង់គ្លេស។
cousin	បងប្អូនជីដូនមួយ	បងប្អូនជីដូនមួយរបស់ខ្ញុំនៅជិត។
cow	គោ	គោស៊ីស្មៅ។
cream	ក្រែម	ខ្ញុំដាក់ក្រែមក្នុងកាហ្វេ។
create	បង្កើត	ពួកគេបង្កើតល្បែងថ្មី។
culture	វប្បធម៌	យើងរៀនវប្បធម៌មូលដ្ឋាន។
cup	ពែង	ពែងនេះទទេ។
customer	អតិថិជន	អតិថិជនសួរសំណួរមួយ។
cut	កាត់	កាត់ផ្លែប៉ោមជាពាក់កណ្តាល។
dad	ប៉ា	ប៉ានៅកន្លែងធ្វើការ។
dance	របាំ; រាំ	យើងរាំបន្ទាប់ពីអាហារពេលល្ងាច។
dancer	អ្នករាំ	អ្នករាំផ្លាស់ទីលឿន។
dancing	ការរាំ	ការរាំសប្បាយ។
dangerous	គ្រោះថ្នាក់	ផ្លូវនេះគ្រោះថ្នាក់។
dark	ងងឹត	បន្ទប់ងងឹត។
date	កាលបរិច្ឆេទ	ថ្ងៃនេះកាលបរិច្ឆេទអ្វី?
daughter	កូនស្រី	កូនស្រីរបស់គាត់អាយុប្រាំមួយឆ្នាំ។
day	ថ្ងៃ	សូមឱ្យថ្ងៃរបស់អ្នកល្អ។
dear	ជាទីស្រឡាញ់; ថ្លៃ	មិត្តជាទីស្រឡាញ់ អរគុណ។
December	ខែធ្នូ	ថ្ងៃកំណើតខ្ញុំនៅខែធ្នូ។
decide	សម្រេចចិត្ត	សូមសម្រេចចិត្តឥឡូវនេះ។
delicious	ឆ្ងាញ់	ស៊ុបនេះឆ្ងាញ់។
describe	ពិពណ៌នា	ពិពណ៌នាបន្ទប់របស់អ្នក។
description	ការពិពណ៌នា	អានការពិពណ៌នាខ្លីនេះ។
design	រចនា; ការរចនា	ខ្ញុំរចនាកាតសាមញ្ញមួយ។
desk	តុធ្វើការ	សៀវភៅនៅលើតុធ្វើការរបស់ខ្ញុំ។
detail	ព័ត៌មានលម្អិត	ព័ត៌មានលម្អិតមួយបាត់។
dialogue	សន្ទនា	ឥឡូវអានសន្ទនានេះ។
dictionary	វចនានុក្រម	ប្រើវចនានុក្រមក្នុងថ្នាក់។
die	ស្លាប់	ផ្កាស្លាប់បើគ្មានទឹក។
diet	របបអាហារ	មានផ្លែឈើក្នុងរបបអាហាររបស់ខ្ញុំ។
difference	ភាពខុសគ្នា	មានភាពខុសគ្នាមួយ។
different	ខុសគ្នា	ឈ្មោះយើងខុសគ្នា។
difficult	ពិបាក	សំណួរនេះពិបាក។
dinner	អាហារពេលល្ងាច	អាហារពេលល្ងាចរួចរាល់ហើយ។
dirty	កខ្វក់	ស្បែកជើងខ្ញុំកខ្វក់។
discuss	ពិភាក្សា	យើងពិភាក្សាផែនការ។
dish	ចាន; មុខម្ហូប	ចាននេះក្តៅ។
do1	ធ្វើ	អ្នកកំពុងធ្វើអ្វី?
doctor	គ្រូពេទ្យ	គ្រូពេទ្យរវល់។
dog	ឆ្កែ	ឆ្កែរត់នៅខាងក្រៅ។
dollar	ដុល្លារ	វាមានតម្លៃមួយដុល្លារ។
door	ទ្វារ	សូមបិទទ្វារ។
down	ចុះ; ខាងក្រោម	អង្គុយនៅខាងក្រោមនេះ។
downstairs	ជាន់ក្រោម	ផ្ទះបាយនៅជាន់ក្រោម។
draw	គូរ	គូរផ្ទះតូចមួយ។
dress	រ៉ូប; ស្លៀក	នាងស្លៀករ៉ូបក្រហម។
drink	ភេសជ្ជៈ; ផឹក	ខ្ញុំផឹកទឹក។
drive	បើកបរ	ខ្ញុំបើកឡានទៅធ្វើការ។
driver	អ្នកបើកបរ	អ្នកបើកបរឈប់នៅទីនេះ។
during	ក្នុងអំឡុងពេល	ខ្ញុំគេងក្នុងអំឡុងពេលហោះហើរ។
DVD	ឌីវីឌី	ឌីវីឌីនេះចាស់។
each	រាល់; នីមួយៗ	កុមារម្នាក់ៗមានសៀវភៅមួយ។
ear	ត្រចៀក	ត្រចៀកខ្ញុំត្រជាក់។
early	ព្រលឹម; មុនពេល	ខ្ញុំក្រោកព្រលឹមពេលព្រឹក។
east	ខាងកើត	ព្រះអាទិត្យរះពីខាងកើត។
easy	ងាយស្រួល	ការងារនេះងាយស្រួល។
eat	ញ៉ាំ	យើងញ៉ាំបាយពេលថ្ងៃត្រង់។
egg	ស៊ុត	ខ្ញុំញ៉ាំស៊ុតពេលអាហារពេលព្រឹក។
eight	ប្រាំបី	ខ្ញុំមានប៊ិចប្រាំបី។
eighteen	ដប់ប្រាំបី	គាត់អាយុដប់ប្រាំបីឆ្នាំ។
eighty	ប៉ែតសិប	ជីតាខ្ញុំអាយុប៉ែតសិបឆ្នាំ។
elephant	ដំរី	ដំរីធំ។
eleven	ដប់មួយ	ថ្នាក់ចាប់ផ្តើមនៅម៉ោងដប់មួយ។
else	ផ្សេងទៀត	អ្នកចង់បានអ្វីផ្សេងទៀត?
email	អ៊ីមែល	ខ្ញុំផ្ញើអ៊ីមែលមួយ។
end	ចុង; បញ្ចប់	ចុងរឿងល្អ។
enjoy	រីករាយ	ខ្ញុំរីករាយនឹងតន្ត្រី។
enough	គ្រប់គ្រាន់	ខ្ញុំមានពេលគ្រប់គ្រាន់។
euro	អឺរ៉ូ	វាមានតម្លៃដប់អឺរ៉ូ។
even	សូម្បីតែ	សូម្បីតែក្មេងក៏ដឹង។
evening	ពេលល្ងាច	យើងដើរពេលល្ងាច។
event	ព្រឹត្តិការណ៍; កម្មវិធី	កម្មវិធីនៅថ្ងៃនេះ។
ever	ធ្លាប់	អ្នកធ្លាប់ទៅប៉ារីសទេ?
every	រាល់	ខ្ញុំអានរាល់ថ្ងៃ។
everybody	មនុស្សគ្រប់គ្នា	មនុស្សគ្រប់គ្នារួចរាល់ហើយ។
everyone	មនុស្សគ្រប់គ្នា	មនុស្សគ្រប់គ្នាស្តាប់ខ្ញុំ។
everything	អ្វីៗគ្រប់យ៉ាង	អ្វីៗគ្រប់យ៉ាងនៅលើតុ។
exam	ការប្រឡង	ការប្រឡងនៅថ្ងៃស្អែក។
example	ឧទាហរណ៍	ផ្តល់ឧទាហរណ៍មួយឱ្យខ្ញុំ។
excited	រំភើប	កុមាររំភើបចំពោះដំណើរ។
exciting	គួរឱ្យរំភើប	ល្បែងគួរឱ្យរំភើប។
exercise	លំហាត់ប្រាណ; ហាត់ប្រាណ	ខ្ញុំហាត់ប្រាណពេលព្រឹក។
expensive	ថ្លៃ	នាឡិកានេះថ្លៃ។
explain	ពន្យល់	គ្រូពន្យល់ចម្លើយ។
extra	បន្ថែម	ខ្ញុំមានសោបន្ថែមមួយ។
