hsk_key	source_word	simplified	gloss	example_zh	example_pinyin	example_en
5001:物体	物体	物体	object; physical body	这个物体在水中慢慢下沉。	Zhè ge wù tǐ zài shuǐ zhōng màn màn xià chén.	This object slowly sank in the water.
5005:喜剧	喜剧	喜剧	comedy	这部喜剧让全场观众笑个不停。	Zhè bù xǐ jù ràng quán chǎng guān zhòng xiào ge bù tíng.	This comedy made the whole audience laugh nonstop.
5006:喜事	喜事	喜事	happy event; celebration	家里有喜事，亲戚们都来祝贺。	Jiā lǐ yǒu xǐ shì, qīn qi men dōu lái zhù hè.	There was a happy event at home, and all the relatives came to offer congratulations.
5007:洗漱	洗漱	洗漱	to wash up	她每天早上六点起床洗漱。	Tā měi tiān zǎo shang liù diǎn qǐ chuáng xǐ shù.	She gets up at six every morning to wash up.
5011:戏曲	戏曲	戏曲	traditional Chinese opera	爷爷特别喜欢听地方戏曲。	Yé ye tè bié xǐ huan tīng dì fāng xì qǔ.	Grandpa especially likes listening to local opera.
5014:下功夫	下功夫	下功夫	to put effort into; work hard at	她愿意下功夫把汉字写好。	Tā yuàn yì xià gōngfu bǎ Hàn zì xiě hǎo.	She is willing to put effort into writing Chinese characters well.
5015:下单	下单	下单	to place an order	我已经在网上下单买了教材。	Wǒ yǐ jīng zài wǎng shàng xià dān mǎi le jiào cái.	I have already placed an online order for the textbook.
5017:下线	下线	下线	to go offline; discontinue	这个旧功能明天正式下线。	Zhè ge jiù gōng néng míng tiān zhèng shì xià xiàn.	This old feature will officially go offline tomorrow.
5018:下旬	下旬	下旬	last ten days of a month	展览将在八月下旬开幕。	Zhǎn lǎn jiāng zài bā yuè xià xún kāi mù.	The exhibition will open in late August.
5023:显	显	显	to show; seem; appear	这件衣服显得他很精神。	Zhè jiàn yī fu xiǎn de tā hěn jīng shén.	This outfit makes him look energetic.
5024:险	险	险	dangerous; narrowly	山路很险，开车要慢一点。	Shān lù hěn xiǎn, kāi chē yào màn yì diǎn.	The mountain road is dangerous, so drive a little slower.
5026:限	限	限	to limit; restrict	每人限买两张票。	Měi rén xiàn mǎi liǎng zhāng piào.	Each person is limited to buying two tickets.
5027:线	线	线	line; thread	请沿着这条线剪开。	Qǐng yán zhe zhè tiáo xiàn jiǎn kāi.	Please cut along this line.
5028:现存	现存	现存	existing; currently preserved	现存资料不足以证明这个结论。	Xiàn cún zī liào bù zú yǐ zhèng míng zhè ge jié lùn.	The existing materials are not enough to prove this conclusion.
5029:限度	限度	限度	limit; degree	他的耐心已经到了限度。	Tā de nài xīn yǐ jīng dào le xiàn dù.	His patience has already reached its limit.
5030:现货	现货	现货	in-stock goods	这款手机有现货，今天就能发出。	Zhè kuǎn shǒu jī yǒu xiàn huò, jīn tiān jiù néng fā chū.	This phone is in stock and can be shipped today.
