source_headword	PT-BR	example_PT-BR
fridge	a geladeira	O leite está na geladeira.
frog	o sapo	Um sapo pulou na lagoa.
furniture	os móveis	Estes móveis são velhos, mas fortes.
further	mais	Precisamos de mais informações.
gallery	a galeria	A galeria está aberta hoje.
gap	a lacuna	Há uma lacuna na parede.
gas	a gasolina	O carro precisa de gasolina.
gate	o portão	Feche o portão, por favor.
general	geral	Esta é uma regra geral.
gift	o presente	Ela comprou um presente.
goal	a meta	Nossa meta é simples.
god	Deus	Muitas pessoas rezam a Deus.
gold	de ouro	O anel é de ouro.
golf	o golfe	Ele joga golfe hoje.
government	o governo	O governo mudou a lei.
grass	a grama	A grama está molhada.
greet	cumprimentar	Cumprimente cada convidado com educação.
ground	o chão	Sente-se no chão.
guest	o convidado	Nosso convidado chegou cedo.
guide	o guia	O guia nos mostrou o museu.
gun	a arma	A polícia encontrou uma arma.
guy	o cara	Aquele cara é meu irmão.
habit	o hábito	Ler todos os dias é um bom hábito.
hall	o corredor	Espere no corredor.
happily	felizmente	Eles viveram felizes juntos.
headache	a dor de cabeça	Estou com dor de cabeça.
heart	o coração	O coração dela bate rápido.
heat	aquecer	Aqueça a sopa devagar.
heavy	pesado	Esta bolsa é pesada.
height	a altura	Meça a altura da mesa.
helpful	útil	Seu conselho foi útil.
hero	o herói	Ele é meu herói.
hers	dela	O casaco azul é dela.
herself	ela mesma	Ela fez o jantar sozinha.
hide	esconder	Esconda a chave embaixo da caixa.
hill	a colina	Nós subimos a colina.
himself	ele mesmo	Ele consertou isso sozinho.
hit	bater	Não bata na porta.
hockey	o hóquei	Nós assistimos a hóquei ontem à noite.
hold	segurar	Segure minha mão.
hole	o buraco	Há um buraco na minha meia.
huge	enorme	O quarto é enorme.
human	o ser humano	Todo ser humano precisa de água.
hurt	doer	Meu joelho dói.
ideal	ideal	Este quarto é ideal para estudar.
identify	identificar	Você consegue identificar este pássaro?
ill	doente	Ela se sente doente hoje.
illness	a doença	A doença durou uma semana.
image	a imagem	A imagem está clara.
immediately	imediatamente	Venha aqui imediatamente.
impossible	impossível	Este quebra-cabeça parece impossível.
included	incluído	O café da manhã está incluído.
including	incluindo	Dez pessoas vieram, incluindo eu.
increase	aumentar	Os preços aumentam no verão.
incredible	incrível	A vista era incrível.
independent	independente	Minha irmã é independente.
individual	o indivíduo	Cada indivíduo tem um número.
industry	a indústria	A indústria local está crescendo.
informal	informal	Este e-mail é informal.
injury	a lesão	A lesão dele não é séria.
insect	o inseto	Um inseto pousou no copo.
inside	dentro	Espere dentro da casa.
instead	em vez disso	Beba água em vez disso.
instruction	a instrução	Leia cada instrução com cuidado.
instructor	o instrutor	O instrutor explicou o exercício.
instrument	o instrumento	Ela toca um instrumento.
intelligent	inteligente	Ele é um aluno inteligente.
international	internacional	Este é um aeroporto internacional.
introduction	a introdução	A introdução foi curta.
invent	inventar	Crianças podem inventar novos jogos.
invention	a invenção	A invenção economizou tempo.
invitation	o convite	Recebi um convite.
invite	convidar	Convide seu amigo também.
involve	envolver	O trabalho vai envolver viagens.
item	o item	Escolha um item.
itself	sozinho	A máquina se desliga sozinha.
jam	a geleia	Coloque geleia no pão.
jazz	o jazz	O jazz soa ótimo esta noite.
jewellery	as joias	Ela guarda joias em uma caixa.
joke	a piada	Me conte uma piada.
journalist	o jornalista	O jornalista fez perguntas.
jump	pular	Pule sobre a linha.
kid	a criança	A criança está rindo.
kill	matar	Não mate o inseto.
king	o rei	O rei morava em um palácio.
knee	o joelho	Meu joelho dói.
knife	a faca	Use uma faca afiada.
knock	bater	Bata antes de entrar.
knowledge	o conhecimento	O conhecimento cresce com a prática.
lab	o laboratório	O laboratório está fechado.
lady	a senhora	A senhora sorriu para nós.
lake	o lago	O lago está calmo.
lamp	a lâmpada	Acenda a lâmpada.
laptop	o notebook	Meu notebook é novo.
last1 (taking time)	durar	O filme dura duas horas.
laughter	o riso	Ouvimos risos lá fora.
law	a lei	A lei mudou ontem.
lawyer	o advogado	O advogado me ligou.
lazy	preguiçoso	Não seja preguiçoso.
lead1	liderar	Bons líderes lideram pelo exemplo.
leader	o líder	Ela é a líder da equipe.
learning	o aprendizado	O aprendizado leva tempo.
least	o menos	Escolha o menos caro.
lecture	a palestra	A palestra começa às dez.
lemon	o limão	Adicione limão ao chá.
lend	emprestar	Você pode me emprestar cinco dólares?
less	menos	Coma menos açúcar.
level	o nível	Este nível é fácil.
lifestyle	o estilo de vida	Ele tem um estilo de vida saudável.
lift	levantar	Levante a caixa com cuidado.
light	acender	Acenda a vela com cuidado.
light (not heavy)	leve	Esta bolsa é leve.
likely	provável	Chuva é provável amanhã.
link	o link	Me envie o link.
listener	o ouvinte	Seja um bom ouvinte.
lock	trancar	Tranque a porta.
lorry	o caminhão	O caminhão carregava caixas.
lost	perdido	Estamos perdidos.
loud	alto	A música está alta.
loudly	em voz alta	Por favor, não fale em voz alta.
lovely	lindo	Que jardim lindo!
low	baixo	A cadeira é baixa.
luck	a sorte	Boa sorte na sua prova.
lucky	sortudo	Você está com sorte hoje.
mail	a correspondência	Recebi correspondência esta manhã.
major	grande	Este é um grande problema.
male	macho	O pássaro macho é brilhante.
manage	gerenciar	Você consegue gerenciar esta tarefa?
manager	o gerente	O gerente está ocupado.
manner	a maneira	Fale de maneira educada.
mark	marcar	Marque sua resposta com clareza.
marry	casar	Eles vão se casar em junho.
material	o material	Este material parece macio.
mathematics	a matemática	Matemática é minha matéria favorita.
maths	a matemática	Matemática é difícil para mim.
matter	importar	Isso não importa.
may modal	poder	Você pode sair agora.
media	a mídia	A mídia cobriu a história.
medical	médico	Ela precisa de ajuda médica.
medicine	o remédio	Tome este remédio depois do almoço.
memory	a memória	Minha memória é boa.
mention	mencionar	Não mencione meu nome.
metal	de metal	O portão é de metal.
method	o método	Este método funciona bem.
middle	o meio	Fique no meio.
might modal	poder	Pode chover mais tarde.
mind	a opinião	Eu mudei de opinião.
mine (belongs to me)	meu	Este livro é meu.
mirror	o espelho	Olhe no espelho.
missing	desaparecido	Minhas chaves estão desaparecidas.
mobile	o celular	Meu celular está na mesa.
monkey	o macaco	O macaco subiu na árvore.
moon	a lua	A lua está brilhante.
mostly	principalmente	A turma está principalmente quieta.
motorcycle	a motocicleta	Ele anda de motocicleta.
movement	o movimento	Vi movimento nas árvores.
musical	musical	Este é um filme musical.
musician	o músico	O músico tocou violão.
myself	eu mesmo	Eu fiz isto sozinho.
narrow	estreito	A estrada é estreita.
national	nacional	É um feriado nacional.
nature	a natureza	Eu amo a natureza.
nearly	quase	Estamos quase lá.
necessary	necessário	Isto é necessário?
neck	o pescoço	Meu pescoço dói.
neither	nenhum	Nenhuma resposta está correta.
nervous	nervoso	Ela se sente nervosa.
network	a rede	A rede caiu.
noise	o barulho	Ouvi um barulho alto.
noisy	barulhento	A rua é barulhenta.
none	nenhum	Nenhum deles veio.
normal	normal	Isto é normal.
normally	normalmente	Eu normalmente acordo cedo.
notice	notar	Você notou a placa?
novel	o romance	Ela escreveu um romance.
nowhere	lugar nenhum	Não há lugar nenhum para sentar.
nut	a castanha	A castanha é dura.
ocean	o oceano	O oceano é profundo.
offer	a oferta	Aceitei a oferta.
officer	o agente	O agente verificou minha passagem.
oil	o óleo	Adicione óleo à panela.
onto	sobre	Coloque isso sobre a prateleira.
opportunity	a oportunidade	Esta é uma boa oportunidade.
option	a opção	Escolha a melhor opção.
ordinary	comum	Foi um dia comum.
organization	a organização	A organização ajuda estudantes.
