source_headword	NL	example_NL
absorb	absorberen	De handdoek absorbeert water snel.
abstract	abstract	De lezing ging over abstracte ideeën.
accent	het accent	Haar accent is makkelijk te begrijpen.
accidentally	per ongeluk	Ik heb het bestand per ongeluk verwijderd.
accommodate	accommoderen	Het hotel kan grote families onderbrengen.
accomplish	volbrengen	Ze heeft haar doel voor juni bereikt.
accountant	de accountant	De accountant controleerde de factuur.
accuracy	de nauwkeurigheid	De test meet de leesnauwkeurigheid.
accurately	nauwkeurig	De kaart toont de route nauwkeurig.
acid	het zuur	Het zuur beschadigde het metalen oppervlak.
activate	activeren	Druk op de knop om het alarm te activeren.
addiction	de verslaving	Zijn verslaving beïnvloedde zijn werk.
additionally	bovendien	Bovendien hebben we meer stoelen nodig.
adequate	adequaat	De kamer heeft voldoende licht.
adequately	adequaat	Het rapport legde het probleem voldoende uit.
adjust	aanpassen	Verstel de stoel voor het rijden.
affordable	betaalbaar	Het appartement is betaalbaar voor studenten.
agriculture	de landbouw	De landbouw ondersteunt veel plattelandsgezinnen.
AIDS	aids	Artsen behandelen aids met moderne medicijnen.
alien	de alien	De film toont een buitenaardse planeet.
alongside	naast	Het fietspad loopt langs de rivier.
altogether	helemaal	In totaal duurde het project zes weken.
ambulance	de ambulance	De ambulance was er binnen enkele minuten.
amusing	vermakelijk	Het verhaal was vermakelijk en luchtig.
analyst	de analist	De analist bekeek de verkoopgegevens.
ancestor	de voorouder	Mijn voorouder woonde in de buurt van dit dorp.
animation	de animatie	De animatie maakte de les duidelijker.
annually	jaarlijks	Het festival wordt jaarlijks gehouden.
anticipate	anticiperen op	We verwachten morgen druk verkeer.
anxiety	de angst	Angst kan slapen moeilijk maken.
apology	de verontschuldiging	Ze bood een oprechte verontschuldiging aan.
applicant	de sollicitant	De sollicitant stuurde een nieuw cv.
appropriately	passend	Kleed je alsjeblieft gepast voor het interview.
arrow	de pijl	De pijl wijst naar de uitgang.
artwork	het kunstwerk	Het museum stelde lokale kunstwerken tentoon.
aside	opzij	Ze deed een stap opzij om hem erdoor te laten.
asset	het bezit	Ervaring is een waardevol bezit.
assign	toewijzen	De leraar gaf vandaag huiswerk op.
assistance	de hulp	Vraag het personeel om hulp.
assumption	de aanname	Die aanname is misschien verkeerd.
assure	verzekeren	Ik verzeker je dat de deur op slot is.
astonishing	verbazingwekkend	Het uitzicht vanaf de klif was verbazingwekkend.
attachment	de bijlage	De e-mail bevat een bijlage.
auction	de veiling	Het schilderij werd op de veiling verkocht.
audio	audio	De audio-opname klinkt helder.
automatic	automatisch	De deur heeft een automatisch slot.
automatically	automatisch	De lichten gaan automatisch aan.
awareness	het bewustzijn	De campagne vergrootte het publieke bewustzijn.
awkward	ongemakkelijk	De stilte voelde ongemakkelijk.
badge	de badge	Bezoekers moeten een badge dragen.
balanced	in balans	Een evenwichtig dieet bevat groenten.
ballet	het ballet	Ze studeert ballet na school.
balloon	de ballon	De ballon zweefde boven de tafel.
barely	nauwelijks	Hij hoorde de aankondiging nauwelijks.
bargain	het koopje	Die jas was een echt koopje.
basement	de kelder	De dozen staan in de kelder.
basket	de mand	Ze legde appels in de mand.
bat	de vleermuis	De vleermuis vloog de grot uit.
beneficial	gunstig	Regelmatige lichaamsbeweging is nuttig voor de gezondheid.
beside	naast	De lamp staat naast de bank.
besides	bovendien	Naast wiskunde studeert hij scheikunde.
bias	de vooringenomenheid	Het artikel toonde duidelijke vooringenomenheid.
bid	het bod	Het bedrijf bracht een hoger bod uit.
biological	biologisch	De biologische test bevestigde het resultaat.
blanket	de deken	Het kind sliep onder een deken.
blow	de klap	De harde klap brak het raam.
bold	gedurfd	De kop gebruikte vetgedrukte letters.
bombing	de bomaanslag	De bomaanslag beschadigde verschillende gebouwen.
booking	de boeking	Ik heb de hotelboeking bevestigd.
boost	de stimulans	De overwinning vergrootte het zelfvertrouwen van het team.
bound	gebonden	Het pakket was met touw vastgebonden.
brick	de baksteen	De muur is gemaakt van baksteen.
briefly	kort	Ze sprak kort na de lunch.
broadcaster	de omroep	De presentator interviewde de burgemeester.
broadly	in grote lijnen	De twee plannen zijn in grote lijnen vergelijkbaar.
bug	de bug	De app crashte door een bug.
cabin	de hut	We verbleven in een kleine hut.
canal	het kanaal	Boten voeren langzaam over het kanaal.
candle	de kaars	De kaars brandde op de tafel.
carbon	de koolstof	Bomen nemen koolstof op uit de lucht.
casual	informeel	Hij droeg casual kleding naar zijn werk.
cave	de grot	De wandelaars gingen de grot in.
certainty	de zekerheid	We kunnen het niet met zekerheid weten.
certificate	het certificaat	Ze ontving een trainingscertificaat.
challenging	uitdagend	De cursus was uitdagend maar nuttig.
championship	het kampioenschap	Ons team bereikte de finale van het kampioenschap.
charming	charmant	De oude straat zag er charmant uit.
chase	de achtervolging	De hond rende achter de bal aan.
cheek	de wang	Een traan rolde over haar wang.
cheer	de juichkreet	De menigte begon luid te juichen.
choir	het koor	Het koor zong prachtig.
chop	hakken	Snijd de uien in kleine stukjes.
circuit	het circuit	De hardloper voltooide het circuit.
civilization	de beschaving	De oude beschaving vormde deze regio.
clarify	verduidelijken	Kun je het laatste punt verduidelijken?
classify	classificeren	Wetenschappers classificeren dieren per soort.
clerk	de klerk	De medewerker printte de bon.
cliff	de klif	Het pad eindigt bij een klif.
clinic	de kliniek	De kliniek opent om acht uur.
clip	de clip	Ze bevestigde de klem aan het papier.
coincidence	het toeval	Het was toeval dat we hem daar ontmoetten.
collector	de verzamelaar	De verzamelaar kocht zeldzame munten.
colony	de kolonie	De mieren bouwden een grote kolonie.
colourful	kleurrijk	De markt was helder en kleurrijk.
comic	de strip	De komische scène maakte ons aan het lachen.
commander	de commandant	De commandant gaf duidelijke bevelen.
comparative	vergelijkend	Het essay gebruikt vergelijkende gegevens.
completion	de voltooiing	De brug nadert zijn voltooiing.
compose	samenstellen	Hij zal de muziek voor de film componeren.
composer	de componist	De componist schreef een nieuw lied.
compound	de verbinding	De verbinding bevat twee chemicaliën.
comprehensive	uitgebreid	De gids geeft uitgebreide instructies.
comprise	omvatten	Het team bestaat uit vijf leden.
compulsory	verplicht	Aanwezigheid is verplicht voor deze les.
concrete	het beton	De vloer is gemaakt van beton.
confess	bekennen	Hij biechtte de fout op aan zijn leraar.
confusion	de verwarring	De vertraging veroorzaakte verwarring.
consequently	bijgevolg	Het regende, daardoor werd de wedstrijd gestopt.
conservation	het behoud	Natuurbehoud beschermt zeldzame dieren.
considerable	aanzienlijk	De reparatie nam aanzienlijke tijd in beslag.
considerably	aanzienlijk	De prijzen stegen aanzienlijk dit jaar.
consistently	consequent	Ze presteert consequent goed.
conspiracy	de samenzwering	De politie onderzocht het complot.
consult	raadplegen	Raadpleeg uw arts voordat u medicijnen inneemt.
consultant	de adviseur	De adviseur stelde een nieuwe strategie voor.
consumption	de consumptie	Het energieverbruik daalde vorige maand.
controversial	controversieel	Het beleid blijft controversieel.
controversy	de controverse	De beslissing veroorzaakte controverse.
convenience	het gemak	De winkel biedt veel gemak.
convention	de conventie	De jaarlijkse conventie begint maandag.
conventional	conventioneel	Hij koos voor een conventioneel ontwerp.
convey	overbrengen	Het bericht bracht medeleven over.
convincing	overtuigend	Haar uitleg was overtuigend.
cope	omgaan met	Ze leerde omgaan met stress.
corporation	het bedrijf	De corporatie opende een nieuw kantoor.
corridor	de gang	De gang was smal en stil.
counter (long flat surface)	de toonbank	De sleutels liggen op het aanrecht.
coverage	de dekking	De nieuwsverslaggeving duurde de hele avond.
crack	de scheur	Er verscheen een scheur in de muur.
craft	het ambacht	Ze verkoopt handgemaakt handwerk online.
creativity	de creativiteit	Creativiteit helpt om problemen op te lossen.
critically	kritisch	Het artikel was uiterst belangrijk.
cruise	de cruise	Ze boekten een cruise naar Griekenland.
cue	het signaal	De acteur miste zijn teken.
curious	merkwaardig	Het kind was nieuwsgierig naar de ruimte.
curriculum	het curriculum	De school heeft het leerplan vernieuwd.
cute	schattig	De puppy zag er schattig uit.
dairy	de zuivel	De boerderij produceert zuivelproducten.
dare	durven	Ik daag je uit om het te proberen.
darkness	de duisternis	De kamer vulde zich met duisternis.
database	de database	De database slaat klantgegevens op.
deadline	de deadline	De deadline is vrijdag.
deadly	dodelijk	De slang heeft dodelijk gif.
dealer	de dealer	De autohandelaar bood korting aan.
deck	het dek	De stoelen staan op het terras.
defender	de verdediger	De verdediger blokkeerde het schot.
delete	verwijderen	Verwijder het oude bericht.
democracy	de democratie	Democratie is afhankelijk van vrije verkiezingen.
democratic	democratisch	De stemming volgde democratische regels.
demonstration	de demonstratie	De studenten deden mee aan een demonstratie.
depart	afwijken	De trein zal rond de middag vertrekken.
dependent	afhankelijk	Het kind is afhankelijk van volwassenen.
deposit	de storting	Ze betaalde een borg voor het appartement.
depression	de depressie	Depressie vereist professionele hulp.
derive	afleiden	Veel woorden stammen af van het Latijn.
desperately	wanhopig	Hij had wanhopig water nodig.
destruction	de verwoesting	De storm veroorzaakte wijdverspreide verwoesting.
determination	de vastberadenheid	Haar vastberadenheid maakte indruk op de coach.
devote	wijden	Ze besteedt haar weekenden aan studeren.
differ	verschillen	Hun meningen verschillen sterk.
disability	de handicap	Het gebouw is toegankelijk voor mensen met een beperking.
disabled	uitgeschakeld	De gehandicapte atleet won een medaille.
disagreement	de onenigheid	De vergadering eindigde in onenigheid.
disappoint	teleurstellen	Het resultaat kan fans teleurstellen.
disappointment	de teleurstelling	Hij voelde een diepe teleurstelling.
discourage	ontmoedigen	Ontmoedig jonge leerlingen niet.
disorder	de stoornis	De dokter stelde een slaapstoornis vast.
distant	afstandelijk	De bergen leken ver weg.
distinct	duidelijk	De twee geluiden zijn verschillend.
distinguish	onderscheiden	Kun je deze kleuren onderscheiden?
distract	afleiden	Lawaai kan studenten afleiden.
disturb	verstoren	Gelieve de patiënt niet te storen.
dive	de duik	Ze zullen in de buurt van het rif duiken.
diverse	divers	De stad kent diverse culturen.
diversity	de diversiteit	We vieren culturele diversiteit.
divorce	de echtscheiding	De scheiding was moeilijk voor iedereen.
dominant	dominant	Het dominante team controleerde de wedstrijd.
donation	de donatie	Het goede doel ontving een donatie.
dot	de stip	Zet een punt na het getal.
downtown	het centrum	We spraken na het werk af in het centrum.
dramatically	dramatisch	De prijs is drastisch gedaald.
drought	de droogte	De droogte heeft de gewassen beschadigd.
dull	saai	Het hoorcollege was saai.
dump	dumpen	Dump hier geen afval.
duration	de duur	De vluchtduur is drie uur.
dynamic	de dynamiek	De sfeer in de klas voelde dynamisch aan.
economics	de economie	Ze studeert economie aan de universiteit.
economist	de econoom	De econoom voorspelde een tragere groei.
editorial	redactioneel	Het hoofdartikel uitte kritiek op de wet.
efficiently	efficiënt	Het team werkte efficiënt.
elbow	de elleboog	Hij bezeerde zijn elleboog.
electronics	de elektronica	De winkel verkoopt elektronica.
elegant	elegant	De jurk zag er elegant uit.
elementary	elementair	Het boek legt elementaire grammatica uit.
eliminate	elimineren	Het team elimineerde verschillende fouten.
embrace	omarmen	Ze omarmde het nieuwe idee.
emission	de emissie	De auto-uitstoot daalde.
emotionally	emotioneel	Hij sprak emotioneel over zijn familie.
empire	het imperium	Het rijk bestond eeuwenlang.
enjoyable	plezierig	De reis was plezierig.
entertaining	vermakelijk	De show was vermakelijk.
entrepreneur	de ondernemer	De ondernemer opende een café.
envelope	de envelop	Doe de brief in een envelop.
equip	uitrusten	De school zal het lab uitrusten.
