simplified	TH	example_TH
啊	คำช่วยท้ายประโยคแสดงการเห็นด้วยหรือยืนยัน	ดีเลย พวกเราไปกันตอนนี้เถอะ
阿姨	น้า; ป้า; ผู้ดูแลเด็ก	คุณป้าทำงานที่ซูเปอร์มาร์เก็ต
矮	เตี้ย; ต่ำ	โต๊ะตัวนี้เตี้ยไปหน่อย
爱好	งานอดิเรก; ความสนใจ	งานอดิเรกของฉันคือฟังเพลง
安静	เงียบ; สงบ	ในห้องสมุดเงียบมาก
把	จับ; ถือ; คำช่วยในโครงสร้างนำกรรม	กรุณาปิดประตู
搬	ย้าย; ขนย้าย	พรุ่งนี้พวกเราจะย้ายบ้าน
班	ชั้นเรียน; ห้องเรียน; ทีม	ห้องของเรามีนักเรียนยี่สิบคน
办法	วิธี; วิธีการ	วิธีนี้ดีมาก
办公室	สำนักงาน; ห้องทำงาน	ผู้จัดการอยู่ในห้องทำงาน
半	ครึ่ง	ฉันรออยู่ครึ่งชั่วโมง
帮忙	ช่วย; ช่วยเหลือ	คุณช่วยหน่อยได้ไหม
包	กระเป๋า; ห่อ; คลุม	เธอซื้อกระเป๋าใบใหม่
饱	อิ่ม	ฉันอิ่มแล้ว
北方	ทางเหนือ; ภาคเหนือ	ฤดูหนาวทางเหนือหนาวมาก
被	คำช่วยแสดงรูปถูกกระทำ	จักรยานของฉันถูกเพื่อนยืมไป
鼻子	จมูก	จมูกของเขาแดงนิดหน่อย
比较	เปรียบเทียบ; ค่อนข้าง	วันนี้ค่อนข้างร้อน
比赛	การแข่งขัน; การแข่ง	การแข่งขันครั้งนี้สำคัญมาก
笔记本	สมุดบันทึก; โน้ตบุ๊ก	ฉันวางสมุดบันทึกไว้บนโต๊ะ
必须	ต้อง; จำเป็นต้อง	คุณต้องทบทวนอย่างตั้งใจ
变化	การเปลี่ยนแปลง; เปลี่ยน	เมืองนี้เปลี่ยนไปมาก
别人	คนอื่น	อย่าหยิบของของคนอื่น
冰箱	ตู้เย็น	ผลไม้อยู่ในตู้เย็น
不但…而且…	ไม่เพียงแต่…แต่ยัง…	เขาไม่เพียงฉลาด แต่ยังขยันมากด้วย
菜单	เมนู	กรุณาเอาเมนูมาให้ฉันหนึ่งเล่ม
参加	เข้าร่วม; ร่วม	ฉันอยากเข้าร่วมการประชุมนี้
草	หญ้า	ลูกสุนัขวิ่งอยู่บนหญ้า
层	ชั้น; ชั้นซ้อน	ตึกนี้มีสามชั้น
