source_headword	FI	example_FI
ability	kyky; taito	Hänen uintitaitonsa on selvä.
able	pystyvä; voida	Hän voi tulla tänään.
abroad	ulkomailla; ulkomaille	Hän haluaa opiskella ulkomailla.
accept	hyväksyä; ottaa vastaan	Ota tämä pieni lahja vastaan.
accident	onnettomuus	Onnettomuus tapahtui koulun lähellä.
according to	mukaan	Raportin mukaan sade on tulossa.
achieve	saavuttaa	Voit saavuttaa tavoitteesi.
act	toimia; näytellä	Hän voi näytellä näytelmässä.
active	aktiivinen	Hän on aktiivinen joka päivä.
actually	oikeastaan; itse asiassa	Itse asiassa tarvitsen lisää aikaa.
advantage	etu	Tässä suunnitelmassa on etu.
adventure	seikkailu	Heidän matkansa oli seikkailu.
advertise	mainostaa	He mainostavat uutta työpaikkaa.
advertisement	mainos	Näin mainoksen.
advertising	mainonta	Mainonta auttaa myymään ruokaa.
affect	vaikuttaa	Uni voi vaikuttaa terveyteesi.
against	vastaan; vasten	Älä nojaa seinää vasten.
ah	ah; ai	Ah, ymmärrän nyt.
airline	lentoyhtiö	Lentoyhtiö on hyvin kiireinen.
alive	elossa	Pieni kala on elossa.
all right	kunnossa; hyvä on	Kaikki on nyt kunnossa.
allow	sallia	He sallivat koirat täällä.
almost	melkein	Olemme melkein valmiita.
alone	yksin	Hän asuu yksin.
along	pitkin; mukana	Kävele tätä tietä pitkin.
already	jo	Tiedän jo vastauksen.
alternative	vaihtoehto; vaihtoehtoinen	Tämä juna on vaihtoehto.
although	vaikka	Vaikka on myöhäistä, voimme jäädä.
among	joukossa; keskuudessa	Hän seisoi puiden joukossa.
amount	määrä	Määrä on liian pieni.
ancient	muinainen	Tämä muinainen muuri on kuuluisa.
ankle	nilka	Nilkkaani sattuu tänään.
anybody	kuka tahansa; kukaan	Voiko kukaan vastata tähän?
any more	enää; lisää	En tarvitse enää lisää.
anyway	joka tapauksessa	Joka tapauksessa voimme aloittaa nyt.
anywhere	missä tahansa; minne tahansa	Istu minne haluat.
app	sovellus	Tämä sovellus on hyödyllinen.
appear	ilmestyä; näkyä	Hänen nimensä näkyy tässä.
appearance	ulkonäkö	Hänen ulkonäkönsä on erilainen.
apply	hakea; soveltaa	Hae työpaikkaa tänään.
architect	arkkitehti	Arkkitehdillä on suunnitelma.
architecture	arkkitehtuuri	Pidän modernista arkkitehtuurista.
argue	riidellä; väittää	Älä riitele siskosi kanssa.
argument	riita; väite	Riita oli lyhyt.
army	armeija	Armeija on suuri.
arrange	järjestää	Järjestä kokous, kiitos.
arrangement	järjestely	Järjestely toimii hyvin.
asleep	unessa; nukkumassa	Vauva on unessa.
assistant	avustaja; apulainen	Avustaja auttoi minua.
athlete	urheilija	Urheilija juoksee nopeasti.
attack	hyökätä; hyökkäys	Koira voi hyökätä.
attend	osallistua; käydä	Osallistun tunnille tänään.
attention	huomio; tarkkaavaisuus	Kiinnitä nyt huomiota.
attractive	viehättävä	Puutarha on viehättävä.
audience	yleisö	Yleisö oli hiljainen.
