source_headword	SR	example_SR
absorb	апсорбовати	Пешкир брзо апсорбује воду.
abstract	апстрактан	Предавање је расправљало о апстрактним идејама.
accent	нагласак	Њен акценат је лако разумети.
accidentally	случајно	Случајно сам избрисао датотеку.
accommodate	прилагодити се	Хотел може да смести велике породице.
accomplish	остварити	Остварила је свој циљ пре јуна.
accountant	рачуновођа	Рачуновођа је проверио рачун.
accuracy	тачност	Тест мери тачност читања.
accurately	тачно	Мапа тачно приказује руту.
acid	киселина	Киселина је оштетила металну површину.
activate	активирати	Притисните дугме да активирате аларм.
addiction	зависност	Његова зависност је утицала на његов рад.
additionally	додатно	Додатно, треба нам још столица.
adequate	адекватан	Соба има адекватно осветљење.
adequately	адекватно	Извештај је адекватно објаснио проблем.
adjust	прилагодити	Прилагодите седиште пре вожње.
affordable	приступачан	Стан је приступачан за студенте.
agriculture	пољопривреда	Пољопривреда издржава многе руралне породице.
AIDS	СИДА	Лекари лече сиду модерном медицином.
alien	ванземаљац	Филм приказује ванземаљску планету.
alongside	уз	Бициклистичка стаза пролази уз реку.
altogether	сасвим	Укупно је пројекат трајао шест недеља.
ambulance	хитна помоћ	Хитна помоћ је стигла у року од неколико минута.
amusing	забаван	Прича је била забавна и лака.
analyst	аналитичар	Аналитичар је прегледао податке о продаји.
ancestor	предак	Мој предак је живео близу овог села.
animation	анимација	Анимација је учинила лекцију јаснијом.
annually	годишње	Фестивал се одржава годишње.
anticipate	предвидети	Предвиђамо густ саобраћај сутра.
anxiety	анксиозност	Анксиозност може отежати спавање.
apology	извињење	Понудила је искрено извињење.
applicant	кандидат	Кандидат је послао нову биографију.
appropriately	прикладно	Молимо вас да се обучете прикладно за интервју.
arrow	стрелица	Стрелица показује ка излазу.
artwork	уметничко дело	Музеј је изложио локално уметничко дело.
aside	у страну	Склонила се у страну да га пусти да прође.
asset	имовина	Искуство је драгоцена предност.
assign	доделити	Наставник је данас задао домаћи задатак.
assistance	помоћ	Молимо вас да затражите помоћ од особља.
assumption	претпоставка	Та претпоставка би могла бити погрешна.
assure	уверити	Уверавам вас да су врата закључана.
astonishing	запањујући	Поглед са литице био је запањујући.
attachment	прилог	Имејл укључује прилог.
auction	аукција	Слика је продата на аукцији.
audio	звучан	Аудио снимак звучи јасно.
automatic	аутоматски	Врата имају аутоматску браву.
automatically	аутоматски	Светла се аутоматски пале.
awareness	свест	Кампања је подигла јавну свест.
awkward	незграпан	Тишина је била непријатна.
badge	значка	Посетиоци морају да носе беџ.
balanced	уравнотежен	Уравнотежена исхрана укључује поврће.
ballet	балет	Она учи балет после школе.
balloon	балон	Балон је лебдео изнад стола.
barely	једва	Једва је чуо обавештење.
bargain	повољна куповина	Та јакна је била стварно повољна куповина.
basement	подрум	Кутије су у подруму.
