hsk_key	source_word	simplified	ES	example_ES	FR	example_FR	DE	example_DE	IT	example_IT	PT	example_PT	RU	example_RU
5001:物体	物体	物体	el objeto; cuerpo físico	Este objeto se hundió lentamente en el agua.	l'objet; corps physique	Cet objet a lentement coulé dans l'eau.	das Objekt; der physische Körper	Dieses Objekt sank langsam im Wasser.	l'oggetto; il corpo fisico	Questo oggetto è affondato lentamente nell'acqua.	o objeto; corpo físico	Este objeto afundou lentamente na água.	предмет; физическое тело	Этот предмет медленно погрузился в воду.
5005:喜剧	喜剧	喜剧	la comedia	Esta comedia hizo reír sin parar a todo el público.	la comédie	Cette comédie a fait rire tout le public sans arrêt.	die Komödie	Diese Komödie brachte das ganze Publikum ununterbrochen zum Lachen.	la commedia	Questa commedia ha fatto ridere senza sosta tutto il pubblico.	a comédia	Esta comédia fez toda a plateia rir sem parar.	комедия	Эта комедия заставила весь зал смеяться без остановки.
5006:喜事	喜事	喜事	el acontecimiento feliz; celebración	Hubo una celebración en casa y todos los parientes vinieron a felicitar.	l'heureux événement; fête	Il y a eu un heureux événement à la maison, et tous les proches sont venus féliciter.	das freudige Ereignis; die Feier	Zu Hause gab es ein freudiges Ereignis, und alle Verwandten kamen zum Gratulieren.	il lieto evento; la festa	In famiglia c'è stato un lieto evento e tutti i parenti sono venuti a fare gli auguri.	o acontecimento feliz; celebração	Houve uma celebração em casa, e todos os parentes vieram dar os parabéns.	радостное событие; праздник	В семье было радостное событие, и все родственники пришли поздравить.
5007:洗漱	洗漱	洗漱	asearse; lavarse	Ella se levanta a las seis cada mañana para asearse.	faire sa toilette	Elle se lève à six heures chaque matin pour faire sa toilette.	sich waschen; Morgentoilette machen	Sie steht jeden Morgen um sechs Uhr auf, um sich zu waschen.	lavarsi; fare toilette	Si alza alle sei ogni mattina per lavarsi.	lavar-se; fazer a higiene matinal	Ela se levanta às seis todas as manhãs para se lavar.	умываться; приводить себя в порядок	Она каждый день в шесть утра встает, чтобы умыться.
5011:戏曲	戏曲	戏曲	la ópera tradicional china	Al abuelo le gusta especialmente escuchar ópera tradicional local.	l'opéra traditionnel chinois	Grand-père aime particulièrement écouter l'opéra traditionnel local.	die traditionelle chinesische Oper	Großvater hört besonders gern lokale traditionelle Oper.	l'opera tradizionale cinese	Al nonno piace particolarmente ascoltare l'opera tradizionale locale.	a ópera tradicional chinesa	O avô gosta especialmente de ouvir ópera tradicional local.	традиционная китайская опера	Дедушка особенно любит слушать местную традиционную оперу.
5014:下功夫	下功夫	下功夫	esforzarse; dedicar mucho trabajo	Ella está dispuesta a esforzarse para escribir bien los caracteres chinos.	faire des efforts; s'appliquer	Elle est prête à faire des efforts pour bien écrire les caractères chinois.	sich Mühe geben; viel Arbeit investieren	Sie ist bereit, sich Mühe zu geben, um chinesische Zeichen gut zu schreiben.	impegnarsi; dedicare molto lavoro	È disposta a impegnarsi per scrivere bene i caratteri cinesi.	esforçar-se; dedicar esforço	Ela está disposta a se esforçar para escrever bem os caracteres chineses.	усердно работать над чем-либо; приложить усилия	Она готова приложить усилия, чтобы хорошо писать китайские иероглифы.
5015:下单	下单	下单	hacer un pedido	Ya hice un pedido en línea para comprar el manual.	passer une commande	J'ai déjà passé une commande en ligne pour acheter le manuel.	eine Bestellung aufgeben	Ich habe das Lehrbuch bereits online bestellt.	fare un ordine	Ho già fatto un ordine online per comprare il manuale.	fazer um pedido	Eu já fiz um pedido online para comprar o material didático.	оформить заказ	Я уже оформил онлайн-заказ на учебник.
5017:下线	下线	下线	desconectarse; retirar de servicio	Esta función antigua se retirará oficialmente mañana.	être mis hors ligne; être retiré	Cette ancienne fonction sera officiellement retirée demain.	offline gehen; eingestellt werden	Diese alte Funktion wird morgen offiziell eingestellt.	andare offline; essere dismesso	Questa vecchia funzione verrà ufficialmente dismessa domani.	sair do ar; ser descontinuado	Este recurso antigo será oficialmente descontinuado amanhã.	уйти офлайн; быть снятым с эксплуатации	Эта старая функция завтра официально будет отключена.
5018:下旬	下旬	下旬	la última decena del mes	La exposición se inaugurará a finales de agosto.	la dernière décade du mois	L'exposition ouvrira dans la dernière partie du mois d'août.	das letzte Monatsdrittel	Die Ausstellung wird Ende August eröffnet.	l'ultima decade del mese	La mostra aprirà nell'ultima parte di agosto.	o último decêndio do mês	A exposição será inaugurada no final de agosto.	последняя декада месяца	Выставка откроется в конце августа.
5023:显	显	显	mostrar; parecer	Esta ropa lo hace parecer lleno de energía.	paraître; faire paraître	Ce vêtement le fait paraître plein d'énergie.	wirken lassen; erscheinen	Diese Kleidung lässt ihn sehr energiegeladen wirken.	far sembrare; apparire	Questo vestito lo fa sembrare pieno di energia.	fazer parecer; mostrar	Esta roupa faz ele parecer cheio de energia.	показывать; казаться	Эта одежда делает его вид очень бодрым.
