simplified	SV	example_SV
挨	uthärda	Han uthärdade hela natten och väntade till gryningen
癌症	en cancersjukdom	Det är mycket viktigt att upptäcka cancer tidigt
暧昧	tvetydig	Hans svar var mycket tvetydigt
爱不释手	inte kunna lägga ifrån sig	Hon kunde knappt lägga ifrån sig den här boken
爱戴	älska och respektera	Den här läraren är djupt älskad och respekterad av eleverna
安宁	fridfull	Nätterna här är mycket fridfulla
安详	fridfull	Den äldre personens uttryck var mycket fridfullt
安置	placera och hjälpa till rätta	Regeringen placerade de katastrofdrabbade människorna
按摩	en massage	Jag bokade en massage
暗示	antyda	Hon antydde att jag inte skulle fråga mer
案件	ett rättsfall	Polisen utreder det här fallet
案例	ett exempel	Det här exemplet är mycket representativt
昂贵	dyr	Den här utrustningen är mycket dyr
凹凸	ojämn	Den här vägytan är ojämn
熬	härda ut	Han härdade ut i tre dagar innan rapporten blev klar
奥秘	en gåta	Forskaren vill avslöja denna gåta
巴不得	längta efter	Jag längtar efter att ge mig av direkt
巴结	ställa sig in hos	Han vill inte ställa sig in hos chefer
扒	klamra sig fast	Barnet klamrade sig fast vid dörren och tittade ut
疤	ett ärr	Han har ett ärr på armen
拔苗助长	skada genom överdriven iver	Att tvinga barnet att studera så här skadar bara genom överdriven iver
把关	granska	Det här kontraktet behöver granskas av en advokat
把手	ett handtag	Dörrens handtag är trasigt
罢工	en strejk	Arbetarna bestämde sig för att strejka i morgon
霸道	dominerande	Han talar på ett alltför dominerande sätt
掰	bryta isär	Hon bröt brödet i två halvor
摆脱	bli av med	Han blev äntligen av med sin dåliga vana
拜访	besöka	Vi ska besöka läraren i helgen
拜年	önska gott nytt år	Under vårfesten besöker vi far- och morföräldrarna för att önska gott nytt år
拜托	be om hjälp	Jag räknar med din hjälp i den här saken
败坏	skada	Ett sådant beteende skadar företagets rykte
斑	en fläck	Katten har en svart fläck
颁布	utfärda	De nya reglerna utfärdas nästa vecka
颁发	dela ut	Skolan delade ut diplom till framstående elever
版本	en version	Den här programvaran har en ny version
伴侣	en följeslagare	Hon behandlar hunden som sin följeslagare
伴随	följa med	Framgång följs ofta av press
半途而废	ge upp halvvägs	Man får inte ge upp halvvägs när man forskar
扮演	spela rollen som	Han spelar läkare i filmen
榜样	en förebild	Föräldrar är förebilder för barn
绑架	en kidnappning	Polisen stoppade ett kidnappningsfall
磅	ett pund	Den här lådan väger tjugo pund
包庇	skydda	Ingen får skydda brott
包袱	en börda	När han lade ner bördan kände han sig mycket lättare
包围	omringa	Reportrar omringade skådespelaren
包装	en förpackning	Förpackningen till den här gåvan är mycket vacker
保管	förvara	De här dokumenten förvaras av mig
保密	hålla hemligt	Innehållet i mötet måste hållas hemligt
保姆	en barnflicka	De anställde en barnflicka
保守	konservativ	Hans idéer är ganska konservativa
保卫	försvara	Soldater försvarar gränsen
保养	underhålla	Den här bilen behöver regelbundet underhåll
