source_headword	ML	example_ML
abolish	നിർത്തലാക്കുക	നിയമം പഴയ ഫീസ് നിർത്തലാക്കും.
abortion	ഗർഭഛിദ്രം	ഗർഭഛിദ്രം ഒരു സെൻസിറ്റീവായ മെഡിക്കൽ വിഷയമായി തുടരുന്നു.
absence	അസാന്നിധ്യം	അവളുടെ അസാന്നിധ്യം അന്തിമ തീരുമാനത്തെ വൈകിപ്പിച്ചു.
absent	ഹാജരാകാത്ത	രണ്ട് അംഗങ്ങൾ ക്ലാസ്സിൽ ഹാജരായിരുന്നില്ല.
absurd	അസംബന്ധമായ	അവകാശവാദം എല്ലാവർക്കും അസംബന്ധമായി തോന്നി.
abundance	സമൃദ്ധി	താഴ്‌വരയിൽ വെള്ളത്തിന്റെ സമൃദ്ധിയുണ്ട്.
abuse	ദുരുപയോഗം	റിപ്പോർട്ട് ജോലിസ്ഥലത്തെ ദുരുപയോഗം വിവരിച്ചു.
academy	അക്കാദമി	അക്കാദമി യുവ സംഗീതജ്ഞരെ പരിശീലിപ്പിക്കുന്നു.
accelerate	വേഗത്തിലാക്കുക	പുതിയ ഫണ്ട് ഗവേഷണത്തെ വേഗത്തിലാക്കും.
acceptance	സ്വീകാര്യത	വിമർശനം അദ്ദേഹം സ്വീകരിച്ച രീതി എന്നെ സ്വാധീനിച്ചു.
accessible	പ്രാപ്യമായ	മ്യൂസിയം വീൽചെയർ ഉപയോക്താക്കൾക്ക് പ്രവേശിക്കാൻ കഴിയുന്നതാണ്.
accomplishment	നേട്ടം	പുസ്തകം പൂർത്തിയാക്കുന്നത് ഒരു വലിയ നേട്ടമായിരുന്നു.
accordance	അനുസരിച്ച്	നയം അനുസരിച്ചാണ് പണി ചെയ്തത്.
accordingly	അതിനനുസരിച്ച്	തെളിവുകൾ മാറി, ഞങ്ങൾ അതിനനുസരിച്ച് പ്രവർത്തിച്ചു.
accountability	ഉത്തരവാദിത്തം	നയം മാനേജർമാരുടെ ഉത്തരവാദിത്തം വർദ്ധിപ്പിക്കുന്നു.
accountable	ഉത്തരവാദിയായ	സുരക്ഷയ്ക്ക് മാനേജർമാരാണ് ഉത്തരവാദികൾ.
accumulate	കുമിഞ്ഞുകൂടുക	സ്ക്രീനിന് പിന്നിൽ പൊടി കുമിഞ്ഞുകൂടാം.
accumulation	ശേഖരണം	ഡാറ്റ ശേഖരിക്കുന്നതിന് മാസങ്ങളെടുത്തു.
accusation	ആരോപണം	ആരോപണം കമ്മിറ്റിയെ ഞെട്ടിച്ചു.
accused	പ്രതി	പ്രതി കോടതിയിൽ ഹാജരായി.
acquisition	ഏറ്റെടുക്കൽ	ഏറ്റെടുക്കൽ കമ്പനിയെ വേഗത്തിൽ വികസിപ്പിച്ചു.
acre	ഏക്കർ	ഫാം ഒരു ഏക്കർ വ്യാപിച്ചുകിടക്കുന്നു.
activation	സജീവമാക്കൽ	കാർഡ് സജീവമാക്കാൻ മിനിറ്റുകൾ എടുക്കും.
activist	പ്രവർത്തകൻ	പ്രവർത്തകൻ റാലിയിൽ സംസാരിച്ചു.
acute	കടുത്ത	ഓടിയതിന് ശേഷം അവൾക്ക് കടുത്ത വേദന അനുഭവപ്പെട്ടു.
adaptation	അനുകരണം	ഈ രൂപമാറ്റം നോവലിന്റെ അന്ത്യം മാറ്റി.
adhere	പാലിക്കുക	ജീവനക്കാർ സുരക്ഷാ നിയമങ്ങൾ പാലിക്കണം.
adjacent	അടുത്തുള്ള	ഹോട്ടൽ സ്റ്റേഷനോട് ചേർന്നാണ്.
adjustment	ക്രമീകരണം	ഒരു ചെറിയ ക്രമീകരണം പ്രശ്നം പരിഹരിച്ചു.
administer	നൽകുക	നഴ്സുമാർ വാക്സിൻ ശ്രദ്ധയോടെ നൽകുന്നു.
administrative	ഭരണപരമായ	അഡ്മിനിസ്ട്രേറ്റീവ് ജീവനക്കാർ ഫോമുകൾ കൈകാര്യം ചെയ്യുന്നു.
administrator	ഭരണാധികാരി	അഡ്മിനിസ്ട്രേറ്റർ എന്റെ പാസ്‌വേഡ് പുനഃക്രമീകരിച്ചു.
admission	പ്രവേശനം	മ്യൂസിയത്തിലേക്കുള്ള പ്രവേശനം സൗജന്യമാണ്.
adolescent	കൗമാരക്കാരൻ	കൗമാരക്കാരന് കൂടുതൽ പിന്തുണ ആവശ്യമായിരുന്നു.
adoption	ദത്തെടുക്കൽ	ദത്തെടുക്കൽ കുട്ടിക്ക് സ്ഥിരമായ ഒരു വീട് നൽകി.
adverse	പ്രതികൂല	മരുന്ന് പ്രതികൂല ഫലങ്ങൾ ഉണ്ടാക്കി.
advocate	അഭിഭാഷകൻ	അഭിഭാഷകൻ വാടകക്കാരുടെ അവകാശങ്ങളെ ന്യായീകരിച്ചു.
aesthetic	സൗന്ദര്യാത്മക	മുറിക്ക് ശാന്തമായ സൗന്ദര്യാത്മക ശൈലിയുണ്ട്.
affection	വാത്സല്യം	അവൾ തന്റെ കുടുംബത്തോട് വാത്സല്യം കാണിച്ചു.
aftermath	അനന്തരഫലം	കൊടുങ്കാറ്റിന്റെ അനന്തരഫലം ബുദ്ധിമുട്ടായിരുന്നു.
aggression	ആക്രമണോത്സുകത	ഇടവേളയിൽ അധ്യാപിക ആക്രമണോത്സുകത ശ്രദ്ധിച്ചു.
