source_headword	SR	example_SR
abolish	укинути	Закон ће укинути стару таксу.
abortion	абортус	Абортус остаје осетљиво медицинско питање.
absence	одсуство	Њено одсуство је одложило коначну одлуку.
absent	одсутан	Два члана су била одсутна са часа.
absurd	апсурдан	Тврдња је свима звучала апсурдно.
abundance	обиље	Долина има обиље воде.
abuse	злостављање	Извештај је описао злостављање на радном месту.
academy	академија	Академија обучава младе музичаре.
accelerate	убрзати	Ново финансирање ће убрзати истраживање.
acceptance	прихватање	Његово прихватање критике ме је импресионирало.
accessible	приступачан	Музеј је приступачан корисницима инвалидских колица.
accomplishment	достигнуће	Завршавање књиге је било право достигнуће.
accordance	сагласност	Рад је обављен у сагласности са политиком.
accordingly	у складу с тим	Докази су се променили, и ми смо поступили у складу с тим.
accountability	одговорност	Политика повећава одговорност за менаџере.
accountable	одговоран	Менаџери су одговорни за безбедност.
accumulate	накупити се	Прашина може да се накупи иза екрана.
accumulation	накупљање	Накупљање података је трајало месецима.
accusation	оптужба	Оптужба је шокирала комитет.
accused	оптужени	Оптужени се појавио на суду.
acquisition	аквизиција	Аквизиција је брзо проширила компанију.
acre	акр	Фарма покрива један акр.
activation	активација	Активација картице траје неколико минута.
activist	активиста	Активиста је говорио на скупу.
acute	акутан	Осетила је акутан бол након трчања.
adaptation	адаптација	Адаптација је променила крај романа.
adhere	придржавати се	Особље мора да се придржава безбедносних правила.
adjacent	суседан	Хотел је суседан станици.
adjustment	прилагођавање	Мало прилагођавање је решило проблем.
administer	дати	Медицинске сестре пажљиво дају вакцину.
administrative	административни	Административно особље обрађује обрасце.
administrator	администратор	Администратор је ресетовао моју лозинку.
admission	улаз	Улаз у музеј је бесплатан.
adolescent	адолесцент	Адолесценту је била потребна додатна подршка.
adoption	усвајање	Усвајање је детету пружило стабилан дом.
adverse	нежељен	Лек је изазвао нежељене ефекте.
advocate	заговорник	Заговорник је бранио права станара.
aesthetic	естетски	Соба има миран естетски стил.
affection	наклоност	Показала је наклоност према својој породици.
aftermath	последица	Последице олује су биле тешке.
aggression	агресија	Наставник је приметио агресију током одмора.
agricultural	пољопривредни	Пољопривредни извоз је порастао ове године.
aide	помоћник	Помоћник је организовао министров распоред.
albeit	иако	План је успео, иако споро.
alert	упозорити	Молим вас да одмах упозорите особље.
align	поравнати	Стрелице се поравнавају са путем.
alignment	поравнање	Центрирање точкова је побољшало управљање аутомобилом.
alike	слично	Близанци се облаче слично викендом.
allegation	оптужба	Оптужба се појавила у новинама.
allege	тврдити	Они тврде да су средства изгубљена.
allegedly	наводно	Возач је наводно игнорисао упозорење.
alliance	савез	Странке су формирале привремени савез.
allocate	доделити	Град ће доделити новац за школе.
allocation	расподела	Расподела места је била неправедна.
allowance	џепарац	Њен џепарац покрива ручак и превоз.
ally	савезник	Канада је постала близак савезник.
aluminium	алуминијум	Оквир је направљен од алуминијума.
amateur	аматерски	Аматерски фотограф је направио слику.
ambassador	амбасадор	Амбасадор се састао са локалним студентима.
amend	изменити	Парламент је гласао да измени закон.
amendment	амандман	Амандман је променио један параграф.
amid	усред	Говор је дошао усред растуће напетости.
analogy	аналогија	Наставник је користио једноставну аналогију.
anchor	сидро	Брод је спустио сидро близу острва.
angel	анђео	Дете је носило костим анђела.
anonymous	анониман	Жалба је била анонимна.
apparatus	апарат	Лабораторијски апарат треба очистити.
appealing	привлачан	Понуда изгледа привлачно студентима.
appetite	апетит	Вежбање је повећало његов апетит.
applaud	аплаудирати	Публика је почела гласно да аплаудира.
applicable	применљив	Попуст је применљив данас.
appoint	именовати	Одбор ће именовати директора.
appreciation	захвалност	Изразила је захвалност за њихову помоћ.
arbitrary	произвољан	Рок је особљу деловао произвољно.
architectural	архитектонски	Град штити своје архитектонско наслеђе.
archive	архива	Архива чува старе фотографије.
arena	арена	Дебата се преселила у јавну арену.
arguably	вероватно	Ово је вероватно његов најбољи роман.
arm	наоружати	Стражари ће наоружати конвој.
array	низ	Продавница нуди низ алата.
articulate	јасно изразити	Она може јасно да изрази сложене идеје.
ash	пепео	Пепео је прекрио аутомобил након пожара.
aspiration	тежња	Њена тежња је да постане хирург.
aspire	тежити	Многи студенти теже да студирају у иностранству.
assassination	атентат	Атентат је променио политику земље.
assault	напад	Напад се догодио близу станице.
assemble	саставити	Радници ручно састављају намештај.
assembly	збор	Школски збор почиње у девет.
assert	наметнути	Покушао је да наметне свој ауторитет.
assertion	тврдња	Њена тврдња је изненадила комисију.
assurance	уверавање	Менаџер је дао уверавање о подршци.
asylum	азил	Породица је затражила азил на граници.
atrocity	зверство	Филм је описао ратно зверство.
attain	достићи	Мало тркача достигне ту брзину.
attendance	присутност	Присутност се побољшала након најаве.
attorney	адвокат	Адвокат је испитао сведока.
attribute	приписати	Научници приписују пораст загађењу.
audit	ревизија	Ревизија је пронашла неколико грешака.
authentic	аутентичан	Ресторан служи аутентичну регионалну храну.
authorize	одобрити	Само менаџери могу да одобре повраћај новца.
auto	аутомобил	Аутомобилска индустрија се брзо променила.
autonomy	аутономија	Регион жели већу аутономију.
availability	доступност	Доступност места је ограничена.
await	чекати	Неколико порука чека твој одговор.
backdrop	позадина	Планине су чиниле драматичну позадину.
backing	подршка	Предлог је добио подршку гласача.
backup	резервна копија	Систем свакодневно прави резервну копију.
bail	кауција	Судија је у подне одредио кауцију.
ballot	гласачки листић	Сваки гласач је добио гласачки листић.
banner	транспарент	Транспарент је висио изнад улаза.
bare	го	Соба је имала голе зидове.
barrel	буре	Буре је било пуно воде.
bass1	бас	Бас је звучао дубоко и топло.
battlefield	бојно поље	Старо бојно поље постало је споменик.
bay	залив	Село се налази поред тихог залива.
beam	греда	Челична греда носи кров.
beast	звер	Прича описује свирепу звер.
behalf	у име	Говорила је у име свог тима.
