hsk_key	source_word	simplified	CS	example_CS	SK	example_SK	HU	example_HU	RO	example_RO	BG	example_BG	HR	example_HR
1004:安检	安检	安检	bezpečnostní kontrola	Před vstupem do stanice musí cestující projít bezpečnostní kontrolou.	bezpečnostná kontrola	Pred vstupom do stanice musia cestujúci prejsť bezpečnostnou kontrolou.	biztonsági ellenőrzés	Az állomásra való belépés előtt az utasoknak biztonsági ellenőrzésen kell átmenniük.	control de securitate	Înainte de a intra în gară, pasagerii trebuie să treacă prin controlul de securitate.	проверка за сигурност	Преди да влязат в гарата, пътниците трябва да минат проверка за сигурност.	sigurnosna provjera	Prije ulaska u stanicu putnici moraju proći sigurnosnu provjeru.
1006:按	按	按	stisknout; podle	Stiskněte zelené tlačítko, aby se dveře otevřely.	stlačiť; podľa	Stlačte zelené tlačidlo, aby sa dvere otvorili.	megnyomni; szerint	Nyomd meg a zöld gombot az ajtó kinyitásához.	a apăsa; conform cu	Apasă butonul verde ca să deschizi ușa.	натискам; според	Натиснете зеления бутон, за да отворите вратата.	pritisnuti; prema	Pritisnite zeleni gumb da otvorite vrata.
1009:白酒	白酒	白酒	čínská pálenka baijiu	Nepije čínskou pálenku baijiu, pije jen čaj.	čínska pálenka baijiu	Nepije čínsku pálenku baijiu, pije iba čaj.	baijiu nevű kínai szesz	Nem iszik kínai baijiu szeszt, csak teát.	rachiu chinezesc baijiu	El nu bea rachiu chinezesc baijiu, bea doar ceai.	китайска ракия байдзю	Той не пие китайска ракия байдзю, пие само чай.	kinesko žestoko piće baijiu	Ne pije kineski baijiu, pije samo čaj.
1010:办公	办公	办公	pracovat v kanceláři; úřadovat	Dnes pracuje z domova.	pracovať v kancelárii; úradovať	Dnes pracuje z domu.	irodai munkát végezni	Ma otthonról dolgozik.	a lucra la birou	Azi lucrează de acasă.	работя офисна работа	Днес тя работи от вкъщи.	raditi uredski posao	Danas radi od kuće.
1012:办事	办事	办事	vyřizovat záležitosti	Odpoledne jdu do banky něco vyřídit.	vybavovať záležitosti	Popoludní idem do banky niečo vybaviť.	ügyet intézni	Délután elmegyek a bankba ügyet intézni.	a rezolva treburi	După-amiază merg la bancă să rezolv niște treburi.	уреждам работа; върша задача	Следобед отивам в банката да свърша работа.	obavljati poslove	Popodne idem u banku obaviti neke poslove.
1017:报考	报考	报考	přihlásit se ke zkoušce	Připravuje se přihlásit ke zkoušce z čínštiny.	prihlásiť sa na skúšku	Pripravuje sa prihlásiť na skúšku z čínštiny.	vizsgára jelentkezni	Készül jelentkezni a kínai vizsgára.	a se înscrie la un examen	Se pregătește să se înscrie la examenul de chineză.	кандидатствам за изпит	Той се подготвя да кандидатства за изпит по китайски.	prijaviti se na ispit	Priprema se prijaviti za ispit iz kineskog.
1021:背包	背包	背包	batoh	Můj batoh je u dveří.	batoh	Môj batoh je pri dverách.	hátizsák	A hátizsákom az ajtónál van.	rucsac	Rucsacul meu este lângă ușă.	раница	Раницата ми е до вратата.	ruksak	Moj ruksak je kraj vrata.
1022:北部	北部	北部	severní část	V severní části města je hora.	severná časť	V severnej časti mesta je hora.	északi rész	A város északi részén van egy hegy.	partea de nord	În partea de nord a orașului este un munte.	северна част	В северната част на града има планина.	sjeverni dio	U sjevernom dijelu grada nalazi se planina.
1028:笔试	笔试	笔试	písemná zkouška	Zítra dopoledne bude písemná zkouška.	písomná skúška	Zajtra dopoludnia bude písomná skúška.	írásbeli vizsga	Holnap délelőtt írásbeli vizsga lesz.	probă scrisă	Mâine dimineață este o probă scrisă.	писмен изпит	Утре сутрин има писмен изпит.	pismeni ispit	Sutra ujutro je pismeni ispit.
1030:毕业生	毕业生	毕业生	absolvent	Mnoho absolventů si hledá práci.	absolvent	Mnohí absolventi si hľadajú prácu.	végzős; diplomás	Sok végzős munkát keres.	absolvent	Mulți absolvenți își caută un loc de muncă.	завършил студент	Много завършили студенти си търсят работа.	diplomant; osoba koja je završila školu	Mnogi diplomanti traže posao.
1033:表	表	表	formulář; tabulka; hodinky	Prosím, doplňte tento formulář.	formulár; tabuľka; hodinky	Prosím, vyplňte tento formulár.	űrlap; táblázat; óra	Kérlek, töltsd ki ezt az űrlapot.	tabel; formular; ceas	Te rog să completezi acest formular.	формуляр; таблица; часовник	Моля, попълнете този формуляр докрай.	obrazac; tablica; sat	Molimo dovršite ispunjavanje ovog obrasca.
1039:并	并	并	také; a; vlastně	Vůbec se necítím unavený.	tiež; a; vlastne	Vôbec sa necítim unavený.	is; és; valójában	Valójában egyáltalán nem érzem magam fáradtnak.	și; de fapt	De fapt, nu mă simt obosit.	също; и; всъщност	Всъщност изобщо не се чувствам уморен.	također; i; zapravo	Zapravo se uopće ne osjećam umorno.
1043:不必	不必	不必	není třeba	Nemusíš odpovídat hned teď.	nie je potrebné	Nemusíš odpovedať hneď teraz.	nem szükséges	Nem kell most válaszolnod.	nu este nevoie	Nu trebuie să răspunzi acum.	не е нужно	Не е нужно да отговаряш сега.	nije potrebno	Ne moraš sada odgovoriti.
1044:不便	不便	不便	nepohodlný; nevhodný	Parkování zde není pohodlné.	nepohodlný; nevhodný	Parkovanie tu nie je pohodlné.	kényelmetlen	Itt kényelmetlen parkolni.	incomod	Aici este incomod să parchezi.	неудобен	Тук е неудобно за паркиране.	nezgodan; neprikladan	Ovdje je nezgodno parkirati.
1046:不够	不够	不够	nedostatek; nestačit	Těchto židlí není dost pro všechny.	nedostatok; nestačiť	Týchto stoličiek nie je dosť pre všetkých.	nem elég	Ezekből a székekből nincs elég mindenkinek.	insuficient; nu ajunge	Aceste scaune nu ajung pentru toată lumea.	недостатъчен; не стига	Тези столове не стигат за всички.	nedovoljno	Ovih stolica nema dovoljno za sve.
1048:不论	不论	不论	bez ohledu na; ať už	Ať bude počasí jakékoli, vyrazíme.	bez ohľadu na; nech už	Nech bude počasie akékoľvek, vyrazíme.	bármi legyen is; függetlenül attól	Bármilyen is lesz az idő, elindulunk.	indiferent de	Indiferent cum este vremea, vom porni.	независимо от; без значение	Независимо какво е времето, ще тръгнем.	bez obzira na	Bez obzira kakvo je vrijeme, krenut ćemo.
1049:步	步	步	krok	Udělal jeden krok dopředu.	krok	Urobil jeden krok dopredu.	lépés	Egy lépést tett előre.	pas	A făcut un pas înainte.	крачка	Той направи една крачка напред.	korak	Napravio je jedan korak naprijed.
1050:部	部	部	číslovka pro filmy a knihy; oddělení	Tento film je velmi zajímavý.	číslovka pre filmy a knihy; oddelenie	Tento film je veľmi zaujímavý.	számlálószó filmekhez és könyvekhez; részleg	Ez a film nagyon érdekes.	clasificator pentru filme și cărți; departament	Acest film este foarte interesant.	мерна дума за филми и книги; отдел	Този филм е много интересен.	brojna riječ za filmove i knjige; odjel	Ovaj film je vrlo zanimljiv.
1054:不光	不光	不光	nejen	Nejen děti, ale i dospělí mají tuto hru rádi.	nielen	Nielen deti, ale aj dospelí majú túto hru radi.	nemcsak	Nemcsak a gyerekek, hanem a felnőttek is szeretik ezt a játékot.	nu doar	Nu doar copiii, ci și adulții apreciază acest joc.	не само	Не само децата, но и възрастните харесват тази игра.	ne samo	Ne samo djeca nego i odrasli vole ovu igru.
1056:不满	不满	不满	nespokojený	Je s tímto výsledkem velmi nespokojený.	nespokojný	Je s týmto výsledkom veľmi nespokojný.	elégedetlen	Nagyon elégedetlen ezzel az eredménnyel.	nemulțumit	Este foarte nemulțumit de acest rezultat.	недоволен	Той е много недоволен от този резултат.	nezadovoljan	Vrlo je nezadovoljan ovim rezultatom.
1063:参赛	参赛	参赛	zúčastnit se soutěže	Z naší třídy se soutěže účastní pět lidí.	zúčastniť sa súťaže	Z našej triedy sa súťaže zúčastňuje päť ľudí.	versenyen részt venni	Az osztályunkból öten vesznek részt a versenyen.	a participa la concurs	Cinci persoane din clasa noastră participă la concurs.	участвам в състезание	Петима души от нашия клас участват в състезанието.	sudjelovati u natjecanju	Petero ljudi iz našeg razreda sudjeluje u natjecanju.
1067:查看	查看	查看	zkontrolovat; prohlédnout	Učitel právě kontroluje seznam studentů.	skontrolovať; prezrieť	Učiteľ práve kontroluje zoznam študentov.	ellenőrizni; megnézni	A tanár éppen ellenőrzi a diákok névsorát.	a verifica; a consulta	Profesorul verifică lista elevilor.	проверявам; преглеждам	Учителят проверява списъка на учениците.	provjeriti; pregledati	Učitelj provjerava popis učenika.
1068:茶叶	茶叶	茶叶	čajové lístky	Čajové lístky v tomto obchodě jsou velmi čerstvé.	čajové lístky	Čajové lístky v tomto obchode sú veľmi čerstvé.	tealevél	Ennek a boltnak a tealevelei nagyon frissek.	frunze de ceai	Frunzele de ceai din acest magazin sunt foarte proaspete.	чаени листа	Чаените листа в този магазин са много пресни.	listići čaja	Listići čaja u ovoj trgovini vrlo su svježi.
1069:查找	查找	查找	hledat; vyhledat	Hledám informace na internetu.	hľadať; vyhľadať	Hľadám informácie na internete.	keresni; utánanézni	Információt keresek az interneten.	a căuta	Caut informații pe internet.	търся; намирам	Търся материали в интернет.	tražiti; pretraživati	Tražim informacije na internetu.
1070:差点儿	差点儿	差点儿	málem; skoro	Málem jsem zmeškal autobus.	takmer; skoro	Takmer som zmeškal autobus.	majdnem; kis híján	Majdnem lekéstem a buszt.	aproape	Eram cât pe ce să pierd autobuzul.	за малко; почти	За малко да изпусна автобуса.	zamalo; gotovo	Zamalo sam propustio autobus.
1072:厂	厂	厂	továrna	Tato továrna vyrábí mobilní telefony.	továreň	Táto továreň vyrába mobilné telefóny.	gyár	Ez a gyár mobiltelefonokat gyárt.	fabrică	Această fabrică produce telefoane mobile.	фабрика; завод	Тази фабрика произвежда мобилни телефони.	tvornica	Ova tvornica proizvodi mobilne telefone.
1075:车速	车速	车速	rychlost vozidla	Za deště by měla být rychlost vozidla o něco nižší.	rýchlosť vozidla	Za dažďa má byť rýchlosť vozidla o niečo nižšia.	jármű sebessége	Esős időben a jármű sebessége legyen kicsit alacsonyabb.	viteza vehiculului	Pe timp de ploaie, viteza vehiculului trebuie să fie puțin mai mică.	скорост на превозното средство	В дъждовно време скоростта трябва да е малко по-ниска.	brzina vozila	Za kišnog vremena brzina vozila treba biti malo manja.
1076:车位	车位	车位	parkovací místo	Dole je ještě jedno parkovací místo.	parkovacie miesto	Dole je ešte jedno parkovacie miesto.	parkolóhely	Lent még van egy parkolóhely.	loc de parcare	Mai este un loc de parcare jos.	място за паркиране	Долу все още има едно място за паркиране.	parkirno mjesto	Dolje je još jedno parkirno mjesto.
1077:城	城	城	město; městečko	V tomto městě je mnoho starých ulic.	mesto; mestečko	V tomto meste je veľa starých ulíc.	város	Ebben a városban sok régi utca van.	oraș; târg	Acest oraș are multe străzi vechi.	град	В този град има много стари улици.	grad; gradić	Ovaj grad ima mnogo starih ulica.
1080:乘客	乘客	乘客	cestující	Cestující, vystupujte prosím zadními dveřmi.	cestujúci	Cestujúci, vystúpte prosím zadnými dverami.	utas	Az utasok a hátsó ajtón szálljanak le.	pasager	Pasagerii sunt rugați să coboare pe ușa din spate.	пътник	Пътниците да слизат през задната врата.	putnik	Putnici, molimo siđite na stražnja vrata.
1085:迟	迟	迟	pozdě	Dnes přišel trochu pozdě.	neskoro	Dnes prišiel trochu neskoro.	későn	Ma egy kicsit későn érkezett.	târziu	Azi a venit puțin târziu.	късно	Днес той дойде малко късно.	kasno	Danas je došao malo kasno.
1086:重	重	重	znovu; opakovaně	Tuto slohovou práci je potřeba ještě jednou přepsat.	znovu; opakovane	Túto slohovú prácu treba ešte raz prepísať.	újra; ismételten	Ezt a fogalmazást egyszer újra kell írni.	din nou; repetat	Această compunere trebuie rescrisă o dată.	отново; повторно	Това съчинение трябва да се пренапише още веднъж.	ponovno; iznova	Ovaj sastav treba još jednom prepisati.
1091:出行	出行	出行	cestovat; vyjít ven	O svátcích cestuje mnoho lidí.	cestovať; vyjsť von	Počas sviatkov cestuje veľa ľudí.	utazni; kimozdulni	Ünnepnapokon sok ember utazik.	a călători; a ieși	În zilele libere călătoresc mulți oameni.	пътувам; излизам	По празниците много хора пътуват.	putovati; izlaziti	Puno ljudi putuje tijekom praznika.
1092:出租	出租	出租	pronajmout; dát do nájmu	Tento byt lze pronajmout.	prenajať; dať do nájmu	Tento byt sa dá prenajať.	bérbe adni	Ezt a lakást ki lehet adni.	a închiria; a da în chirie	Acest apartament poate fi dat în chirie.	отдавам под наем	Този апартамент може да се отдава под наем.	iznajmiti; dati u najam	Ovaj stan može se iznajmiti.
1094:厨师	厨师	厨师	kuchař	Tento kuchař vaří velmi rychle.	kuchár	Tento kuchár varí veľmi rýchlo.	szakács	Ez a szakács nagyon gyorsan főz.	bucătar	Acest bucătar gătește foarte repede.	готвач	Този готвач готви много бързо.	kuhar	Ovaj kuhar vrlo brzo kuha.
1095:窗	窗	窗	okno	Prosím, pootevřete okno.	okno	Prosím, pootvorte okno.	ablak	Kérlek, nyisd ki egy kicsit az ablakot.	fereastră	Te rog să deschizi puțin fereastra.	прозорец	Моля, отвори прозореца малко.	prozor	Molim te, otvori prozor malo.
1099:此	此	此	tento; zde	Zde je parkování zakázáno.	tento; tu	Tu je parkovanie zakázané.	ez; itt	Itt tilos parkolni.	acesta; aici	Aici parcarea este interzisă.	този; тук	Тук паркирането е забранено.	ovo; ovdje	Ovdje je parkiranje zabranjeno.
