source_headword	ES	example_ES
abolish	abolir	La ley abolirá la antigua tarifa.
abortion	el aborto	El aborto sigue siendo un tema médico delicado.
absence	la ausencia	Su ausencia retrasó la decisión final.
absent	ausente	Dos miembros estuvieron ausentes de clase.
absurd	absurdo	La afirmación les sonó absurda a todos.
abundance	la abundancia	El valle tiene una abundancia de agua.
abuse	el abuso	El informe describió el abuso en el lugar de trabajo.
academy	la academia	La academia entrena a jóvenes músicos.
accelerate	acelerar	Los nuevos fondos acelerarán la investigación.
acceptance	la aceptación	Su aceptación de la crítica me impresionó.
accessible	accesible	El museo es accesible para usuarios de sillas de ruedas.
accomplishment	el logro	Terminar el libro fue un verdadero logro.
accordance	la conformidad	El trabajo se hizo en conformidad con la política.
accordingly	en consecuencia	La evidencia cambió y actuamos en consecuencia.
accountability	la responsabilidad	La política aumenta la responsabilidad de los gerentes.
accountable	responsable	Los gerentes son responsables de la seguridad.
accumulate	acumular	El polvo se puede acumular detrás de la pantalla.
accumulation	la acumulación	La acumulación de datos tomó meses.
accusation	la acusación	La acusación sorprendió al comité.
accused	el acusado	El acusado compareció ante el tribunal.
acquisition	la adquisición	La adquisición expandió la empresa rápidamente.
acre	el acre	La granja abarca un acre.
activation	la activación	La activación de la tarjeta toma minutos.
activist	el activista	El activista habló en el mitin.
acute	agudo	Ella sintió un dolor agudo después de correr.
adaptation	la adaptación	La adaptación cambió el final de la novela.
adhere	cumplir	El personal debe cumplir con las reglas de seguridad.
adjacent	adyacente	El hotel es adyacente a la estación.
adjustment	el ajuste	Un pequeño ajuste solucionó el problema.
administer	administrar	Las enfermeras administran la vacuna con cuidado.
administrative	administrativo	El personal administrativo maneja los formularios.
administrator	el administrador	El administrador restableció mi contraseña.
admission	la entrada	La entrada al museo es gratis.
adolescent	el adolescente	El adolescente necesitaba apoyo adicional.
adoption	la adopción	La adopción le dio al niño un hogar estable.
adverse	adverso	El medicamento causó efectos adversos.
advocate	el defensor	El defensor defendió los derechos de los inquilinos.
aesthetic	estético	La habitación tiene un estilo estético tranquilo.
affection	el afecto	Ella mostró afecto por su familia.
aftermath	las secuelas	Las secuelas de la tormenta fueron difíciles.
aggression	la agresión	El maestro notó agresión durante el recreo.
agricultural	agrícola	Las exportaciones agrícolas aumentaron este año.
aide	el ayudante	El ayudante organizó el horario del ministro.
albeit	aunque	El plan funcionó, aunque lentamente.
alert	alertar	Por favor, alerte al personal de inmediato.
align	alinear	Las flechas se alinean con el camino.
alignment	la alineación	La alineación de las ruedas mejoró el manejo del auto.
alike	igual	Los gemelos se visten igual los fines de semana.
allegation	la acusación	La acusación apareció en el periódico.
allege	alegar	Ellos alegan que los fondos se perdieron.
allegedly	presuntamente	El conductor presuntamente ignoró la advertencia.
alliance	la alianza	Los partidos formaron una alianza temporal.
allocate	asignar	La ciudad asignará dinero para las escuelas.
allocation	la asignación	La asignación de asientos fue injusta.
allowance	la mesada	Su mesada cubre el almuerzo y el transporte.
ally	el aliado	Canadá se convirtió en un aliado cercano.
aluminium	el aluminio	El marco está hecho de aluminio.
amateur	aficionado	Un fotógrafo aficionado tomó la fotografía.
ambassador	el embajador	El embajador se reunió con estudiantes locales.
amend	modificar	El parlamento votó para modificar la ley.
amendment	la enmienda	La enmienda cambió un párrafo.
amid	en medio de	El discurso se produjo en medio de una tensión creciente.
analogy	la analogía	El maestro usó una analogía simple.
anchor	el ancla	El barco echó el ancla cerca de la isla.
angel	el ángel	El niño vestía un disfraz de ángel.
anonymous	anónimo	La denuncia fue anónima.
apparatus	el aparato	El aparato del laboratorio necesita limpieza.
