source_headword	MY	example_MY
incur	ကျခံရသည်	နှောင့်နှေးမှုများကြောင့် အပိုကုန်ကျစရိတ်များ ကျခံရနိုင်သည်။
indicator	ညွှန်ပြချက်	အလုပ်လက်မဲ့ဖြစ်ခြင်းသည် စီးပွားရေး ညွှန်ပြချက်တစ်ခုဖြစ်သည်။
indictment	တရားစွဲဆိုချက်	တရားစွဲဆိုချက်တွင် စွဲချက်သုံးခု ပါဝင်သည်။
indigenous	ဒေသရင်း	ဤနေရာတွင် ဒေသရင်းအပင်များ ကောင်းစွာ ပေါက်ရောက်သည်။
induce	ဖြစ်ပေါ်စေသည်	ဆေးသည် အိပ်မပျော်ခြင်းကို ဖြစ်ပေါ်စေနိုင်သည်။
indulge	အလိုလိုက်သည်	သူမသည် စျေးကြီးသော အလေ့အထများကို အလိုမလိုက်ပါ။
inequality	မညီမျှမှု	ဝင်ငွေ မညီမျှမှုသည် အဓိကပြဿနာအဖြစ် ရှိနေဆဲဖြစ်သည်။
infamous	နာမည်ဆိုးဖြင့် ကျော်ကြားသော	ထောင်သည် ကမ္ဘာတစ်ဝှမ်းတွင် နာမည်ဆိုးဖြင့် ကျော်ကြားလာခဲ့သည်။
infant	မွေးကင်းစကလေး	မွေးကင်းစကလေးသည် ပုခက်ထဲတွင် အိပ်ပျော်နေသည်။
infect	ကူးစက်သည်	ဗိုင်းရပ်စ်သည် ကျန်းမာသောဆဲလ်များကို ကူးစက်နိုင်သည်။
inflict	ဒုက္ခပေးသည်	တိရစ္ဆာန်များကို နာကျင်မှု မဖြစ်စေပါနှင့်။
influential	သြဇာညောင်းသော	သူမသည် သြဇာညောင်းသော ဥပဒေပညာရှင်တစ်ဦးဖြစ်သည်။
inherent	မွေးရာပါ	ဒီဇိုင်းတွင် မွေးရာပါ အန္တရာယ်များ ရှိသည်။
inhibit	ဟန့်တားသည်	ကြောက်ရွံ့မှုသည် ရိုးသားသော ဆွေးနွေးမှုကို ဟန့်တားနိုင်သည်။
initiate	စတင်သည်	မန်နေဂျာသည် ပြန်လည်သုံးသပ်မှုကို စတင်မည်ဖြစ်သည်။
inject	ထိုးသွင်းသည်	သူနာပြုသည် ကာကွယ်ဆေးကို ထိုးပေးမည်ဖြစ်သည်။
injection	ဆေးထိုးခြင်း	ဆေးထိုးခြင်းက နာကျင်မှုကို သက်သာစေသည်။
injustice	မတရားမှု	စီရင်ချက်က ထင်ရှားသော မတရားမှုကို ဖော်ပြခဲ့သည်။
inmate	အကျဉ်းသား	အကျဉ်းသားသည် ဥပဒေရေးရာ အကြံဉာဏ်ကို တောင်းခံခဲ့သည်။
insertion	ထည့်သွင်းခြင်း	ပုံစံတွင် စာသားတစ်ခု ထည့်သွင်းရန် လိုအပ်သည်။
insider	အတွင်းလူ	အတွင်းလူတစ်ဦးက အစီရင်ခံစာကို ပေါက်ကြားစေခဲ့သည်။
