source_headword	JA	example_JA
absorb	吸収する	そのタオルはすぐに水を吸収する。
abstract	抽象的な	その講義では抽象的な考えについて議論された。
accent	アクセント	彼女の訛りは聞き取りやすい。
accidentally	誤って	誤ってそのファイルを削除してしまった。
accommodate	収容する	そのホテルは大家族を収容できる。
accomplish	達成する	彼女は6月前に目標を達成した。
accountant	会計士	会計士は請求書を確認した。
accuracy	正確さ	そのテストは読む正確さを測定する。
accurately	正確に	その地図はルートを正確に示している。
acid	酸	酸が金属の表面を傷つけた。
activate	活性化する	ボタンを押してアラームを作動させてください。
addiction	中毒	彼の依存症は仕事に影響を及ぼした。
additionally	さらに	さらに、私たちはもっと椅子が必要だ。
adequate	適切な	その部屋には十分な光がある。
adequately	十分に	その報告書は問題を十分に説明していた。
adjust	調整する	運転する前に座席を調整してください。
affordable	手頃な	そのアパートは学生にとって手頃な価格だ。
agriculture	農業	農業は多くの農村の家族を支えている。
AIDS	エイズ	医師は現代医学でエイズを治療する。
alien	宇宙人	その映画は異星の惑星を描いている。
alongside	～と並んで	自転車道は川に沿って走っている。
altogether	完全に	そのプロジェクトは全部で6週間かかった。
ambulance	救急車	救急車は数分以内に到着した。
amusing	面白い	その話は面白くて気軽なものだった。
analyst	アナリスト	アナリストは販売データを見直した。
ancestor	祖先	私の祖先はこの村の近くに住んでいた。
animation	アニメーション	アニメーションのおかげで授業がより分かりやすくなった。
annually	毎年	その祭りは毎年開催される。
anticipate	予期する	明日は交通渋滞が激しいと予想される。
anxiety	不安	不安は睡眠を困難にすることがある。
apology	謝罪	彼女は心からの謝罪をした。
applicant	応募者	応募者は新しい履歴書を送った。
appropriately	適切に	面接には適切に服を着てください。
arrow	矢	矢印は出口を指している。
artwork	芸術作品	博物館は地元の芸術作品を展示した。
aside	脇へ	彼女は彼を通すために脇へ寄った。
asset	資産	経験は貴重な財産だ。
assign	割り当てる	先生は今日宿題を割り当てた。
assistance	支援	スタッフに助けを求めてください。
assumption	仮定	その仮定は間違っているかもしれない。
assure	保証する	ドアは間違いなく鍵がかかっていると保証します。
astonishing	驚くべき	崖からの眺めは驚くべきものだった。
attachment	添付ファイル	そのメールには添付ファイルが含まれている。
auction	オークション	その絵はオークションで売れた。
audio	オーディオの	音声の録音はクリアに聞こえる。
automatic	自動の	そのドアには自動ロックがついている。
automatically	自動的に	電気が自動的に点灯する。
awareness	認識	そのキャンペーンは公衆の意識を高めた。
awkward	気まずい	沈黙が気まずく感じられた。
badge	バッジ	訪問者はバッジを着用しなければならない。
balanced	バランスのとれた	バランスの取れた食事には野菜が含まれる。
ballet	バレエ	彼女は放課後にバレエを習っている。
balloon	風船	風船がテーブルの上に浮かんでいた。
barely	かろうじて	彼はアナウンスがほとんど聞こえなかった。
bargain	お買い得品	そのジャケットは本当にお買い得品だった。
basement	地下室	箱は地下室にある。
basket	かご	彼女はリンゴをかごに入れた。
bat	バット / コウモリ	コウモリが洞窟から飛び出した。
beneficial	有益な	定期的な運動は健康に有益だ。
beside	～のそばに	ランプはソファのそばに立っている。
besides	その上 / ～に加えて	数学に加えて、彼は化学も勉強している。
bias	偏見 / バイアス	その記事は明らかな偏見を示していた。
bid	入札	その会社はより高い入札を行った。
biological	生物学的な	生物学的な検査でその結果が確認された。
blanket	毛布	子供は毛布の下で眠った。
blow	打撃	その強打で窓が割れた。
bold	大胆な	見出しには太字が使われていた。
bombing	爆撃	爆撃はいくつかの建物に損害を与えた。
booking	予約	ホテルの予約を確認した。
boost	促進 / 増加	その勝利はチームの自信を高めた。
bound	縛られた / 義務がある	小包は紐で縛られていた。
brick	レンガ	その壁はレンガでできている。
briefly	手短に	彼女は昼食後に手短に話した。
broadcaster	放送局 / アナウンサー	アナウンサーは市長にインタビューした。
broadly	大まかに	その2つの計画は大まかに似ている。
bug	虫 / バグ	バグのせいでアプリがクラッシュした。
cabin	キャビン / 小屋	私たちは小さなキャビンに泊まった。
canal	運河	船が運河に沿ってゆっくりと進んだ。
candle	ろうそく	ろうそくがテーブルの上で燃えていた。
carbon	炭素	木は空気中から炭素を吸収する。
casual	カジュアルな / 何気ない	彼はカジュアルな服を着て仕事に行った。
cave	洞窟	ハイカーたちは洞窟に入った。
certainty	確実性	確実には分からない。
certificate	証明書	彼女は研修の証明書を受け取った。
challenging	困難だがやりがいのある	そのコースはやりがいがあるが役に立った。
championship	選手権 / チャンピオンシップ	私たちのチームは選手権の決勝に進んだ。
charming	魅力的な	その古い通りは魅力的に見えた。
chase	追跡	犬はボールを追いかけた。
cheek	頬	涙が彼女の頬を伝った。
cheer	声援 / 歓声	群衆は大声で歓声を上げ始めた。
choir	聖歌隊 / 合唱団	合唱団は美しく歌った。
chop	切る / 切り刻む	玉ねぎを細かく刻んでください。
circuit	回路 / サーキット	ランナーは周回を終えた。
civilization	文明	古代文明がこの地域を形成した。
clarify	明確にする	最後の点について明確にしてください。
classify	分類する	科学者は動物を種によって分類する。
clerk	事務員 / 店員	事務員はレシートを印刷した。
cliff	崖	道は崖の近くで終わっている。
clinic	クリニック / 診療所	その診療所は8時に開く。
clip	クリップ / 切り抜き	彼女は紙にクリップを留めた。
coincidence	偶然の一致	そこで彼に会ったのは偶然でした。
collector	収集家	その収集家は珍しい硬貨を買いました。
colony	植民地	蟻は大きなコロニーを作りました。
colourful	カラフルな	市場は明るくカラフルでした。
comic	漫画	そのコミカルなシーンは私たちを笑わせました。
commander	指揮官	指揮官は明確な命令を下しました。
comparative	比較の	その論文は比較データを使用しています。
completion	完了	その橋は完成に近づいています。
compose	構成する	彼はその映画のために作曲します。
composer	作曲家	その作曲家は新しい歌を書きました。
compound	化合物	その化合物には2つの化学物質が含まれています。
comprehensive	包括的な	そのガイドは包括的な指示を提供しています。
comprise	構成する	そのチームは5人のメンバーで構成されています。
compulsory	義務的な	このクラスの出席は必須です。
concrete	コンクリート	床はコンクリートで作られています。
confess	告白する	彼は先生に間違いを告白しました。
confusion	混乱	遅延は混乱を引き起こしました。
consequently	その結果	雨が降ったため、結果として試合は中断されました。
conservation	保護	環境保護は希少動物を守ります。
considerable	かなりの	修理にはかなりの時間がかかりました。
considerably	かなり	今年は物価が大幅に上昇しました。
consistently	常に	彼女は常に良いパフォーマンスをしています。
conspiracy	陰謀	警察はその陰謀を調査しました。
consult	相談する	薬を飲む前に医師に相談してください。
consultant	コンサルタント	コンサルタントは新しい戦略を提案しました。
consumption	消費	先月、エネルギー消費量は減少しました。
controversial	物議を醸す	その政策は依然として物議を醸しています。
controversy	論争	その決定は論争を引き起こしました。
convenience	便利さ	その店は大きな利便性を提供しています。
convention	大会	年次大会は月曜日に始まります。
conventional	従来の	彼は従来のデザインを選びました。
convey	伝える	そのメッセージは同情を伝えていました。
convincing	説得力のある	彼女の説明は説得力がありました。
cope	対処する	彼女はストレスに対処することを学びました。
corporation	企業	その企業は新しいオフィスを開設しました。
corridor	廊下	廊下は狭くて静かでした。
counter (long flat surface)	カウンター	鍵はキッチンのカウンターにあります。
coverage	報道	ニュース報道は一晩中続きました。
crack	割れ目	壁にひび割れができました。
craft	工芸	彼女はオンラインで手作りの工芸品を販売しています。
creativity	創造性	創造力は問題解決に役立ちます。
