hsk_key	source_word	simplified	JA	example_JA	KO	example_KO	VI	example_VI	TH	example_TH	MS	example_MS	ID	example_ID
5001:物体	物体	物体	物体; 物理的なもの	この物体は水の中でゆっくり沈んだ。	물체; 물리적 대상	이 물체는 물속에서 천천히 가라앉았다.	vật thể; vật thể vật lý	Vật thể này từ từ chìm xuống nước.	วัตถุ; สิ่งของทางกายภาพ	วัตถุชิ้นนี้ค่อย ๆ จมลงในน้ำ	objek; jasad fizikal	Objek ini perlahan-lahan tenggelam di dalam air.	objek; benda fisik	Benda ini perlahan-lahan tenggelam di dalam air.
5005:喜剧	喜剧	喜剧	喜劇; コメディ	この喜劇は観客全員を笑い続けさせた。	희극; 코미디	이 코미디는 관객 전체를 계속 웃게 했다.	hài kịch; phim hài	Vở hài kịch này khiến toàn bộ khán giả cười không ngừng.	ละครตลก; คอมเมดี้	ละครตลกเรื่องนี้ทำให้ผู้ชมทั้งห้องหัวเราะไม่หยุด	komedi	Komedi ini membuat seluruh penonton ketawa tanpa henti.	komedi	Komedi ini membuat seluruh penonton tertawa tanpa henti.
5006:喜事	喜事	喜事	祝い事; めでたい出来事	家で祝い事があり、親戚がみな祝いに来た。	경사; 기쁜 일	집에 경사가 있어 친척들이 모두 축하하러 왔다.	chuyện vui; việc mừng	Trong nhà có chuyện vui, nên tất cả họ hàng đến chúc mừng.	เรื่องมงคล; งานยินดี	ที่บ้านมีเรื่องมงคล ญาติทุกคนจึงมาแสดงความยินดี	peristiwa gembira; majlis meraikan	Ada peristiwa gembira di rumah, dan semua saudara datang mengucapkan tahniah.	peristiwa bahagia; perayaan	Ada peristiwa bahagia di rumah, dan semua kerabat datang memberi selamat.
5007:洗漱	洗漱	洗漱	洗面する; 身支度で洗う	彼女は毎朝六時に起きて洗面する。	씻고 양치하다; 세면하다	그녀는 매일 아침 여섯 시에 일어나 씻고 양치한다.	rửa mặt đánh răng; vệ sinh cá nhân	Cô ấy dậy lúc sáu giờ mỗi sáng để vệ sinh cá nhân.	ล้างหน้าแปรงฟัน; ทำความสะอาดตัว	เธอตื่นตอนหกโมงทุกเช้าเพื่อล้างหน้าแปรงฟัน	membersihkan diri; mencuci muka dan berus gigi	Dia bangun pukul enam setiap pagi untuk membersihkan diri.	membersihkan diri; cuci muka dan sikat gigi	Dia bangun pukul enam setiap pagi untuk membersihkan diri.
5011:戏曲	戏曲	戏曲	中国伝統劇; 地方劇	祖父は地方の伝統劇を聞くのが特に好きだ。	전통극; 지방극	할아버지는 지방 전통극 듣는 것을 특히 좋아하신다.	hí khúc; sân khấu truyền thống Trung Hoa	Ông nội đặc biệt thích nghe hí khúc địa phương.	อุปรากรจีน; งิ้วท้องถิ่น	คุณปู่ชอบฟังงิ้วท้องถิ่นเป็นพิเศษ	opera tradisional Cina; teater tempatan	Datuk sangat suka mendengar opera tempatan.	opera tradisional Tiongkok; teater daerah	Kakek sangat suka mendengarkan opera daerah.
5014:下功夫	下功夫	下功夫	努力を注ぐ; 手間をかける	彼女は漢字をきれいに書くために努力を惜しまない。	공을 들이다; 노력하다	그녀는 한자를 잘 쓰기 위해 기꺼이 공을 들인다.	bỏ công sức; dày công	Cô ấy sẵn sàng bỏ công để viết chữ Hán thật đẹp.	ลงแรง; ทุ่มเท	เธอยินดีทุ่มเทเพื่อเขียนตัวอักษรจีนให้สวย	mencurahkan usaha; bersungguh-sungguh	Dia sanggup mencurahkan usaha untuk menulis aksara Cina dengan baik.	mencurahkan usaha; bersungguh-sungguh	Dia bersedia mencurahkan usaha untuk menulis aksara Mandarin dengan baik.
5015:下单	下单	下单	注文する	私はもうネットで教科書を注文した。	주문하다	나는 이미 온라인으로 교재를 주문했다.	đặt hàng	Tôi đã đặt mua giáo trình trên mạng rồi.	สั่งซื้อ	ฉันสั่งซื้อหนังสือเรียนทางออนไลน์แล้ว	membuat pesanan	Saya sudah membuat pesanan buku teks secara dalam talian.	memesan; membuat pesanan	Saya sudah memesan buku teks secara daring.
5017:下线	下线	下线	オフラインになる; サービス終了する	この古い機能は明日正式に終了する。	오프라인으로 전환되다; 서비스가 종료되다	이 오래된 기능은 내일 공식적으로 종료된다.	ngừng hoạt động; ngoại tuyến	Tính năng cũ này sẽ chính thức ngừng hoạt động vào ngày mai.	ยุติการให้บริการ; ออฟไลน์	ฟีเจอร์เก่านี้จะยุติการให้บริการอย่างเป็นทางการพรุ่งนี้	ditamatkan; keluar talian	Ciri lama ini akan ditamatkan secara rasmi esok.	dihentikan; offline	Fitur lama ini akan resmi dihentikan besok.
5018:下旬	下旬	下旬	下旬; 月の終わりの十日間	展示会は八月下旬に始まる。	하순	전시회는 8월 하순에 열린다.	hạ tuần; mười ngày cuối tháng	Triển lãm sẽ khai mạc vào cuối tháng Tám.	ช่วงปลายเดือน; สิบวันท้ายของเดือน	นิทรรศการจะเปิดในช่วงปลายเดือนสิงหาคม	akhir bulan; sepuluh hari terakhir bulan itu	Pameran itu akan dibuka pada akhir bulan Ogos.	akhir bulan; sepuluh hari terakhir	Pameran akan dibuka pada akhir Agustus.
5023:显	显	显	見える; 表れる	この服装は彼を元気そうに見せる。	드러나다; 보이다	이 옷차림은 그를 활기차 보이게 한다.	trông có vẻ; hiện ra	Bộ đồ này làm anh ấy trông đầy sức sống.	ดูเหมือน; แสดงให้เห็น	ชุดนี้ทำให้เขาดูมีพลัง	kelihatan; menunjukkan	Pakaian ini membuatnya kelihatan bertenaga.	tampak; menunjukkan	Pakaian ini membuatnya tampak bersemangat.
