simplified	RO	example_RO
啊	particulă modală de acord sau confirmare	Bine, atunci să mergem acum.
阿姨	mătușă; bonă; doamnă mai în vârstă	Mătușa lucrează într-un magazin mare.
矮	scund; jos	Masa aceasta este puțin joasă.
爱好	un hobby; un interes	Hobbyul meu este să ascult muzică.
安静	liniștit; calm	În bibliotecă este foarte liniște.
把	a ține; a apuca; particulă de obiect	Vă rog, închideți ușa.
搬	a se muta; a muta	Ne mutăm mâine.
班	o clasă; o echipă	În clasa noastră sunt douăzeci de elevi.
办法	o metodă; o cale	Metoda aceasta este foarte bună.
办公室	un birou	Directorul este în birou.
半	jumătate; semi-	Am așteptat o jumătate de oră.
帮忙	a ajuta; a da o mână de ajutor	Poți să mă ajuți?
包	a înveli; a ține; o geantă	Ea a cumpărat o geantă nouă.
饱	sătul; a se sătura	Am mâncat deja pe săturate.
北方	nord; partea de nord	Iarna în nord este foarte rece.
被	marcă pasivă; de către	Bicicleta mea a fost împrumutată de un prieten.
鼻子	un nas	Nasul lui este puțin roșu.
比较	a compara; destul de	Astăzi este destul de cald.
比赛	un meci; o competiție	Meciul acesta este foarte important.
笔记本	un caiet	Am pus caietul pe masă.
必须	a trebui; necesar	Trebuie să repeți cu atenție.
变化	o schimbare; a se schimba	Orașul acesta s-a schimbat mult.
别人	alții; alte persoane	Nu lua lucrurile altora.
冰箱	un frigider	Fructele sunt în frigider.
不但…而且…	nu numai... ci și...	El nu este doar deștept, ci și harnic.
菜单	un meniu	Vă rog să-mi dați un meniu.
参加	a participa; a lua parte	Vreau să particip la această ședință.
草	iarbă	Cățelul aleargă pe iarbă.
层	un etaj; un strat	Clădirea aceasta are trei etaje.
差	a diferi; a lipsi; rău	Vremea este rea astăzi.
超市	un magazin mare	Merg la magazinul mare să cumpăr pâine.
衬衫	o cămașă; o bluză	Cămașa aceasta este foarte curată.
城市	un oraș	Beijingul este un oraș mare.
成绩	note; rezultate	Notele lui la matematică sunt foarte bune.
迟到	a întârzia	Nu întârzia la ore.
除了	în afară de; pe lângă	Pe lângă cafea, mai vreau și ceai.
船	o barcă; o navă	Mergem cu barca în orașul acela.
春	primăvară	Primăvara sunt multe flori.
词典	un dicționar	Dicționarul acesta este foarte util.
聪明	deștept; inteligent	Copilul acesta este foarte deștept.
打扫	a face curat; a mătura	Fac curat în cameră la sfârșit de săptămână.
打算	a plănui; a intenționa	Ce planuri ai pentru mâine?
带	a aduce; a lua cu sine	Vă rog să vă aduceți pașaportul.
担心	îngrijorat; a-și face griji	Nu-ți face griji, te voi ajuta.
蛋糕	o prăjitură; un tort	Prăjitura aceasta este foarte dulce.
当然	desigur; bineînțeles	Desigur că poți.
地	particulă adverbială	El a zâmbit fericit.
灯	o lampă; o lumină	Vă rog să aprindeți lumina.
地方	un loc; o zonă	Locul acesta este foarte liniștit.
地铁	metrou	Merg cu metroul la serviciu în fiecare zi.
地图	o hartă	Caut școala pe hartă.
电梯	un lift	Liftul este în stânga.
电子邮件	un mesaj electronic	Îi trimit profesorului un mesaj electronic.
东	est	Soarele răsare din est.
冬	iarnă	Iarna îmi place să beau ceai fierbinte.
动物	un animal	Panda este un animal faimos în China.
短	scurt	Pantalonii aceștia sunt prea scurți.
段	un paragraf; o secțiune	Vă rog să citiți acest paragraf.
锻炼	a face mișcare; a se antrena	Fac mișcare în fiecare dimineață.
多么	cât de; ce	Cât de bun este mediul de aici!
饿	flămând; a-i fi foame	Mi-e foame și vreau să mănânc pâine.
耳朵	o ureche	Mă doare puțin urechea.
发	a trimite; a emite	Trimit mesaje electronice seara.
发烧	a avea febră	El are febră și nu poate merge la școală.
发现	a descoperi; a găsi	Am descoperit că metoda aceasta este bună.
方便	convenabil; comod	Este comod să iei metroul.
放	a pune; a elibera	Vă rog să puneți cartea pe masă.
放心	a sta liniștit; a nu-și face griji	Nu-ți face griji, voi ajunge la timp.
分	a împărți; a separa	Vă rog să împărțiți prăjitura tuturor.
复习	a recapitula; recapitulare	Trebuie să recapitulez înainte de examen.
附近	în apropiere; zona din apropiere	În apropiere este un restaurant.
干净	curat; îngrijit	Camera aceasta este foarte curată.
感冒	a răci; răceală	Am răcit și vreau să mă odihnesc.
感兴趣	a fi interesat	Sunt foarte interesat de limba chineză.
刚才	adineaori; chiar acum	Cine te-a sunat adineaori?
个子	înălțime; statură	El este înalt.
根据	potrivit; pe baza	Potrivit hărții, școala este la est.
跟	cu; a urma	Merg în parc cu un prieten.
更	mai; și mai	Astăzi este și mai frig decât ieri.
公斤	un kilogram	Merele acestea cântăresc un kilogram.
公园	un parc	Copiii se joacă în parc.
故事	o poveste	Bunicul îmi spune o poveste.
刮风	a bate vântul	Astăzi bate vântul; nu merge cu bicicleta.
关	a închide; a opri	Vă rog să închideți ușa.
关系	o relație	Relația mea cu colegul este bună.
关心	a avea grijă; a se preocupa	Mama se preocupă mult de sănătatea mea.
关于	despre; privind	Cartea aceasta este despre cultura chineză.
国家	o țară; un stat	China este o țară foarte mare.
过	particulă de experiență; a fi făcut ceva	Am fost la Beijing.
过去	trecut; înainte	Înainte nu era metrou aici.
还是	sau; totuși	Bei ceai sau cafea?
害怕	a se teme; a-i fi frică	Nu mi-e frică de examen.
黑板	o tablă	Profesorul scrie caractere pe tablă.
后来	mai târziu; după aceea	Mai târziu am mers în parc.
护照	un pașaport	Vă rog să vă aduceți pașaportul.
96:花	a cheltui; a costa	Cumpărarea telefonului a costat două mii de yuani.
97:花	o floare	Pe masă este o floare.
画	a desena; un desen; o pictură	Sora mea mai mică vrea să deseneze panda.
坏	rău; stricat	Calculatorul meu s-a stricat.
欢迎	a primi cu plăcere; bine ai venit	Bine ai venit la mine acasă.
环境	mediu; împrejurări	Mediul acestei școli este foarte bun.
