source_headword	LO	example_LO
absorb	ດູດຊຶມ	ຜ້າເຊັດຕົວດູດຊຶມນໍ້າໄດ້ໄວ.
abstract	ນາມມະທຳ	ບົດຮຽນໄດ້ສົນທະນາກ່ຽວກັບແນວຄວາມຄິດນາມມະທຳ.
accent	ສຳນຽງ	ສຳນຽງຂອງນາງເຂົ້າໃຈງ່າຍ.
accidentally	ໂດຍບັງເອີນ	ຂ້ອຍລຶບໄຟລ໌ໂດຍບັງເອີນ.
accommodate	ປັບຕົວເຂົ້າກັບ	ໂຮງແຮມສາມາດຮອງຮັບຄອບຄົວໃຫຍ່ໄດ້.
accomplish	ເຮັດສຳເລັດ	ນາງເຮັດເປົ້າໝາຍສຳເລັດກ່ອນເດືອນມິຖຸນາ.
accountant	ນັກບັນຊີ	ນັກບັນຊີກວດສອບໃບແຈ້ງໜີ້.
accuracy	ຄວາມຖືກຕ້ອງ	ການທົດສອບວັດແທກຄວາມຖືກຕ້ອງໃນການອ່ານ.
accurately	ຢ່າງຖືກຕ້ອງ	ແຜນທີ່ສະແດງເສັ້ນທາງຢ່າງຖືກຕ້ອງ.
acid	ອາຊິດ	ອາຊິດທຳລາຍພື້ນຜິວໂລຫະ.
activate	ເປີດນຳໃຊ້	ກົດປຸ່ມເພື່ອເປີດໃຊ້ງານສັນຍານເຕືອນ.
addiction	ການຕິດ	ອາການຕິດຂອງລາວສົ່ງຜົນກະທົບຕໍ່ວຽກຂອງລາວ.
additionally	ນອກຈາກນັ້ນ	ນອກຈາກນັ້ນ, ພວກເຮົາຍັງຕ້ອງການຕັ່ງຕື່ມອີກ.
adequate	ພຽງພໍ	ຫ້ອງມີແສງສະຫວ່າງພຽງພໍ.
adequately	ຢ່າງພຽງພໍ	ບົດລາຍງານອະທິບາຍບັນຫາຢ່າງພຽງພໍ.
adjust	ປັບ	ປັບບ່ອນນັ່ງກ່ອນຂັບລົດ.
affordable	ສາມາດຊື້ໄດ້	ຫ້ອງແຖວນີ້ລາຄາຖືກສຳລັບນັກຮຽນ.
agriculture	ກະສິກຳ	ກະສິກຳຊ່ວຍເຫຼືອຫຼາຍຄອບຄົວໃນຊົນນະບົດ.
AIDS	ພະຍາດເອດ	ທ່ານໝໍປິ່ນປົວເອດດ້ວຍຢາທີ່ທັນສະໄໝ.
alien	ມະນຸດຕ່າງດາວ	ຮູບເງົາສະແດງໃຫ້ເຫັນດາວຂອງມະນຸດຕ່າງດາວ.
alongside	ຄຽງຂ້າງ	ເສັ້ນທາງລົດຖີບແລ່ນຄຽງຂ້າງແມ່ນໍ້າ.
altogether	ທັງໝົດ	ທັງໝົດແລ້ວ, ໂຄງການໃຊ້ເວລາຫົກອາທິດ.
ambulance	ລົດໂຮງໝໍ	ລົດໂຮງໝໍມາຮອດພາຍໃນບໍ່ເທົ່າໃດນາທີ.
amusing	ໜ້າຊື່ນຊົມ	ເລື່ອງລາວເປັນຕາຕະຫຼົກ ແລະ ເບົາສະໝອງ.
analyst	ນັກວິເຄາະ	ນັກວິເຄາະທົບທວນຂໍ້ມູນການຂາຍ.
ancestor	ບັນພະບຸລຸດ	ບັນພະບຸລຸດຂອງຂ້ອຍເຄີຍອາໄສຢູ່ໃກ້ບ້ານນີ້.
animation	ອານິເມຊັນ	ອານິເມຊັນເຮັດໃຫ້ບົດຮຽນຈະແຈ້ງຂຶ້ນ.
annually	ປະຈຳປີ	ເທດສະການນີ້ຈັດຂຶ້ນເປັນປະຈຳປີ.
anticipate	ຄາດການ	ພວກເຮົາຄາດການວ່າມື້ອື່ນການຈະລາຈອນຈະຕິດຂັດ.
anxiety	ຄວາມກັງວົນ	ຄວາມວິຕົກກັງວົນສາມາດເຮັດໃຫ້ນອນຫຼັບຍາກ.
apology	ຄຳຂໍໂທດ	ນາງໄດ້ກ່າວຄຳຂໍໂທດຢ່າງຈິງໃຈ.
applicant	ຜູ້ສະໝັກ	ຜູ້ສະໝັກໄດ້ສົ່ງຊີວະປະຫວັດໃໝ່.
appropriately	ຢ່າງເໝາະສົມ	ກະລຸນານຸ່ງເຄື່ອງຢ່າງເໝາະສົມສຳລັບການສຳພາດ.
arrow	ລູກສອນ	ລູກສອນຊີ້ໄປທາງອອກ.
artwork	ວຽກງານສິລະປະ	ຫໍພິພິທະພັນວາງສະແດງງານສິນລະປະທ້ອງຖິ່ນ.
aside	ໄວ້ຂ້າງໆ	ນາງຍ່າງໄປທາງຂ້າງເພື່ອໃຫ້ລາວຜ່ານໄປ.
asset	ຊັບສິນ	ປະສົບການແມ່ນຊັບສິນທີ່ມີຄ່າ.
assign	ມອບໝາຍ	ຄູມອບໝາຍວຽກບ້ານໃນມື້ນີ້.
assistance	ການຊ່ວຍເຫຼືອ	ກະລຸນາຂໍຄວາມຊ່ວຍເຫຼືອຈາກພະນັກງານ.
assumption	ຂໍ້ສົມມຸດຕິຖານ	ການຄາດເດົານັ້ນອາດຈະຜິດ.
assure	ຮັບຮອງ	ຂ້ອຍຮັບຮອງວ່າປະຕູລັອກແລ້ວ.
astonishing	ໜ້າປະຫຼາດໃຈ	ທິວທັດຈາກໜ້າຜາເປັນໜ້າປະຫຼາດໃຈ.
attachment	ເອກະສານຊ້ອນທ້າຍ	ອີເມວມີໄຟລ໌ແນບມານຳ.
auction	ການປະມູນ	ຮູບແຕ້ມຖືກຂາຍໃນການປະມູນ.
