source_headword	TR	example_TR
crawl	emeklemek	Bebek halının üzerinde emeklemeye başladı.
creator	yaratıcı	Yaratıcı, destekleri için herkese teşekkür etti.
credibility	güvenilirlik	Tanık sorgulama sırasında güvenilirliğini kaybetti.
credible	güvenilir	Rapor güvenilir kanıtlar sundu.
creep	sürünmek	Sis vadi boyunca usulca ilerlemeye başladı.
critique	eleştiri	Profesör detaylı bir eleştiri sundu.
crown	taç	Kraliçe gümüş bir taç takıyordu.
crude	kaba	Çizim kaba ama anlaşılırdı.
crush	ezmek	Ağır kayalar boruyu ezebilir.
crystal	kristal	Kristal, sabah ışığını yansıtıyordu.
cult	tarikat	Tarikat üyelerini izole etti.
cultivate	yetiştirmek	Çiftçiler bu bölgede pirinç yetiştiriyor.
curiosity	merak	Merakı onu bilime yönlendirdi.
custody	velayet	Çocuk babasının velayetinde kaldı.
cutting	gazete kupürü	Gazete onun hakkında bir kupür yayımladı.
cynical	alaycı	Alaycı sözü takımı üzdü.
dam	baraj	Baraj nehir suyunu tutar.
damaging	zarar verici	Zarar verici makale kampanyaya zarar verdi.
dawn	şafak	Köyden şafakta ayrıldık.
debris	enkaz	Fırtına enkazı yolu kapattı.
debut	ilk çıkış	İlk çıkışı ulusal dikkat çekti.
decision-making	karar verme	İyi karar verme net bilgi gerektirir.
decisive	kararlı	Kararlı eylemi daha fazla hasarı önledi.
declaration	bildiri	Bakan resmi bir bildiri okudu.
dedicated	kendini adamış	Kendini adamış hemşire gece boyunca çalıştı.
dedication	adanmışlık	Adanmışlığı genç oyunculara ilham verdi.
deed	eylem	Cesur eylem iki hayat kurtardı.
deem	saymak	Mahkeme sözleşmeyi geçersiz sayabilir.
default	varsayılan	Şimdilik varsayılan ayarı kullanın.
defect	kusur	Müfettişler ciddi bir kusur buldu.
defensive	savunmacı	Savunmacı tavrı herkesi şaşırttı.
deficiency	eksiklik	Demir eksikliği sağlığı etkileyebilir.
deficit	açık	Bütçe açığı yetkilileri endişelendirdi.
defy	karşı gelmek	Protestocular yasağa karşı gelmeyi seçti.
delegate	delege	Her delege bir oy kartı aldı.
delegation	heyet	Heyet öğleden önce geldi.
delicate	narin	Narin cam kolayca kırıldı.
demon	iblis	Hikaye kadim bir iblisi anlatıyor.
denial	inkar	İnkârı kurbanları öfkelendirdi.
denounce	kınamak	Liderler okullardaki şiddeti kınıyor.
dense	yoğun	Yoğun orman güneş ışığını engelledi.
density	yoğunluk	Nüfus yoğunluğu şehir merkezinde yüksektir.
dependence	bağımlılık	Ülkenin petrole olan bağımlılığı azaldı.
depict	tasvir etmek	Duvar resmi köy hayatını tasvir ediyor.
deploy	konuşlandırmak	Ordu ekstra personel konuşlandıracak.
deployment	konuşlandırma	Birliklerin konuşlandırılması Pazartesi günü başladı.
deprive	mahrum bırakmak	Uykusuzluk öğrencileri odaklanmaktan mahrum bırakabilir.
deputy	vekil	Vekil anlaşmayı imzaladı.
descend	alçalmak	Yol aniden alçalmaya başladı.
descent	iniş	Uçak inişe başladı.
designate	belirlemek	Şehir yeni bir park belirleyecek.
desirable	arzu edilen	Sınıflarda iyi aydınlatma arzu edilir.
desktop	masaüstü	Dosya masaüstümde.
destructive	yıkıcı	Fırtınanın yıkıcı bir gücü vardı.
detain	gözaltına almak	Polis şüphelileri gece boyunca gözaltında tutabilir.
detection	teşhis	Erken teşhis kanser tedavisini iyileştirir.
detention	gözaltı	Öğrenciler gözaltı koşullarını protesto etti.
deteriorate	kötüleşmek	Sağlığı kötüleşmeye başladı.
devastate	harap etmek	Deprem sahil kasabalarını harap edebilir.
devil	şeytan	Çocuk gülümseyen bir şeytan çizdi.
devise	tasarlamak	Mühendisler daha güvenli ulaşım sistemleri tasarlıyor.
diagnose	teşhis koymak	Doktorlar hastalığı kan testleriyle teşhis ediyor.
diagnosis	teşhis	Teşhis onun semptomlarını açıkladı.
dictate	belirlemek	Sözleşme ödeme koşullarını belirleyecektir.
dictator	diktatör	Diktatör medyayı kontrol ediyordu.
differentiate	ayırt etmek	Gerçeği fikirden ayırt edebilir misiniz?
dignity	haysiyet	Herkes işte haysiyeti hak eder.
dilemma	ikilem	Yönetici ciddi bir ikilemle karşı karşıya kaldı.
dimension	boyut	Sorunun siyasi bir boyutu var.
diminish	azalmak	Ağrı yavaş yavaş azalmalıdır.
dip	düşmek	Sıcaklıklar sıfırın altına düşebilir.
diplomat	diplomat	Diplomat yabancı liderlerle buluştu.
diplomatic	diplomatik	Diplomatik görüşmeler gece boyunca devam etti.
directory	rehber	Onun numarası için rehberde arama yapın.
disastrous	felaket	Felaket getiren sel birkaç köprüyü yıktı.
discard	atmak	Yararlı kayıtları atmayın.
discharge	taburcu etmek	Hastane onu yarın taburcu edecek.
disclose	açıklamak	Yetkililer rakamları açıklamayı reddetti.
disclosure	ifşa	İfşa kurulu şok etti.
discourse	söylem	Kamusal söylem daha kibar hale geldi.
discretion	takdir yetkisi	Hassas vakalarda takdir yetkinizi kullanın.
discrimination	ayrımcılık	Yasa, işe alımda ayrımcılığı yasaklar.
dismissal	işten çıkarma	İşten çıkarılması halkın öfkesine neden oldu.
displace	yerinden etmek	Savaş binlerce kişiyi yerinden edebilir.
disposal	imha	Atık imhası yerel bir sorun olmaya devam ediyor.
dispose	imha etmek	Şirket kimyasalları güvenli bir şekilde imha etmelidir.
dispute	anlaşmazlık	Anlaşmazlık aylarca sürdü.
disrupt	bozmak	Gürültü konsantrasyonu bozabilir.
disruption	aksama	Grev büyük bir aksamaya neden oldu.
dissolve	çözünmek	Şeker sıcak çayda çözünür.
distinction	ayrım	Aralarındaki ayrım önemlidir.
distinctive	ayırt edici	Ayırt edici bir sesi var.
distort	çarpıtmak	Ayna yansımanızı çarpıtabilir.
distress	sıkıntı	Arama ciddi bir sıkıntıya neden oldu.
disturbing	rahatsız edici	Belgesel rahatsız edici sahneler gösterdi.
divert	yönlendirmek	Polis trafiği başka yöne çevirmek zorunda kaldı.
divine	ilahi	Şapelin ilahi bir atmosferi var.
doctrine	doktrin	Parti eski doktrini reddetti.
documentation	belgelendirme	Lansmandan önce belgelendirmeyi tamamlayın.
domain	alan adı	Web sitesi güvenli bir alan adı kullanıyor.
dominance	üstünlük	Takımın üstünlüğü on yıl sürdü.
donor	bağışçı	Bağışçı bugün kan verdi.
dose	doz	Kahvaltıdan sonra bir doz alın.
drain	akmak	Su nehre akacak.
drift	sürüklenmek	Duman yolun karşısına sürüklenmeye başladı.
driving	temel	Yağmur, gecikmelerin arkasındaki temel faktördü.
drown	boğulmak	Akıntıların sizi boğabileceği yerlerde asla yüzmeyin.
dual	ikili	Cihazın ikili bir işlevi vardır.
dub	adlandırmak	Eleştirmenler şehri kültür başkenti olarak adlandırıyor.
dumb	aptalca	Bu aptalca bir hataydı.
duo	ikili	Komedi ikilisi Avrupa turuna çıktı.
eager	hevesli	Öğrenciler başlamak için hevesliydi.
earnings	kazanç	Şirket kazançları keskin bir şekilde arttı.
ease	hafifletmek	Yeni yol trafiği hafifletecek.
echo	yankılanmak	Sesi salonda yankılandı.
ecological	ekolojik	Ekolojik etki belirsizliğini koruyor.
educator	eğitimci	Eğitimci yeni bir kurs tasarladı.
effectiveness	etkililik	Çalışma aşının etkililiğini ölçtü.
efficiency	verimlilik	Daha iyi yazılım verimliliği artırdı.
ego	ego	Egosu iş yerinde sorunlara neden oldu.
elaborate	ayrıntılı	Ayrıntılı kostüm haftalar sürdü.
electoral	seçim	Seçim sistemi geçen yıl değişti.
elevate	yükseltmek	Ödül onun profilini yükseltecek.
eligible	uygun	Sadece bölge sakinleri indirimler için uygundur.
elite	seçkin	Seçkinler özel bir akademide eğitim gördü.
embark	atılmak	Uzun bir yolculuğa atılacaklar.
embarrassment	utanç	Utancını gizlemek için güldü.
embassy	büyükelçilik	Büyükelçilik yeni bir seyahat tavsiyesi yayınladı.
