source_headword	UZ	example_UZ
fridge	muzlatkich	Sut muzlatkichda turibdi.
frog	baqa	Baqa hovuz yonida o'tiribdi.
furniture	mebel	Xonadagi mebel yangi.
further	uzoqroq	Biz yo'l bo'ylab uzoqroq yurdik.
gallery	galereya	Rasmlar galereyada osilgan.
gap	bo'shliq	Devor orasida kichik bo'shliq bor.
gas	gaz	Oshxonada gaz hidi keldi.
gate	darvoza	Maktab darvozasi ochiq.
general	umumiy	Bu umumiy qoida.
gift	sovg'a	U onasiga sovg'a berdi.
goal	maqsad	Uning maqsadi aniq.
god	Xudo	U Xudoga rahmat aytdi.
gold	oltin	Uzuk oltindan yasalgan.
golf	golf	U yakshanba kuni golf o'ynadi.
government	hukumat	Hukumat yangi reja e'lon qildi.
grass	o't	Yomg'irdan keyin o't yashil bo'ldi.
greet	salomlashmoq	U mehmon bilan salomlashdi.
ground	yer	Bolalar yerda o'tirishdi.
guest	mehmon	Mehmon erta keldi.
guide	yo'lboshchi	Yo'lboshchi shahar haqida gapirdi.
gun	qurol	Politsiya qurolni xavfsiz joyga qo'ydi.
guy	yigit	Bu yigit juda do'stona.
habit	odat	Ertalab o'qish yaxshi odat.
hall	zal	Yig'ilish katta zalda bo'ldi.
happily	xursand bo'lib	Ular uyga xursand bo'lib qaytishdi.
headache	bosh og'rig'i	Bugun uning boshi og'riyapti.
heart	yurak	Uning yuragi tez urdi.
heat	issiqlik	Tushda issiqlik kuchaydi.
heavy	og'ir	Bu quti juda og'ir.
height	balandlik	Binoning balandligi katta.
helpful	foydali	Bu maslahat juda foydali.
hero	qahramon	Hikoyadagi qahramon jasur.
hers	uniki	Bu sumka uniki.
herself	o'zi	U eshikni o'zi ochdi.
hide	yashirmoq	U kalitni yashirdi.
hill	tepalik	Uy tepalik ustida turibdi.
himself	o'zi	U ovqatni o'zi pishirdi.
hit	urmoq	To'p derazaga urildi.
hockey	xokkey	Ular kechqurun xokkey o'ynashdi.
hold	ushlamoq	Iltimos, bu arqonni ushlang.
hole	teshik	Yo'lda katta teshik bor.
huge	ulkan	U yerda ulkan daraxt bor.
human	inson	Inson suvsiz yashay olmaydi.
hurt	og'ritmoq	Uning so'zlari meni og'ritdi.
ideal	ideal	Bu o'qish uchun ideal joy.
identify	aniqlamoq	U qushni aniqlashga harakat qildi.
ill	kasal	Bola kecha kasal edi.
illness	kasallik	Bu kasallik tez tarqaladi.
image	rasm	Ekranda aniq rasm ko'rinadi.
immediately	darhol	U darhol javob berdi.
impossible	imkonsiz	Buni yolg'iz qilish imkonsiz.
included	kiritilgan	Soliq narxga kiritilgan.
including	jumladan	Hamma, jumladan o'qituvchi ham, keldi.
increase	oshmoq	Bu oy narx oshdi.
incredible	aql bovar qilmas	Manzara aql bovar qilmas edi.
independent	mustaqil	U mustaqil qaror qildi.
individual	alohida	Har bir o'quvchiga alohida yordam kerak.
industry	sanoat	Bu shaharda katta sanoat bor.
informal	norasmiy	Bu norasmiy suhbat.
injury	jarohat	O'yinchi kichik jarohat oldi.
insect	hasharot	Bargda kichik hasharot bor edi.
inside	ichida	Bolalar uy ichida o'ynashyapti.
instead	o'rniga	U choy o'rniga suv ichdi.
instruction	ko'rsatma	Iltimos, ko'rsatmani diqqat bilan o'qing.
instructor	murabbiy	Murabbiy qoidalarni tushuntirdi.
instrument	asbob	U yangi musiqa asbobi sotib oldi.
intelligent	aqlli	Bu bola juda aqlli.
international	xalqaro	Bu xalqaro konferensiya.
introduction	kirish	O'qituvchi qisqa kirish qildi.
invent	ixtiro qilmoq	Olim yangi qurilma ixtiro qildi.
invention	ixtiro	Bu ixtiro hayotni osonlashtirdi.
invitation	taklifnoma	Biz to'y taklifnomasini oldik.
invite	taklif qilmoq	U do'stini uyga taklif qildi.
involve	jalb qilmoq	Loyiha ko'p odamlarni jalb qiladi.
item	buyum	Ro'yxatdagi har bir buyumni tekshiring.
itself	o'zi	Mashina o'zi to'xtadi.
jam	murabbo	U nonga murabbo surtdi.
jazz	jaz	U jaz musiqasini yaxshi ko'radi.
jewellery	zargarlik buyumlari	Zargarlik buyumlari qutida turibdi.
joke	hazil	Uning hazili hammadan kulgi chiqardi.
journalist	jurnalist	Jurnalist vazirdan savol so'radi.
jump	sakramoq	Bola suvga sakradi.
kid	bola	Bola parkda o'ynayapti.
kill	o'ldirmoq	Zahar o'simlikni o'ldirishi mumkin.
king	podshoh	Podshoh saroyda yashardi.
knee	tizza	Uning tizzasi og'riyapti.
knife	pichoq	Pichoq stol ustida turibdi.
knock	taqillatmoq	Kimdir eshikni taqillatdi.
knowledge	bilim	U bu mavzu bo'yicha bilimga ega.
lab	laboratoriya	Talabalar laboratoriyada ishlashdi.
lady	ayol	Bu ayol avtobusga chiqdi.
lake	ko'l	Ko'l qishloq yaqinida.
lamp	chiroq	Stoldagi chiroq yonib turibdi.
laptop	noutbuk	U noutbukda ishlayapti.
last1 (taking time)	davom etmoq	Yig'ilish ikki soat davom etdi.
laughter	kulgi	Xona kulgiga to'ldi.
law	qonun	Bu qonun hammaga tegishli.
lawyer	advokat	Advokat sudda gapirdi.
lazy	dangasa	U bugun juda dangasa.
lead1	boshqarmoq	U jamoani yaxshi boshqardi.
leader	rahbar	Rahbar rejani tushuntirdi.
learning	o'rganish	O'rganish har kuni kerak.
least	eng kam	Bu eng kam narx.
lecture	ma'ruza	Ma'ruza ertalab boshlandi.
lemon	limon	U suvga limon qo'shdi.
lend	qarz bermoq	Iltimos, menga ruchka qarz bering.
less	kamroq	Bugun odam kamroq.
level	daraja	Uning ingliz tili darajasi yaxshilandi.
lifestyle	turmush tarzi	Sog'lom turmush tarzi muhim.
lift	lift	Lift uchinchi qavatda to'xtadi.
light	chiroq yoqmoq	U shamni yoqdi.
light (not heavy)	yengil	Bu sumka yengil.
likely	ehtimol	Bugun yomg'ir yog'ishi ehtimol.
link	aloqa	Bu ikki fikr orasida aloqa bor.
listener	tinglovchi	Tinglovchi diqqat bilan eshitdi.
lock	qulflamoq	Chiqayotganda eshikni qulflang.
lorry	yuk mashinasi	Yuk mashinasi tovarlarni olib keldi.
lost	yo'qolgan	Yo'qolgan telefon keyin topildi.
loud	baland ovozli	Musiqa juda baland ovozli edi.
loudly	baland ovozda	U baland ovozda gapirdi.
lovely	yoqimli	Bu yoqimli kun.
low	past	Bugun harorat past.
luck	omad	Unga omad kulib boqdi.
lucky	omadli	U juda omadli.
mail	pochta	Bugun pochta kech keldi.
major	asosiy	Bu asosiy muammo.
male	erkak	Erkak qush rang-barang.
manage	boshqarmoq	U vaqtini yaxshi boshqardi.
manager	menejer	Menejer yig'ilish chaqirdi.
manner	uslub	Uning gapirish uslubi muloyim.
mark	belgi	Kitobda qizil belgi bor.
marry	turmush qurmoq	Ular keyingi oy turmush qurishadi.
material	material	Bu material yumshoq.
mathematics	matematika	U matematika o'qiydi.
maths	matematika	U matematikani yaxshi ko'radi.
matter	masala	Bu kichik masala emas.
may modal	mumkin	U kech kelishi mumkin.
media	ommaviy axborot vositalari	Ommaviy axborot vositalari xabar berdi.
medical	tibbiy	Unga tibbiy yordam kerak.
medicine	dori	Iltimos, dorini vaqtida iching.
memory	xotira	Bu kun yaxshi xotira.
mention	eslatmoq	U mening ismimni ham eslatdi.
metal	metall	Eshik metalldan qilingan.
method	usul	Bu usul oson.
middle	o'rta	Stol xonaning o'rtasida turibdi.
might modal	mumkin	Bugun yomg'ir yog'ishi mumkin.
mind	aql	Uning aqlida savol bor edi.
mine (belongs to me)	meniki	Bu kitob meniki.
mirror	oyna	Oyna devorda osilgan.
missing	yo'qolgan	Yo'qolgan kalit topildi.
mobile	mobil telefon	Mobil telefon stol ustida turibdi.
monkey	maymun	Maymun daraxtga chiqdi.
moon	oy	Kechasi oy yorqin edi.
mostly	asosan	Xona asosan bo'sh edi.
motorcycle	mototsikl	Mototsikl tez yurdi.
movement	harakat	Uning qo'l harakati tez edi.
musical	musiqiy	Bu musiqiy dastur.
musician	musiqachi	Musiqachi sahnada kuyladi.
myself	o'zim	Men ovqatni o'zim pishirdim.
narrow	tor	Yo'l juda tor.
national	milliy	Bu milliy bayram.
nature	tabiyat	Tabiat tinch.
nearly	deyarli	U deyarli tayyor.
necessary	zarur	Bu zarur hujjat.
neck	bo'yin	Uning bo'yni og'riyapti.
neither	hech biri	Ularning hech biri bu rangni yoqtirmadi.
nervous	hayajonlangan	Imtihondan oldin u hayajonlandi.
network	tarmoq	Bu yerda telefon tarmog'i zaif.
noise	shovqin	Tashqarida katta shovqin eshitildi.
noisy	shovqinli	Ko'cha juda shovqinli.
none	hech narsa	Qutida hech narsa yo'q.
normal	oddiy	Bu oddiy holat.
normally	odatda	U odatda erta keladi.
notice	e'tibor bermoq	Iltimos, o'zgarishga e'tibor bering.
novel	roman	U yangi roman o'qiyapti.
nowhere	hech qayerda emas	Kalit hech qayerda yo'q.
nut	yong'oq	U bitta yong'oq yedi.
ocean	okean	Okean juda keng.
offer	taklif	Ular yordam taklifini berishdi.
officer	xodim	Xodim hujjatni tekshirdi.
oil	moy	U qozonga moy quydi.
onto	ustiga	Mushuk stul ustiga sakradi.
opportunity	imkoniyat	Bu yaxshi imkoniyat.
option	variant	Bizda boshqa variant bor.
ordinary	oddiy	Bu oddiy kun.
organization	tashkilot	Tashkilot bolalarga yordam beradi.
organize	tashkil qilmoq	Ular tadbirni tashkil qilishdi.
original	asliy	Bu asliy rasm.
ourselves	o'zimiz	Biz xonani o'zimiz tozaladik.
oven	pech	Non pechda qiziyapti.
owner	egasi	Do'kon egasi shu yerda edi.
pack	joylamoq	U sumkasini joyladi.
pain	og'riq	Uning oyog'ida og'riq bor.
painter	rassom	Rassom devorni bo'yadi.
palace	saroy	Eski saroy ochiq.
pants	shim	U yangi shim sotib oldi.
parking	avtoturargoh	Bu yerda avtoturargoh bepul.
particular	muayyan	Uning muayyan sababi bor edi.
pass	o'tmoq	Mashina ko'prikdan o'tdi.
passenger	yo'lovchi	Yo'lovchi chiptani ko'rsatdi.
patient	sabrli	O'qituvchi juda sabrli.
pattern	naqsh	Matoda chiroyli naqsh bor.
peace	tinchlik	Hamma tinchlikni xohlaydi.
penny	mayda tanga	U mayda tangani oldi.
per	har bir	Har bir odamga bitta chipta berildi.
per cent	foiz	Narx besh foizga tushdi.
perform	ijro etmoq	Bolalar sahnada raqs ijro etishdi.
perhaps	balki	Balki u uyda bo'lar.
permission	ruxsat	Unga borishga ruxsat berildi.
personality	shaxsiyat	Uning shaxsiyati do'stona.
pet	uy hayvoni	Uning uy hayvoni it.
petrol	benzin	Mashinada benzin kam.
physical	jismoniy	Jismoniy mashq sog'liq uchun yaxshi.
physics	fizika	U fizika o'qiydi.
pick	olmoq	U poldan ruchkani oldi.
pilot	uchuvchi	Uchuvchi yo'lovchilarni kutib oldi.
planet	sayyora	Yer sayyora.
plastic	plastik	Shisha plastikdan qilingan.
plate	likopcha	Likopcha stol ustiga qo'yildi.
platform	platforma	Poyezd uchinchi platformaga keldi.
pleased	mamnun	U natijadan mamnun.
pocket	cho'ntak	U kalitni cho'ntagiga soldi.
polite	odobli	Bu bola juda odobli.
pollution	ifloslanish	Shaharda ifloslanish ko'paymoqda.
pop	pop musiqa	U pop musiqani tinglaydi.
population	aholi	Shahar aholisi katta.
position	joy	Uning joyi ro'yxatda yuqorida.
possession	egalik	Kitob hozir uning egaligida.
possibility	imkoniyat	G'alaba uchun hali imkoniyat bor.
poster	plakat	Plakat devorga yopishtirildi.
power	kuch	Mashinaga ko'proq kuch kerak.
predict	bashorat qilmoq	Ular ertangi ob-havoni bashorat qilishdi.
president	prezident	Prezident nutq so'zladi.
prevent	oldini olmoq	Yomg'ir o'yinning oldini oldi.
print	chop etmoq	Iltimos, bu sahifani chop eting.
printer	printer	Printer bugun ishlamayapti.
prison	qamoqxona	O'g'ri qamoqxonaga tushdi.
prize	mukofot	U tanlovda mukofot oldi.
process	jarayon	Bu jarayon vaqt oladi.
produce	ishlab chiqarmoq	Zavod o'yinchoqlar ishlab chiqaradi.
professional	professional	U professional o'yinchi.
professor	professor	Professor savolni tushuntirdi.
profile	profil	U profilini yangiladi.
program	dastur	Dastur kechqurun boshlanadi.
progress	taraqqiyot	Uning o'qishida taraqqiyot bor.
promise	va'da bermoq	U vaqtida kelishga va'da berdi.
pronounce	talaffuz qilmoq	Bu so'zni aniq talaffuz qiling.
protect	himoya qilmoq	Daraxtlar tabiatni himoya qiladi.
provide	ta'minlamoq	Maktab bepul ovqat bilan ta'minlaydi.
pub	pivo uyi	Ular kechqurun pivo uyida uchrashishdi.
public	jamoat	Bu jamoat bog'i.
publish	nashr qilmoq	Ular kitobni kelasi yil nashr qilishadi.
pull	tortmoq	Eshikni ochish uchun tutqichni torting.
purpose	maqsad	Bu yig'ilishning maqsadi aniq.
push	itarmoq	Eshikni ochish uchun itaring.
quality	sifat	Bu ko'ylakning sifati yaxshi.
quantity	miqdor	Miqdorni diqqat bilan o'lchang.
queen	qirolicha	Qirolicha saroyda yashardi.
quietly	sekin	U xonaga sekin kirdi.
race (competition)	poyga	Poyga ertalab boshlandi.
railway	temir yo'l	Temir yo'l bekati yaqin.
raise	ko'tarmoq	U qo'lini ko'tardi.
rate	narx	Xona narxi yuqori.
rather	ancha	Bu ancha qiyin.
reach	yetib bormoq	Biz kechqurun uyga yetib bordik.
react	munosabat bildirmoq	U xabarga xotirjam munosabat bildirdi.
realize	tushunmoq	U xatosini tushundi.
receive	qabul qilmoq	U xatni qabul qildi.
recent	yaqindagi	Yaqindagi yangiliklar muhim.
recently	yaqinda	U yaqinda bu yerga keldi.
reception	qabulxona	Qabulxonada kalitni so'rang.
recipe	retsept	Bu retsept oson.
recognize	tanimoq	U eski do'stini tanidi.
recommend	tavsiya qilmoq	Men bu kitobni tavsiya qilaman.
record	yozib olmoq	U ma'lumotni yozib oldi.
recording	yozuv	Yozuv hozir boshlanadi.
recycle	qayta ishlamoq	Biz qog'ozni qayta ishlaymiz.
reduce	kamaytirmoq	Iltimos, ovozni kamaytiring.
refer	murojaat qilmoq	O'qituvchi eski darsga murojaat qildi.
refuse1	rad etmoq	U yordamni rad etdi.
region	mintaqa	Bu mintaqa juda issiq.
regular	muntazam	U muntazam mashq qiladi.
relationship	munosabat	Ularning munosabati mustahkam.
remove	olib tashlamoq	Kitobni stoldan olib tashlang.
repair	ta'mirlamoq	U velosipedni ta'mirladi.
replace	almashtirmoq	Eski lampochkani almashtiring.
reply	javob	Uning javobi qisqa edi.
reporter	muxbir	Muxbir savol berdi.
request	iltimos	U yordam uchun iltimos qildi.
research	tadqiqot	U yangi tadqiqot o'tkazdi.
researcher	tadqiqotchi	Tadqiqotchi natijalarni tushuntirdi.
respond	javob bermoq	U savolga javob berdi.
response	javob	Javob juda tez bo'ldi.
rest (remaining part)	qolgan qism	Qolgan qismni ertaga tugatamiz.
rest (sleep/relax)	dam olish	U biroz dam oldi.
review	ko'rib chiqish	O'qituvchi darsni ko'rib chiqdi.
ring1	uzuk	U kumush uzuk taqdi.
ring2	jiringlamoq	Telefon to'satdan jiringladi.
rise	ko'tarilmoq	Ertalab quyosh ko'tariladi.
rock (stone)	tosh	Bola kichik tosh oldi.
