hsk_key	source_word	simplified	gloss	example_zh	example_pinyin	example_en
1004:安检	安检	安检	security check	进站前，乘客都要安检。	Jìn zhàn qián, chéng kè dōu yào ān jiǎn.	Before entering the station, passengers all have to go through security check.
1006:按	按	按	to press; according to	请按绿色按钮开门。	Qǐng àn lǜ sè àn niǔ kāi mén.	Please press the green button to open the door.
1009:白酒	白酒	白酒	baijiu; Chinese liquor	他不喝白酒，只喝茶。	Tā bù hē bái jiǔ, zhǐ hē chá.	He does not drink baijiu; he only drinks tea.
1010:办公	办公	办公	to work in an office	她今天在家办公。	Tā jīn tiān zài jiā bàn gōng.	She is working from home today.
1012:办事	办事	办事	to handle affairs	我下午去银行办事。	Wǒ xià wǔ qù yín háng bàn shì.	I am going to the bank this afternoon to handle some business.
1017:报考	报考	报考	to apply for an exam	他准备报考中文考试。	Tā zhǔn bèi bào kǎo zhōng wén kǎo shì.	He is preparing to apply for the Chinese exam.
1021:背包	背包	背包	backpack	我的背包放在门口。	Wǒ de bēi bāo fàng zài mén kǒu.	My backpack is by the door.
1022:北部	北部	北部	northern part	这个城市北部有一座山。	Zhè ge chéng shì běi bù yǒu yí zuò shān.	There is a mountain in the northern part of the city.
1028:笔试	笔试	笔试	written test	明天上午有一场笔试。	Míng tiān shàng wǔ yǒu yì chǎng bǐ shì.	There is a written test tomorrow morning.
1030:毕业生	毕业生	毕业生	graduate	很多毕业生正在找工作。	Hěn duō bì yè shēng zhèng zài zhǎo gōng zuò.	Many graduates are looking for jobs.
1033:表	表	表	form; table; watch	请把这张表填完。	Qǐng bǎ zhè zhāng biǎo tián wán.	Please finish filling in this form.
1039:并	并	并	also; and; actually	我并不觉得累。	Wǒ bìng bù jué de lèi.	I actually do not feel tired.
1043:不必	不必	不必	no need to	你不必现在回答。	Nǐ bú bì xiàn zài huí dá.	You do not need to answer now.
1044:不便	不便	不便	inconvenient	这里停车不便。	Zhè lǐ tíng chē bú biàn.	It is inconvenient to park here.
1046:不够	不够	不够	not enough	这些椅子不够大家坐。	Zhè xiē yǐ zi bú gòu dà jiā zuò.	These chairs are not enough for everyone to sit.
1048:不论	不论	不论	no matter; regardless of	不论天气怎样，我们都出发。	Bú lùn tiān qì zěn yàng, wǒ men dōu chū fā.	No matter what the weather is like, we will set out.
1049:步	步	步	step	他向前走了一步。	Tā xiàng qián zǒu le yí bù.	He took one step forward.
1050:部	部	部	measure word for films/books; department	这部电影很有意思。	Zhè bù diàn yǐng hěn yǒu yì si.	This film is very interesting.
1054:不光	不光	不光	not only	不光孩子，大人也喜欢这个游戏。	Bù guāng hái zi, dà rén yě xǐ huān zhè ge yóu xì.	Not only children but also adults like this game.
1056:不满	不满	不满	dissatisfied	他对这个结果很不满。	Tā duì zhè ge jié guǒ hěn bù mǎn.	He is very dissatisfied with this result.
1063:参赛	参赛	参赛	to take part in a competition	我们班有五个人参赛。	Wǒ men bān yǒu wǔ ge rén cān sài.	Five people from our class are taking part in the competition.
1067:查看	查看	查看	to check; to view	老师正在查看学生名单。	Lǎo shī zhèng zài chá kàn xué sheng míng dān.	The teacher is checking the student list.
1068:茶叶	茶叶	茶叶	tea leaves	这家店的茶叶很新鲜。	Zhè jiā diàn de chá yè hěn xīn xiān.	The tea leaves in this shop are very fresh.
1069:查找	查找	查找	to search for	我在网上查找资料。	Wǒ zài wǎng shàng chá zhǎo zī liào.	I am searching for information online.
1070:差点儿	差点儿	差点儿	almost; nearly	我差点儿错过公交车。	Wǒ chà diǎnr cuò guò gōng jiāo chē.	I almost missed the bus.
1072:厂	厂	厂	factory	这家厂生产手机。	Zhè jiā chǎng shēng chǎn shǒu jī.	This factory produces mobile phones.
1075:车速	车速	车速	vehicle speed	雨天车速要慢一点。	Yǔ tiān chē sù yào màn yì diǎn.	The vehicle speed should be a little slower on rainy days.
1076:车位	车位	车位	parking space	楼下还有一个车位。	Lóu xià hái yǒu yí ge chē wèi.	There is still one parking space downstairs.
1077:城	城	城	city; town	这座城有很多老街。	Zhè zuò chéng yǒu hěn duō lǎo jiē.	This city has many old streets.
1080:乘客	乘客	乘客	passenger	乘客请从后门下车。	Chéng kè qǐng cóng hòu mén xià chē.	Passengers, please get off through the back door.
1085:迟	迟	迟	late	他今天来得有点儿迟。	Tā jīn tiān lái de yǒu diǎnr chí.	He arrived a little late today.
1086:重	重	重	again; repeatedly	这篇作文需要重写一遍。	Zhè piān zuò wén xū yào chóng xiě yí biàn.	This essay needs to be rewritten once.
1091:出行	出行	出行	to travel; to go out	节假日出行的人很多。	Jié jià rì chū xíng de rén hěn duō.	Many people travel during holidays.
1092:出租	出租	出租	to rent out	这套房子可以出租。	Zhè tào fáng zi kě yǐ chū zū.	This apartment can be rented out.
1094:厨师	厨师	厨师	chef	这位厨师做菜很快。	Zhè wèi chú shī zuò cài hěn kuài.	This chef cooks very quickly.
1095:窗	窗	窗	window	请把窗打开一点儿。	Qǐng bǎ chuāng dǎ kāi yì diǎnr.	Please open the window a little.
1099:此	此	此	this; here	此处禁止停车。	Cǐ chù jìn zhǐ tíng chē.	Parking is forbidden here.
1100:此次	此次	此次	this time	此次会议很重要。	Cǐ cì huì yì hěn zhòng yào.	This meeting is very important.
1104:从中	从中	从中	from this; from among them	他从中学到了很多。	Tā cóng zhōng xué dào le hěn duō.	He learned a lot from it.
1105:粗	粗	粗	thick; rough	这根绳子比较粗。	Zhè gēn shéng zi bǐ jiào cū.	This rope is relatively thick.
1107:村	村	村	village	奶奶住在一个小村。	Nǎi nai zhù zài yí ge xiǎo cūn.	Grandma lives in a small village.
1109:错过	错过	错过	to miss	别错过明天的比赛。	Bié cuò guò míng tiān de bǐ sài.	Do not miss tomorrow's match.
1112:答	答	答	to answer	他很快答出了这道题。	Tā hěn kuài dá chū le zhè dào tí.	He answered this question very quickly.
1116:打败	打败	打败	to defeat	他们终于打败了强队。	Tā men zhōng yú dǎ bài le qiáng duì.	They finally defeated the strong team.
1120:打印机	打印机	打印机	printer	办公室里的打印机坏了。	Bàn gōng shì lǐ de dǎ yìn jī huài le.	The printer in the office is broken.
1123:大巴	大巴	大巴	coach bus	我们坐大巴去机场。	Wǒ men zuò dà bā qù jī chǎng.	We are taking a coach bus to the airport.
1124:大大	大大	大大	greatly; very much	这次活动大大提高了兴趣。	Zhè cì huó dòng dà dà tí gāo le xìng qù.	This activity greatly increased interest.
1126:大量	大量	大量	a large amount	超市里有大量新鲜水果。	Chāo shì lǐ yǒu dà liàng xīn xiān shuǐ guǒ.	There is a large amount of fresh fruit in the supermarket.
1127:大赛	大赛	大赛	major competition	学校下周举行中文大赛。	Xué xiào xià zhōu jǔ xíng zhōng wén dà sài.	The school will hold a Chinese competition next week.
1128:大厅	大厅	大厅	hall; lobby	客人正在大厅等车。	Kè rén zhèng zài dà tīng děng chē.	The guests are waiting for the car in the lobby.
1130:大自然	大自然	大自然	nature	孩子们喜欢在大自然里玩。	Hái zi men xǐ huān zài dà zì rán lǐ wán.	Children like playing in nature.
1131:待	待	待	to stay	他在家待了一天。	Tā zài jiā dāi le yì tiān.	He stayed at home for a day.
1133:袋子	袋子	袋子	bag	请把水果放进袋子里。	Qǐng bǎ shuǐ guǒ fàng jìn dài zi lǐ.	Please put the fruit into the bag.
1140:道	道	道	measure word for questions; road	这道题不难。	Zhè dào tí bù nán.	This question is not difficult.
1142:到来	到来	到来	to arrive; arrival	春天的到来让人高兴。	Chūn tiān de dào lái ràng rén gāo xìng.	The arrival of spring makes people happy.
1143:道路	道路	道路	road	这条道路通向村子。	Zhè tiáo dào lù tōng xiàng cūn zi.	This road leads to the village.
1146:登机	登机	登机	to board a plane	请提前半小时登机。	Qǐng tí qián bàn xiǎo shí dēng jī.	Please board the plane half an hour early.
1148:等到	等到	等到	to wait until	等到雨停了，我们再走。	Děng dào yǔ tíng le, wǒ men zài zǒu.	We will leave after the rain stops.
1150:低价	低价	低价	low price	这家店常常卖低价机票。	Zhè jiā diàn cháng cháng mài dī jià jī piào.	This shop often sells low-price tickets.
1151:低温	低温	低温	low temperature	低温天气要多穿衣服。	Dī wēn tiān qì yào duō chuān yī fu.	In low-temperature weather, you should wear more clothes.
1152:低于	低于	低于	to be lower than	今天的气温低于昨天。	Jīn tiān de qì wēn dī yú zuó tiān.	Today's temperature is lower than yesterday's.
1154:底下	底下	底下	under; below	桌子底下有一个包。	Zhuō zi dǐ xia yǒu yí ge bāo.	There is a bag under the table.
1157:点名	点名	点名	to call the roll	老师上课前会点名。	Lǎo shī shàng kè qián huì diǎn míng.	The teacher calls the roll before class.
1158:点头	点头	点头	to nod	她点头表示同意。	Tā diǎn tóu biǎo shì tóng yì.	She nodded to show agreement.
1159:电动车	电动车	电动车	electric vehicle	他骑电动车去上班。	Tā qí diàn dòng chē qù shàng bān.	He rides an electric vehicle to work.
1160:电视剧	电视剧	电视剧	TV drama	我妈妈喜欢看电视剧。	Wǒ mā ma xǐ huān kàn diàn shì jù.	My mother likes watching TV dramas.
1163:订	订	订	to book; to order	我已经订了一张机票。	Wǒ yǐ jīng dìng le yì zhāng jī piào.	I have already booked a plane ticket.
1164:定	定	定	to decide; to set	会议时间已经定了。	Huì yì shí jiān yǐ jīng dìng le.	The meeting time has already been set.
1165:东部	东部	东部	eastern part	城市东部有一个新公园。	Chéng shì dōng bù yǒu yí ge xīn gōng yuán.	There is a new park in the eastern part of the city.
1166:动车	动车	动车	high-speed train	我们坐动车去上海。	Wǒ men zuò dòng chē qù Shàng hǎi.	We are taking a high-speed train to Shanghai.
1168:读者	读者	读者	reader	这本书有很多年轻读者。	Zhè běn shū yǒu hěn duō nián qīng dú zhě.	This book has many young readers.
1170:度假	度假	度假	to go on holiday	他们去海边度假。	Tā men qù hǎi biān dù jià.	They went to the seaside for a holiday.
1173:队	队	队	team; line	门口排着一队人。	Mén kǒu pái zhe yí duì rén.	There is a line of people at the door.
1177:队员	队员	队员	team member	每个队员都很努力。	Měi ge duì yuán dōu hěn nǔ lì.	Every team member works hard.
1178:队长	队长	队长	team leader; captain	队长正在安排训练。	Duì zhǎng zhèng zài ān pái xùn liàn.	The team leader is arranging training.
1181:多数	多数	多数	majority	多数学生选择了中文课。	Duō shù xué sheng xuǎn zé le zhōng wén kè.	Most students chose the Chinese class.
