simplified	JA	example_JA
挨	耐える; しのぐ	彼は一晩耐えて、ついに夜明けを待った。
癌症	がん	がんを早期に発見することはとても重要です。
暧昧	曖昧な	彼の答えはとても曖昧でした。
爱不释手	手放せないほど気に入る	彼女はこの本が手放せないほど気に入りました。
爱戴	敬愛する	この先生は学生たちから深く敬愛されています。
安宁	穏やかな	ここの夜はとても穏やかです。
安详	安らかな	老人の表情はとても安らかでした。
安置	落ち着かせる; 収容する	政府は被災した人々を収容しました。
按摩	マッサージ	私はマッサージを予約しました。
暗示	ほのめかす	彼女は私にもう聞かないようほのめかしました。
案件	事件; 案件	警察はこの事件を調査しています。
案例	事例	この事例はとても代表的です。
昂贵	高価な	この設備は非常に高価です。
凹凸	でこぼこ	この路面はでこぼこしています。
熬	耐える; 煮込む	彼は三日間耐えて、ようやく報告書を完成させました。
奥秘	謎; 奥義	科学者はこの謎を解き明かそうとしています。
巴不得	待ちきれない	私はすぐに出発したくて待ちきれません。
巴结	こびる	彼は上司にこびたくありません。
扒	しがみつく	子どもはドアにしがみついて外を見ていました。
疤	傷跡	彼の腕には傷跡が一つあります。
拔苗助长	性急に進めて台無しにする	このように子どもに勉強を強いると、性急に進めて台無しにするだけです。
把关	チェックする	この契約は弁護士にチェックしてもらう必要があります。
把手	取っ手	ドアの取っ手が壊れています。
罢工	ストライキ	労働者たちは明日ストライキをすることに決めました。
霸道	横暴な	彼の話し方はあまりに横暴です。
掰	両手で割る	彼女はパンを二つに割りました。
摆脱	抜け出す	彼はついに悪い習慣から抜け出しました。
拜访	訪問する	私たちは週末に先生を訪問します。
拜年	新年のあいさつをする	春節には祖父母の家へ新年のあいさつに行きます。
拜托	お願いする	この件はあなたにお願いします。
败坏	損なう	このような行為は会社の評判を損ないます。
斑	斑点	猫の体に黒い斑点があります。
颁布	公布する	新しい規定は来週公布されます。
颁发	授与する	学校は優秀な学生に賞状を授与しました。
版本	バージョン	このソフトには新しいバージョンがあります。
伴侣	伴侶; パートナー	彼女は犬を自分の伴侶のように思っています。
伴随	伴う	成功にはしばしばプレッシャーが伴います。
半途而废	途中で投げ出す	研究をするときは途中で投げ出してはいけません。
扮演	演じる	彼は映画で医者を演じています。
榜样	手本	親は子どもの手本です。
绑架	誘拐する	警察は誘拐事件を未然に防ぎました。
磅	ポンド	この箱は二十ポンドの重さです。
包庇	かばう	誰も犯罪をかばってはいけません。
包袱	負担	彼は負担を下ろして、ずっと楽になりました。
包围	囲む	記者たちは俳優を囲みました。
包装	包装	この贈り物の包装はとてもきれいです。
保管	保管する	これらの書類は私が保管しています。
保密	秘密にする	会議の内容は秘密にしなければなりません。
保姆	ベビーシッター; 家政婦	彼らはベビーシッターを一人雇いました。
保守	保守的な	彼の考えは比較的保守的です。
保卫	守る	兵士たちは国境を守っています。
保养	整備する; 手入れする	この車は定期的な整備が必要です。
保障	保障する	法律は市民の権利を保障します。
保重	体を大切にする	外出先ではどうか体を大切にしてください。
饱和	飽和	この市場はすでに飽和に近づいています。
饱经沧桑	多くの苦難を経た	この老人は多くの苦難と変化を経てきました。
报酬	報酬	彼は妥当な報酬を受け取りました。
报仇	復讐する	彼は復讐したいのではなく、ただやり直したいだけです。
报答	報いる	私は行動であなたの助けに報います。
报复	報復	報復は対立をさらに深めるだけです。
报警	警察に通報する	火事を発見したらすぐ警察に通報しなければなりません。
报销	精算する	出張費は精算できます。
抱负	抱負	彼は幼いころから大きな抱負を持っていました。
暴力	暴力	私たちはいかなる形の暴力にも反対します。
暴露	明らかになる	この問題は徐々に明らかになりました。
曝光	公開される; 露出	この写真が公開された後、注目を集めました。
爆发	噴火する; 勃発する	火山が突然噴火しました。
爆炸	爆発	実験室で爆発が起きました。
卑鄙	卑劣な	この卑劣なやり方は人を怒らせます。
悲哀	悲しい	この知らせを聞いて、彼はとても悲しく感じました。
悲惨	悲惨な	それは悲惨な歴史の一時期でした。
北极	北極	科学者たちは北極で研究を行っています。
备份	バックアップ	まず重要なファイルをバックアップしてください。
备忘录	メモ	彼女はメモに要点を書き留めました。
背叛	裏切り	彼は友人の裏切りを受け入れられませんでした。
背诵	暗唱する	学生たちは本文を暗唱しています。
被动	受け身の	交渉で私たちはあまり受け身になってはいけません。
被告	被告	被告はすべての告発を否認しました。
贝壳	貝殻	子どもは海辺で貝殻を拾いました。
奔波	奔走する	彼は仕事のために各地を奔走しています。
奔驰	疾走する	車は高速道路を疾走していました。
本能	本能	子どもを守ることは親の本能です。
本钱	元手	商売をするには元手が必要です。
本人	本人	本人は責任を負う意思があります。
本身	それ自体	この計画それ自体には問題がありません。
本事	能力	彼はとても能力があります。
笨拙	ぎこちない	彼の動きは少しぎこちないです。
崩溃	崩壊する; クラッシュする	システムが突然クラッシュしました。
甭	する必要がない	このことは心配する必要がありません。
蹦	跳ねる	子犬が芝生の上で跳ね回っていました。
迸发	わき起こる	拍手が群衆の中からわき起こりました。
逼迫	強いる	彼らは彼に契約書へ署名するよう強いました。
鼻涕	鼻水	子どもは風邪をひいて、ずっと鼻水を出しています。
比方	例えば	例えば、まず一か月試してみることができます。
比喻	比喩	この比喩はとても分かりやすいです。
比重	割合	サービス業の割合はますます高くなっています。
鄙视	見下す	他人の努力を見下してはいけません。
弊病	弊害	この制度には多くの弊害があります。
