hsk_key	source_word	simplified	MY	example_MY	KM	example_KM	LO	example_LO	NE	example_NE
5001:物体	物体	物体	အရာဝတ္ထု; ကိုယ်ထည်	ဒီအရာဝတ္ထုက ရေထဲမှာ ဖြည်းဖြည်းချင်း နစ်ဆင်းသွားတယ်။	វត្ថុ; រាងកាយ	វត្ថុនេះបានលិចចុះក្នុងទឹកយឺតៗ។	ວັດຖຸ; ສິ່ງຂອງ	ວັດຖຸນີ້ຄ່ອຍໆຈົມລົງໃນນ້ຳ.	वस्तु; भौतिक शरीर	यो वस्तु पानीमा बिस्तारै डुब्यो।
5005:喜剧	喜剧	喜剧	ဟာသဇာတ်ကား; ဟာသပြဇာတ်	ဒီဟာသဇာတ်ကားကြည့်ပြီး အခန်းထဲက လူအားလုံး ရယ်ကြတယ်။	កំប្លែង; ល្ខោនកំប្លែង	រឿងកំប្លែងនេះធ្វើឱ្យមនុស្សទាំងអស់ក្នុងបន្ទប់សើច។	ຕະຫຼົກ; ລະຄອນຕະຫຼົກ	ລະຄອນຕະຫຼົກນີ້ເຮັດໃຫ້ຄົນທັງຫ້ອງຫົວ.	हास्य नाटक; कमेडी	यो कमेडी हेरेर कोठाका सबै मानिस हाँसे।
5006:喜事	喜事	喜事	မင်္ဂလာကိစ္စ; ဝမ်းသာဖွယ်ကိစ္စ	မင်္ဂလာကိစ္စရှိလို့ မိသားစုတစ်စုလုံး စုဝေးလာကြတယ်။	រឿងមង្គល; ពិធីរីករាយ	មានរឿងមង្គល ដូច្នេះគ្រួសារទាំងមូលបានជួបជុំគ្នា។	ເລື່ອງມົງຄຸນ; ເລື່ອງດີ	ມີເລື່ອງມົງຄຸນ ຄອບຄົວທັງໝົດຈຶ່ງມາພ້ອມກັນ.	शुभ घटना; खुसीको अवसर	शुभ घटना भएकाले पूरै परिवार भेला भयो।
5007:洗漱	洗漱	洗漱	မျက်နှာသစ်သွားတိုက်သည်; ကိုယ်လက်သန့်စင်သည်	မနက်တိုင်း သူ အရင်ဆုံး မျက်နှာသစ်သွားတိုက်တယ်။	លាងមុខដុសធ្មេញ; សម្អាតខ្លួន	រៀងរាល់ព្រឹក គាត់លាងមុខដុសធ្មេញជាមុនសិន។	ລ້າງໜ້າແປງແຂ້ວ; ຊຳລະຮ່າງກາຍ	ທຸກເຊົ້າລາວລ້າງໜ້າແປງແຂ້ວກ່ອນ.	मुख धुनु र दाँत माझ्नु	हरेक बिहान ऊ पहिले मुख धुन्छ र दाँत माझ्छ।
5011:戏曲	戏曲	戏曲	တရုတ်ရိုးရာအော်ပရာ; ရိုးရာဇာတ်	အဘိုးက တရုတ်ရိုးရာအော်ပရာနားထောင်ရတာ ကြိုက်တယ်။	ល្ខោនចិនប្រពៃណី; អូប៉េរ៉ាចិន	ជីតាចូលចិត្តស្តាប់ល្ខោនចិនប្រពៃណី។	ອຸປະລາກອນຈີນດັ້ງເດີມ; ລະຄອນຈີນ	ປູ່ມັກຟັງອຸປະລາກອນຈີນດັ້ງເດີມ.	चिनियाँ परम्परागत ओपेरा	हजुरबुबालाई चिनियाँ परम्परागत ओपेरा सुन्न मन पर्छ।
5014:下功夫	下功夫	下功夫	ကြိုးစားအားထုတ်သည်; အားစိုက်သည်	ဒီကျွမ်းကျင်မှုကို သင်ချင်ရင် အများကြီး ကြိုးစားအားထုတ်ရမယ်။	ខិតខំប្រឹងប្រែង; ដាក់កម្លាំង	បើចង់រៀនជំនាញនេះ ត្រូវខិតខំប្រឹងប្រែងច្រើន។	ພະຍາຍາມຫຼາຍ; ໃຊ້ຄວາມພະຍາຍາມ	ຖ້າຢາກຮຽນທັກສະນີ້ ຕ້ອງພະຍາຍາມຫຼາຍ.	मेहनत गर्नु; प्रयास लगाउनु	यो सीप सिक्न धेरै मेहनत गर्नुपर्छ।
5015:下单	下单	下单	အော်ဒါတင်သည်; မှာယူသည်	ဝယ်သူက အက်ပ်ထဲမှာ ချက်ချင်း အော်ဒါတင်လိုက်တယ်။	បញ្ជាទិញ; ដាក់ការបញ្ជាទិញ	អតិថិជនបានបញ្ជាទិញភ្លាមៗក្នុងកម្មវិធី។	ສັ່ງຊື້; ວາງຄຳສັ່ງຊື້	ລູກຄ້າສັ່ງຊື້ທັນທີໃນແອັບ.	अर्डर गर्नु; माग राख्नु	ग्राहकले एपमा तुरुन्तै अर्डर गर्यो।
5017:下线	下线	下线	အော့ဖ်လိုင်းဖြစ်သည်; ရပ်ဆိုင်းသည်	ဒီဝန်ဆောင်မှုကို လကုန်မှာ ရပ်ဆိုင်းမယ်။	ចាកចេញពីអនឡាញ; បញ្ឈប់	សេវាកម្មនេះនឹងត្រូវបញ្ឈប់នៅចុងខែ។	ອອກຈາກອອນລາຍ; ຢຸດໃຫ້ບໍລິການ	ບໍລິການນີ້ຈະຢຸດໃຫ້ບໍລິການຕອນທ້າຍເດືອນ.	अफलाइन हुनु; बन्द गर्नु	यो सेवा महिनाको अन्त्यमा बन्द हुनेछ।
5018:下旬	下旬	下旬	လကုန်ပိုင်း ဆယ်ရက်	ညီလာခံကို ဒီလကုန်ပိုင်း ဆယ်ရက်အတွင်း ကျင်းပမယ်။	ដប់ថ្ងៃចុងខែ; ចុងខែ	សន្និសីទនឹងធ្វើឡើងក្នុងដប់ថ្ងៃចុងខែនេះ។	ສິບມື້ທ້າຍເດືອນ; ທ້າຍເດືອນ	ກອງປະຊຸມຈະຈັດໃນສິບມື້ທ້າຍເດືອນນີ້.	महिनाको अन्तिम दस दिन	सम्मेलन यो महिनाको अन्तिम दस दिनभित्र हुनेछ।
5023:显	显	显	ထင်ရှားသည်; ပေါ်လွင်သည်	ဒီအရောင်နဲ့ အခန်းက ပိုကျယ်သလို ထင်ရတယ်။	លេចឡើង; មើលទៅ	ពណ៌នេះធ្វើឱ្យបន្ទប់មើលទៅធំជាងមុន។	ປາກົດ; ເບິ່ງເຫັນຊັດ	ສີນີ້ເຮັດໃຫ້ຫ້ອງເບິ່ງກວ້າງຂຶ້ນ.	देखिनु; प्रकट हुनु	यो रंगले कोठा अझ ठूलो देखाउँछ।
5024:险	险	险	အန္တရာယ်များသော; နီးနီးကပ်ကပ်	ဒီတောင်လမ်းက အန္တရာယ်များလို့ ဖြည်းဖြည်းမောင်းပါ။	គ្រោះថ្នាក់; ជិតណាស់	ផ្លូវភ្នំនេះគ្រោះថ្នាក់ ដូច្នេះសូមបើកបរយឺតៗ។	ອັນຕະລາຍ; ຫວຸດຫວິດ	ຖະໜົນພູນີ້ອັນຕະລາຍ ກະລຸນາຂັບຊ້າໆ.	खतरनाक; बालबाल	यो पहाडी बाटो खतरनाक छ, बिस्तारै चलाउनुहोस्।
5026:限	限	限	ကန့်သတ်သည်; အကန့်အသတ်ထားသည်	စီမံချက်က ပါဝင်သူအရေအတွက်ကို ငါးဆယ်ယောက်အထိ ကန့်သတ်ထားတယ်။	កំណត់; ដាក់កម្រិត	គម្រោងនេះកំណត់ចំនួនអ្នកចូលរួមត្រឹមហាសិបនាក់។	ຈຳກັດ; ກຳນົດຂອບເຂດ	ໂຄງການນີ້ຈຳກັດຈຳນວນຜູ້ເຂົ້າຮ່ວມໄວ້ທີ່ຫ້າສິບຄົນ.	सीमित गर्नु; सीमा तोक्नु	यो योजनाले सहभागी संख्या पचास जनामा सीमित गर्छ।
5027:线	线	线	လိုင်း; ချည်; ကြိုး	မြေပုံပေါ်က အနီလိုင်းက ဘတ်စ်ကားလမ်းကြောင်းကို ပြတယ်။	ខ្សែ; បន្ទាត់	បន្ទាត់ក្រហមលើផែនទីបង្ហាញផ្លូវឡានក្រុង។	ເສັ້ນ; ດ້າຍ	ເສັ້ນສີແດງໃນແຜນທີ່ສະແດງເສັ້ນທາງລົດເມ.	रेखा; धागो	नक्साको रातो रेखाले बस मार्ग देखाउँछ।
5028:现存	现存	现存	လက်ရှိတည်ရှိသော; ကျန်ရှိနေသော	လက်ရှိကျန်ရှိနေတဲ့ ဓာတ်ပုံတွေက အလွန်နည်းတယ်။	ដែលមានស្រាប់; ដែលនៅសល់	រូបថតដែលនៅសល់បច្ចុប្បន្នមានតិចណាស់។	ທີ່ຍັງມີຢູ່; ທີ່ເຫຼືອຢູ່	ຮູບຖ່າຍທີ່ຍັງມີຢູ່ຕອນນີ້ມີນ້ອຍຫຼາຍ.	विद्यमान; बाँकी रहेको	अहिले बाँकी रहेका फोटोहरू धेरै कम छन्।
5029:限度	限度	限度	အကန့်အသတ်; အတိုင်းအတာ	အရည်အသွေးကို မြန်နှုန်းအတွက် အကန့်အသတ်မရှိ လျှော့လို့မရဘူး။	កម្រិត; ដែនកំណត់	មិនអាចបន្ថយគុណភាពដោយគ្មានកម្រិត ដើម្បីបានល្បឿនឡើយ។	ຂີດຈຳກັດ; ລະດັບ	ບໍ່ສາມາດຫຼຸດຄຸນນະພາບໂດຍບໍ່ມີຂີດຈຳກັດເພື່ອໃຫ້ໄວຂຶ້ນ.	सीमा; हद	गति बढाउन गुणस्तरलाई असीमित रूपमा घटाउन मिल्दैन।
5030:现货	现货	现货	လက်ကျန်ကုန်; အသင့်ရှိကုန်	ဒီမော်ဒယ်မှာ လက်ကျန်ကုန်ရှိလို့ ဒီနေ့ပဲ ပို့နိုင်တယ်။	ទំនិញមានស្រាប់; ស្តុកមាន	ម៉ូដែលនេះមានទំនិញស្រាប់ ដូច្នេះអាចផ្ញើចេញថ្ងៃនេះបាន។	ສິນຄ້າພ້ອມຂາຍ; ສິນຄ້າໃນສະຕັອກ	ຮຸ່ນນີ້ມີສິນຄ້າພ້ອມຂາຍ ຈຶ່ງສົ່ງໄດ້ມື້ນີ້.	मौज्दात सामान; स्टकमा भएको सामान	यो मोडेल स्टकमा छ, त्यसैले आजै पठाउन सकिन्छ।
5033:限于	限于	限于	ကန့်သတ်ထားသည်; အတွင်းသာရှိသည်	ဆွေးနွေးမှုကို ဘတ်ဂျက်ပြဿနာများအတွင်းသာ ကန့်သတ်ထားတယ်။	កំណត់ត្រឹម; មានកំណត់ក្នុង	ការពិភាក្សាត្រូវបានកំណត់ត្រឹមបញ្ហាថវិកា។	ຈຳກັດຢູ່ໃນ; ຈຳກັດຕໍ່	ການສົນທະນາຖືກຈຳກັດຢູ່ໃນບັນຫາງົບປະມານ.	सीमित हुनु; भित्र सीमित हुनु	छलफल बजेटका समस्यामा मात्र सीमित भयो।
5036:相传	相传	相传	ဆိုကြသည်; ဒဏ္ဍာရီအရ	ဒဏ္ဍာရီအရ ဒီရေကန်ဘေးမှာ နဂါးတစ်ကောင် နေခဲ့တယ်ဆိုကြတယ်။	តាមរឿងព្រេង; គេនិយាយថា	តាមរឿងព្រេង មាននាគមួយធ្លាប់រស់នៅក្បែរបឹងនេះ។	ຕາມຕຳນານ; ເລົ່າຕໍ່ກັນມາ	ຕາມຕຳນານ ເຄີຍມີມັງກອນຢູ່ໃກ້ທະເລສາບນີ້.	भनिन्छ; किंवदन्ती अनुसार	किंवदन्ती अनुसार यो तालको छेउमा कहिल्यै एउटा ड्र्यागन बस्थ्यो।
5038:相连	相连	相连	ချိတ်ဆက်နေသည်; ဆက်နွယ်နေသည်	မြို့နှစ်မြို့ကို ရထားလမ်းနဲ့ ချိတ်ဆက်ထားတယ်။	តភ្ជាប់គ្នា; ជាប់គ្នា	ទីក្រុងទាំងពីរត្រូវបានតភ្ជាប់ដោយផ្លូវរថភ្លើង។	ເຊື່ອມຕໍ່ກັນ; ຕິດກັນ	ສອງເມືອງນີ້ເຊື່ອມຕໍ່ກັນດ້ວຍທາງລົດໄຟ.	जोडिएको; सम्बन्धित	दुई शहर रेलमार्गले जोडिएका छन्।
5039:香水	香水	香水	ရေမွှေး	သူမက ပန်းရနံ့ပါတဲ့ ရေမွှေးတစ်ပုလင်း ဝယ်ခဲ့တယ်။	ទឹកអប់	នាងបានទិញទឹកអប់មួយដបដែលមានក្លិនផ្កា។	ນ້ຳຫອມ	ນາງຊື້ນ້ຳຫອມຂວດໜຶ່ງທີ່ມີກິ່ນດອກໄມ້.	अत्तर; सुगन्ध	उसले फूलको सुगन्ध भएको अत्तरको बोतल किनी।
5052:小偷儿	小偷儿	小偷儿	သူခိုး	ရဲက ဘူတာရုံမှာ သူခိုးတစ်ယောက်ကို ဖမ်းမိတယ်။	ចោរ; ចោរតូច	ប៉ូលិសបានចាប់ចោរម្នាក់នៅស្ថានីយ។	ໂຈນ; ຂະໂມຍ	ຕຳຫຼວດຈັບໂຈນຄົນໜຶ່ງໄດ້ທີ່ສະຖານີ.	चोर	प्रहरीले स्टेशनमा एक चोर समात्यो।
5053:笑容	笑容	笑容	အပြုံး; ပြုံးရိပ်	သူ့အပြုံးက လူတွေကို စိတ်အေးစေတယ်။	ស្នាមញញឹម	ស្នាមញញឹមរបស់គាត់ធ្វើឱ្យមនុស្សមានអារម្មណ៍ស្ងប់។	ຮອຍຍິ້ມ	ຮອຍຍິ້ມຂອງລາວເຮັດໃຫ້ຄົນຮູ້ສຶກສະບາຍໃຈ.	मुस्कान	उसको मुस्कानले मानिसहरूलाई शान्त महसुस गराउँछ।
5054:效应	效应	效应	အကျိုးသက်ရောက်မှု	ဒီမူဝါဒရဲ့ အကျိုးသက်ရောက်မှုက နောက်နှစ်မှ ပိုထင်ရှားလာမယ်။	ផលប៉ះពាល់; ប្រសិទ្ធិភាព	ផលប៉ះពាល់នៃគោលនយោបាយនេះនឹងច្បាស់ជាងមុននៅឆ្នាំក្រោយ។	ຜົນກະທົບ; ຜົນສະທ້ອນ	ຜົນກະທົບຂອງນະໂຍບາຍນີ້ຈະຊັດເຈນຂຶ້ນໃນປີໜ້າ.	प्रभाव; असर	यो नीतिको प्रभाव अर्को वर्ष अझ स्पष्ट हुनेछ।
5060:心爱	心爱	心爱	ချစ်မြတ်နိုးသော; အနှစ်သက်ဆုံး	သူက ချစ်မြတ်နိုးတဲ့ ဂစ်တာကို အမြဲ သေချာထိန်းသိမ်းတယ်။	ជាទីស្រឡាញ់; ដែលពេញចិត្ត	គាត់ថែរក្សាហ្គីតាជាទីស្រឡាញ់របស់គាត់យ៉ាងល្អជានិច្ច។	ທີ່ຮັກ; ທີ່ມັກຫຼາຍ	ລາວດູແລກີຕ້າທີ່ຮັກຂອງລາວຢ່າງດີສະເໝີ.	प्यारो; मनपर्ने	उसले आफ्नो प्यारो गितार सधैं राम्रोसँग सम्हाल्छ।
5061:心底	心底	心底	စိတ်နှလုံးအတွင်းနက်နက်; စိတ်အောက်ခြေ	သူ စိတ်နှလုံးအတွင်းနက်နက်မှာ ဒီမိတ်ဆွေကို အလွန်လေးစားတယ်။	ក្នុងចិត្តជ្រៅ; បាតចិត្ត	ក្នុងចិត្តជ្រៅ គាត់គោរពមិត្តម្នាក់នេះខ្លាំងណាស់។	ໃນກົ້ນບຶ້ງຫົວໃຈ; ໃນໃຈເລິກໆ	ໃນກົ້ນບຶ້ງຫົວໃຈ ລາວນັບຖືເພື່ອນຄົນນີ້ຫຼາຍ.	मनको गहिराइ	मनको गहिराइमा ऊ यो साथीलाई धेरै सम्मान गर्छ।
5062:新款	新款	新款	မော်ဒယ်အသစ်; ဒီဇိုင်းအသစ်	ဒီဖုန်းမော်ဒယ်အသစ်ကို မနက်ဖြန် စတင်ရောင်းချမယ်။	ម៉ូដែលថ្មី; រចនាប័ទ្មថ្មី	ម៉ូដែលទូរស័ព្ទថ្មីនេះនឹងចាប់ផ្តើមលក់ថ្ងៃស្អែក។	ຮຸ່ນໃໝ່; ແບບໃໝ່	ໂທລະສັບຮຸ່ນໃໝ່ນີ້ຈະເລີ່ມຂາຍມື້ອື່ນ.	नयाँ मोडेल; नयाँ शैली	यो नयाँ फोन मोडेल भोलि बिक्री सुरु हुनेछ।
