source_headword	VI	example_VI
institute	viện	Viện đã mở một chương trình nghiên cứu mới.
institution	tổ chức	Cơ quan này đã thay đổi các quy tắc tuyển sinh.
insurance	bảo hiểm	Bảo hiểm của cô ấy đã chi trả viện phí.
intended	dự kiến	Tin nhắn đã đến được với đối tượng dự kiến.
intense	dữ dội	Cuộc tranh luận trở nên căng thẳng rất nhanh.
internal	nội bộ	Công ty đã bắt đầu một cuộc đánh giá nội bộ.
interpret	giải thích	Hãy giải thích các kết quả một cách cẩn thận.
interrupt	ngắt lời	Đừng ngắt lời người nói bây giờ.
investigation	cuộc điều tra	Cuộc điều tra đã tiết lộ những sai lầm nghiêm trọng.
investment	sự đầu tư	Khoản đầu tư đã tạo ra nhiều việc làm tại địa phương.
joy	niềm vui	Thành công của họ đã mang lại niềm vui lớn.
judgement	sự phán đoán	Sự phán đoán của anh ấy đã được cải thiện cùng với kinh nghiệm.
junior	cấp dưới	Cô ấy gia nhập đội ngũ với tư cách là một nhà phân tích cấp dưới.
justice	công lý	Gia đình yêu cầu công lý sau phiên tòa.
justify	biện minh	Bạn phải chứng minh quyết định đó một cách rõ ràng.
labour	lao động	Dự án đòi hỏi lao động có tay nghề.
landscape	phong cảnh	Cảnh quan đã thay đổi sau cơn bão.
largely	phần lớn	Kế hoạch đã thành công phần lớn.
launch	ra mắt	Họ sẽ ra mắt sản phẩm vào ngày mai.
leadership	sự lãnh đạo	Sự lãnh đạo mạnh mẽ đã giúp đội phục hồi.
league	liên đoàn	Câu lạc bộ của chúng tôi đã tham gia một giải đấu khu vực.
lean	tựa	Đừng tựa vào bức tường ướt.
licence	giấy phép	Giấy phép sẽ hết hạn vào tháng tới.
limited	có hạn	Hôm nay chúng ta có thời gian có hạn.
lively	sôi nổi	Cuộc họp trở nên sôi nổi sau bữa trưa.
load	tải trọng	Chiếc xe tải chở một tải trọng nặng.
loan	khoản vay	Ngân hàng đã chấp thuận khoản vay.
logical	hợp lý	Lập luận của cô ấy rất rõ ràng và hợp lý.
long-term	dài hạn	Đây là một giải pháp dài hạn.
loose	lỏng lẻo	Tay cầm có cảm giác bị lỏng.
lord	lãnh chúa	Lãnh chúa sở hữu một vài ngôi làng.
lower	hạ thấp	Họ giảm giá vào mùa đông.
lung	phổi	Hút thuốc có thể làm hỏng phổi.
maintain	duy trì	Chúng tôi duy trì liên lạc thường xuyên.
majority	đa số	Đa số đã ủng hộ đề xuất này.
mass	khối	Một khối mây bao phủ bầu trời.
massive	to lớn	Trận động đất đã gây ra thiệt hại to lớn.
master	bậc thầy	Cô ấy đã trở thành một bậc thầy về đàm phán.
matching	đồng bộ	Anh ấy đi giày và thắt lưng đồng bộ.
maximum	tối đa	Căn phòng đã đạt công suất tối đa.
means	phương tiện	Email là phương tiện liên lạc chính của chúng tôi.
measurement	sự đo lường	Số đo đã hơi sai lệch một chút.
melt	tan chảy	Tuyết sẽ tan vào buổi trưa.
military	quân đội	Căn cứ quân sự đã đóng cửa vào năm ngoái.
mineral	khoáng sản	Sắt là một khoáng chất quan trọng.
minimum	tối thiểu	Độ tuổi tối thiểu là mười tám.
minister	bộ trưởng	Vị bộ trưởng đã trả lời những câu hỏi khó.
minor	nhỏ	Vụ tai nạn gây ra thiệt hại nhỏ.
minority	thiểu số	Một nhóm thiểu số đã phản đối quy định mới.
mission	nhiệm vụ	Nhiệm vụ của họ đã kết thúc an toàn.
mixed	trái chiều	Tin tức nhận được những phản ứng trái chiều.
modify	sửa đổi	Chúng ta có thể sửa đổi thiết kế sau.
monitor	màn hình	Y tá sẽ theo dõi tình trạng của anh ấy.
moral	thuộc về đạo đức	Câu chuyện có một bài học đạo đức.
motor	động cơ	Động cơ dừng lại mà không có cảnh báo.
mount	lắp đặt	Họ lắp đặt camera gần lối vào.
multiple	nhiều	Nhiều yếu tố đã gây ra sự chậm trễ.
multiply	nhân	Nhân số đó với mười.
mysterious	bí ẩn	Một ánh sáng bí ẩn xuất hiện bên ngoài.
neat	gọn gàng	Bàn làm việc của cô ấy luôn gọn gàng.
nerve	dây thần kinh	Chấn thương đã làm hỏng một dây thần kinh.
nevertheless	tuy nhiên	Nhiệm vụ rất khó khăn; tuy nhiên, chúng tôi đã hoàn thành.
nightmare	cơn ác mộng	Chuyến đi đã trở thành một cơn ác mộng.
notion	khái niệm	Hãy bác bỏ khái niệm rằng sự thay đổi là không thể.
numerous	vô số	Vô số nghiên cứu ủng hộ ý tưởng này.
obey	tuân theo	Người lái xe phải tuân theo các biển báo.
objective	mục tiêu	Mục tiêu của chúng tôi là giảm lãng phí.
obligation	nghĩa vụ	Cha mẹ có nghĩa vụ bảo vệ con cái.
observation	sự quan sát	Sự quan sát của anh ấy đã thay đổi cuộc thảo luận.
observe	quan sát	Các nhà khoa học quan sát các loài chim vào mỗi mùa xuân.
obtain	đạt được	Bạn phải có được sự cho phép bằng văn bản.
occasionally	thỉnh thoảng	Cô ấy thỉnh thoảng làm việc tại nhà.
offence	sự xúc phạm	Bình luận đó đã gây ra sự xúc phạm nghiêm trọng.
offend	xúc phạm	Tôi không có ý xúc phạm ai.
offensive	phản cảm	Tấm áp phích có chứa ngôn từ phản cảm.
opening	vị trí trống	Vị trí trống của công việc đã thu hút nhiều ứng viên.
operate	hoạt động	Máy có thể hoạt động tự động.
opponent	đối thủ	Đối thủ của cô ấy đã chỉ trích chính sách này.
oppose	phản đối	Nhiều cư dân phản đối kế hoạch.
opposed	trái ngược	Các nhóm này giữ quan điểm trái ngược nhau.
opposition	sự phản đối	Đề xuất đã phải đối mặt với sự phản đối mạnh mẽ.
organ	cơ quan	Tim là một cơ quan quan trọng.
origin	nguồn gốc	Nguồn gốc của vụ cháy vẫn chưa được biết.
otherwise	nếu không thì	Rời đi ngay bây giờ; nếu không thì, bạn sẽ bị muộn.
outcome	kết quả	Kết quả đã làm mọi người ngạc nhiên.
outer	bên ngoài	Bức tường bên ngoài cần được sửa chữa.
outline	phác thảo	Vui lòng phác thảo lập luận chính của bạn.
overall	tổng thể	Kết quả tổng thể là tích cực.
owe	nợ	Tôi nợ bạn một lời xin lỗi.
pace	nhịp độ	Hãy đi bộ với nhịp độ đều đặn.
panel	hội đồng	Hội đồng đã thảo luận về chính sách khí hậu.
parliament	quốc hội	Quốc hội đã phê duyệt luật mới.
participant	người tham gia	Mỗi người tham gia đã ký vào biểu mẫu.
partly	một phần	Sự chậm trễ một phần là lỗi của chúng tôi.
passage	đoạn văn	Hãy đọc đoạn văn trước khi trả lời.
pension1	lương hưu	Lương hưu hỗ trợ anh ấy sau khi nghỉ hưu.
permanent	lâu dài	Họ cần một giải pháp lâu dài.
permit	cho phép	Các quy tắc cho phép các chuyến thăm ngắn.
perspective	quan điểm	Hãy thử nhìn từ quan điểm của cô ấy.
phase	giai đoạn	Dự án đã bước vào giai đoạn cuối cùng.
phenomenon	hiện tượng	Hiện tượng này xảy ra ở nhiều nền văn hóa.
philosophy	triết lý	Triết lý của cô ấy coi trọng hành động thực tế.
pile	đống	Một đống giấy tờ bao phủ bàn làm việc.
pitch	sân cỏ	Đội đã chuẩn bị sân cỏ một cách cẩn thận.
plain	rõ ràng	Các hướng dẫn rất rõ ràng và trực tiếp.
pointed	sắc sảo	Anh ấy đã đưa ra một nhận xét sắc sảo.
popularity	sự nổi tiếng	Ca sĩ đã đạt được sự nổi tiếng trên mạng.
pose	đặt ra	Câu hỏi có thể đặt ra một vấn đề.
possess	sở hữu	Rất ít học sinh sở hữu kỹ năng đó.
potential	tiềm năng	Ý tưởng này có tiềm năng thực sự.
praise	sự khen ngợi	Giáo viên đã dành những lời khen ngợi chân thành.
pregnant	mang thai	Cô ấy đang mang thai sáu tháng.
preparation	sự chuẩn bị	Sự chuẩn bị tốt giúp giảm căng thẳng.
presence	sự hiện diện	Sự hiện diện của anh ấy đã làm thay đổi tâm trạng.
preserve	bảo tồn	Chúng ta phải bảo tồn tòa nhà lịch sử này.
prime	chủ yếu	Nguyên nhân chính là do lập kế hoạch kém.
principle	nguyên tắc	Quyết định tuân theo một nguyên tắc rõ ràng.
priority	ưu tiên	Sự an toàn là ưu tiên hàng đầu của chúng tôi.
privacy	quyền riêng tư	Khách hàng mong đợi quyền riêng tư trực tuyến.
procedure	quy trình	Quy trình này mất ba mươi phút.
proof	bằng chứng	Chúng tôi cần bằng chứng trước khi hành động.
proposal	đề xuất	Đề xuất này cần nhiều chi tiết hơn.
propose	đề xuất	Tôi đề xuất một giải pháp khác.
prospect	khả năng	Khả năng thất bại làm họ lo lắng.
protection	sự bảo vệ	Mũ bảo hiểm cung cấp sự bảo vệ cơ bản.
psychologist	nhà tâm lý học	Nhà tâm lý học đã giải thích kết quả kiểm tra.
psychology	tâm lý học	Cô ấy học tâm lý học ở trường đại học.
publication	ấn phẩm	Ấn phẩm này đã thu hút sự chú ý của công chúng.
pupil	học sinh	Mỗi học sinh nhận được một cuốn sách giáo khoa mới.
purchase	mua	Họ mua đồ dùng mỗi tháng.
pure	tinh khiết	Nước rất tinh khiết và lạnh.
pursue	theo đuổi	Anh ấy sẽ theo đuổi sự nghiệp y tế.
rank	cấp bậc	Cô ấy giữ một cấp bậc cao cấp.
rapid	nhanh chóng	Đất nước đã chứng kiến sự tăng trưởng nhanh chóng.
rapidly	một cách nhanh chóng	Giá cả đã tăng nhanh chóng trong năm nay.
raw	sống	Đầu bếp đã chuẩn bị các loại rau sống.
realistic	thực tế	Hãy đặt ra một thời hạn thực tế.
reasonable	hợp lý	Đó có vẻ là một yêu cầu hợp lý.
recall	nhớ lại	Tôi nhớ lại những lời chính xác của anh ấy.
recover	phục hồi	Cô ấy sẽ phục hồi sau quá trình điều trị.
reduction	sự giảm bớt	Việc cắt giảm đã tiết kiệm được tiền.
regard	coi	Nhiều người coi cô ấy là người trung thực.
regional	khu vực	Văn phòng khu vực đã đóng cửa hôm nay.
register	đăng ký	Vui lòng đăng ký trước thềm hội nghị.
regret	hối hận	Tôi hối tiếc về quyết định trước đó của mình.
regulation	quy định	Quy định mới ảnh hưởng đến tất cả các tài xế.
relatively	tương đối	Bài kiểm tra tương đối dễ.
relevant	có liên quan	Chỉ chọn những chi tiết có liên quan.
relief	sự nhẹ nhõm	Tin tức mang lại sự nhẹ nhõm lớn.
rely	dựa vào	Trẻ em dựa vào sự hỗ trợ của người lớn.
remark	nhận xét	Nhận xét của anh ấy đã kết thúc cuộc thảo luận.
representative	người đại diện	Người đại diện đã gặp gỡ công nhân địa phương.
reputation	danh tiếng	Khách sạn này có danh tiếng tốt.
requirement	yêu cầu	Kinh nghiệm là một yêu cầu cơ bản.
rescue	giải cứu	Họ giải cứu mọi người khỏi lũ lụt.
reserve	đặt trước	Chúng tôi đặt trước chỗ ngồi cho khách.
resident	cư dân	Mỗi cư dân đều nhận được một thông báo.
resist	chống lại	Cố gắng chống lại áp lực.
resolve	giải quyết	Họ đã giải quyết tranh chấp một cách hòa bình.
resort	khu nghỉ dưỡng	Khu nghỉ dưỡng trên đảo đã mở cửa vào tháng Năm.
retain	giữ lại	Công ty muốn giữ lại nhân viên.
reveal	tiết lộ	Bản báo cáo sẽ tiết lộ sự thật.
revolution	cuộc cách mạng	Cuộc cách mạng đã thay đổi đất nước.
reward	phần thưởng	Làm việc chăm chỉ xứng đáng được phần thưởng.
rhythm	nhịp điệu	Bài hát có nhịp điệu đều đặn.
rid	loại bỏ	Hãy vứt bỏ những tài liệu cũ đó.
root	nguồn gốc	Nguồn gốc của vấn đề là tiền bạc.
rub	chà xát	Dùng khăn lau chà xát bề mặt.
rubber	cao su	Lớp đệm cao su ngăn chặn rò rỉ.
rural	nông thôn	Nhiều trường học ở nông thôn cần được hỗ trợ.
rush	vội vàng	Đừng vội vàng đưa ra quyết định này.
satellite	vệ tinh	Vệ tinh đã gửi những hình ảnh mới.
satisfied	hài lòng	Khách hàng có vẻ hài lòng.
satisfy	làm hài lòng	Câu trả lời không làm anh ấy hài lòng.
saving	sự tiết kiệm	Tiết kiệm năng lượng giúp giảm chi phí hàng tháng.
scale	quy mô	Quy mô của thiệt hại rất lớn.
scheme	kế hoạch	Kế hoạch này giúp đỡ những công nhân trẻ.
scream	tiếng hét	Họ nghe thấy tiếng hét bên ngoài.
sector	lĩnh vực	Lĩnh vực công nghệ đang phát triển.
secure	bảo đảm	Khóa cửa lại để bảo đảm an toàn.
seek	tìm kiếm	Họ tìm kiếm lời khuyên từ các chuyên gia.
select	lựa chọn	Hãy chọn phương án tốt nhất.
selection	sự lựa chọn	Cửa hàng mang đến nhiều sự lựa chọn.
self	bản thân	Cô ấy đã cho thấy con người thật của mình.
senior	thâm niên	Một bác sĩ cao cấp đã khám cho bệnh nhân.
sensitive	nhạy cảm	Chủ đề này rất nhạy cảm.
sequence	trình tự	Hãy làm theo trình tự các bước.
session	buổi	Buổi tập huấn bắt đầu vào buổi trưa.
settle	dàn xếp	Họ nhanh chóng dàn xếp cuộc cãi vã.
severe	nghiêm trọng	Cơn bão đã gây ra lũ lụt nghiêm trọng.
shade	bóng râm	Hãy ngồi trong bóng râm.
shadow	bóng	Một cái bóng lướt qua cửa sổ.
shallow	nông	Nước hồ ở đây rất nông.
shame	sự xấu hổ	Anh ấy cảm thấy xấu hổ sau khi nói dối.
shelter	nơi trú ẩn	Trường học đã cung cấp nơi trú ẩn khẩn cấp.
shock	cú sốc	Quyết định đó là một cú sốc.
shocked	bị sốc	Cô ấy có vẻ bị sốc trước tin tức này.
shooting	vụ nổ súng	Vụ nổ súng xảy ra gần nhà ga.
shot	cú đánh	Cú đánh chiến thắng đã khiến mọi người ngạc nhiên.
significant	quan trọng	Khám phá này rất có ý nghĩa.
significantly	đáng kể	Chi phí đã tăng đáng kể vào năm ngoái.
silence	sự im lặng	Căn phòng chìm vào sự im lặng.
silk	lụa	Chiếc váy được làm bằng lụa.
sincere	chân thành	Xin hãy nhận lời cảm ơn chân thành của tôi.
slave	nô lệ	Luật pháp đã giải phóng mọi nô lệ.
slide	trượt	Đứa trẻ trượt xuống cầu trượt.
slight	nhẹ	Đã có một sự chậm trễ nhẹ.
slip	trượt chân	Đừng để trượt chân trên sàn ướt.
slope	sườn dốc	Con đường chạy dọc theo một sườn dốc đứng.
solar	năng lượng mặt trời	Ngôi nhà sử dụng năng lượng mặt trời.
somewhat	có phần	Các hướng dẫn có phần khó hiểu.
soul	tâm hồn	Âm nhạc đã nâng cao tâm hồn cô.
specialist	chuyên gia	Chuyên gia đã khám cho bệnh nhân.
species	loài	Loài này sống gần các con sông.
spiritual	tâm linh	Cô ấy đã mô tả một trải nghiệm tâm linh.
split	chia	Họ chia đều hóa đơn.
sponsor	tài trợ	Công ty sẽ tài trợ cho sự kiện này.
stable	ổn định	Bệnh nhân đã ổn định.
stare	nhìn chằm chằm	Đừng nhìn chằm chằm vào người lạ.
status	địa vị	Địa vị của anh ấy đã thay đổi chỉ sau một đêm.
steady	đều đặn	Hãy giữ tốc độ đều đặn.
steel	thép	Cây cầu được làm bằng thép.
steep	dốc đứng	Ngọn đồi này rất dốc.
sticky	dính	Sàn nhà có cảm giác dính.
stiff	cứng	Vai anh ấy có cảm giác cứng đơ.
stock	hàng tồn kho	Cửa hàng không còn hàng tồn kho.
stream	dòng suối	Một con suối nhỏ chảy ngang qua cánh đồng.
stretch	duỗi	Hãy duỗi chân sau chuyến bay.
strict	nghiêm ngặt	Trường học có những nội quy nghiêm ngặt.
strike	đình công	Công nhân có thể đình công vào ngày mai.
struggle	vật lộn	Nhiều gia đình phải vật lộn với tiền thuê nhà.
submit	nộp	Hãy nộp đơn trước thứ Sáu.
sum	số tiền	Số tiền cao hơn dự kiến.
surgery	phẫu thuật	Ca phẫu thuật kéo dài hai giờ.
surround	bao quanh	Những cây cao bao quanh ngôi nhà.
surrounding	xung quanh	Khu vực xung quanh rất yên tĩnh.
suspect	nghi ngờ	Cảnh sát nghi ngờ một người đàn ông địa phương.
swear	chửi thề	Không được chửi thề trong lớp.
sweep	quét	Hãy quét nhà trước khi khách đến.
sympathy	sự cảm thông	Cô ấy đã bày tỏ sự cảm thông đối với các nạn nhân.
tale	câu chuyện	Bà tôi đã kể một câu chuyện kỳ lạ.
tank	bể chứa	Bể chứa này chứa nước sạch.
tear1	xé	Đừng xé tài liệu.
tear2	giọt nước mắt	Một giọt nước mắt lăn dài trên má cô.
temporary	tạm thời	Văn phòng là nơi trú ẩn tạm thời.
therapy	liệu pháp	Vật lý trị liệu đã giúp anh ấy hồi phục.
threat	mối đe dọa	Tin nhắn có chứa một lời đe dọa.
threaten	đe dọa	Cơn bão có thể đe dọa mùa màng.
thus	do đó	Đường bị cấm; do đó, chúng tôi đã chờ đợi.
tone	giọng điệu	Giọng điệu của anh ấy nghe có vẻ bình tĩnh.
tough	khó khăn	Cuộc phỏng vấn rất khó khăn.
transfer	chuyển giao	Họ chuyển giao dữ liệu mỗi đêm.
transform	biến đổi	Chính sách mới sẽ biến đổi các dịch vụ.
transition	sự chuyển tiếp	Sự chuyển tiếp mất vài tháng.
trial	phiên tòa	Phiên tòa bắt đầu vào tuần tới.
tropical	nhiệt đới	Bão nhiệt đới rất phổ biến ở đây.
truly	thực sự	Tôi thực sự đánh giá cao sự giúp đỡ của bạn.
trust	niềm tin	Niềm tin cần thời gian để xây dựng.
tune	giai điệu	Ban nhạc đã chơi một giai điệu vui vẻ.
tunnel	đường hầm	Đường hầm chạy dưới sông.
ultimately	cuối cùng	Cuối cùng, kế hoạch đã thành công.
unconscious	bất tỉnh	Bệnh nhân vẫn bất tỉnh.
unexpected	bất ngờ	Sự chậm trễ là điều bất ngờ.
unique	độc đáo	Mỗi thiết kế đều độc đáo.
universe	vũ trụ	Vũ trụ đang giãn nở.
unknown	không rõ	Cái tên vẫn không rõ.
upper	phía trên	Kệ phía trên trống rỗng.
upwards	lên trên	Khói bay lên trên.
urban	đô thị	Các khu vực đô thị cần giao thông tốt hơn.
urge	thúc giục	Các bác sĩ thúc giục mọi người tập thể dục.
vary	khác nhau	Giá cả khác nhau tùy theo khu vực.
vast	rộng lớn	Sa mạc bao phủ một diện tích rộng lớn.
venue	địa điểm	Địa điểm này chứa được năm trăm người.
via	qua	Gửi tài liệu qua email.
victory	chiến thắng	Đội đã ăn mừng chiến thắng của họ.
violence	bạo lực	Thành phố phải hứng chịu bạo lực chính trị.
virtual	ảo	Cuộc họp là ảo.
vision	tầm nhìn	Tầm nhìn của cô ấy đã định hình công ty.
visual	trực quan	Báo cáo bao gồm các ví dụ trực quan.
vital	quan trọng	Nước rất quan trọng cho sự sống.
vitamin	vitamin	Cam chứa vitamin C.
volume	âm lượng	Hãy vặn nhỏ âm lượng.
wage	tiền lương	Các công nhân đòi mức tiền lương cao hơn.
weakness	điểm yếu	Kế hoạch này có một điểm yếu.
wealth	sự giàu có	Sự giàu có của ông đến từ thương mại.
wealthy	giàu có	Gia đình giàu có đã tài trợ cho bảo tàng.
whereas	trong khi	Cô ấy thích trà, trong khi tôi thích cà phê.
wherever	bất cứ nơi nào	Hãy ngồi bất cứ nơi nào bạn thấy thoải mái.
whisper	thì thầm	Xin hãy thì thầm trong buổi lễ.
whom	ai	Bạn đã mời ai?
widely	rộng rãi	Cuốn sách được đọc rộng rãi.
wildlife	động vật hoang dã	Công viên bảo vệ động vật hoang dã địa phương.
willing	sẵn sàng	Cô ấy sẵn sàng giúp đỡ.
wind2	quấn	Quấn cáp quanh cuộn.
wire	dây điện	Dây điện kết nối hai thiết bị.
wise	khôn ngoan	Đó là một lựa chọn khôn ngoan.
witness	nhân chứng	Một nhân chứng đã mô tả vụ tai nạn.
wound	vết thương	Hãy rửa sạch vết thương một cách cẩn thận.
wrap	gói	Gói món quà bằng giấy.
zone	khu vực	Khu vực này cấm xe cộ qua lại.
