simplified	JA	example_JA	KO	example_KO	VI	example_VI	TH	example_TH	MS	example_MS	ID	example_ID
白天	昼間; 日中	昼間、私は学校で勉強します。	낮; 낮 동안	낮에는 학교에서 공부해요.	ban ngày; daytime	Ban ngày tôi học ở trường.	ตอนกลางวัน	ตอนกลางวันฉันเรียนที่โรงเรียน	siang hari; waktu siang	Pada waktu siang saya belajar di sekolah.	siang hari	Pada siang hari saya belajar di sekolah.
边	側; 端	本はテーブルのそばにあります。	쪽; 가장자리	책은 탁자 옆에 있어요.	bên; cạnh	Quyển sách ở bên cạnh bàn.	ด้าน; ขอบ	หนังสืออยู่ข้างโต๊ะ	sebelah; tepi	Buku itu ada di sebelah meja.	sisi; tepi	Buku itu ada di sebelah meja.
病	病気; 病気である	彼は病気です。	병; 아프다	그는 아파요.	bệnh; bị bệnh	Anh ấy bị ốm.	โรค; ป่วย	เขาป่วย	penyakit; sakit	Dia sakit.	penyakit; sakit	Dia sakit.
不要	しないで; いらない	コーヒーを飲みすぎないでください。	하지 마라; 원하지 않다	커피를 너무 많이 마시지 마세요.	đừng; không muốn	Đừng uống quá nhiều cà phê.	อย่า; ไม่ต้องการ	อย่าดื่มกาแฟมากเกินไป	jangan; tidak mahu	Jangan minum kopi terlalu banyak.	jangan; tidak mau	Jangan minum kopi terlalu banyak.
唱	歌う	妹は中国語の歌を歌うのが好きです。	노래하다	여동생은 중국어 노래 부르는 것을 좋아해요.	hát	Em gái tôi thích hát bài hát tiếng Trung.	ร้องเพลง	น้องสาวชอบร้องเพลงจีน	menyanyi	Adik perempuan saya suka menyanyi lagu Cina.	menyanyi	Adik perempuan saya suka menyanyikan lagu Mandarin.
车	車; 乗り物	入り口に車があります。	차; 차량	문 앞에 차가 한 대 있어요.	xe; xe cộ	Có một chiếc xe ở cửa.	รถ; ยานพาหนะ	มีรถคันหนึ่งอยู่หน้าประตู	kereta; kenderaan	Ada sebuah kereta di pintu.	mobil; kendaraan	Ada sebuah mobil di depan pintu.
大学	大学; だいがく	兄は大学で勉強しています。	대학교; 대학	오빠는 대학교에서 공부해요.	đại học	Anh trai tôi học ở đại học.	มหาวิทยาลัย	พี่ชายเรียนที่มหาวิทยาลัย	universiti	Abang saya belajar di universiti.	universitas	Kakak laki-laki saya belajar di universitas.
大学生	大学生; だいがくせい	彼女は大学生です。	대학생	그녀는 대학생이에요.	sinh viên đại học	Cô ấy là sinh viên đại học.	นักศึกษา	เธอเป็นนักศึกษา	pelajar universiti	Dia pelajar universiti.	mahasiswa; mahasiswi	Dia mahasiswi.
第	序数を作る接頭語	これは第一課です。	순서를 나타내는 접두사	이것은 제1과예요.	tiền tố thứ tự	Đây là bài học thứ nhất.	คำเติมหน้าบอกลำดับ	นี่คือบทเรียนที่หนึ่ง	awalan nombor giliran	Ini pelajaran pertama.	awalan bilangan urutan	Ini pelajaran pertama.
店	店; みせ	この店は小さいです。	가게; 상점	이 가게는 작아요.	cửa hàng	Cửa hàng này nhỏ.	ร้าน	ร้านนี้เล็ก	kedai	Kedai ini kecil.	toko	Toko ini kecil.
电话	電話; 電話番号	あなたの電話番号はいくつですか。	전화; 전화번호	전화번호가 몇 번이에요?	điện thoại; cuộc gọi	Số điện thoại của bạn là bao nhiêu?	โทรศัพท์; สายโทรศัพท์	เบอร์โทรศัพท์ของคุณคืออะไร	telefon; panggilan telefon	Apakah nombor telefon kamu?	telepon; panggilan	Berapa nomor teleponmu?
电影院	映画館	映画館は学校の隣にあります。	영화관	영화관은 학교 옆에 있어요.	rạp chiếu phim	Rạp chiếu phim ở cạnh trường.	โรงภาพยนตร์	โรงภาพยนตร์อยู่ข้างโรงเรียน	pawagam	Pawagam itu di sebelah sekolah.	bioskop	Bioskop itu berada di sebelah sekolah.
读书	本を読む; 勉強する	子どもは部屋で本を読んでいます。	책을 읽다; 공부하다	아이는 방에서 책을 읽고 있어요.	đọc sách; học	Đứa trẻ đang đọc sách trong phòng.	อ่านหนังสือ; เรียน	เด็กกำลังอ่านหนังสืออยู่ในห้อง	membaca; belajar	Anak itu sedang membaca di dalam bilik.	membaca; belajar	Anak itu sedang membaca di kamar.
饭	食事; ご飯	私は食事をしています。	밥; 식사	저는 밥을 먹고 있어요.	bữa ăn; cơm	Tôi đang ăn cơm.	อาหาร; ข้าวสุก	ฉันกำลังกินข้าว	nasi; makanan	Saya sedang makan.	nasi; makanan	Saya sedang makan.
饭店	レストラン; ホテル	このレストランはとても有名です。	식당; 호텔	이 식당은 아주 유명해요.	nhà hàng; khách sạn	Nhà hàng này rất nổi tiếng.	ร้านอาหาร; โรงแรม	ร้านอาหารนี้มีชื่อเสียงมาก	restoran; hotel	Restoran ini sangat terkenal.	restoran; hotel	Restoran ini sangat terkenal.
歌	歌; うた	この歌はとてもきれいに聞こえます。	노래	이 노래는 듣기 좋아요.	bài hát	Bài hát này nghe rất hay.	เพลง	เพลงนี้ฟังเพราะมาก	lagu	Lagu ini sedap didengar.	lagu	Lagu ini terdengar bagus.
国	国; 国家	中国は大きな国です。	나라; 국가	중국은 큰 나라예요.	nước; quốc gia	Trung Quốc là một nước lớn.	ประเทศ; ชาติ	จีนเป็นประเทศใหญ่	negara; bangsa	China ialah sebuah negara besar.	negara; bangsa	Tiongkok adalah negara besar.
还	まだ; さらに	私はまだお茶を飲みたいです。	아직; 또	저는 아직 차를 마시고 싶어요.	vẫn; còn; cũng	Tôi vẫn muốn uống trà.	ยัง; อีกด้วย	ฉันยังอยากดื่มชา	masih; juga	Saya masih mahu minum teh.	masih; juga	Saya masih ingin minum teh.
汉字	漢字; 中国語の文字	この漢字は難しくありません。	한자; 중국 글자	이 한자는 어렵지 않아요.	chữ Hán; chữ Trung Quốc	Chữ Hán này không khó.	อักษรจีน	ตัวอักษรจีนตัวนี้ไม่ยาก	aksara Cina	Aksara Cina ini tidak susah.	aksara Tionghoa; karakter Hanzi	Karakter Hanzi ini tidak sulit.
好看	見た目がよい; きれい	この写真はきれいです。	보기 좋다; 예쁘다	이 사진은 보기 좋아요.	đẹp; dễ nhìn	Bức ảnh này rất đẹp.	ดูดี; สวย	รูปนี้ดูสวยมาก	cantik; sedap dipandang	Gambar ini cantik.	bagus dilihat; indah	Foto ini terlihat bagus.
好听	聞いて心地よい	この歌は聞いて心地よいです。	듣기 좋다	이 노래는 듣기 좋아요.	hay; dễ nghe	Bài hát này nghe rất hay.	ไพเราะ; ฟังเพราะ	เพลงนี้ฟังเพราะมาก	sedap didengar	Lagu ini sedap didengar.	enak didengar	Lagu ini enak didengar.
好玩儿	面白い; 楽しい	このゲームは楽しいです。	재미있다	이 게임은 재미있어요.	vui; thú vị	Trò chơi này rất vui.	สนุก	เกมนี้สนุก	seronok; menarik	Permainan ini seronok.	seru; menyenangkan	Permainan ini seru.
后	後ろ; 後	学校の後ろに公園があります。	뒤; 후	학교 뒤에 공원이 있어요.	sau; phía sau	Sau trường có công viên.	หลัง; ข้างหลัง	หลังโรงเรียนมีสวนสาธารณะ	belakang; selepas	Di belakang sekolah ada taman.	belakang; setelah	Di belakang sekolah ada taman.
火车	電車; 列車	私は列車で北京へ行きます。	기차	저는 기차를 타고 베이징에 가요.	tàu hỏa	Tôi đi tàu hỏa đến Bắc Kinh.	รถไฟ	ฉันนั่งรถไฟไปปักกิ่ง	kereta api	Saya pergi ke Beijing dengan kereta api.	kereta api	Saya naik kereta api ke Beijing.
家人	家族; 家族の人	私の家族はみんな北京にいます。	가족; 가족 구성원	우리 가족은 모두 베이징에 있어요.	người nhà; gia đình	Gia đình tôi đều ở Bắc Kinh.	ครอบครัว; คนในครอบครัว	ครอบครัวของฉันอยู่ที่ปักกิ่งทั้งหมด	keluarga; ahli keluarga	Keluarga saya semuanya di Beijing.	keluarga; anggota keluarga	Keluarga saya semuanya berada di Beijing.
见	会う; 見る	明日、先生に会います。	보다; 만나다	내일 선생님을 만나요.	gặp; thấy	Ngày mai tôi gặp thầy giáo.	เจอ; พบ	พรุ่งนี้ฉันจะพบครู	berjumpa; melihat	Esok saya akan berjumpa guru.	bertemu; melihat	Besok saya akan bertemu guru.
今年	今年; ことし	今年、私は中国語を勉強しています。	올해	올해 저는 중국어를 공부해요.	năm nay	Năm nay tôi học tiếng Trung.	ปีนี้	ปีนี้ฉันเรียนภาษาจีน	tahun ini	Tahun ini saya belajar bahasa Cina.	tahun ini	Tahun ini saya belajar bahasa Mandarin.
开车	車を運転する	父は毎日車で仕事に行きます。	운전하다	아빠는 매일 운전해서 출근해요.	lái xe	Bố tôi lái xe đi làm mỗi ngày.	ขับรถ	พ่อขับรถไปทำงานทุกวัน	memandu kereta	Ayah memandu ke tempat kerja setiap hari.	mengemudi; menyetir	Ayah menyetir ke tempat kerja setiap hari.
看病	医者に診てもらう	明日、病院へ医者に診てもらいに行きます。	진료를 받다; 병원에 가다	내일 병원에 진료받으러 가요.	đi khám bệnh	Ngày mai tôi đến bệnh viện khám bệnh.	ไปหาหมอ	พรุ่งนี้ฉันจะไปโรงพยาบาลหาหมอ	berjumpa doktor	Esok saya akan pergi ke hospital untuk berjumpa doktor.	berobat; periksa ke dokter	Besok saya akan pergi ke rumah sakit untuk berobat.
没事	大丈夫; 何でもない	私は大丈夫です。心配しないでください。	괜찮다; 아무 일 없다	저는 괜찮아요. 걱정하지 마세요.	không sao; ổn	Tôi không sao, bạn đừng lo.	ไม่เป็นไร; สบายดี	ฉันไม่เป็นไร ไม่ต้องกังวล	tidak apa-apa; baik-baik saja	Saya tidak apa-apa, jangan risau.	tidak apa-apa; baik-baik saja	Saya baik-baik saja, jangan khawatir.
没有	持っていない; ない	私は電話を持っていません。	없다; 가지고 있지 않다	저는 휴대전화가 없어요.	không có; không tồn tại	Tôi không có điện thoại.	ไม่มี	ฉันไม่มีโทรศัพท์	tiada; tidak mempunyai	Saya tidak mempunyai telefon.	tidak punya; tidak ada	Saya tidak punya telepon.
们	人を表す複数接尾辞	先生たちは事務室にいます。	사람을 나타내는 복수 접미사	선생님들은 사무실에 있어요.	hậu tố số nhiều cho người	Các thầy cô ở văn phòng.	คำต่อท้ายพหูพจน์สำหรับคน	ครูหลายคนอยู่ในสำนักงาน	akhiran jamak untuk orang	Guru-guru berada di pejabat.	akhiran jamak untuk orang	Para guru berada di kantor.
面条儿	麺	昼に麺を食べます。	국수; 면	저는 점심에 국수를 먹어요.	mì; bún	Buổi trưa tôi ăn mì.	บะหมี่; ก๋วยเตี๋ยว	ตอนเที่ยงฉันกินบะหมี่	mi	Saya makan mi pada tengah hari.	mi; mie	Saya makan mi pada siang hari.
明年	来年	来年、中国へ行きます。	내년	내년에 중국에 가요.	năm sau	Năm sau tôi sẽ đi Trung Quốc.	ปีหน้า	ปีหน้าฉันจะไปจีน	tahun depan	Tahun depan saya akan pergi ke China.	tahun depan	Tahun depan saya akan pergi ke Tiongkok.
哪个	どれ; どの	どのコップが好きですか。	어느 것; 어느	어느 컵을 좋아해요?	cái nào	Bạn thích cái cốc nào?	อันไหน; ไหน	คุณชอบแก้วใบไหน	yang mana	Kamu suka cawan yang mana?	yang mana	Kamu suka cangkir yang mana?
哪里	どこ	あなたはどこに住んでいますか。	어디	어디에 살아요?	ở đâu	Bạn sống ở đâu?	ที่ไหน	คุณอยู่ที่ไหน	di mana	Kamu tinggal di mana?	di mana	Kamu tinggal di mana?
