hsk_key	source_word	simplified	PL	example_PL	NL	example_NL	SV	example_SV	NO	example_NO	DA	example_DA	FI	example_FI
2002:哎呀	哎呀	哎呀	ojej; aj	Ojej, zostawiłem klucze w domu.	o jee; hé	O jee, ik heb mijn sleutels thuis laten liggen.	oj; åh nej	Oj, jag glömde nycklarna hemma.	oi; å nei	Å nei, jeg glemte nøklene hjemme.	åh nej; hov	Åh nej, jeg glemte nøglerne derhjemme.	voi ei; ai	Voi ei, jätin avaimet kotiin.
2005:安	安	安	spokojny; cichy	Kiedy dziecko zasnęło, w pokoju od razu zrobiło się cicho.	rustig; stil	Nadat het kind in slaap viel, werd de kamer ineens stil.	lugn; tyst	När barnet somnade blev rummet genast tyst.	rolig; stille	Etter at barnet sovnet, ble rommet plutselig stille.	rolig; stille	Da barnet faldt i søvn, blev rummet pludselig stille.	rauhallinen; hiljainen	Kun lapsi nukahti, huone hiljeni heti.
2006:安全带	安全带	安全带	pas bezpieczeństwa	Przed jazdą zapnij pas bezpieczeństwa.	veiligheidsgordel	Doe voor het rijden je veiligheidsgordel om.	säkerhetsbälte	Spänn fast säkerhetsbältet innan du kör.	sikkerhetsbelte	Fest sikkerhetsbeltet før du kjører.	sikkerhedssele	Spænd sikkerhedsselen, før du kører.	turvavyö	Kiinnitä turvavyö ennen ajoa.
2013:半夜	半夜	半夜	północ; późna noc	Ktoś zadzwonił do niego w środku nocy.	midden in de nacht; laat in de nacht	Iemand belde hem midden in de nacht.	mitt i natten; sent på natten	Någon ringde honom mitt i natten.	midt på natten; sent på natten	Noen ringte ham midt på natten.	midt om natten; sent om natten	Nogen ringede til ham midt om natten.	keskellä yötä; myöhään yöllä	Joku soitti hänelle keskellä yötä.
2020:宝	宝	宝	skarb; kochanie	Ten stary jadeit jest rodzinnym skarbem.	schat; lieverd	Deze oude jade is de familieschat.	skatt; älskling	Den här gamla jaden är familjens skatt.	skatt; kjære	Dette gamle jadestykket er familiens skatt.	skat; kære	Dette gamle jadestykke er familiens skat.	aarre; kulta	Tämä vanha jade on perheen aarre.
2021:保	保	保	chronić; zachować	Musimy ochronić ten kawałek lasu.	beschermen; behouden	We moeten dit stuk bos beschermen.	skydda; bevara	Vi måste skydda det här skogsområdet.	beskytte; bevare	Vi må beskytte dette skogstykket.	beskytte; bevare	Vi skal beskytte dette skovområde.	suojella; säilyttää	Meidän täytyy suojella tätä metsikköä.
2022:保安	保安	保安	ochroniarz; ochrona	Ochroniarz przy wejściu sprawdził mój dokument.	beveiliger; beveiliging	De beveiliger bij de ingang controleerde mijn identiteitsbewijs.	väktare; säkerhet	Väktaren vid ingången kontrollerade min legitimation.	sikkerhetsvakt; sikkerhet	Sikkerhetsvakten ved inngangen sjekket ID-en min.	vagt; sikkerhed	Vagten ved indgangen kontrollerede mit ID.	turvavartija; turvallisuus	Sisäänkäynnin turvavartija tarkisti henkilöllisyystodistukseni.
2029:保质期	保质期	保质期	termin przydatności; okres trwałości	Przed kupnem mleka sprawdź termin przydatności.	houdbaarheidsdatum; houdbaarheid	Controleer de houdbaarheidsdatum voordat je melk koopt.	hållbarhetstid; bäst före-datum	Kontrollera hållbarhetstiden innan du köper mjölk.	holdbarhetstid; utløpsperiode	Sjekk holdbarhetstiden før du kjøper melk.	holdbarhed; udløbsperiode	Tjek holdbarheden, før du køber mælk.	säilyvyysaika; viimeinen käyttöaika	Tarkista maidon säilyvyysaika ennen ostamista.
2034:暴雨	暴雨	暴雨	ulewa; gwałtowna burza	po ulewie na drodze zebrało się dużo wody.	zware regenbui; stortregen	Na de zware regenbui bleef er veel water op de weg liggen.	kraftigt regnoväder; skyfall	Efter skyfallet samlades mycket vatten på vägen.	kraftig regnstorm; styrtregn	Etter styrtregnet samlet det seg mye vann på veien.	kraftigt regnvejr; skybrud	Efter skybruddet samlede der sig meget vand på vejen.	rankkasade; voimakas sadekuuro	Rankkasateen jälkeen tielle kertyi paljon vettä.
2037:背后	背后	背后	za; kulisy	Za sukcesem stoi dużo wysiłku.	achter; achtergrond	Achter succes zit veel inspanning.	bakom; bakgrund	Bakom framgång finns mycket ansträngning.	bak; bakgrunn	Bak suksess ligger det mye innsats.	bag; baggrund	Bag succes ligger der meget indsats.	takana; tausta	Menestyksen takana on paljon työtä.
