source_headword	NL	example_NL
institute	het instituut	Het instituut opende een nieuw onderzoeksprogramma.
institution	de instelling	De instelling veranderde haar toelatingsregels.
insurance	de verzekering	Haar verzekering dekte de ziekenhuiskosten.
intended	bedoeld	Het bericht bereikte het bedoelde publiek.
intense	intens	Het debat werd al snel intens.
internal	intern	Het bedrijf begon een interne evaluatie.
interpret	interpreteren	Interpreteer de resultaten alsjeblieft zorgvuldig.
interrupt	onderbreken	Onderbreek de spreker nu niet.
investigation	het onderzoek	Het onderzoek bracht ernstige fouten aan het licht.
investment	de investering	De investering creëerde veel lokale banen.
joy	de vreugde	Hun succes bracht grote vreugde.
judgement	het oordeel	Zijn oordeel verbeterde met de ervaring.
junior	junior	Ze kwam bij het team als junior analist.
justice	de gerechtigheid	De familie eiste gerechtigheid na het proces.
justify	rechtvaardigen	Je moet die beslissing duidelijk rechtvaardigen.
labour	de arbeid	Het project vereist geschoolde arbeid.
landscape	het landschap	Het landschap veranderde na de storm.
largely	grotendeels	Het plan was grotendeels succesvol.
launch	lanceren	Ze zullen het product morgen lanceren.
leadership	het leiderschap	Sterk leiderschap hielp het team te herstellen.
league	de competitie	Onze club is lid geworden van een regionale competitie.
lean	leunen	Leun niet tegen de natte muur.
licence	de licentie	De licentie verloopt volgende maand.
limited	beperkt	We hebben vandaag beperkte tijd.
lively	levendig	De bijeenkomst werd levendig na de lunch.
load	de lading	De vrachtwagen droeg een zware lading.
loan	de lening	De bank heeft de lening goedgekeurd.
logical	logisch	Haar argument was duidelijk en logisch.
long-term	langdurig	Dit is een langdurige oplossing.
loose	los	Het handvat voelt los aan.
lord	de heer	De heer bezat verschillende dorpen.
lower	verlagen	Ze verlagen de prijzen tijdens de winter.
lung	de long	Roken kan een long beschadigen.
maintain	onderhouden	We onderhouden regelmatig contact.
majority	de meerderheid	De meerderheid steunde het voorstel.
mass	de massa	Een massa wolken bedekte de lucht.
massive	enorm	De aardbeving veroorzaakte enorme schade.
master	de meester	Ze werd een meester in onderhandelen.
matching	bijpassend	Hij droeg bijpassende schoenen en een riem.
maximum	maximaal	De kamer bereikte zijn maximale capaciteit.
means	het middel	E-mail is ons belangrijkste middel voor contact.
measurement	de meting	De meting was een beetje verkeerd.
melt	smelten	De sneeuw zal tegen de middag smelten.
military	militair	De militaire basis is vorig jaar gesloten.
mineral	het mineraal	IJzer is een belangrijk mineraal.
minimum	minimaal	De minimale leeftijd is achttien jaar.
minister	de minister	De minister beantwoordde moeilijke vragen.
minor	klein	Het ongeluk veroorzaakte kleine schade.
minority	de minderheid	Een minderheid was tegen de nieuwe regel.
mission	de missie	Hun missie eindigde veilig.
mixed	gemengd	Het nieuws kreeg gemengde reacties.
modify	wijzigen	We kunnen het ontwerp later wijzigen.
monitor	de monitor / monitoren	De verpleegkundige zal zijn toestand monitoren.
moral	moreel	Het verhaal heeft een morele les.
motor	de motor	De motor stopte zonder waarschuwing.
mount	monteren	Ze monteren camera's bij de ingang.
multiple	meerdere	Meerdere factoren veroorzaakten de vertraging.
multiply	vermenigvuldigen	Vermenigvuldig het getal met tien.
mysterious	mysterieus	Er verscheen een mysterieus licht buiten.
neat	netjes	Haar bureau is altijd netjes.
nerve	de zenuw	De verwonding beschadigde een zenuw.
nevertheless	desalniettemin	De taak was zwaar; desalniettemin zijn we klaar.
nightmare	de nachtmerrie	De reis werd een nachtmerrie.
notion	de opvatting	Verwerp de opvatting dat verandering onmogelijk is.
numerous	talrijk	Talrijke studies ondersteunen dit idee.
obey	gehoorzamen	Bestuurders moeten de borden gehoorzamen.
objective	het doel	Ons doel is om afval te verminderen.
obligation	de verplichting	Ouders hebben de verplichting om kinderen te beschermen.
observation	de observatie	Zijn observatie veranderde de discussie.
observe	observeren	Wetenschappers observeren de vogels elk voorjaar.
obtain	verkrijgen	Je moet schriftelijke toestemming verkrijgen.
occasionally	af en toe	Ze werkt af en toe vanuit huis.
offence	de belediging	De opmerking veroorzaakte een ernstige belediging.
offend	beledigen	Ik bedoelde niet om iemand te beledigen.
offensive	beledigend	De poster bevatte beledigende taal.
opening	de vacature	De vacature trok veel sollicitanten.
operate	werken	De machine kan automatisch werken.
opponent	de tegenstander	Haar tegenstander bekritiseerde het beleid.
oppose	zich verzetten tegen	Veel bewoners verzetten zich tegen het plan.
opposed	tegengesteld	De groepen hadden tegengestelde opvattingen.
opposition	de tegenstand	Het voorstel stuitte op sterke tegenstand.
organ	het orgaan	Het hart is een vitaal orgaan.
origin	de oorsprong	De oorsprong van de brand is onbekend.
otherwise	anders	Vertrek nu; anders kom je te laat.
outcome	de uitkomst	De uitkomst verraste iedereen.
outer	buitenste	De buitenste muur heeft reparatie nodig.
