simplified	TE	example_TE	KN	example_KN	ML	example_ML
吧	సూచన కణం; కదా	వెళ్దాం.	ಸೂಚನಾ ಕಣ; ಅಲ್ಲವೇ	ಹೋಗೋಣ.	നിർദ്ദേശകണം; അല്ലേ	നമുക്ക് പോകാം.
白	తెలుపు	ఈ బట్ట తెలుపుగా ఉంది.	ಬಿಳಿ	ಈ ಬಟ್ಟೆ ಬಿಳಿಯಾಗಿದೆ.	വെളുപ്പ്	ഈ വസ്ത്രം വെളുപ്പാണ്.
百	వంద	ఈ మొబైల్ ఫోన్ ధర వంద యువాన్.	ನೂರು	ಈ ಮೊಬೈಲ್ ಫೋನ್ ಬೆಲೆ ನೂರು ಯುವಾನ್.	നൂറ്	ഈ മൊബൈൽ ഫോണിന്റെ വില നൂറ് യുവാനാണ്.
帮助	సహాయం చేయడం; సహాయం	దయచేసి నాకు సహాయం చేయండి.	ಸಹಾಯ ಮಾಡುವುದು; ಸಹಾಯ	ದಯವಿಟ್ಟು ನನಗೆ ಸಹಾಯ ಮಾಡಿ.	സഹായിക്കുക; സഹായം	ദയവായി എന്നെ സഹായിക്കൂ.
报纸	వార్తాపత్రిక	నాన్న వార్తాపత్రిక చదువుతున్నారు.	ವಾರ್ತಾಪತ್ರಿಕೆ	ಅಪ್ಪ ವಾರ್ತಾಪತ್ರಿಕೆ ಓದುತ್ತಿದ್ದಾರೆ.	പത്രം	അച്ഛൻ പത്രം വായിക്കുന്നു.
比	కంటే; పోల్చడం	ఈ రోజు నిన్నకంటే వేడిగా ఉంది.	ಗಿಂತ; ಹೋಲಿಸುವುದು	ಇಂದು ನಿನ್ನೆಗಿಂತ ಬಿಸಿಯಾಗಿದೆ.	നേക്കാൾ; താരതമ്യം ചെയ്യുക	ഇന്ന് ഇന്നലത്തേക്കാൾ ചൂടാണ്.
别	చేయవద్దు; వేరే	వెళ్లవద్దు.	ಮಾಡಬೇಡ; ಬೇರೆ	ಹೋಗಬೇಡ.	ചെയ്യരുത്; വേറെ	പോകരുത്.
长	పొడవైన	ఈ రహదారి పొడవుగా ఉంది.	ಉದ್ದ	ಈ ರಸ್ತೆ ಉದ್ದವಾಗಿದೆ.	നീളം കൂടിയ	ഈ വഴി നീളമുള്ളതാണ്.
唱歌	పాట పాడడం	నా చెల్లికి పాట పాడడం ఇష్టం.	ಹಾಡುವುದು	ನನ್ನ ತಂಗಿಗೆ ಹಾಡುವುದು ಇಷ್ಟ.	പാടുക	എന്റെ അനിയത്തിക്ക് പാടാൻ ഇഷ്ടമാണ്.
出	బయటకు వెళ్లడం; బయటకు రావడం	అతను బయటకు వెళ్లాడు.	ಹೊರಗೆ ಹೋಗುವುದು; ಹೊರಬರುವುದು	ಅವನು ಹೊರಗೆ ಹೋದನು.	പുറത്തേക്ക് പോകുക; പുറത്തുവരുക	അവൻ പുറത്തേക്ക് പോയി.
穿	ధరించడం	నేను తెల్లని బట్టలు ధరిస్తాను.	ಧರಿಸುವುದು	ನಾನು ಬಿಳಿ ಬಟ್ಟೆ ಧರಿಸುತ್ತೇನೆ.	ധരിക്കുക	ഞാൻ വെളുത്ത വസ്ത്രം ധരിക്കുന്നു.
船	పడవ; నౌక	పడవ నీటిపై ఉంది.	ದೋಣಿ; ಹಡಗು	ದೋಣಿ ನೀರಿನ ಮೇಲೆ ಇದೆ.	വഞ്ചി; കപ്പൽ	വഞ്ചി വെള്ളത്തിലാണ്.
次	సారి	నేను ఒకసారి బీజింగ్‌కు వెళ్లాను.	ಬಾರಿ	ನಾನು ಒಮ್ಮೆ ಬೀಜಿಂಗ್‌ಗೆ ಹೋಗಿದ್ದೇನೆ.	പ്രാവശ്യം	ഞാൻ ഒരിക്കൽ ബെയ്ജിംഗിലേക്ക് പോയിട്ടുണ്ട്.
从	నుండి	నేను ఇంటి నుంచి పాఠశాలకు వెళ్తాను.	ಇಂದ; ನಿಂದ	ನಾನು ಮನೆಯಿಂದ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ.	നിന്ന്	ഞാൻ വീട്ടിൽ നിന്ന് സ്കൂളിലേക്ക് പോകുന്നു.
错	తప్పు	నువ్వు తప్పు.	ತಪ್ಪು	ನೀನು ತಪ್ಪಾಗಿದ್ದೀಯ.	തെറ്റ്	നീ തെറ്റാണ്.
打篮球	బాస్కెట్‌బాల్ ఆడడం	నా అన్న బాస్కెట్‌బాల్ ఆడుతున్నాడు.	ಬಾಸ್ಕೆಟ್‌ಬಾಲ್ ಆಡುವುದು	ನನ್ನ ಅಣ್ಣ ಬಾಸ್ಕೆಟ್‌ಬಾಲ್ ಆಡುತ್ತಾನೆ.	ബാസ്കറ്റ്ബോൾ കളിക്കുക	എന്റെ ചേട്ടൻ ബാസ്കറ്റ്ബോൾ കളിക്കുന്നു.
大家	అందరూ	అందరూ వచ్చారు.	ಎಲ್ಲರೂ	ಎಲ್ಲರೂ ಬಂದಿದ್ದಾರೆ.	എല്ലാവരും	എല്ലാവരും എത്തിയിട്ടുണ്ട്.
但是	కాని; అయితే	నేను పనిలో బిజీగా ఉన్నాను, కానీ చాలా సంతోషంగా ఉన్నాను.	ಆದರೆ	ನಾನು ಬ್ಯುಸಿಯಾಗಿದ್ದೇನೆ, ಆದರೆ ತುಂಬಾ ಸಂತೋಷವಾಗಿದ್ದೇನೆ.	പക്ഷേ; എന്നാൽ	ഞാൻ തിരക്കിലാണ്, പക്ഷേ വളരെ സന്തോഷവാനാണ്.
到	చేరడం	నేను పాఠశాలకు చేరుకున్నాను.	ತಲುಪುವುದು	ನಾನು ಶಾಲೆಗೆ ತಲುಪಿದ್ದೇನೆ.	എത്തുക	ഞാൻ സ്കൂളിലെത്തി.
得	స్థాయి పూరక కణం	అతను వేగంగా పరుగెడతాడు.	ಮಟ್ಟಪೂರಕ ಕಣ	ಅವನು ವೇಗವಾಗಿ ಓಡುತ್ತಾನೆ.	തീവ്രത പൂരക കണം	അവൻ വേഗത്തിൽ ഓടുന്നു.
等	వేచి ఉండడం	నేను నీ కోసం వేచి ఉన్నాను.	ಕಾಯುವುದು	ನಾನು ನಿನ್ನನ್ನು ಕಾಯುತ್ತಿದ್ದೇನೆ.	കാത്തിരിക്കുക	ഞാൻ നിന്നെ കാത്തിരിക്കുന്നു.
弟弟	తమ్ముడు	నా తమ్ముడు ఇంట్లో ఉన్నాడు.	ತಮ್ಮ	ನನ್ನ ತಮ್ಮ ಮನೆಯಲ್ಲಿ ಇದ್ದಾನೆ.	അനിയൻ	എന്റെ അനിയൻ വീട്ടിലുണ്ട്.
第一	మొదటి	అతను మొదటి స్థానంలో ఉన్నాడు.	ಮೊದಲನೆಯದು	ಅವನು ಮೊದಲ ಸ್ಥಾನದಲ್ಲಿದ್ದಾನೆ.	ഒന്നാമത്	അവൻ ഒന്നാം സ്ഥാനത്താണ്.
懂	అర్థం చేసుకోవడం	ఇప్పుడు నాకు అర్థమైంది.	ಅರ್ಥಮಾಡಿಕೊಳ್ಳುವುದು	ಈಗ ನನಗೆ ಅರ್ಥವಾಗಿದೆ.	മനസ്സിലാക്കുക	ഇപ്പോൾ എനിക്ക് മനസ്സിലായി.
对	సరైన; వైపు	నువ్వు చెప్పింది సరైనది.	ಸರಿಯಾದ; ಕಡೆಗೆ	ನೀನು ಹೇಳಿದ್ದು ಸರಿಯಾಗಿದೆ.	ശരി; നേരെ	നീ പറഞ്ഞത് ശരിയാണ്.
房间	గది	ఈ గది పెద్దది.	ಕೊಠಡಿ	ಈ ಕೊಠಡಿ ದೊಡ್ಡದು.	മുറി	ഈ മുറി വലുതാണ്.
非常	చాలా; అత్యంత	ఈ రోజు చాలా చల్లగా ఉంది.	ತುಂಬಾ; ಅತ್ಯಂತ	ಇಂದು ತುಂಬಾ ಚಳಿಯಾಗಿದೆ.	വളരെ	ഇന്ന് വളരെ തണുപ്പാണ്.
服务员	వెయిటర్; సేవా సిబ్బంది	వెయిటర్ రెస్టారెంట్‌లో ఉన్నాడు.	ವೇಟರ್; ಸೇವಾ ಸಿಬ್ಬಂದಿ	ವೇಟರ್ ರೆಸ್ಟೋರೆಂಟ್‌ನಲ್ಲಿ ಇದ್ದಾನೆ.	വെയിറ്റർ; സേവന ജീവനക്കാരൻ	വെയിറ്റർ ഭക്ഷണശാലയിലാണ്.
高	ఎత్తైన	అతను ఎత్తుగా ఉన్నాడు.	ಎತ್ತರದ	ಅವನು ಎತ್ತರವಾಗಿದ್ದಾನೆ.	ഉയരം കൂടിയ	അവൻ ഉയരമുള്ളവനാണ്.
告诉	చెప్పడం	దయచేసి నాకు చెప్పండి.	ಹೇಳುವುದು	ದಯವಿಟ್ಟು ನನಗೆ ಹೇಳಿ.	പറയുക; അറിയിക്കുക	ദയവായി എന്നോട് പറയൂ.
哥哥	అన్న	నా అన్న పని చేస్తున్నాడు.	ಅಣ್ಣ	ನನ್ನ ಅಣ್ಣ ಕೆಲಸ ಮಾಡುತ್ತಿದ್ದಾನೆ.	ചേട്ടൻ	എന്റെ ചേട്ടൻ ജോലി ചെയ്യുന്നു.
给	ఇవ్వడం; కు	నేను నీకు ఒక పుస్తకం ఇస్తాను.	ಕೊಡುವುದು; ಗೆ	ನಾನು ನಿನಗೆ ಒಂದು ಪುಸ್ತಕ ಕೊಡುತ್ತೇನೆ.	കൊടുക്കുക; ക്ക്	ഞാൻ നിനക്ക് ഒരു പുസ്തകം കൊടുക്കുന്നു.
公共汽车	బస్సు	నేను బస్సులో పనికి వెళ్తాను.	ಬಸ್	ನಾನು ಬಸ್‌ನಲ್ಲಿ ಕೆಲಸಕ್ಕೆ ಹೋಗುತ್ತೇನೆ.	ബസ്	ഞാൻ ബസിൽ ജോലിക്ക് പോകുന്നു.
公斤	కిలోగ్రాము	నేను ఒక కిలోగ్రాము ఆపిళ్లు కొంటాను.	ಕಿಲೋಗ್ರಾಂ	ನಾನು ಒಂದು ಕಿಲೋಗ್ರಾಂ ಸೇಬುಗಳನ್ನು ಖರೀದಿಸುತ್ತೇನೆ.	കിലോഗ്രാം	ഞാൻ ഒരു കിലോഗ്രാം ആപ്പിൾ വാങ്ങുന്നു.
公司	కంపెనీ	నేను కంపెనీలో పని చేస్తాను.	ಕಂಪನಿ	ನಾನು ಕಂಪನಿಯಲ್ಲಿ ಕೆಲಸ ಮಾಡುತ್ತೇನೆ.	കമ്പനി	ഞാൻ കമ്പനിയിൽ ജോലി ചെയ്യുന്നു.
贵	ఖరీదైన	ఈ చేతి గడియారం ఖరీదైనది.	ದುಬಾರಿ	ಈ ಕೈಗಡಿಯಾರ ದುಬಾರಿಯಾಗಿದೆ.	വില കൂടിയ	ഈ കൈഘടികാരം വില കൂടിയതാണ്.
过	అనుభవ కణం	నేను చైనాకు వెళ్లాను.	ಅನುಭವ ಸೂಚಕ ಕಣ	ನಾನು ಚೀನಾಗೆ ಹೋಗಿದ್ದೇನೆ.	അനുഭവകണം	ഞാൻ ചൈനയിലേക്ക് പോയിട്ടുണ്ട്.
还	ఇంకా; కూడా	అతను ఇంకా పాఠశాలలో ఉన్నాడు.	ಇನ್ನೂ; ಸಹ	ಅವನು ಇನ್ನೂ ಶಾಲೆಯಲ್ಲಿದ್ದಾನೆ.	ഇനിയും; കൂടെ	അവൻ ഇനിയും സ്കൂളിലാണ്.
孩子	పిల్ల; బిడ్డ	ఈ బిడ్డ చాలా సంతోషంగా ఉంది.	ಮಗು	ಈ ಮಗು ತುಂಬಾ ಖುಷಿಯಾಗಿದೆ.	കുഞ്ഞ്; കുട്ടി	ഈ കുട്ടി വളരെ സന്തോഷത്തിലാണ്.
好吃	రుచికరమైన	ఈ వంటకం రుచిగా ఉంది.	ರುಚಿಯಾದ	ಈ ಭಕ್ಷ್ಯ ರುಚಿಯಾಗಿದೆ.	രുചികരം	ഈ വിഭവം രുചികരമാണ്.
号	సంఖ్య; తేదీ	ఈ రోజు ఎనిమిదో తేదీ.	ಸಂಖ್ಯೆ; ದಿನಾಂಕ	ಇಂದು ಎಂಟನೇ ತಾರೀಕು.	നമ്പർ; തീയതി	ഇന്ന് എട്ടാം തീയതിയാണ്.
黑	నలుపు	ఈ పిల్లి నల్లగా ఉంది.	ಕಪ್ಪು	ಈ ಬೆಕ್ಕು ಕಪ್ಪಾಗಿದೆ.	കറുപ്പ്	ഈ പൂച്ച കറുപ്പാണ്.
红	ఎరుపు	నాకు ఎరుపు ఆపిళ్లు ఇష్టం.	ಕೆಂಪು	ನನಗೆ ಕೆಂಪು ಸೇಬುಗಳು ಇಷ್ಟ.	ചുവപ്പ്	എനിക്ക് ചുവന്ന ആപ്പിളുകൾ ഇഷ്ടമാണ്.
欢迎	స్వాగతించడం; స్వాగతం	బీజింగ్‌కు స్వాగతం.	ಸ್ವಾಗತಿಸುವುದು; ಸ್ವಾಗತ	ಬೀಜಿಂಗ್‌ಗೆ ಸ್ವಾಗತ.	സ്വാഗതം ചെയ്യുക; സ്വാഗതം	ബെയ്ജിംഗിലേക്ക് സ്വാഗതം.
回答	జవాబు ఇవ్వడం	దయచేసి ఈ ప్రశ్నకు జవాబు ఇవ్వండి.	ಉತ್ತರಿಸುವುದು	ದಯವಿಟ್ಟು ಈ ಪ್ರಶ್ನೆಗೆ ಉತ್ತರಿಸಿ.	ഉത്തരം പറയുക	ദയവായി ഈ ചോദ്യത്തിന് ഉത്തരം പറയൂ.
机场	విమానాశ్రయం	విమానాశ్రయం ఇక్కడి నుంచి దూరంగా ఉంది.	ವಿಮಾನ ನಿಲ್ದಾಣ	ವಿಮಾನ ನಿಲ್ದಾಣ ಇಲ್ಲಿಂದ ದೂರದಲ್ಲಿದೆ.	വിമാനത്താവളം	വിമാനത്താവളം ഇവിടെ നിന്ന് ദൂരെയാണ്.
鸡蛋	గుడ్డు	నేను గుడ్లు తింటాను.	ಮೊಟ್ಟೆ	ನಾನು ಮೊಟ್ಟೆ ತಿನ್ನುತ್ತೇನೆ.	മുട്ട	ഞാൻ മുട്ട കഴിക്കുന്നു.
件	బట్టలు లేదా వస్తువుల లెక్కపదం	నేను ఒక దుస్తి కొనుగోలు చేశాను.	ಬಟ್ಟೆ ಅಥವಾ ವಸ್ತುಗಳ ಎಣಿಕೆ ಪದ	ನಾನು ಒಂದು ಉಡುಪು ಖರೀದಿಸಿದೆ.	വസ്ത്രങ്ങൾക്കും സാധനങ്ങൾക്കുമുള്ള എണ്ണൽപദം	ഞാൻ ഒരു വസ്ത്രം വാങ്ങി.
教室	తరగతి గది	విద్యార్థులు తరగతి గదిలో ఉన్నారు.	ತರಗತಿ ಕೊಠಡಿ	ವಿದ್ಯಾರ್ಥಿಗಳು ತರಗತಿ ಕೊಠಡಿಯಲ್ಲಿ ಇದ್ದಾರೆ.	ക്ലാസ് മുറി	വിദ്യാർത്ഥികൾ ക്ലാസ് മുറിയിലാണ്.
姐姐	అక్క	నా అక్క డాక్టర్.	ಅಕ್ಕ	ನನ್ನ ಅಕ್ಕ ಡಾಕ್ಟರ್.	ചേച്ചി	എന്റെ ചേച്ചി ഡോക്ടറാണ്.
介绍	పరిచయం చేయడం	నేను నా స్నేహితుడిని పరిచయం చేస్తాను.	ಪರಿಚಯಿಸುವುದು	ನಾನು ನನ್ನ ಸ್ನೇಹಿತನನ್ನು ಪರಿಚಯಿಸುತ್ತೇನೆ.	പരിചയപ്പെടുത്തുക	ഞാൻ എന്റെ സുഹൃത്തിനെ പരിചയപ്പെടുത്തുന്നു.
进	లోపలికి రావడం	దయచేసి లోపలికి రండి.	ಒಳಗೆ ಬರುವುದು	ದಯವಿಟ್ಟು ಒಳಗೆ ಬನ್ನಿ.	അകത്ത് വരുക	ദയവായി അകത്ത് വരൂ.
近	దగ్గర	పాఠశాల ఇంటికి దగ్గరగా ఉంది.	ಹತ್ತಿರ	ಶಾಲೆ ಮನೆಗೆ ಹತ್ತಿರದಲ್ಲಿದೆ.	അടുത്ത്	സ്കൂൾ വീട്ടിനടുത്താണ്.
就	అప్పుడు; ఇప్పుడే	నేను ఇప్పుడు వెళ్తాను.	ಆಗ; ಈಗಲೇ	ನಾನು ಈಗ ಹೋಗುತ್ತೇನೆ.	അപ്പോൾ; ഉടൻ	ഞാൻ ഇപ്പോൾ പോകുന്നു.
觉得	అనిపించడం; భావించడం	ఈ వంటకం రుచిగా ఉందని నాకు అనిపిస్తోంది.	ಅನಿಸುವುದು; ಭಾಸವಾಗುವುದು	ಈ ಭಕ್ಷ್ಯ ರುಚಿಯಾಗಿದೆ ಎಂದು ನನಗೆ ಅನಿಸುತ್ತದೆ.	തോന്നുക; അനുഭവപ്പെടുക	ഈ വിഭവം രുചികരമാണെന്ന് എനിക്ക് തോന്നുന്നു.
咖啡	కాఫీ	నేను కాఫీ తాగుతాను.	ಕಾಫಿ	ನಾನು ಕಾಫಿ ಕುಡಿಯುತ್ತೇನೆ.	കാപ്പി	ഞാൻ കാപ്പി കുടിക്കുന്നു.
开始	ప్రారంభించడం; ప్రారంభం	పరీక్ష ప్రారంభమైంది.	ಪ್ರಾರಂಭಿಸುವುದು; ಪ್ರಾರಂಭ	ಪರೀಕ್ಷೆ ಆರಂಭವಾಗಿದೆ.	തുടങ്ങുക; ആരംഭം	പരീക്ഷ ആരംഭിച്ചു.
考试	పరీక్ష	రేపు పరీక్ష ఉంది.	ಪರೀಕ್ಷೆ	ನಾಳೆ ಪರೀಕ್ಷೆ ಇದೆ.	പരീക്ഷ	നാളെ പരീക്ഷയുണ്ട്.
可能	బహుశా; సాధ్యమైన	అతను ఇంట్లో ఉండవచ్చు.	ಬಹುಶಃ; ಸಾಧ್ಯ	ಅವನು ಮನೆಯಲ್ಲಿ ಇರಬಹುದು.	ആകാം; സാധ്യമാണ്	അവൻ വീട്ടിലായിരിക്കാം.
可以	చేయగలగడం; అనుమతి ఉండడం	నేను వెళ్లవచ్చా?	ಸಾಧ್ಯ; ಅನುಮತಿ	ನಾನು ಹೋಗಬಹುದೇ?	കഴിയും; അനുമതി	ഞാൻ പോകാമോ?
课	తరగతి; పాఠం	ఈ రోజు చైనీస్ తరగతి ఉంది.	ತರಗತಿ; ಪಾಠ	ಇಂದು ಚೈನೀಸ್ ತರಗತಿ ಇದೆ.	ക്ലാസ്; പാഠം	ഇന്ന് ചൈനീസ് ക്ലാസ് ഉണ്ട്.
快	వేగమైన; త్వరలో	అతను వేగంగా నడుస్తాడు.	ವೇಗವಾದ; ಬೇಗ	ಅವನು ವೇಗವಾಗಿ ನಡೆಯುತ್ತಾನೆ.	വേഗം; വേഗത്തിലുള്ള	അവൻ വേഗത്തിൽ നടക്കുന്നു.
快乐	సంతోషం	పుట్టినరోజు శుభాకాంక్షలు.	ಸಂತೋಷ	ಹುಟ್ಟುಹಬ್ಬದ ಶುಭಾಶಯಗಳು.	സന്തോഷം	ജന്മദിനാശംസകൾ.
累	అలసిన	నేను అలసిపోయాను.	ದಣಿದ	ನಾನು ದಣಿದಿದ್ದೇನೆ.	ക്ഷീണിച്ച	ഞാൻ ക്ഷീണിച്ചിരിക്കുന്നു.
离	నుంచి దూరంగా; నుంచి	పాఠశాల ఇంటి నుంచి దూరంగా లేదు.	ಇಂದ ದೂರ; ಇಂದ	ಶಾಲೆ ಮನೆಯಿಂದ ದೂರವಿಲ್ಲ.	നിന്ന് അകലെയുള്ള; നിന്ന്	സ്കൂൾ വീട്ടിൽ നിന്ന് ദൂരെയല്ല.
两	రెండు	నాకు ఇద్దరు పిల్లలు ఉన్నారు.	ಎರಡು	ನನಗೆ ಇಬ್ಬರು ಮಕ್ಕಳು ಇದ್ದಾರೆ.	രണ്ട്	എനിക്ക് രണ്ട് കുട്ടികളുണ്ട്.
路	రహదారి; దారి	ఈ రహదారి పొడవుగా ఉంది.	ರಸ್ತೆ; ದಾರಿ	ಈ ರಸ್ತೆ ಉದ್ದವಾಗಿದೆ.	വഴി; റോഡ്	ഈ വഴി നീളമുള്ളതാണ്.
旅游	ప్రయాణించడం; విహారం	నేను చైనాకు విహారయాత్రకు వెళ్లాలని కోరుకుంటున్నాను.	ಪ್ರಯಾಣಿಸುವುದು; ಪ್ರವಾಸ	ನಾನು ಚೀನಾಗೆ ಪ್ರವಾಸಕ್ಕೆ ಹೋಗಲು ಬಯಸುತ್ತೇನೆ.	സഞ്ചരിക്കുക; യാത്ര	എനിക്ക് ചൈനയിലേക്ക് യാത്ര പോകണം.
卖	అమ్మడం	ఈ దుకాణం ఆపిళ్లు అమ్ముతుంది.	ಮಾರುವುದು	ಈ ಅಂಗಡಿ ಸೇಬುಗಳನ್ನು ಮಾರುತ್ತದೆ.	വിൽക്കുക	ഈ കട ആപ്പിളുകൾ വിൽക്കുന്നു.
慢	నెమ్మదైన; నెమ్మదిగా	దయచేసి కొంచెం నెమ్మదిగా వెళ్లండి.	ನಿಧಾನವಾದ; ನಿಧಾನವಾಗಿ	ದಯವಿಟ್ಟು ಸ್ವಲ್ಪ ನಿಧಾನವಾಗಿ ಹೋಗಿ.	മന്ദം; പതുക്കെ	ദയവായി കുറച്ച് പതുക്കെ പോകൂ.
忙	బిజీగా ఉన్న	ఈ రోజు నేను బిజీగా ఉన్నాను.	ಬ್ಯುಸಿ; ಕೆಲಸದಲ್ಲಿ ನಿರತ	ಇಂದು ನಾನು ಬ್ಯುಸಿಯಾಗಿದ್ದೇನೆ.	തിരക്കുള്ള	ഇന്ന് ഞാൻ തിരക്കിലാണ്.
每	ప్రతి	నేను ప్రతి రోజు చైనీస్ నేర్చుకుంటాను.	ಪ್ರತಿ	ನಾನು ಪ್ರತಿದಿನ ಚೈನೀಸ್ ಕಲಿಯುತ್ತೇನೆ.	ഓരോ; എല്ലാ	ഞാൻ ദിവസവും ചൈനീസ് പഠിക്കുന്നു.
妹妹	చెల్లి	నా చెల్లి టీవీ చూస్తోంది.	ತಂಗಿ	ನನ್ನ ತಂಗಿ ಟಿವಿ ನೋಡುತ್ತಿದ್ದಾಳೆ.	അനിയത്തി	എന്റെ അനിയത്തി ടിവി കാണുന്നു.
门	తలుపు; గేటు	తలుపు తెరచుకుంది.	ಬಾಗಿಲು; ಗೇಟು	ಬಾಗಿಲು ತೆರೆದಿತು.	വാതിൽ; ഗേറ്റ്	വാതിൽ തുറന്നു.
男人	పురుషుడు; మనిషి	ఈ పురుషుడు ఉపాధ్యాయుడు.	ಪುರುಷ; ಮನುಷ್ಯ	ಈ ಪುರುಷನು ಶಿಕ್ಷಕ.	പുരുഷൻ; മനുഷ്യൻ	ഈ പുരുഷൻ അധ്യാപകനാണ്.
您	మీరు	నమస్కారం.	ನೀವು	ನಮಸ್ಕಾರ.	താങ്കൾ	നമസ്കാരം.
牛奶	పాలు	నేను పాలు తాగుతాను.	ಹಾಲು	ನಾನು ಹಾಲು ಕುಡಿಯುತ್ತೇನೆ.	പാൽ	ഞാൻ പാൽ കുടിക്കുന്നു.
女人	స్త్రీ; మహిళ	ఆ మహిళ డాక్టర్.	ಮಹಿಳೆ; ಸ್ತ್ರೀ	ಆ ಮಹಿಳೆ ಡಾಕ್ಟರ್.	സ്ത്രീ; വനിത	ആ സ്ത്രീ ഡോക്ടറാണ്.
旁边	పక్కన; దగ్గర	పాఠశాల పక్కన ఒక దుకాణం ఉంది.	ಪಕ್ಕದಲ್ಲಿ; ಹತ್ತಿರ	ಶಾಲೆಯ ಪಕ್ಕದಲ್ಲಿ ಒಂದು ಅಂಗಡಿ ಇದೆ.	അടുത്ത്; വശത്ത്	സ്കൂളിന്റെ അടുത്ത് ഒരു കടയുണ്ട്.
跑步	పరుగెత్తడం	నేను ఉదయం పరుగెడతాను.	ಓಡುವುದು	ನಾನು ಬೆಳಿಗ್ಗೆ ಓಡುತ್ತೇನೆ.	ഓടുക	ഞാൻ രാവിലെ ഓടുന്നു.
便宜	చవకైన	ఈ ఆపిల్ చవకైనది.	ಅಗ್ಗದ	ಈ ಸೇಬು ಅಗ್ಗವಾಗಿದೆ.	വില കുറഞ്ഞ	ഈ ആപ്പിളിന് വില കുറവാണ്.
票	టికెట్	నేను టికెట్ కొంటాను.	ಟಿಕೆಟ್	ನಾನು ಟಿಕೆಟ್ ಖರೀದಿಸುತ್ತೇನೆ.	ടിക്കറ്റ്	ഞാൻ ടിക്കറ്റ് വാങ്ങുന്നു.
妻子	భార్య	నా భార్య ఉపాధ్యాయురాలు.	ಹೆಂಡತಿ; ಪತ್ನಿ	ನನ್ನ ಹೆಂಡತಿ ಶಿಕ್ಷಕಿ.	ഭാര്യ	എന്റെ ഭാര്യ അധ്യാപികയാണ്.
起床	లేవడం	నేను ఉదయం ఆరు గంటలకు లేస్తాను.	ಎದ್ದೇಳುವುದು	ನಾನು ಬೆಳಿಗ್ಗೆ ಆರು ಗಂಟೆಗೆ ಎದ್ದೇಳುತ್ತೇನೆ.	എഴുന്നേൽക്കുക	ഞാൻ രാവിലെ ആറുമണിക്ക് എഴുന്നേൽക്കുന്നു.
千	వెయ్యి	ఈ సైకిల్ ధర వెయ్యి యువాన్.	ಸಾವಿರ	ಈ ಸೈಕಲ್ ಬೆಲೆ ಸಾವಿರ ಯುವಾನ್.	ആയിരം	ഈ സൈക്കിളിന്റെ വില ആയിരം യുവാനാണ്.
晴	ఎండగా; స్పష్టంగా	ఈ రోజు ఎండగా ఉంది.	ಬಿಸಿಲು; ಸ್ಪಷ್ಟ	ಇಂದು ಬಿಸಿಲಾಗಿದೆ.	വെയിലുണ്ട്; തെളിഞ്ഞ	ഇന്ന് വെയിലാണ്.
去年	గత సంవత్సరం	గత సంవత్సరం నేను బీజింగ్‌లో ఉన్నాను.	ಕಳೆದ ವರ್ಷ	ಕಳೆದ ವರ್ಷ ನಾನು ಬೀಜಿಂಗ್‌ನಲ್ಲಿ ಇದ್ದೆ.	കഴിഞ്ഞ വർഷം	കഴിഞ്ഞ വർഷം ഞാൻ ബെയ്ജിംഗിലായിരുന്നു.
让	అనుమతించడం; చేయనివ్వడం	అమ్మ నాకు చదవడానికి అనుమతిస్తుంది.	ಅನುಮತಿಸುವುದು; ಮಾಡಲು ಬಿಡುವುದು	ಅಮ್ಮ ನನಗೆ ಓದಲು ಬಿಡುತ್ತಾರೆ.	അനുവദിക്കുക; ചെയ്യാൻ വിടുക	അമ്മ എന്നെ പഠിക്കാൻ അനുവദിക്കുന്നു.
上班	పనికి వెళ్లడం	నేను ఎనిమిది గంటలకు పనికి వెళ్తాను.	ಕೆಲಸಕ್ಕೆ ಹೋಗುವುದು	ನಾನು ಎಂಟು ಗಂಟೆಗೆ ಕೆಲಸಕ್ಕೆ ಹೋಗುತ್ತೇನೆ.	ജോലിക്ക് പോകുക	ഞാൻ എട്ട് മണിക്ക് ജോലിക്ക് പോകുന്നു.
