source_headword	ES-419	example_ES-419
strengthen	fortalecer	La nueva política fortalecerá la seguridad en línea.
strictly	estrictamente	Las entradas están estrictamente limitadas a dos por persona.
striking	llamativo	La pintura tiene colores llamativos.
stroke	el trazo	Ella pintó un trazo en el papel.
stunning	deslumbrante	La vista de la montaña era deslumbrante.
subsequent	posterior	La reunión posterior confirmó el presupuesto.
subsequently	posteriormente	El camino cerró; posteriormente, el tráfico avanzó lentamente.
suburb	el suburbio	Viven en un suburbio tranquilo.
suffering	el sufrimiento	La medicina redujo su sufrimiento.
sufficient	suficiente	El equipo tiene tiempo suficiente.
sufficiently	suficientemente	La habitación está suficientemente cálida.
super	súper	La nueva tableta es súper rápida.
surgeon	el cirujano	El cirujano reparó la rodilla dañada.
survival	la supervivencia	El agua limpia es esencial para la supervivencia.
survivor	el sobreviviente	El sobreviviente describió la inundación.
suspend	suspender	La escuela puede suspender el viaje.
sustainable	sostenible	La granja usa métodos sostenibles.
swallow	tragar	Trague la pastilla con agua.
sympathetic	comprensivo	El gerente fue comprensivo con su problema.
tackle	abordar	Necesitamos abordar el problema de la vivienda.
tag	la etiqueta	La bolsa tenía una etiqueta de precio.
tap	el grifo	Ella cerró el grifo.
technological	tecnológico	El cambio tecnológico afecta a todo lugar de trabajo.
teens	los adolescentes	Muchos adolescentes usan las redes sociales a diario.
temple	el templo	El templo estaba cerca del río.
temporarily	temporalmente	La oficina está temporalmente cerrada.
tendency	la tendencia	Él tiene la tendencia de llegar tarde.
tension	la tensión	La tensión subió durante la discusión.
terms	los términos	Los términos del contrato eran claros.
terribly	terriblemente	El niño estaba terriblemente molesto.
terrify	aterrorizar	Los ruidos fuertes aterrorizan al perro.
territory	el territorio	El mapa muestra el nuevo territorio.
terror	el terror	El terror se extendió después del ataque.
terrorism	el terrorismo	El terrorismo amenaza la seguridad pública.
terrorist	el terrorista	La policía arrestó al terrorista ayer.
testing	la prueba	La prueba del producto comienza el lunes.
textbook	el libro de texto	Ella olvidó su libro de texto de biología.
theft	el robo	El robo aumentó en el área.
therapist	el terapeuta	El terapeuta lo ayudó a manejar la ansiedad.
thesis	la tesis	Su tesis examina el aprendizaje en línea.
thorough	exhaustivo	Una revisión exhaustiva no encontró errores.
thoroughly	a fondo	Limpie la herida a fondo.
thumb	el pulgar	Él levantó el pulgar para señalar aprobación.
timing	el momento oportuno	El momento oportuno de la llamada fue perfecto.
tissue	el pañuelo de papel	Ella limpió el vaso con un pañuelo de papel.
ton	la tonelada	El camión llevaba una tonelada de arena.
tonne	la tonelada	El envío pesaba una tonelada.
tournament	el torneo	El torneo de tenis comienza mañana.
trace	rastrear	Los científicos pueden rastrear la fuente del virus.
trading	el comercio	El comercio de acciones se detuvo al mediodía.
tragedy	la tragedia	El accidente fue una tragedia terrible.
tragic	trágico	El choque tuvo consecuencias trágicas.
trait	el rasgo	La paciencia es un rasgo útil.
transmit	transmitir	Los mosquitos pueden transmitir enfermedades.
transportation	el transporte	El transporte público está lleno hoy.
trap	atrapar	La caja puede atrapar insectos de manera segura.
treasure	el tesoro	El viejo cofre tenía un tesoro.
tribe	la tribu	La tribu protegió sus tradiciones.
trigger	activar	El humo puede activar la alarma.
trillion	el billón	La deuda alcanzó un billón de dólares.
troop	la tropa	La tropa se movió hacia la frontera.
tsunami	el tsunami	El tsunami destruyó las casas costeras.
ultimate	final	El objetivo final es la paz.
unacceptable	inaceptable	El retraso fue inaceptable para los pasajeros.
uncertainty	la incertidumbre	La incertidumbre puso nerviosos a los inversores.
undergo	someterse a	El paciente se someterá a cirugía mañana.
undertake	realizar	El equipo realizará una encuesta.
unfold	desarrollarse	El drama comenzó a desarrollarse lentamente.
unfortunate	desafortunado	El error fue desafortunado pero reparable.
unite	unir	Los líderes intentaron unir al partido.
unity	la unidad	El discurso pidió la unidad nacional.
universal	universal	La aplicación utiliza un diseño universal.
urgent	urgente	El hospital recibió una llamada urgente.
usage	el uso	La guía explica el uso correcto.
useless	inútil	El cargador roto es inútil.
valid	válido	Tu pasaporte todavía es válido.
variation	la variación	Hay una gran variación en los precios.
vertical	vertical	El gráfico tiene un eje vertical.
viewpoint	el punto de vista	Su punto de vista cambió después del debate.
visa	la visa	Él solicitó una visa de estudiante.
visible	visible	El letrero es visible desde aquí.
voluntary	voluntario	El curso incluye talleres voluntarios.
voting	la votación	La votación anticipada comienza la próxima semana.
wander	deambular	Los turistas deambulan por el mercado antiguo.
warming	el calentamiento	El calentamiento global afecta los niveles del mar.
weekly	semanal	El equipo tiene una reunión semanal.
weird	raro	El ruido sonaba raro.
welfare	el bienestar	El programa apoya el bienestar infantil.
wheat	el trigo	El granjero cultiva trigo.
whoever	quienquiera	Quienquiera que llegue primero debe esperar afuera.
widespread	generalizado	La tormenta causó un daño generalizado.
wisdom	la sabiduría	Su abuela compartió sabiduría práctica.
withdraw	retirar	Él decidió retirar su solicitud.
workforce	la fuerza laboral	La fuerza laboral necesita nuevas habilidades.
workplace	el lugar de trabajo	El lugar de trabajo tiene reglas de seguridad claras.
workshop	el taller	El taller comienza a las diez.
worm	el gusano	Una lombriz se movió por la tierra.
wrist	la muñeca	Ella se lastimó la muñeca.
