source_headword	SI	example_SI
absorb	උරාගන්නවා	තුවාය ඉක්මනින් ජලය උරා ගනී.
abstract	වියුක්ත	දේශනයේදී වියුක්ත අදහස් සාකච්ඡා කෙරිණි.
accent	උච්චාරණය	ඇගේ උච්චාරණය තේරුම් ගැනීමට පහසුය.
accidentally	අහම්බෙන්	මම අත්වැරදීමකින් ගොනුව මකා දැමුවෙමි.
accommodate	ඉඩ සලසනවා	හෝටලයට විශාල පවුල් සඳහා නවාතැන් ලබා දිය හැකිය.
accomplish	ඉටු කරනවා	ඇය ජූනි මාසයට පෙර ඇගේ ඉලක්කය ඉටු කළාය.
accountant	ගණකාධිකාරී	ගණකාධිකාරීවරයා ඉන්වොයිසිය පරීක්ෂා කළේය.
accuracy	නිරවද්‍යතාව	මෙම පරීක්ෂණයෙන් කියවීමේ නිරවද්‍යතාව මනිනු ලැබේ.
accurately	නිවැරදිව	සිතියම ගමන් මාර්ගය නිවැරදිව පෙන්වයි.
acid	අම්ලය	අම්ලය ලෝහ මතුපිටට හානි කළේය.
activate	සක්‍රිය කරනවා	අනතුරු ඇඟවීම සක්‍රිය කිරීමට බොත්තම ඔබන්න.
addiction	ඇබ්බැහි වීම	ඔහුගේ ඇබ්බැහි වීම ඔහුගේ රැකියාවට බලපෑවේය.
additionally	අතිරේකව	අතිරේකව, අපට තවත් පුටු අවශ්‍ය වේ.
adequate	ප්‍රමාණවත්	කාමරයේ ප්‍රමාණවත් ආලෝකයක් ඇත.
adequately	ප්‍රමාණවත් ලෙස	වාර්තාව මගින් ගැටලුව ප්‍රමාණවත් ලෙස පැහැදිලි කරන ලදී.
adjust	සකස් කරනවා	රිය පැදවීමට පෙර අසුන සකස් කරන්න.
affordable	දැරිය හැකි	මහල් නිවාසය සිසුන්ට දැරිය හැකි මිලකට ඇත.
agriculture	කෘෂිකර්මය	කෘෂිකර්මාන්තය බොහෝ ග්‍රාමීය පවුල් සඳහා සහාය වේ.
AIDS	ඒඩ්ස්	වෛද්‍යවරු නවීන ඖෂධ මගින් ඒඩ්ස් රෝගයට ප්‍රතිකාර කරති.
alien	පිටසක්වල	චිත්‍රපටයෙන් පිටසක්වල ග්‍රහලෝකයක් පෙන්වයි.
alongside	පසෙකින්	බයිසිකල් මාර්ගය ගඟ අසබඩින් දිවෙයි.
altogether	සම්පූර්ණයෙන්ම	සම්පූර්ණයෙන්ම, ව්‍යාපෘතියට සති හයක් ගත විය.
ambulance	ගිලන් රථය	ගිලන් රථය මිනිත්තු කිහිපයක් ඇතුළත පැමිණියේය.
amusing	විනෝදජනක	කතාව විනෝදජනක සහ සැහැල්ලු එකක් විය.
analyst	විශ්ලේෂක	විශ්ලේෂකයා විකුණුම් දත්ත සමාලෝචනය කළේය.
ancestor	මුතුන්මිත්තන්	මගේ මුතුන්මිත්තා මේ ගම අසල ජීවත් විය.
animation	සජීවිකරණය	සජීවිකරණය මගින් පාඩම වඩාත් පැහැදිලි විය.
annually	වාර්ෂිකව	උත්සවය වාර්ෂිකව පවත්වනු ලැබේ.
anticipate	අපේක්ෂා කරනවා	අපි හෙට අධික වාහන තදබදයක් අපේක්ෂා කරමු.
anxiety	කාංසාව	කාංසාව නිසා නින්ද අපහසු විය හැකිය.
apology	සමාව ඉල්ලීම	ඇය අවංක සමාව ගැන්මක් ඉදිරිපත් කළාය.
applicant	අයදුම්කරු	අයදුම්කරු නව ජීව දත්ත පත්‍රිකාවක් යැවීය.
appropriately	සුදුසු පරිදි	කරුණාකර සම්මුඛ පරීක්ෂණය සඳහා සුදුසු පරිදි ඇඳුම් අඳින්න.
arrow	ඊතලය	ඊතලයෙන් පිටවීම පෙන්වයි.
artwork	කලාකෘතිය	කෞතුකාගාරයේ දේශීය කලාකෘති ප්‍රදර්ශනය කෙරිණි.
aside	පසෙකට	ඔහුට යෑමට ඉඩ දීම සඳහා ඇය පසෙකට වූවාය.
asset	වත්කම	පළපුරුද්ද වටිනා වත්කමකි.
assign	පවරනවා	ගුරුවරයා අද ගෙදර වැඩ පැවරුවේය.
assistance	සහාය	කරුණාකර සහාය සඳහා කාර්ය මණ්ඩලයෙන් විමසන්න.
assumption	උපකල්පනය	එම උපකල්පනය වැරදි විය හැකිය.
assure	සහතික කරනවා	දොර අගුලු දමා ඇති බව මම ඔබට සහතික වෙමි.
astonishing	පුදුම සහගත	කඳු මුදුනේ සිට දර්ශනය විශ්මයජනක විය.
attachment	ඇමුණුම	විද්‍යුත් තැපෑලෙහි ඇමුණුමක් අඩංගු වේ.
auction	වෙන්දේසිය	සිතුවම වෙන්දේසියේදී අලෙවි විය.
audio	ශ්‍රව්‍ය	ශ්‍රව්‍ය පටිගත කිරීම පැහැදිලිව ඇසේ.
automatic	ස්වයංක්‍රීය	දොරෙහි ස්වයංක්‍රීය අගුලක් ඇත.
automatically	ස්වයංක්‍රීයව	විදුලි පහන් ස්වයංක්‍රීයව දැල්වේ.
