source_headword	LO	example_LO
rock (music)	ດົນຕີຣັອກ	ຂ້ອຍຮັກດົນຕີຣັອກ.
role	ບົດບາດ	ບົດບາດຂອງນາງສຳຄັນ.
roof	ຫຼັງຄາ	ຫຼັງຄາຕ້ອງການການສ້ອມແປງ.
round	ກົມ	ໂຕະນີ້ກົມ.
route	ເສັ້ນທາງ	ເສັ້ນທາງນີ້ສັ້ນກວ່າ.
rubbish	ຂີ້ເຫຍື້ອ	ເອົາຂີ້ເຫຍື້ອໄວ້ຂ້າງນອກ.
rude	ບໍ່ສຸພາບ	ຄຳເຫັນນັ້ນບໍ່ສຸພາບ.
runner	ນັກແລ່ນ	ນັກແລ່ນເບິ່ງເມື່ອຍ.
running	ການແລ່ນ	ການແລ່ນຊ່ວຍໃຫ້ຂ້ອຍແຂງແຮງ.
sadly	ຢ່າງເສຍໃຈ	ຢ່າງເສຍໃຈພວກເຮົາພາດລົດໄຟ.
safe	ປອດໄພ	ຖະໜົນນີ້ຮູ້ສຶກປອດໄພ.
sail	ແລ່ນເຮືອໃບ	ພວກເຮົາແລ່ນເຮືອໃບໃນວັນເສົາ.
sailing	ການແລ່ນເຮືອໃບ	ການແລ່ນເຮືອໃບນິຍົມຢູ່ທີ່ນີ້.
salary	ເງິນເດືອນ	ເງິນເດືອນຂອງລາວສູງຂຶ້ນແລ້ວ.
sale	ການຂາຍຫຼຸດລາຄາ	ການຂາຍຫຼຸດລາຄາເລີ່ມມື້ອື່ນ.
sauce	ນ້ຳຊອດ	ເພີ່ມນ້ຳຊອດໃສ່ເຂົ້າ.
save	ບັນທຶກ	ບັນທຶກວຽກຂອງເຈົ້າຕອນນີ້.
scared	ຢ້ານ	ເດັກນ້ອຍຮູ້ສຶກຢ້ານ.
scary	ໜ້າຢ້ານ	ເລື່ອງນີ້ໜ້າຢ້ານ.
scene	ສາກ	ສາກສຸດທ້າຍຕະຫຼົກ.
schedule	ຕາຕະລາງ	ກວດຕາຕະລາງມື້ນີ້.
score	ຄະແນນ	ຄະແນນເທົ່າໃດ?
screen	ຈໍ	ທຳຄວາມສະອາດຈໍຢ່າງລະມັດລະວັງ.
search	ຄົ້ນຫາ	ຄົ້ນຫາຮູບພາບໃນເວັບ.
season	ລະດູ	ລະດູຮ້ອນເປັນລະດູທີ່ຫຍຸ້ງ.
