source_headword	FR	example_FR
heal	guérir	Le repos aide le corps à guérir.
healthcare	les soins de santé	Le coût des soins de santé a augmenté cette année.
helmet	le casque	Portez un casque sur le vélo.
hence	par conséquent	Par conséquent, nous avons modifié l'emploi du temps.
herb	l'herbe	Le basilic est une herbe utile.
hidden	caché	La clé était cachée sous le paillasson.
highway	l'autoroute	L'autoroute a été fermée après la neige.
hilarious	hilarant	Le film était hilarant.
hip	la hanche	Elle s'est blessée à la hanche pendant l'entraînement.
historian	l'historien	L'historien a étudié de vieilles lettres.
homeless	sans-abri	Le refuge aide les familles sans-abri.
honesty	l'honnêteté	L'honnêteté renforce la confiance.
hook	le crochet	Accrochez le manteau sur le crochet.
hopefully	espérons	Espérons que le train arrivera bientôt.
hunger	la faim	La faim peut affecter la concentration.
hypothesis	l'hypothèse	L'expérience a testé l'hypothèse.
icon	l'icône	L'icône de l'application a changé aujourd'hui.
ID	la pièce d'identité	Montrez votre pièce d'identité à la réception.
identical	identique	Les jumeaux portaient des vestes identiques.
illusion	l'illusion	Le miroir crée une illusion.
immigration	l'immigration	La politique d'immigration a changé l'année dernière.
immune	immunisé	La vaccination peut rendre les gens immunisés.
implement	mettre en œuvre	L'école va mettre en œuvre la politique.
implication	l'implication	L'implication était claire.
incentive	la motivation	La prime a donné une motivation aux travailleurs.
incorporate	incorporer	Incorporez plus de légumes dans vos repas.
incorrect	incorrect	La réponse était incorrecte.
independence	l'indépendance	Le pays a célébré son indépendance.
index	l'index	Vérifiez l'index pour trouver le sujet.
indication	l'indication	Le sourire était une indication de soulagement.
inevitable	inévitable	Un certain retard était inévitable.
inevitably	inévitablement	Inévitablement, les prix ont augmenté après les pénuries.
infer	déduire	Nous pouvons déduire la réponse grâce au contexte.
inflation	l'inflation	L'inflation a fait augmenter les prix des aliments.
info	les infos	Le site web contient des infos utiles.
infrastructure	l'infrastructure	La tempête a endommagé l'infrastructure locale.
inhabitant	l'habitant	Chaque habitant a reçu de l'eau propre.
inherit	hériter	Elle héritera de la maison familiale.
ink	l'encre	L'imprimante a besoin d'encre noire.
innovation	l'innovation	L'innovation fait avancer l'industrie.
innovative	innovant	L'entreprise a lancé un produit innovant.
input	l'avis	Le directeur a demandé des avis.
insert	insérer	Insérez la carte dans la machine.
inspector	l'inspecteur	L'inspecteur a vérifié le bâtiment.
installation	l'installation	L'installation a pris deux heures.
instant	instantané	L'application a envoyé une réponse instantanée.
instantly	instantanément	L'écran s'est allumé instantanément.
integrate	intégrer	Le logiciel peut intégrer de nouveaux outils.
intellectual	intellectuel	Le débat était intellectuel mais amical.
interact	interagir	Les étudiants interagissent pendant le travail de groupe.
interaction	l'interaction	L'interaction était polie.
interpretation	l'interprétation	Son interprétation du poème était originale.
interval	l'entracte	Il y a eu un court entracte entre les actes.
invade	envahir	L'armée a essayé d'envahir l'île.
invasion	l'invasion	L'invasion a endommagé de nombreuses villes.
investor	l'investisseur	L'investisseur a financé une nouvelle startup.
isolate	isoler	Les médecins isolent les patients atteints d'infections graves.
isolated	isolé	Le village était isolé par la neige.
jail	la prison	Le voleur est allé en prison.
jet	l'avion à réaction	L'avion à réaction a atterri à midi.
joint	commun	Ils ont annoncé un projet commun.
journalism	le journalisme	Le journalisme exige des faits précis.
jury	le jury	Le jury a pris une décision.
kit	le kit	Le kit de réparation comprend des vis.
ladder	l'échelle	L'échelle était appuyée contre le mur.
landing	l'atterrissage	L'avion a fait un atterrissage en douceur.
lane	la voie	Restez sur la voie de droite.
lately	dernièrement	J'ai mal dormi dernièrement.
leaflet	le dépliant	Le dépliant explique le service.
legend	la légende	La légende parle d'une ville cachée.
lens	l'objectif	Nettoyez soigneusement l'objectif de l'appareil photo.
lifetime	la vie	Il a économisé de l'argent toute sa vie.
lighting	l'éclairage	Un bon éclairage améliore la pièce.
likewise	de même	Elle a souri ; il a fait de même.
limitation	la limitation	Le plan a une limitation.
literally	littéralement	Elle a littéralement couru vers le bus.
literary	littéraire	Le festival honore l'œuvre littéraire.
litre	le litre	Achète un litre de lait.
litter	les déchets	Ne jetez pas de déchets.
logo	le logo	Le logo apparaît sur chaque page.
lottery	la loterie	Il a gagné un petit prix à la loterie.
loyal	fidèle	Le chien était fidèle à son maître.
lyric	les paroles	Le texte répétait l'idée principale.
magnificent	magnifique	Le palais avait l'air magnifique.
make-up	le maquillage	Elle portait un maquillage simple.
making	la réalisation	La réalisation du film a été difficile.
manufacture	fabriquer	L'usine fabriquera des téléphones.
manufacturing	l'industrie manufacturière	Les emplois dans l'industrie manufacturière ont augmenté localement.
marathon	le marathon	Elle a terminé le marathon.
margin	la marge	Écrivez des notes dans la marge.
marker	le marqueur	Utilisez un marqueur pour l'étiquette.
martial	martial	Il étudie les arts martiaux.
mate	le copain	Mon ancien copain d'école a appelé hier.
mayor	le maire	Le maire a ouvert la bibliothèque.
mechanic	le mécanicien	Le mécanicien a réparé le bus.
mechanical	mécanique	L'horloge a un défaut mécanique.
mechanism	le mécanisme	Le mécanisme de la serrure est simple.
medal	la médaille	Elle a remporté une médaille d'or.
medication	le médicament	Prenez le médicament avec de l'eau.
membership	l'abonnement	L'abonnement à la salle de sport coûte moins cher en ligne.
memorable	mémorable	Le voyage a été mémorable.
metaphor	la métaphore	Le poème utilise une métaphore forte.
miner	le mineur	Le mineur travaillait sous terre.
miserable	misérable	La pluie a rendu le pique-nique misérable.
mode	le mode	Mettez l'appareil photo en mode nuit.
modest	modeste	Ils vivent dans une maison modeste.
monster	le monstre	L'histoire comporte un monstre effrayant.
monthly	mensuel	Nous payons le loyer mensuellement.
monument	le monument	Le monument se trouve près de la rivière.
moreover	de plus	De plus, le plan permet d'économiser de l'argent.
mortgage	l'hypothèque	Ils ont demandé une hypothèque.
mosque	la mosquée	La mosquée est près du marché.
motion	le mouvement	Le capteur détecte le mouvement.
motivate	motiver	Les compliments peuvent motiver les élèves.
motivation	la motivation	Sa motivation est restée forte.
moving	émouvant	Le discours était émouvant.
myth	le mythe	Le mythe explique le nom de la montagne.
naked	nu	Le bébé était nu après le bain.
nasty	vilain	La coupure avait l'air vilaine.
navigation	la navigation	L'application améliore la navigation.
nearby	proche	Un café proche ouvre tôt.
necessity	la nécessité	L'eau potable est une nécessité.
negotiate	négocier	Ils négocient le contrat demain.
negotiation	la négociation	La négociation a duré toute la matinée.
neutral	neutre	Le juge est resté neutre.
newly	nouvellement	La porte nouvellement peinte semblait brillante.
norm	la norme	Le travail à distance est devenu la norme.
notebook	le cahier	Écris des notes dans ton cahier.
novelist	le romancier	La romancière a signé son livre.
nowadays	de nos jours	De nos jours, beaucoup de gens travaillent en ligne.
nursing	les soins infirmiers	Elle étudie les soins infirmiers.
nutrition	la nutrition	Une bonne nutrition favorise la santé.
obesity	l'obésité	L'obésité augmente les risques pour la santé.
observer	l'observateur	L'observateur a enregistré les résultats.
obstacle	l'obstacle	L'arbre tombé était un obstacle.
occupation	la profession	Veuillez écrire votre profession ici.
occupy	occuper	La famille occupera l'appartement.
offender	le délinquant	Le délinquant s'est excusé au tribunal.
ongoing	en cours	L'enquête est en cours.
