source_headword	PT-BR	example_PT-BR
absolutely	absolutamente	Concordo totalmente com você.
academic	acadêmico	O ano acadêmico começa em setembro.
access	o acesso	Os alunos precisam de acesso à biblioteca.
accommodation	a hospedagem	Reservamos hospedagem perto da estação.
account	a conta	Ela abriu uma nova conta bancária.
achievement	a conquista	Terminar o curso foi uma grande conquista.
ad	o anúncio	O anúncio mostrava um telefone novo.
addition	a adição	A piscina é uma adição útil.
admire	admirar	Admiro a sua atitude calma.
admit	admitir	Ele admitiu o seu erro.
advanced	avançado	Este é um curso de inglês avançado.
advise	aconselhar	Os médicos aconselham exercício regular.
afford	poder pagar	Não podemos pagar um táxi.
aged	com idade de	O curso é para crianças com dez anos.
agent	o agente de viagens	O agente de viagens mudou nossas passagens.
agreement	o acordo	Eles chegaram a um acordo hoje.
ahead	à frente	A estrada à frente está livre.
aim	ter como objetivo	Temos como objetivo acabar em breve.
alarm	o alarme	O alarme tocou às seis.
album	o álbum	Este álbum tem dez canções.
alcohol	o álcool	O hotel não serve álcool.
alcoholic	alcoólico	Esta bebida não é alcoólica.
amazed	espantado	Ela ficou espantada com o resultado.
ambition	a ambição	A ambição dele é tornar-se piloto.
ambitious	ambicioso	Ela tem um plano ambicioso.
analyse	analisar	Precisamos de analisar os resultados.
analysis	a análise	A análise dela foi clara e cuidadosa.
announce	anunciar	Eles vão anunciar o vencedor amanhã.
announcement	o anúncio	O anúncio surpreendeu todo mundo.
annoy	incomodar	A música alta pode incomodar os vizinhos.
annoyed	aborrecido	Ele parecia aborrecido depois do atraso.
annoying	irritante	Aquele som é mesmo irritante.
apart	afastado	As casas ficam separadas por dois metros.
apologize	pedir desculpa	Peço desculpa pelo atraso.
application	a inscrição	Preencha a inscrição online.
appointment	a consulta	Tenho uma consulta no dentista amanhã.
appreciate	valorizar	Valorizo sua ajuda.
approximately	aproximadamente	A caminhada demora aproximadamente vinte minutos.
arrest	prender	A polícia prendeu o motorista.
arrival	a chegada	A nossa chegada foi mais tarde do que esperado.
assignment	o trabalho	O trabalho é para sexta-feira.
assist	auxiliar	Os enfermeiros auxiliam o médico.
atmosphere	o ambiente	O café tem um ambiente descontraído.
attach	anexar	Anexe o arquivo ao seu email.
attitude	a atitude	A atitude dela mudou depois da reunião.
attract	atrair	As flores brilhantes atraem abelhas.
attraction	a atração	O castelo é uma atração popular.
authority	a autoridade	A autoridade local reparou a estrada.
aware	consciente	Ela está consciente do risco.
backwards	para trás	Ele andou para trás com cuidado.
bake	cozer	Cozo pão todos os domingos.
balance	o equilíbrio	Bons sapatos ajudam seu equilíbrio.
ban	proibir	A cidade vai proibir carros.
bank (river)	a margem	Sentámo-nos na margem do rio.
base	a base	A equipa voltou à base.
basic	básico	Todo mundo precisa de competências básicas de informática.
basis	a base	A confiança é a base da amizade.
battery	a bateria	A bateria do meu celular está fraca.
battle	a batalha	A batalha durou toda a noite.
beauty	a beleza	Admiramos a beleza das montanhas.
bee	a abelha	Uma abelha pousou na flor.
belief	a crença	Sua crença lhe deu coragem.
bell	a campainha	A campainha da escola tocou alto.
bend	dobrar	Dobra os joelhos quando levantares.
bite	morder	O cão pode morder estranhos.
block	bloquear	Uma árvore caída bloqueou a estrada.
bomb	a bomba	A bomba danificou vários edifícios.
border	a fronteira	Eles atravessaram a fronteira à noite.
bother	incomodar	Por favor, não incomode sua irmã.
branch	o ramo	Um ramo partiu-se na tempestade.
brand	a marca	Esta marca é popular entre estudantes.
brave	corajoso	O homem corajoso salvou a criança.
breath	a respiração	Respira fundo.
breathe	respirar	Não consigo respirar com este fumo.
breathing	a respiração	A respiração dela estava lenta.
bride	a noiva	A noiva usava um vestido branco.
bubble	a bolha	Uma bolha flutuou acima do copo.
bury	enterrar	Eles enterraram a caixa na areia.
calm	calmo	Mantém-te calmo durante o exame.
campaign	a campanha	A campanha angariou dinheiro para escolas.
campus	o campus	Os estudantes vivem perto do campus.
candidate	o candidato	Cada candidato respondeu a três perguntas.
cap	o boné	Ele usava um boné de basebol.
captain	o capitão	O capitão falou com a equipa.
careless	descuidado	Um erro descuidado custou-nos tempo.
category	a categoria	Escolhe a categoria correta.
ceiling	o teto	O teto foi pintado de branco.
celebration	a celebração	A celebração durou toda a noite.
central	central	O hotel tem uma localização central.
ceremony	a cerimónia	A cerimónia começou ao meio-dia.
chain	a corrente	Ela usava uma corrente de prata.
challenge	o desafio	Este projeto é um verdadeiro desafio.
champion	o campeão	O campeão agradeceu ao seu treinador.
channel	o canal	Muda de canal, por favor.
chapter	o capítulo	Lê o próximo capítulo esta noite.
charge	a taxa	Não há taxa para crianças.
cheat	fazer batota	Não faças batota no teste.
cheerful	alegre	Ela parecia alegre esta manhã.
chemical	químico	O cheiro químico era forte.
chest	o peito	O peito dele doeu depois de correr.
childhood	a infância	Lembro-me da casa da minha infância.
claim	afirmar	Eles afirmam que o produto é seguro.
clause	a oração	Esta oração muda o significado.
click	clicar	Clica no botão azul.
client	o cliente	O cliente pediu mais detalhes.
cloth	o pano	Limpa a mesa com este pano.
clue	a pista	A pista ajudou-nos a resolver isto.
coal	o carvão	O trem antigo usava carvão.
coin	a moeda	Ele encontrou uma moeda no chão.
collection	a coleção	A coleção de selos dela é grande.
coloured	colorido	Ela usava um cachecol colorido.
combine	combinar	Combina a farinha e a água.
commercial	o anúncio	A pausa para anúncios durou cinco minutos.
commit	comprometer-se	Temos de nos comprometer com o plano.
communication	a comunicação	Uma boa comunicação evita erros.
comparison	a comparação	Esta comparação é útil.
competitive	competitivo	O mercado é muito competitivo.
competitor	o concorrente	O nosso principal concorrente baixou os preços.
complaint	a queixa	Ela fez uma queixa sobre o barulho.
complex	complexo	As instruções são demasiado complexas.
concentrate	concentrar-se	Não consigo concentrar-me com música a tocar.
conclude	concluir	Concluímos a reunião agora.
conclusion	a conclusão	A conclusão dele pareceu razoável.
confident	confiante	Ela sentiu-se confiante antes da entrevista.
confirm	confirmar	Por favor, confirme seu endereço de email.
confuse	confundir	Estes dois nomes confundem-me.
confused	confuso	Senti-me confuso com o mapa.
connection	a ligação	A ligação à internet está lenta.
consequence	a consequência	Dormir pouco tem uma consequência.
consist	consistir	A refeição consiste em três pratos.
consume	consumir	Carros grandes consomem mais combustível.
consumer	o consumidor	O consumidor quer informação clara.
contact	contactar	Contacta-me depois do almoço.
container	o recipiente	Coloque a sopa em um recipiente.
content1	o conteúdo	O conteúdo do curso é útil.
continuous	contínuo	A máquina fazia um ruído contínuo.
contrast	o contraste	O contraste entre eles é claro.
convenient	conveniente	A estação é muito conveniente.
convince	convencer	Ela convenceu-o a tentar de novo.
costume	o fato	Ele usava um fato de pirata.
cottage	a casa de campo	Eles alugaram uma pequena casa de campo.
cotton	o algodão	Esta camisa é feita de algodão.
countryside	o campo	Caminhamos pelo campo.
court	o tribunal	O caso foi a tribunal.
covered	coberto	A mesa estava coberta de papéis.
cruel	cruel	Foi cruel rir.
cultural	cultural	O museu oferece eventos culturais.
currency	a moeda	A moeda local é o euro.
current	atual	A situação atual é difícil.
currently	atualmente	Ela está atualmente a estudar no estrangeiro.
curtain	a cortina	Fecha a cortina à noite.
custom	o costume	Este costume é muito antigo.
damage	o dano	A tempestade causou danos graves.
decade	a década	Eles viveram lá durante uma década.
decorate	decorar	Decoramos a sala juntos.
define	definir	Consegues definir este termo?
definite	definido	Precisamos de uma resposta definida.
definition	a definição	Escreva a definição no seu caderno.
deliver	entregar	Eles entregam comida na nossa casa.
departure	a partida	A hora de partida mudou.
despite	apesar de	Apesar da chuva, caminhamos.
destination	o destino	Paris era o destino final deles.
determine	determinar	Os testes determinam seu nível.
determined	determinado	Ela estava determinada a ter sucesso.
development	o desenvolvimento	O desenvolvimento da cidade foi rápido.
diagram	o diagrama	Desenha um diagrama simples.
diamond	o diamante	O anel tinha um pequeno diamante.
difficulty	a dificuldade	Ele teve dificuldade em abrir a porta.
directly	diretamente	Por favor, fala diretamente comigo.
dirt	a sujidade	Os sapatos dele estavam cobertos de sujidade.
disadvantage	a desvantagem	A longa viagem é uma desvantagem.
disappointed	desiludido	Ela ficou desiludida com o resultado.
disappointing	desiludente	O final foi desiludente.
discount	o desconto	Os estudantes recebem um desconto aqui.
dislike	não gostar	Não gosto de música muito alta.
divide	dividir	Divide o bolo em pedaços.
documentary	o documentário	Vimos um documentário sobre o espaço.
donate	doar	Muitas pessoas doam roupa velha.
doubt	a dúvida	Não tenho dúvidas sobre isso.
dressed	vestido	Ele estava vestido de preto.
drum	o tambor	O tambor soou pela sala.
