source_headword	UZ	example_UZ
strengthen	kuchaytirmoq	Yangi siyosat onlayn xavfsizlikni kuchaytiradi.
strictly	qat'iy	Chiptalar har bir kishi uchun qat'iy ravishda ikkita bilan cheklangan.
striking	e'tibor tortadigan	Kartinada e'tibor tortadigan ranglar bor.
stroke	chiziq	U qog'oz bo'ylab bir chiziq chizdi.
stunning	hayratlanarli	Tog' manzarasi hayratlanarli edi.
subsequent	keyingi	Keyingi uchrashuv byudjetni tasdiqladi.
subsequently	keyinchalik	Yo'l yopildi; keyinchalik, transport sekin harakatlandi.
suburb	shahar atrofi	Ular tinch shahar atrofida yashashadi.
suffering	azob	Dori uning azobini kamaytirdi.
sufficient	yetarli	Jamoada yetarli vaqt bor.
sufficiently	yetarlicha	Xona yetarlicha issiq.
super	super	Yangi planshet super tez.
surgeon	jarroh	Jarroh shikastlangan tizzani tikladi.
survival	omon qolish	Toza suv omon qolish uchun juda muhimdir.
survivor	omon qolgan shaxs	Omon qolgan shaxs suv toshqinini tasvirlab berdi.
suspend	to'xtatib turmoq	Maktab sayohatni to'xtatib turishi mumkin.
sustainable	barqaror	Ferma barqaror usullardan foydalanadi.
swallow	yutmoq	Tabletkani suv bilan yuting.
sympathetic	hamdard	Menejer uning muammosiga hamdard edi.
tackle	hal qilmoq	Biz uy-joy muammosini hal qilishimiz kerak.
tag	yorliq	Sumkada narx yorlig'i bor edi.
tap	jo'mrak	U jo'mrakni yopdi.
technological	texnologik	Texnologik o'zgarishlar har bir ish joyiga ta'sir qiladi.
teens	o'smirlar	Ko'pgina o'smirlar har kuni ijtimoiy tarmoqlardan foydalanadilar.
temple	ibodatxona	Ibodatxona daryo bo'yida joylashgan edi.
temporarily	vaqtincha	Ofis vaqtincha yopilgan.
tendency	moyillik	Uning kechikib kelishga moyilligi bor.
tension	keskinlik	Muhokama davomida keskinlik kuchaydi.
terms	shartlar	Shartnoma shartlari aniq edi.
terribly	juda	Bola juda xafa edi.
terrify	qo'rqitmoq	Qattiq shovqinlar itni qo'rqitadi.
territory	hudud	Xarita yangi hududni ko'rsatadi.
