simplified	NE	example_NE	SI	example_SI	TA	example_TA
吧	सुझाव सूचक कण; है न	जाऔँ।	යෝජනා පදය; නේද	අපි යමු.	பரிந்துரைத் துகள்; இல்லையா	நாம் போகலாம்.
白	सेतो	यो कपडा सेतो छ।	සුදු	මේ ඇඳුම සුදුයි.	வெள்ளை	இந்த ஆடை வெள்ளையாக இருக்கிறது.
百	एक सय	यो फोनको मूल्य एक सय युआन पर्छ।	සියය	මේ දුරකථනයේ මිල යුවාන් සියයකි.	நூறு	இந்த கைப்பேசியின் விலை நூறு யுவான்.
帮助	सहयोग गर्नु; मद्दत	कृपया मलाई सहयोग गर्नुहोस्।	උදව් කරනවා; උදව්ව	කරුණාකර මට උදව් කරන්න.	உதவுதல்; உதவி	தயவுசெய்து எனக்கு உதவுங்கள்.
报纸	पत्रिका; अखबार	बुबा पत्रिका पढ्नुहुन्छ।	පුවත්පත	තාත්තා පුවත්පත කියවනවා.	செய்தித்தாள்	அப்பா செய்தித்தாள் படிக்கிறார்.
比	भन्दा; तुलना गर्नु	आज हिजोभन्दा तातो छ।	වඩා; සසඳනවා	අද ඊයේට වඩා උණුසුම්.	விட; ஒப்பிடுதல்	இன்று நேற்றைவிட சூடாக இருக்கிறது.
别	नगर्नु; अर्को	नजाऊ।	එපා; වෙනත්	යන්න එපා.	வேண்டாம்; வேறு	போகாதே.
长	लामो	यो बाटो लामो छ।	දිග	මේ පාර දිගයි.	நீளமான	இந்த சாலை நீளமாக இருக்கிறது.
唱歌	गीत गाउनु	मेरी बहिनीलाई गीत गाउन मन पर्छ।	ගීත ගායනා කරනවා	මගේ නංගි ගීත ගායනා කරන්න කැමතියි.	பாடுதல்	என் தங்கைக்கு பாடுவது பிடிக்கும்.
出	बाहिर निस्कनु; निस्कनु	ऊ बाहिर गयो।	එළියට යනවා; පිටවෙනවා	ඔහු එළියට ගියා.	வெளியே செல்லுதல்; வெளிவருதல்	அவர் வெளியே சென்றார்.
穿	लगाउनु	म सेतो कपडा लगाउँछु।	අඳිනවා; පළඳිනවා	මම සුදු ඇඳුම් අඳිනවා.	அணிதல்	நான் வெள்ளை ஆடை அணிகிறேன்.
船	डुंगा; जहाज	डुंगा पानीमा छ।	බෝට්ටුව; නැව	බෝට්ටුව වතුර මත තියෙනවා.	படகு; கப்பல்	படகு தண்ணீரில் இருக்கிறது.
次	पटक	म एक पटक बेइजिङ गएको छु।	වරක්; සැරයක්	මම වරක් බෙයිජිංට ගොස් තිබෙනවා.	முறை	நான் ஒருமுறை பெய்ஜிங்குக்குச் சென்றிருக்கிறேன்.
从	बाट	म घरबाट स्कूल जान्छु।	සිට; වෙතින්	මම ගෙදර සිට පාසලට යනවා.	இருந்து	நான் வீட்டிலிருந்து பள்ளிக்குச் செல்கிறேன்.
错	गलत; गल्ती	तिमी गलत छौ।	වැරදි; වැරැද්ද	ඔයා වැරදියි.	தவறு	நீ தவறாக இருக்கிறாய்.
打篮球	बास्केटबल खेल्नु	मेरो दाइ बास्केटबल खेल्नुहुन्छ।	බාස්කට්බෝල් සෙල්ලම් කරනවා	මගේ අයියා බාස්කට්බෝල් සෙල්ලම් කරනවා.	கூடைப்பந்து விளையாடுதல்	என் அண்ணன் கூடைப்பந்து விளையாடுகிறார்.
大家	सबै जना	सबै जना आइसके।	හැමෝම	හැමෝම ඇවිත්.	எல்லோரும்	எல்லோரும் வந்துவிட்டார்கள்.
但是	तर; तर पनि	म व्यस्त छु, तर धेरै खुसी छु।	නමුත්; එහෙත්	මම කාර්යබහුලයි, නමුත් ගොඩක් සතුටුයි.	ஆனால்	நான் வேலைப்பளுவாக இருக்கிறேன், ஆனால் மிகவும் மகிழ்ச்சியாக இருக்கிறேன்.
到	पुग्नु	म स्कूलमा पुगेँ।	ළඟා වෙනවා	මම පාසලට ළඟා වුණා.	அடைவது; சேருதல்	நான் பள்ளியை அடைந்துவிட்டேன்.
得	स्तर पूरक कण	ऊ छिटो दौडन्छ।	මට්ටම් පූරක පදය	ඔහු ඉක්මනට දුවනවා.	அளவு நிரப்பு துகள்	அவர் வேகமாக ஓடுகிறார்.
等	पर्खनु	म तिमीलाई पर्खिरहेको छु।	බලාගෙන ඉන්නවා	මම ඔයාව බලාගෙන ඉන්නවා.	காத்திருத்தல்	நான் உனக்காக காத்திருக்கிறேன்.
弟弟	कान्छो भाइ	मेरो भाइ घरमा छ।	මල්ලි	මගේ මල්ලි ගෙදර ඉන්නවා.	தம்பி	என் தம்பி வீட்டில் இருக்கிறான்.
第一	पहिलो	ऊ पहिलो हो।	පළමු	ඔහු පළමුවැනියා.	முதல்	அவர் முதலிடத்தில் இருக்கிறார்.
懂	बुझ्नु	अब म बुझ्छु।	තේරෙනවා	දැන් මට තේරෙනවා.	புரிந்துகொள்ளுதல்	இப்போது எனக்கு புரிகிறது.
对	सही; तर्फ	तिमीले भनेको कुरा सही छ।	හරි; දෙසට	ඔයා කියපු දේ හරි.	சரி; நோக்கி	நீ சொன்னது சரி.
房间	कोठा	यो कोठा ठूलो छ।	කාමරය	මේ කාමරය ලොකුයි.	அறை	இந்த அறை பெரியது.
非常	धेरै; अत्यन्त	आज धेरै चिसो छ।	ඉතා; ගොඩක්	අද ගොඩක් සීතලයි.	மிகவும்	இன்று மிகவும் குளிராக இருக்கிறது.
服务员	वेटर; सेवाकर्मी	वेटर रेस्टुरेन्टमा छन्।	සේවකයා; වේටර්	වේටර් අවන්හලේ ඉන්නවා.	சேவையாளர்; பரிமாறுபவர்	பரிமாறுபவர் உணவகத்தில் இருக்கிறார்.
高	अग्लो; उच्च	ऊ अग्लो छ।	උස; ඉහළ	ඔහු උසයි.	உயரமான	அவர் உயரமாக இருக்கிறார்.
告诉	बताउनु	कृपया मलाई बताउनुहोस्।	කියනවා; දැනුම් දෙනවා	කරුණාකර මට කියන්න.	சொல்லுதல்; தெரிவித்தல்	தயவுசெய்து எனக்கு சொல்லுங்கள்.
哥哥	दाइ	मेरो दाइ काम गर्दै हुनुहुन्छ।	අයියා	මගේ අයියා වැඩ කරනවා.	அண்ணன்	என் அண்ணன் வேலை செய்கிறார்.
给	दिनु; लाई	म तिमीलाई एउटा किताब दिन्छु।	දෙනවා; වෙත	මම ඔයාට පොතක් දෙනවා.	கொடுத்தல்; க்கு	நான் உனக்கு ஒரு புத்தகம் தருகிறேன்.
公共汽车	बस	म बस चढेर काममा जान्छु।	බස් රථය	මම බස් එකෙන් වැඩට යනවා.	பேருந்து	நான் பேருந்தில் வேலைக்குச் செல்கிறேன்.
公斤	किलोग्राम	म एक किलोग्राम स्याउ किन्छु।	කිලෝග්‍රෑම්	මම ඇපල් කිලෝග්‍රෑම් එකක් මිලදී ගන්නවා.	கிலோகிராம்	நான் ஒரு கிலோகிராம் ஆப்பிள் வாங்குகிறேன்.
