source_headword	HY	example_HY
clothes	հագուստ	Իմ հագուստը մաքուր է։
club	ակումբ	Նա գնում է երաժշտական ակումբ։
coat	վերարկու	Իմ վերարկուն տաք է։
coffee	սուրճ	Առավոտյան սուրճ եմ խմում։
cold	սառը; մրսածություն	Ջուրը սառն է։
college	քոլեջ	Քույրս քոլեջում է սովորում։
colour	գույն	Իմ սիրելի գույնը կապույտն է։
come	գալ	Խնդրում եմ, այստեղ արի։
common	տարածված	Այս անունը տարածված է։
company	ընկերություն	Մայրս աշխատում է ընկերությունում։
compare	համեմատել	Համեմատիր այս երկու նկարները։
complete	ամբողջական; ավարտել	Ձևաթուղթը ամբողջական է։
computer	համակարգիչ	Այս համակարգիչը նոր է։
concert	համերգ	Այսօր համերգի ենք գնում։
conversation	զրույց	Մենք կարճ զրույց ունեցանք։
cook	եփել; խոհարար	Տանը ընթրիք եմ պատրաստում։
cooking	խոհարարություն	Ես սիրում եմ հայրիկիս հետ պատրաստել։
cool	զով; հրաշալի	Սենյակը զով է։
correct	ճիշտ	Քո պատասխանը ճիշտ է։
cost	արժեք; արժենալ	Սա որքան է արժե՞։
could modal	կարող էի	Ես կարող էի օգնել քեզ։
country	երկիր	Կանադան մեծ երկիր է։
course	դասընթաց	Ես անգլերենի դասընթաց եմ անցնում։
cousin	զարմիկ	Իմ զարմիկը մոտակայքում է ապրում։
cow	կով	Կովը խոտ է ուտում։
cream	սերուցք	Սուրճի մեջ սերուցք եմ լցնում։
create	ստեղծել	Նրանք նոր խաղ են ստեղծում։
culture	մշակույթ	Մենք սովորում ենք տեղական մշակույթի մասին։
cup	բաժակ	Այս բաժակը դատարկ է։
customer	հաճախորդ	Հաճախորդը հարց է տալիս։
cut	կտրել	Խնձորը կիսիր։
dad	հայրիկ	Հայրիկս աշխատանքի է։
dance	պար; պարել	Ընթրիքից հետո պարում ենք։
dancer	պարող	Պարողը արագ է շարժվում։
dancing	պար	Պարը հաճելի է։
dangerous	վտանգավոր	Այս ճանապարհը վտանգավոր է։
dark	մութ; մուգ	Սենյակը մութ է։
date	ամսաթիվ	Այսօր ի՞նչ ամսաթիվ է։
daughter	դուստր	Նրա դուստրը վեց տարեկան է։
day	օր	Լավ օր ունեցիր։
dear	սիրելի	Սիրելի ընկեր, շնորհակալություն։
December	դեկտեմբեր	Իմ ծննդյան օրը դեկտեմբերին է։
decide	որոշել	Խնդրում եմ, հիմա որոշիր։
delicious	համեղ	Այս ապուրը համեղ է։
describe	նկարագրել	Նկարագրիր քո սենյակը։
description	նկարագրություն	Կարդա կարճ նկարագրությունը։
design	դիզայն; նախագծել	Ես պարզ քարտ եմ նախագծում։
desk	գրասեղան	Գիրքը իմ գրասեղանի վրա է։
detail	մանրամասնություն	Մի մանրամասնություն պակասում է։
dialogue	երկխոսություն	Հիմա կարդա երկխոսությունը։
dictionary	բառարան	Դասարանում բառարան օգտագործիր։
die	մեռնել	Ծաղիկները առանց ջրի մեռնում են։
diet	սննդակարգ	Իմ սննդակարգում միրգ կա։
difference	տարբերություն	Մեկ տարբերություն կա։
different	տարբեր	Մենք տարբեր անուններ ունենք։
difficult	դժվար	Այս հարցը դժվար է։
dinner	ընթրիք	Ընթրիքը պատրաստ է։
dirty	կեղտոտ	Իմ կոշիկները կեղտոտ են։
discuss	քննարկել	Մենք քննարկում ենք ծրագիրը։
dish	ուտեստ	Այս ուտեստը տաք է։
do1	անել	Դու ի՞նչ ես անում։
doctor	բժիշկ	Բժիշկը զբաղված է։
dog	շուն	Շունը դրսում է վազում։
dollar	դոլար	Սա մեկ դոլար արժե։
door	դուռ	Խնդրում եմ, փակիր դուռը։
down	ներքև	Այստեղ նստիր։
downstairs	ներքևի հարկում	Խոհանոցը ներքևի հարկում է։
draw	նկարել	Փոքր տուն նկարիր։
dress	զգեստ	Նա կարմիր զգեստ է հագել։
drink	ըմպելիք; խմել	Ես ջուր եմ խմում։
drive	վարել	Ես մեքենայով գնում եմ աշխատանքի։
driver	վարորդ	Վարորդը այստեղ կանգնում է։
during	ընթացքում	Թռիչքի ընթացքում քնում եմ։
DVD	տեսասկավառակ	Այս տեսասկավառակը հին է։
each	յուրաքանչյուր	Յուրաքանչյուր երեխա գիրք ունի։
ear	ականջ	Ականջս ցավում է։
early	շուտ	Ես շուտ եմ արթնանում։
east	արևելք	Արևը արևելքում է ծագում։
easy	հեշտ	Այս թեստը հեշտ է։
eat	ուտել	Մենք միասին ճաշ ենք ուտում։
egg	ձու	Ես ձու եմ ուտում։
eight	ութ	Ես ութ քարտ ունեմ։
eighteen	տասնութ	Նա տասնութ տարեկան է։
eighty	ութսուն	Պապիկս ութսուն տարեկան է։
elephant	փիղ	Փիղը մեծ է։
eleven	տասնմեկ	Դասը սկսվում է տասնմեկին։
else	ուրիշ	Քեզ ուրիշ ի՞նչ է պետք։
email	էլփոստ	Ինձ էլփոստ ուղարկիր։
end	վերջ; ավարտել	Սա վերջն է։
enjoy	վայելել	Ես վայելում եմ այս երգը։
enough	բավական	Մենք բավական ժամանակ ունենք։
euro	եվրո	Սա մեկ եվրո արժե։
even	նույնիսկ	Նույնիսկ եղբայրս գիտի։
evening	երեկո	Այս երեկո հանդիպում ենք։
event	միջոցառում	Միջոցառումը այսօր է սկսվում։
ever	երբևէ	Դու երբևէ եփո՞ւմ ես։
every	ամեն	Ես ամեն օր սովորում եմ։
everybody	բոլորը	Բոլորը այստեղ են։
everyone	բոլորը	Բոլորը երաժշտություն են սիրում։
everything	ամեն ինչ	Ամեն ինչ պատրաստ է։
exam	քննություն	Քննությունը շուտով է սկսվում։
example	օրինակ	Սա լավ օրինակ է։
excited	ոգևորված	Այսօր ես ոգևորված եմ։
exciting	հետաքրքիր	Խաղը հետաքրքիր է։
exercise	վարժություն; մարզվել	Նախաճաշից առաջ մարզվում եմ։
expensive	թանկ	Այս վերարկուն թանկ է։
explain	բացատրել	Խնդրում եմ, բացատրիր այս բառը։
extra	լրացուցիչ	Ինձ լրացուցիչ ժամանակ է պետք։
eye	աչք	Աչքս կարմիր է։
face	դեմք	Լվա դեմքդ։
fact	փաստ	Այս փաստը կարևոր է։
fall	ընկնել; աշուն	Աշնանը տերևները ընկնում են։
false	սխալ	Այդ պատասխանը սխալ է։
family	ընտանիք	Իմ ընտանիքը փոքր է։
famous	հայտնի	Նա հայտնի երգչուհի է։
fantastic	հրաշալի	Համերգը հրաշալի էր։
far	հեռու	Դպրոցը հեռու է։
farm	ֆերմա	Նրանք ապրում են ֆերմայում։
farmer	ֆերմեր	Ֆերմերը սնունդ է աճեցնում։
fast	արագ	Այս գնացքը արագ է։
fat	գեր	Կատուն գեր է։
father	հայր	Հայրս բարձրահասակ է։
favourite	սիրելի	Սա իմ սիրելի երգն է։
February	փետրվար	Այստեղ փետրվարին ցուրտ է։
feel	զգալ	Ես ինձ երջանիկ եմ զգում։
feeling	զգացում	Ես գիտեմ այդ զգացումը։
festival	փառատոն	Փառատոնը վաղն է սկսվում։
few	մի քանի	Այստեղ մի քանի ուսանող կա։
fifteen	տասնհինգ	Ես տասնհինգ տարեկան եմ։
fifth	հինգերորդ	Սա հինգերորդ դասն է։
fifty	հիսուն	Մայրս հիսուն տարեկան է։
fill	լցնել; լրացնել	Բաժակը ջրով լցրու։
film	ֆիլմ	Մենք ֆիլմ ենք դիտում։
final	վերջին	Սա վերջին հարցն է։
find	գտնել	Ես գտնում եմ իմ բանալիները։
fine	լավ	Հիմա ինձ լավ եմ զգում։
finish	ավարտել	Ավարտիր տնային աշխատանքդ։
fire	կրակ	Կրակը տաք է։
first	առաջին	Նա շարքում առաջինն է։
fish	ձուկ	Ընթրիքին ձուկ եմ ուտում։
five	հինգ	Ես հինգ գիրք ունեմ։
flat	բնակարան	Իմ բնակարանը փոքր է։
flight	թռիչք	Թռիչքը ուշանում է։
floor	հատակ	Պայուսակը հատակին է։
flower	ծաղիկ	Այս ծաղիկը դեղին է։
fly	թռչել	Թռչունները երկնքում են թռչում։
follow	հետևել	Խնդրում եմ, հետևիր ինձ։
food	սնունդ	Սնունդը պատրաստ է։
foot	ոտք	Ոտքս ցավում է։
football	ֆուտբոլ	Այսօր ֆուտբոլ ենք խաղում։
for	համար	Այս նվերը քեզ համար է։
forget	մոռանալ	Մի մոռացիր բանալիներդ։
form	ձևաթուղթ	Լրացրու ձևաթուղթը։
forty	քառասուն	Հայրս քառասուն տարեկան է։
four	չորս	Ես չորս թռչուն եմ տեսնում։
fourteen	տասնչորս	Նա տասնչորս տարեկան է։
fourth	չորրորդ	Սա չորրորդ հարկն է։
free	անվճար; ազատ	Տոմսը անվճար է։
Friday	ուրբաթ	Ուրբաթ օրը հանդիպում ենք։
friend	ընկեր	Իմ ընկերը այստեղ է։
friendly	բարեհամբույր	Ուսուցիչը բարեհամբույր է։
from	-ից	Ես այստեղից եմ։
front	առջև	Կանգնիր առջևում։
fruit	միրգ	Ես ամեն օր միրգ եմ ուտում։
full	լիքը	Շիշը լիքն է։
fun	զվարճանք; զվարճալի	Այս խաղը զվարճալի է։
funny	ծիծաղելի	Ֆիլմը ծիծաղելի է։
future	ապագա	Մտածիր քո ապագայի մասին։
game	խաղ	Խաղը հիմա է սկսվում։
garden	այգի	Այգին գեղեցիկ է։
geography	աշխարհագրություն	Դպրոցում աշխարհագրություն եմ սովորում։
get	ստանալ; հասնել	Տուն եմ հասնում վեցին։
girl	աղջիկ	Աղջիկը ժպտում է։
girlfriend	ընկերուհի	Նրա ընկերուհին բարի է։
give	տալ	Գիրքը տուր ինձ։
glass	բաժակ	Բաժակից եմ խմում։
go	գնալ	Հիմա տուն ենք գնում։
good	լավ	Այս սուրճը լավն է։
goodbye	ցտեսություն	Ցտեսություն, վաղը կտեսնվենք։
grandfather	պապիկ	Պապիկս ծեր է։
grandmother	տատիկ	Տատիկս ապուր է պատրաստում։
grandparent	տատիկ կամ պապիկ	Մի տատիկ կամ պապիկ մեզ հետ է ապրում։
