source_headword	MY	example_MY
hunt	ရှာဖွေသည်	သူတို့ ဆောင်းဦးရာသီမှာ မှိုတွေကို ရှာဖွေကြတယ်။
hurricane	ဟာရီကိန်းမုန်တိုင်း	ဟာရီကိန်းမုန်တိုင်းက အိမ်အများအပြားကို ပျက်စီးစေတယ်။
hurry	အလောတကြီး	ဒီနေ့ အလောတကြီး မလိုဘူး။
identity	အမှတ်အသား	သူမရဲ့ အမှတ်အသားက လျှို့ဝှက်နေခဲ့တယ်။
ignore	လျစ်လျူရှုသည်	ဒီသတိပေးချက်ကို လျစ်လျူမရှုပါနှင့်။
illegal	တရားမဝင်သော	ဒီမှာ ကားရပ်တာ တရားမဝင်ဘူး။
imaginary	စိတ်ကူးယဉ်သော	ဇာတ်လမ်းထဲမှာ စိတ်ကူးယဉ်ကျွန်းတစ်ကျွန်း ပါတယ်။
immediate	ချက်ချင်းလိုသော	ကျွန်တော်တို့ ချက်ချင်းလိုတဲ့ အဖြေတစ်ခု လိုတယ်။
immigrant	ရွှေ့ပြောင်းနေထိုင်သူ	ရွှေ့ပြောင်းနေထိုင်သူက အင်္ဂလိပ်စာကို မြန်မြန် သင်ယူခဲ့တယ်။
impact	သက်ရောက်မှု	သတင်းက ပြင်းထန်တဲ့ သက်ရောက်မှု ရှိခဲ့တယ်။
import	တင်သွင်းသည်	နိုင်ငံက ဆန်ကို ပိုပြီး တင်သွင်းမယ်။
importance	အရေးကြီးမှု	သူမက အိပ်စက်ခြင်းရဲ့ အရေးကြီးမှုကို နားလည်ခဲ့တယ်။
impression	ထင်မြင်ချက်	သူရဲ့ ပထမဆုံး ထင်မြင်ချက်က ကောင်းခဲ့တယ်။
impressive	အထင်ကြီးဖွယ်သော	ပြတိုက်မှာ အထင်ကြီးဖွယ် ဝင်ပေါက် ရှိတယ်။
improvement	တိုးတက်မှု	ဒီလမှာ ရှင်းလင်းတဲ့ တိုးတက်မှု ရှိခဲ့တယ်။
incredibly	အလွန်အမင်း	စာမေးပွဲက အလွန်အမင်း ခက်ခဲခဲ့တယ်။
indeed	တကယ်ပဲ	အဲဒီနေ့က တကယ်ပဲ ထူးဆန်းတဲ့နေ့ ဖြစ်ခဲ့တယ်။
indicate	ညွှန်ပြသည်	ဆိုင်းဘုတ်က ထွက်ပေါက်ကို ညွှန်ပြမယ်။
indirect	သွယ်ဝိုက်သော	သူမက သွယ်ဝိုက်တဲ့ အဖြေတစ်ခု ပေးခဲ့တယ်။
indoor	အိမ်တွင်း	ဟိုတယ်မှာ အိမ်တွင်း ရေကူးကန် ရှိတယ်။
indoors	အိမ်ထဲမှာ	မုန်တိုင်းအတွင်းမှာ ကျွန်တော်တို့ အိမ်ထဲမှာ နေခဲ့ကြတယ်။
influence	လွှမ်းမိုးမှု	သူ့ဆရာက ပြင်းထန်တဲ့ လွှမ်းမိုးမှု ရှိခဲ့တယ်။
ingredient	ပါဝင်ပစ္စည်း	ဂျုံမှုန့်က အဓိက ပါဝင်ပစ္စည်း ဖြစ်တယ်။
injure	ဒဏ်ရာရစေသည်	သင့်ကျောကို ဒဏ်ရာမရစေနှင့်။
injured	ဒဏ်ရာရသော	ဒဏ်ရာရတဲ့ ကစားသမားက ကွင်းထဲက ထွက်သွားတယ်။
innocent	အပြစ်မရှိသော	ကလေးက လုံးဝ အပြစ်မရှိသလို မြင်ရတယ်။
intelligence	ဉာဏ်ရည်	သူမက အတန်းထဲမှာ ကြီးမားတဲ့ ဉာဏ်ရည်ကို ပြခဲ့တယ်။
intend	ရည်ရွယ်သည်	ကျွန်တော် နိုင်ငံခြားမှာ လေ့လာဖို့ ရည်ရွယ်တယ်။
intention	ရည်ရွယ်ချက်	သူ့ရဲ့ ရည်ရွယ်ချက်က ကူညီဖို့ ဖြစ်တယ်။
invest	ရင်းနှီးမြှုပ်နှံသည်	သူတို့ ပညာရေးမှာ ငွေ ရင်းနှီးမြှုပ်နှံကြတယ်။
investigate	စုံစမ်းစစ်ဆေးသည်	ရဲက မတော်တဆမှုကို စုံစမ်းစစ်ဆေးမယ်။
involved	ပါဝင်သော	ကျောင်းသားအများအပြား ပါဝင်ခဲ့တယ်။
iron	သံ	တံခါးက သံနဲ့ လုပ်ထားတာပါ။
issue	ပြဿနာ	ဒါက ကြီးမားတဲ့ ပြဿနာတစ်ခု ဖြစ်တယ်။
IT	အိုင်တီ	သူမ အိုင်တီမှာ အလုပ်လုပ်တယ်။
journal	နေ့စဉ်မှတ်တမ်း	သူက နေ့စဉ်မှတ်တမ်းထဲမှာ ရေးတယ်။
judge	တရားသူကြီး	တရားသူကြီးက ဂရုတစိုက် နားထောင်ခဲ့တယ်။
keen	စိတ်အားထက်သန်သော	သူမ သင်ယူဖို့ စိတ်အားထက်သန်တယ်။
keyboard	ကီးဘုတ်	ကျွန်တော့် ကီးဘုတ်က အလုပ်မလုပ်တော့ဘူး။
kick	ကန်သည်	ဘောလုံးကို ဖြည်းဖြည်း ကန်ပါ။
killing	သတ်ဖြတ်မှု	သတ်ဖြတ်မှုက ရွာကို အံ့အားသင့်စေခဲ့တယ်။
kind (caring)	ကြင်နာသော	အဲဒါက ကြင်နာတဲ့ လုပ်ရပ်တစ်ခု ဖြစ်တယ်။
kiss	နမ်းသည်	သူမက ကလေးကို နမ်းခဲ့တယ်။
label	တံဆိပ်	အသုံးမပြုမီ တံဆိပ်ကို ဖတ်ပါ။
laboratory	ဓာတ်ခွဲခန်း	ဓာတ်ခွဲခန်း ဒီနေ့ ပိတ်ထားတယ်။
lack	မလုံလောက်မှု	အိပ်ရေးမဝခြင်းက မှတ်ဉာဏ်ကို ထိခိုက်စေတယ်။
latest	နောက်ဆုံးသော	နောက်ဆုံး အစီရင်ခံစာကို သင် ဖတ်ပြီးပြီလား။
lay	ချထားသည်	စာအုပ်ကို စားပွဲပေါ်မှာ ချထားပါ။
layer	အလွှာ	ဆေးအလွှာ နောက်တစ်လွှာ ထပ်ပါ။
leading	ဦးဆောင်သော	သူမက ဦးဆောင်တဲ့ သိပ္ပံပညာရှင်တစ်ဦး ဖြစ်တယ်။
leaf	ရွက်	ရွက်တစ်ရွက်က ကျွန်တော့် အင်္ကျီပေါ် ပြုတ်ကျတယ်။
leather	သားရေ	သူ့အိတ်က သားရေနဲ့ လုပ်ထားတာပါ။
legal	ဥပဒေဆိုင်ရာ	ကျွန်တော်တို့ ဥပဒေဆိုင်ရာ အကြံဉာဏ် လိုတယ်။
leisure	အားလပ်ချိန်	စာဖတ်ခြင်းက ကျွန်တော့် အကြိုက်ဆုံး အားလပ်ချိန် လှုပ်ရှားမှု ဖြစ်တယ်။
length	အရှည်	အခန်းရဲ့ အရှည်ကို တိုင်းပါ။
lie2 (tell a lie)	လိမ်ညာသည်	မိဘတွေကို မလိမ်ညာပါနှင့်။
limit	ကန့်သတ်ချက်	အမြန်နှုန်း ကန့်သတ်ချက်က ငါးဆယ် ဖြစ်တယ်။
lip	နှုတ်ခမ်း	သူမက နှုတ်ခမ်းကို ကိုက်လိုက်တယ်။
liquid	အရည်	ရေက ကြည်လင်တဲ့ အရည် ဖြစ်တယ်။
literature	စာပေ	သူမ ပြင်သစ်စာပေကို လေ့လာတယ်။
live2	တိုက်ရိုက်သော	တီးဝိုင်းက မနေ့ညက တိုက်ရိုက် တီးခတ်ခဲ့တယ်။
living	အသက်ရှိသော	အသက်ရှိတဲ့ အပင်တွေက အလင်းရောင် လိုတယ်။
locate	နေရာရှာသည်	ဖိုင်ကို နေရာရှာနိုင်မလား။
located	တည်ရှိသော	ရုံးက မြို့လယ်မှာ တည်ရှိတယ်။
location	တည်နေရာ	ဒီနေရာက ကောင်းတဲ့ တည်နေရာ ဖြစ်တယ်။
lonely	အထီးကျန်သော	ပြောင်းရွှေ့ပြီးနောက် သူ အထီးကျန်နေတယ်။
loss	ဆုံးရှုံးမှု	ဆုံးရှုံးမှုက လူတိုင်းအတွက် ခက်ခဲခဲ့တယ်။
luxury	ဇိမ်ခံမှု	ဟိုတယ်က တကယ့် ဇိမ်ခံမှုကို ပေးတယ်။
mad	စိတ်ဆိုးသော	နှောင့်နှေးမှုကြောင့် သူမ စိတ်ဆိုးခဲ့တယ်။
magic	မှော်ပညာ	ပြပွဲက မှော်ပညာနဲ့ ပြည့်နေခဲ့တယ်။
mainly	အဓိကအားဖြင့်	အဖွဲ့က အဓိကအားဖြင့် ကျောင်းသားတွေ ဖြစ်တယ်။
mall	စျေးဝယ်စင်တာ	ကျွန်တော်တို့ စျေးဝယ်စင်တာမှာ တွေ့ခဲ့ကြတယ်။
management	စီမံခန့်ခွဲမှု	ကောင်းတဲ့ စီမံခန့်ခွဲမှုက အချိန်ကို ချွေတာတယ်။
marketing	စျေးကွက်ရှာဖွေရေး	စျေးကွက်ရှာဖွေရေးက ထုတ်ကုန်ကို ရောင်းချရာမှာ ကူညီတယ်။
marriage	အိမ်ထောင်ရေး	သူတို့ရဲ့ အိမ်ထောင်ရေးက နှစ်သုံးဆယ် ကြာခဲ့တယ်။
meanwhile	ထိုအချိန်တွင်	ထိုအချိန်တွင် ကျွန်တော် ညစာ ချက်ခဲ့တယ်။
measure	တိုင်းတာသည်	စားပွဲကို ဂရုတစိုက် တိုင်းတာပါ။
medium	အလတ်စား	ကျွန်တော် အလတ်စား ပီဇာတစ်လုံး မှာခဲ့တယ်။
mental	စိတ်ပိုင်းဆိုင်ရာ	ဖိစီးမှုက စိတ်ပိုင်းဆိုင်ရာ ကျန်းမာရေးကို သက်ရောက်တယ်။
mess	ရှုပ်ပွမှု	ဒီရှုပ်ပွမှုကို သန့်ရှင်းပါ။
mild	ပျော့သော	ဟင်းချိုမှာ ပျော့တဲ့ အရသာ ရှိတယ်။
